3248-T,東証マザーズ,アールエイジ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,620,620,615,615,1400,863100
2014-06-26,622,622,616,616,2000,1241200
2014-06-25,617,625,616,625,6100,3791400
2014-06-24,617,617,616,616,3400,2094700
2014-06-23,624,624,614,615,2200,1356600
2014-06-20,620,620,614,615,3200,1972700
2014-06-19,615,620,615,620,1400,867000
2014-06-18,614,620,614,614,2600,1602800
2014-06-17,631,631,614,614,8800,5466900
2014-06-16,638,640,615,622,4100,2572400
2014-06-13,624,641,611,640,15000,9441500
2014-06-12,618,625,616,625,6800,4218700
2014-06-11,610,615,607,612,3900,2387600
2014-06-10,601,605,601,605,3100,1866200
2014-06-09,605,611,598,601,6600,3985000
2014-06-06,601,606,600,600,6200,3727800
2014-06-05,598,615,594,600,14500,8737400
2014-06-04,590,602,589,591,11700,6935700
2014-06-03,577,577,570,574,5300,3035800
2014-06-02,573,578,568,578,1200,684300
2014-05-30,571,578,571,572,4100,2357500
2014-05-29,571,571,571,571,100,57100
2014-05-28,571,579,571,577,2200,1264900
2014-05-27,554,575,554,575,4400,2509500
2014-05-26,552,559,532,550,4100,2240300
2014-05-23,549,557,544,552,5500,3036300
2014-05-22,547,556,546,556,300,164900
2014-05-21,535,545,535,545,1500,808200
2014-05-20,549,566,529,542,6100,3304900
2014-05-19,547,547,547,547,200,109400
2014-05-16,557,577,557,577,500,281500
2014-05-15,555,592,555,585,9800,5685600
2014-05-14,539,550,539,550,1900,1040500
2014-05-13,550,551,534,534,3900,2122400
2014-05-12,564,564,541,549,5600,3124400
2014-05-09,583,583,563,563,4800,2716600
2014-05-08,578,583,572,572,2800,1611800
2014-05-07,582,582,582,582,200,116400
2014-05-02,572,586,572,583,2900,1670500
2014-05-01,572,588,572,578,3700,2138300
2014-04-30,588,591,571,571,4000,2330100
2014-04-28,581,583,572,572,2200,1275900
2014-04-25,591,591,581,581,1600,942100
2014-04-24,595,596,586,596,2300,1367900
2014-04-23,586,586,586,586,700,410200
2014-04-22,588,588,588,588,1100,646800
2014-04-21,588,598,588,588,3100,1838200
2014-04-18,584,594,584,594,1700,1006800
2014-04-17,583,588,583,583,3900,2282700
2014-04-16,582,583,582,583,700,407500
2014-04-15,585,585,581,581,500,292100
2014-04-14,588,589,585,585,1200,705500
2014-04-11,588,588,585,585,3900,2290300
2014-04-10,598,598,588,588,2600,1542200
2014-04-09,595,595,590,590,400,236900
2014-04-08,596,600,596,600,200,119600
2014-04-07,600,600,596,596,1500,898900
2014-04-04,600,608,600,608,2300,1389100
2014-04-03,602,608,600,602,3200,1922600
2014-04-02,600,605,600,605,1500,905500
2014-04-01,599,600,594,594,1200,718500
2014-03-31,612,613,595,595,1600,968100
2014-03-28,590,612,590,612,2800,1673100
2014-03-27,587,590,580,590,3400,1997500
2014-03-26,594,594,590,590,700,413500
2014-03-25,-,-,-,-,0,0
2014-03-24,585,604,582,604,2900,1719700
2014-03-20,613,614,598,598,2300,1400600
2014-03-19,590,610,590,610,4200,2531200
2014-03-18,582,589,582,589,500,293800
2014-03-17,597,600,582,582,2500,1492600
2014-03-14,591,599,589,597,3000,1777400
2014-03-13,595,599,593,599,1900,1129600
2014-03-12,600,605,597,597,2100,1263000
2014-03-11,600,605,594,595,5600,3346600
2014-03-10,607,608,595,608,3300,1979000
2014-03-07,608,611,601,611,800,486300
2014-03-06,608,609,608,609,1300,790700
2014-03-05,595,604,595,604,900,536600
2014-03-04,594,594,590,592,900,533300
2014-03-03,592,604,591,604,400,239100
2014-02-28,593,593,592,592,500,296100
2014-02-27,595,605,594,605,1700,1013400
2014-02-26,600,600,594,594,300,179200
2014-02-25,603,605,600,605,1400,845800
2014-02-24,605,605,605,605,100,60500
2014-02-21,597,605,597,605,600,362100
2014-02-20,598,598,592,592,1100,654400
2014-02-19,593,593,592,592,1700,1007800
2014-02-18,600,600,593,593,700,419300
2014-02-17,590,590,590,590,300,177000
2014-02-14,600,600,585,585,600,355100
2014-02-13,598,608,590,590,1900,1137000
2014-02-12,604,608,602,602,6400,3869800
2014-02-10,610,610,600,600,900,542600
2014-02-07,600,609,596,609,6000,3606500
