3287-T,東証,星野RR,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,851000,879000,851000,873000,897,777940000
2014-06-26,848000,869000,848000,866000,1079,927318000
2014-06-25,842000,848000,837000,846000,834,704058000
2014-06-24,839000,843000,833000,842000,943,790281000
2014-06-23,844000,847000,833000,843000,1437,1212042000
2014-06-20,807000,836000,807000,836000,1592,1312403000
2014-06-19,794000,819000,794000,807000,1345,1078086000
2014-06-18,788000,796000,784000,795000,929,735324000
2014-06-17,786000,788000,782000,787000,403,316701000
2014-06-16,785000,787000,782000,785000,256,200832000
2014-06-13,785000,785000,780000,781000,269,210517000
2014-06-12,786000,786000,782000,782000,305,239307000
2014-06-11,782000,786000,780000,786000,219,171587000
2014-06-10,784000,786000,781000,786000,331,259765000
2014-06-09,787000,787000,781000,781000,153,119975000
2014-06-06,780000,785000,776000,783000,322,252072000
2014-06-05,784000,784000,773000,778000,270,210319000
2014-06-04,782000,784000,780000,782000,151,118004000
2014-06-03,783000,788000,780000,782000,368,288666000
2014-06-02,781000,783000,773000,778000,242,188853000
2014-05-30,763000,784000,763000,782000,884,687021000
2014-05-29,765000,766000,760000,761000,166,126588000
2014-05-28,763000,766000,758000,764000,153,116685000
2014-05-27,752000,765000,752000,759000,293,221910000
2014-05-26,755000,756000,751000,752000,155,116821000
2014-05-23,756000,759000,753000,753000,196,148067000
2014-05-22,754000,758000,751000,757000,377,284368000
2014-05-21,753000,753000,748000,753000,208,156140000
2014-05-20,754000,755000,752000,753000,123,92652000
2014-05-19,753000,756000,752000,753000,192,144627000
2014-05-16,767000,767000,748000,754000,759,573481000
2014-05-15,763000,767000,759000,761000,254,193663000
2014-05-14,758000,765000,751000,759000,422,319817000
2014-05-13,759000,761000,752000,752000,353,266034000
2014-05-12,763000,764000,752000,757000,121,91695000
2014-05-09,752000,766000,752000,760000,289,219969000
2014-05-08,779000,779000,748000,753000,820,622926000
2014-05-07,783000,786000,774000,779000,606,472708000
2014-05-02,790000,793000,786000,790000,2124,1675569000
2014-05-01,814000,821000,795000,795000,1758,1420213000
2014-04-30,810000,814000,802000,809000,396,320089000
2014-04-28,815000,818000,800000,812000,377,305403000
2014-04-25,830000,837000,818000,818000,503,417041000
2014-04-24,816000,830000,816000,830000,382,315626000
2014-04-23,813000,818000,794000,813000,727,585506000
2014-04-22,816000,824000,813000,813000,237,193730000
2014-04-21,815000,824000,815000,816000,82,67206000
2014-04-18,799000,815000,798000,815000,216,173789000
2014-04-17,794000,799000,793000,795000,108,85957000
2014-04-16,792000,796000,786000,791000,147,116285000
2014-04-15,793000,800000,790000,790000,102,81029000
2014-04-14,800000,800000,786000,796000,175,138582000
2014-04-11,783000,804000,781000,797000,224,178031000
2014-04-10,802000,810000,784000,784000,350,279869000
2014-04-09,798000,803000,788000,797000,153,121926000
2014-04-08,795000,809000,784000,807000,406,324488000
2014-04-07,751000,826000,751000,787000,780,604552000
2014-04-04,745000,745000,730000,730000,133,97935000
2014-04-03,738000,749000,733000,734000,122,90415000
2014-04-02,735000,738000,731000,738000,71,52157000
2014-04-01,726000,736000,725000,735000,123,89843000
2014-03-31,721000,734000,714000,724000,156,113230000
2014-03-28,731000,735000,720000,720000,76,55465000
2014-03-27,716000,737000,715000,737000,108,78222000
2014-03-26,721000,729000,717000,725000,68,49168000
2014-03-25,710000,721000,710000,711000,62,44391000
2014-03-24,703000,720000,703000,718000,86,61355000
2014-03-20,707000,710000,703000,703000,52,36739000
2014-03-19,708000,716000,702000,707000,66,46768000
2014-03-18,706000,710000,702000,709000,41,28948000
2014-03-17,701000,708000,701000,704000,38,26748000
2014-03-14,706000,711000,700000,704000,98,69021000
2014-03-13,706000,713000,703000,706000,57,40341000
2014-03-12,708000,712000,706000,706000,53,37578000
2014-03-11,715000,722000,709000,709000,60,42818000
2014-03-10,724000,724000,715000,715000,50,35987000
2014-03-07,712000,721000,710000,721000,84,60240000
2014-03-06,710000,714000,710000,714000,45,31995000
2014-03-05,708000,712000,707000,710000,44,31202000
2014-03-04,708000,712000,705000,708000,37,26252000
2014-03-03,707000,720000,705000,714000,105,74524000
2014-02-28,727000,727000,717000,718000,69,49744000
2014-02-27,729000,730000,721000,723000,127,92062000
2014-02-26,730000,731000,727000,731000,30,21889000
2014-02-25,731000,733000,722000,731000,91,66298000
2014-02-24,739000,739000,730000,731000,59,43276000
