3296-T,東証,日本リート,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,256000,256500,255200,256200,1245,318460700
2014-06-26,257200,257400,256000,256500,606,155462200
2014-06-25,257800,257900,256600,257700,685,176310800
2014-06-24,257000,258000,256000,257200,572,147090900
2014-06-23,259600,259600,257200,258200,983,254357500
2014-06-20,254900,258000,254400,258000,1535,392673600
2014-06-19,254400,255000,254400,254800,660,168106300
2014-06-18,254100,255000,253600,254300,670,170376100
2014-06-17,254200,255600,253500,254000,506,128623200
2014-06-16,254600,256000,253700,254500,497,126773300
2014-06-13,254000,254700,252500,253200,897,227227700
2014-06-12,255800,255900,253800,253800,966,246030900
2014-06-11,257000,257300,255300,256000,799,204822900
2014-06-10,256700,257800,256500,257000,490,125967400
2014-06-09,258700,259000,256300,256600,722,185994700
2014-06-06,256400,257900,255300,257900,1147,294415500
2014-06-05,258900,259000,255000,256300,1263,324200800
2014-06-04,258100,259800,257200,257400,737,190379600
2014-06-03,258900,259900,258000,258800,1342,348099200
2014-06-02,254500,259300,254500,257900,1811,464648300
2014-05-30,255500,257700,254700,254700,5744,1470276900
2014-05-29,258400,264300,256100,256100,14432,3773561400
2014-05-28,261000,261600,258300,258300,3951,1026383100
2014-05-27,261200,262300,258300,261500,2171,565946700
2014-05-26,264300,264300,261300,262800,1566,412372100
2014-05-23,261600,263700,260100,263000,2987,785092000
2014-05-22,256800,260300,256800,258900,2318,599612400
2014-05-21,257300,258500,254700,255700,2258,578346100
2014-05-20,263700,263800,251600,259600,5153,1329244700
2014-05-19,268200,268300,261300,263300,4678,1236064200
2014-05-16,270900,270900,268000,268200,3771,1015587800
2014-05-15,270800,271800,269700,270000,4422,1199136500
2014-05-14,273000,273100,270400,270700,4719,1283109800
2014-05-13,272000,273300,271900,272800,2654,723698800
2014-05-12,273300,273700,270300,271900,3359,915504500
2014-05-09,271700,273000,270300,272800,4284,1164386000
2014-05-08,269000,271800,268300,271800,3837,1036835000
2014-05-07,271600,273100,264600,268300,5485,1482938000
2014-05-02,269000,271700,268100,271000,7795,2108235200
2014-05-01,267300,269400,266700,269000,5520,1481052600
2014-04-30,264500,266300,264100,266000,8196,2175430700
2014-04-28,263800,264900,262500,263800,5277,1392070100
2014-04-25,262100,264800,262100,263500,11786,3103292400
2014-04-24,262000,269900,260500,261100,57117,15074806500
