3298-T,東証,インベスコ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,106200,107500,106200,106900,5251,561650100
2014-06-26,107300,107900,106800,107500,5036,540500900
2014-06-25,105800,107300,105600,107200,5232,556332000
2014-06-24,105400,105700,104800,105700,3844,404569200
2014-06-23,105100,105400,104700,105200,4494,472013300
2014-06-20,104500,104900,104300,104700,3763,393428400
2014-06-19,104200,104700,104200,104500,2274,237526900
2014-06-18,104500,104700,103700,104400,4587,477209200
2014-06-17,104600,105000,103500,104500,3113,324911300
2014-06-16,104500,105200,104200,104800,3803,398515400
2014-06-13,104500,105500,104300,104900,6609,693364600
2014-06-12,104100,104600,103800,104500,4946,515306200
2014-06-11,105400,105600,103300,104700,15194,1588546700
2014-06-10,107400,107400,106000,106200,6018,643029300
2014-06-09,109500,109600,105500,106900,21777,2341784300
2014-06-06,108700,109100,108500,108900,21013,2285901300
2014-06-05,108900,111500,108500,108500,135401,14802306700
