3388-T,東証2部,明治電機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,600,600,585,588,20000,11822200
2014-06-26,600,610,596,599,11700,7047000
2014-06-25,610,612,588,599,46200,27695700
2014-06-24,613,618,598,608,18300,11090600
2014-06-23,604,608,599,608,22000,13295000
2014-06-20,595,607,595,599,26600,15978000
2014-06-19,597,597,591,593,11600,6902600
2014-06-18,591,603,591,593,17800,10594900
2014-06-17,581,591,574,591,56300,32767300
2014-06-16,576,579,574,576,23000,13252400
2014-06-13,556,568,556,567,11400,6412800
2014-06-12,548,562,546,562,12300,6796500
2014-06-11,545,548,544,548,9000,4906000
2014-06-10,541,547,539,544,10300,5591900
2014-06-09,543,544,537,543,17100,9238800
2014-06-06,538,545,536,545,4900,2655000
2014-06-05,538,539,536,539,3300,1773900
2014-06-04,540,542,536,538,17700,9540000
2014-06-03,541,541,536,540,5600,3013700
2014-06-02,542,542,536,536,5700,3071500
2014-05-30,540,541,538,538,4600,2483000
2014-05-29,536,536,533,534,800,427500
2014-05-28,533,533,531,531,3100,1649300
2014-05-27,535,536,530,531,3900,2073500
2014-05-26,540,540,535,535,2900,1561500
2014-05-23,530,537,529,530,9500,5039700
2014-05-22,529,532,527,530,700,370800
2014-05-21,534,534,523,523,1800,954000
2014-05-20,538,538,527,528,6400,3392800
2014-05-19,538,539,533,539,5600,3008700
2014-05-16,531,532,528,529,7600,4025700
2014-05-15,523,532,520,525,4200,2212800
2014-05-14,525,525,523,523,800,419400
2014-05-13,512,526,512,514,8800,4535600
2014-05-12,530,531,510,519,6900,3584300
2014-05-09,534,537,526,536,2900,1543500
2014-05-08,539,539,526,526,6700,3554400
2014-05-07,535,540,533,533,2400,1287200
2014-05-02,536,540,534,540,2600,1395200
2014-05-01,544,544,534,535,3500,1876400
2014-04-30,540,540,537,540,1400,755100
2014-04-28,539,542,538,538,4200,2272300
2014-04-25,538,540,538,539,1000,538600
2014-04-24,542,542,538,538,1800,970200
2014-04-23,547,547,536,538,3900,2101800
2014-04-22,548,550,541,541,1700,932100
2014-04-21,535,547,535,547,10800,5875100
2014-04-18,536,538,535,537,3100,1662000
2014-04-17,537,537,531,532,2400,1286600
2014-04-16,524,528,524,527,1300,684500
2014-04-15,525,525,522,524,1300,680200
2014-04-14,524,525,521,521,2600,1359700
2014-04-11,521,523,520,523,4200,2188200
2014-04-10,525,529,524,525,5000,2630400
2014-04-09,542,542,521,521,13900,7346200
2014-04-08,550,550,543,543,3200,1754500
2014-04-07,550,552,547,551,5100,2803600
2014-04-04,553,553,546,550,3800,2090500
2014-04-03,558,559,553,553,9500,5285000
2014-04-02,545,555,544,555,18100,9917200
2014-04-01,537,543,537,543,5300,2858400
2014-03-31,540,542,534,537,5600,3009300
2014-03-28,540,543,540,540,3600,1946500
2014-03-27,539,539,536,538,5000,2689400
2014-03-26,550,555,550,550,27300,15074300
2014-03-25,550,551,546,550,22400,12297600
2014-03-24,546,550,541,550,90000,49114000
2014-03-20,573,573,557,557,7200,4062100
2014-03-19,575,578,570,573,7300,4195100
2014-03-18,573,575,573,574,3100,1779300
2014-03-17,573,575,569,570,9000,5154700
2014-03-14,579,579,573,573,4700,2708400
2014-03-13,580,581,572,581,6500,3759100
2014-03-12,575,579,572,579,8800,5061700
2014-03-11,576,577,571,576,7900,4540700
2014-03-10,571,579,568,573,5100,2925600
2014-03-07,565,572,565,567,5400,3067600
2014-03-06,561,566,560,565,4100,2307900
2014-03-05,562,562,552,561,4100,2284700
2014-03-04,560,561,560,560,7100,3976300
2014-03-03,560,560,554,560,3700,2058000
2014-02-28,560,561,555,561,7100,3950400
2014-02-27,560,568,556,561,8200,4601500
2014-02-26,560,564,559,560,2900,1626100
2014-02-25,561,564,557,563,4300,2412700
2014-02-24,559,561,555,560,5200,2907000
2014-02-21,555,558,555,555,2000,1111200
2014-02-20,562,562,554,555,6900,3852600
2014-02-19,559,562,557,562,3000,1674500
2014-02-18,561,562,558,562,2300,1289500
2014-02-17,560,561,557,561,3500,1954700
2014-02-14,572,572,554,558,10500,5898200
2014-02-13,572,572,567,570,2100,1197900
2014-02-12,563,571,561,570,6700,3793900
2014-02-10,560,563,560,563,1400,785900
2014-02-07,558,559,558,559,200,111700
2014-02-06,557,557,554,554,3000,1665200
2014-02-05,559,562,557,557,2500,1399700
2014-02-04,556,560,536,560,10800,5948100
2014-02-03,568,568,562,564,3000,1696600
2014-01-31,576,583,571,571,5200,2992500
2014-01-30,579,585,575,576,19600,11370600
2014-01-29,580,585,579,585,11700,6810400
2014-01-28,555,580,555,580,10200,5768300
2014-01-27,561,561,553,555,9200,5132000
2014-01-24,565,570,565,570,7200,4084300
2014-01-23,568,572,566,571,8400,4784100
2014-01-22,574,575,565,567,12500,7129200
2014-01-21,572,576,571,573,10100,5789700
2014-01-20,569,572,565,571,8300,4712200
2014-01-17,570,574,565,565,10100,5764900
2014-01-16,570,573,565,571,27500,15627800
2014-01-15,569,569,561,565,5900,3338600
2014-01-14,564,568,561,568,5200,2934600
2014-01-10,567,570,565,570,2500,1420800
2014-01-09,565,569,563,567,11100,6284500
2014-01-08,562,565,558,565,16100,9051400
2014-01-07,558,562,557,562,6600,3697400
2014-01-06,563,563,559,562,6700,3757600
2013-12-30,552,559,548,559,6600,3645200
2013-12-27,544,552,536,552,9400,5142500
2013-12-26,521,548,521,546,16600,8893000
2013-12-25,522,526,518,520,30600,15935500
2013-12-24,522,530,519,527,50300,26389100
2013-12-20,534,539,528,530,18700,9982300
2013-12-19,528,535,523,523,17500,9213300
2013-12-18,539,539,526,531,10400,5501600
2013-12-17,541,541,526,539,14500,7811100
2013-12-16,541,541,534,535,11300,6089600
2013-12-13,540,541,536,541,8600,4631900
2013-12-12,541,546,530,540,28300,15277900
2013-12-11,530,544,529,539,73900,39471000
2013-12-10,516,519,516,516,3200,1654800
2013-12-09,516,522,515,516,4700,2427600
2013-12-06,523,524,505,511,11000,5646000
2013-12-05,525,525,524,524,3200,1679900
2013-12-04,527,529,527,528,3900,2058100
2013-12-03,533,535,530,530,3700,1969800
2013-12-02,527,533,525,533,3900,2066100
2013-11-29,530,532,530,531,2900,1537400
2013-11-28,532,532,526,530,3500,1852000
2013-11-27,524,531,524,530,1700,898300
2013-11-26,531,531,526,526,3200,1692100
2013-11-25,530,533,528,531,4100,2175600
2013-11-22,524,530,521,530,9300,4891800
2013-11-21,518,523,518,519,3300,1715600
2013-11-20,520,520,517,520,5200,2700300
2013-11-19,520,520,518,518,12800,6653500
2013-11-18,515,520,515,518,5800,2993100
2013-11-15,509,515,500,515,8500,4293700
2013-11-14,511,511,500,505,14300,7228700
2013-11-13,518,530,499,508,40800,20631000
2013-11-12,520,522,495,510,24500,12354800
2013-11-11,530,530,509,514,9400,4876900
2013-11-08,535,541,529,529,5500,2926200
2013-11-07,539,543,539,542,10900,5897200
2013-11-06,530,538,530,538,700,373600
2013-11-05,530,536,530,535,1800,957600
2013-11-01,549,549,515,537,28000,14785900
2013-10-31,557,566,551,556,2800,1571000
2013-10-30,565,565,550,557,7400,4130000
2013-10-29,560,560,555,558,3100,1728500
2013-10-28,565,565,554,560,14500,8073300
2013-10-25,577,577,562,569,7800,4456300
2013-10-24,586,586,581,581,1700,989200
2013-10-23,583,586,581,586,3000,1747800
2013-10-22,605,605,581,589,15600,9210200
2013-10-21,573,618,573,600,29100,17383400
2013-10-18,566,570,566,570,3100,1764500
2013-10-17,566,570,565,565,4700,2668400
2013-10-16,556,558,556,558,1600,889900
2013-10-15,570,577,556,556,4500,2538900
2013-10-11,575,575,565,570,3200,1826400
2013-10-10,567,575,561,575,4700,2681300
2013-10-09,550,565,547,565,7900,4393400
2013-10-08,550,554,541,550,7800,4265300
2013-10-07,550,554,547,554,4200,2305700
2013-10-04,550,555,550,554,9700,5341600
2013-10-03,550,557,550,557,8100,4490800
2013-10-02,558,559,547,556,10200,5647100
2013-10-01,560,560,556,560,4700,2630300
2013-09-30,560,576,556,561,6500,3662200
2013-09-27,548,561,548,561,9800,5436800
2013-09-26,534,545,531,545,5900,3171000
2013-09-25,539,540,533,534,2900,1555400
2013-09-24,537,540,532,540,3200,1713900
2013-09-20,525,537,524,537,4800,2547900
2013-09-19,524,525,518,525,2900,1516200
2013-09-18,518,523,515,516,3400,1763400
2013-09-17,521,525,519,519,5600,2916800
2013-09-13,517,520,512,519,4900,2531800
2013-09-12,519,519,513,518,3100,1602600
2013-09-11,523,523,508,518,13400,6923700
2013-09-10,530,530,515,515,7500,3917800
2013-09-09,538,540,522,525,30600,16312700
2013-09-06,520,522,520,522,1500,780500
2013-09-05,513,520,507,520,6400,3289800
2013-09-04,507,514,506,508,2000,1018700
2013-09-03,507,516,502,507,4500,2300900
2013-09-02,510,510,500,504,6600,3326400
2013-08-30,516,519,506,516,4800,2461900
2013-08-29,512,518,511,511,3000,1540700
2013-08-28,514,519,506,515,8500,4356300
2013-08-27,524,525,516,521,6200,3214800
2013-08-26,531,531,523,523,6400,3372700
2013-08-23,520,529,520,527,2400,1258700
2013-08-22,520,530,516,516,14300,7443100
2013-08-21,530,535,523,531,20800,11012300
2013-08-20,534,535,527,535,2800,1488700
2013-08-19,532,535,527,532,3400,1808600
2013-08-16,532,533,525,531,7300,3868100
2013-08-15,533,533,526,531,2700,1432100
2013-08-14,542,542,531,533,5800,3110300
2013-08-13,540,542,532,539,4100,2203000
2013-08-12,540,540,532,540,2700,1451200
2013-08-09,538,542,530,537,4700,2524000
2013-08-08,539,539,530,537,2200,1173500
2013-08-07,526,542,526,534,4600,2464200
2013-08-06,530,530,521,521,4500,2366400
2013-08-05,528,529,527,529,1300,686400
2013-08-02,533,534,524,528,9300,4906900
2013-08-01,527,533,526,533,1300,687900
2013-07-31,530,530,514,527,6400,3360900
2013-07-30,522,537,522,537,2100,1105700
2013-07-29,543,544,530,530,4200,2248800
2013-07-26,548,548,543,543,1500,818400
2013-07-25,539,547,539,547,1000,541800
2013-07-24,548,548,534,541,3700,1999100
2013-07-23,551,551,540,544,3300,1799600
2013-07-22,552,552,546,546,1300,714300
2013-07-19,555,556,552,552,1500,829600
2013-07-18,556,556,555,555,600,333400
2013-07-17,560,560,553,560,6800,3803000
2013-07-16,547,569,546,560,6100,3378600
