3393-T,東証1部,スターティア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1590,1590,1500,1578,16900,26342800
2014-06-26,1591,1610,1555,1593,7700,12230300
2014-06-25,1600,1616,1588,1598,17200,27579300
2014-06-24,1594,1594,1567,1588,9600,15214400
2014-06-23,1555,1587,1540,1581,11100,17415700
2014-06-20,1581,1590,1550,1557,11000,17238600
2014-06-19,1580,1590,1574,1590,9600,15185600
2014-06-18,1559,1595,1559,1582,7100,11225600
2014-06-17,1612,1612,1569,1580,12300,19455400
2014-06-16,1598,1613,1581,1587,21400,34210100
2014-06-13,1597,1618,1580,1598,14800,23629800
2014-06-12,1554,1586,1554,1579,6800,10698100
2014-06-11,1534,1586,1534,1583,11300,17728600
2014-06-10,1600,1600,1551,1553,14900,23415600
2014-06-09,1639,1640,1562,1571,36100,57703600
2014-06-06,1432,1565,1432,1559,52300,78882200
2014-06-05,1500,1500,1426,1440,27300,39795400
2014-06-04,1500,1501,1457,1477,15500,22938500
2014-06-03,1468,1499,1468,1484,30000,44556800
2014-06-02,1487,1487,1459,1474,17300,25393100
2014-05-30,1445,1464,1445,1457,11300,16426400
2014-05-29,1450,1462,1430,1443,10400,14993100
2014-05-28,1445,1457,1431,1451,8300,11968800
2014-05-27,1436,1475,1436,1445,22500,32770200
2014-05-26,1446,1455,1414,1445,28700,41368100
2014-05-23,1380,1403,1361,1386,23200,32127200
2014-05-22,1362,1387,1362,1381,22000,30243000
2014-05-21,1319,1381,1317,1359,72400,96707200
2014-05-20,1311,1345,1305,1323,36600,48324200
2014-05-19,1400,1401,1317,1319,32100,43468300
2014-05-16,1405,1416,1390,1406,28400,39907500
2014-05-15,1431,1476,1420,1421,37000,53543700
2014-05-14,1490,1543,1488,1527,10100,15340400
2014-05-13,1503,1540,1501,1501,17800,26916000
2014-05-12,1621,1639,1494,1516,69600,106618400
2014-05-09,1721,1742,1701,1741,14700,25262700
2014-05-08,1750,1755,1700,1721,14600,25186000
2014-05-07,1700,1836,1700,1760,36300,63629500
2014-05-02,1670,1688,1658,1679,5800,9697400
2014-05-01,1607,1667,1607,1660,14700,24029200
2014-04-30,1700,1700,1626,1631,9200,15191200
2014-04-28,1720,1721,1626,1683,19100,32040300
2014-04-25,1733,1733,1706,1726,7900,13611100
2014-04-24,1759,1759,1716,1730,5700,9867900
2014-04-23,1744,1746,1713,1745,4300,7461900
2014-04-22,1748,1768,1710,1714,11100,19298100
2014-04-21,1789,1800,1738,1753,11400,20259800
2014-04-18,1788,1788,1745,1764,8300,14584500
2014-04-17,1819,1819,1761,1761,6500,11642100
2014-04-16,1785,1793,1737,1789,8100,14365600
2014-04-15,1707,1769,1707,1751,7500,13035900
2014-04-14,1725,1761,1701,1707,6300,10856300
2014-04-11,1736,1768,1701,1725,19800,34424300
2014-04-10,1830,1857,1775,1776,13600,24512500
2014-04-09,1801,1867,1801,1810,11100,20284800
2014-04-08,1901,1903,1830,1832,27800,51749500
2014-04-07,1977,1999,1909,1920,22200,43179400
2014-04-04,1991,2026,1957,2026,25400,50763600
2014-04-03,2040,2068,1980,2030,21100,42678700
2014-04-02,1998,2090,1992,2046,67600,137687100
2014-04-01,1830,1952,1830,1925,55300,103597200
2014-03-31,1895,1895,1840,1848,53700,99978100
2014-03-28,1840,1911,1810,1855,135700,251005200
2014-03-27,1850,1888,1820,1870,49000,90194700
2014-03-26,1830,1844,1825,1830,23700,43473500
2014-03-25,1838,1853,1800,1812,22800,41728000
2014-03-24,1815,1874,1815,1828,21600,39774700
2014-03-20,1961,1961,1800,1824,35000,64527000
2014-03-19,2000,2000,1910,1957,8800,17142800
2014-03-18,1920,1983,1920,1956,15600,30351400
2014-03-17,1996,2004,1880,1913,29500,57536500
2014-03-14,1911,1957,1910,1910,32800,63257100
2014-03-13,2012,2036,1953,1986,27700,55303200
2014-03-12,2100,2100,2023,2030,99800,204631400
2014-03-11,2166,2170,2090,2124,21400,45917600
2014-03-10,2126,2180,2115,2145,22700,48639900
2014-03-07,2190,2209,2031,2088,68300,145522000
2014-03-06,2003,2181,2002,2140,78300,165949000
2014-03-05,1990,2061,1977,2035,53600,108916600
2014-03-04,1952,1975,1945,1962,15200,29713300
2014-03-03,1961,1995,1861,1952,36100,69848000
2014-02-28,1963,2030,1955,1960,39100,77816500
2014-02-27,1950,1968,1903,1948,15800,30698900
2014-02-26,1979,1999,1952,1978,25900,51209700
2014-02-25,1847,2045,1845,1997,120900,237817000
2014-02-24,1940,1973,1843,1877,102900,196270600
2014-02-21,1643,1700,1643,1700,4300,7198800
2014-02-20,1700,1708,1643,1647,6300,10621300
2014-02-19,1698,1720,1650,1701,5500,9369500
2014-02-18,1695,1698,1689,1692,5800,9822700
2014-02-17,1693,1693,1625,1663,7000,11490000
2014-02-14,1691,1726,1635,1670,9600,15952400
2014-02-13,1745,1745,1678,1691,16600,28193300
2014-02-12,1730,1774,1710,1747,9100,15829100
2014-02-10,1670,1715,1670,1705,6100,10376100
2014-02-07,1630,1658,1627,1637,3700,6051100
2014-02-06,1590,1619,1533,1615,6300,9967300
2014-02-05,1605,1605,1517,1558,19200,29790800
2014-02-04,1511,1579,1475,1525,37500,57079300
2014-02-03,1731,1774,1610,1610,51900,87283900
2014-01-31,1745,1863,1745,1789,33600,60939800
2014-01-30,1727,1743,1715,1722,7700,13310500
2014-01-29,1755,1794,1755,1785,8400,14961400
2014-01-28,1750,1809,1724,1724,17700,31236200
2014-01-27,1785,1790,1724,1724,49200,86224000
2014-01-24,1820,1834,1800,1821,24200,43869600
2014-01-23,1897,1897,1842,1845,14000,26032600
2014-01-22,1865,1900,1810,1890,50000,92619400
2014-01-21,1923,1926,1853,1861,35200,66441300
2014-01-20,1918,1950,1849,1859,107200,202411400
2014-01-17,1700,2073,1700,1998,406200,791559000
2014-01-16,1710,1728,1671,1673,32300,54678000
2014-01-15,1730,1745,1700,1705,51400,88602200
2014-01-14,1559,1747,1551,1700,88900,146504900
2014-01-10,1567,1585,1556,1559,6400,10008500
2014-01-09,1572,1599,1553,1587,10000,15723000
2014-01-08,1600,1600,1580,1580,7900,12532100
2014-01-07,1585,1602,1575,1590,15900,25282900
2014-01-06,1605,1608,1571,1606,16100,25702000
2013-12-30,1569,1598,1552,1598,15800,25012900
2013-12-27,1578,1578,1543,1543,5900,9188300
2013-12-26,1523,1567,1523,1563,17800,27551500
2013-12-25,1549,1549,1506,1520,33600,51501000
2013-12-24,1551,1553,1523,1528,30700,47354600
2013-12-20,1569,1569,1523,1547,16100,24925100
2013-12-19,1531,1577,1513,1513,25400,39084200
2013-12-18,1550,1573,1530,1554,43300,67158400
2013-12-17,1584,1609,1535,1546,59400,93586100
2013-12-16,1531,1590,1531,1575,44700,69832000
2013-12-13,1460,1517,1447,1517,17600,26381200
2013-12-12,1494,1495,1405,1462,13600,19838100
2013-12-11,1440,1494,1440,1490,31600,46305900
2013-12-10,1438,1450,1417,1430,7800,11187900
2013-12-09,1435,1440,1411,1432,11700,16703300
2013-12-06,1454,1460,1382,1405,23000,32487200
2013-12-05,1451,1481,1449,1452,5300,7719800
2013-12-04,1478,1478,1440,1464,6400,9326300
2013-12-03,1499,1500,1478,1478,5500,8180900
2013-12-02,1490,1518,1490,1495,6900,10308000
2013-11-29,1444,1514,1440,1505,20100,30024900
2013-11-28,1457,1462,1433,1444,13400,19453000
2013-11-27,1457,1474,1456,1457,6500,9488500
2013-11-26,1452,1494,1450,1460,10400,15272600
2013-11-25,1520,1520,1476,1476,12100,18163100
2013-11-22,1565,1565,1490,1490,22800,34611400
2013-11-21,1545,1565,1511,1554,14500,22401100
2013-11-20,1624,1630,1500,1542,36400,56607100
2013-11-19,1570,1606,1538,1601,19800,31254100
2013-11-18,1594,1620,1568,1574,33700,53893600
2013-11-15,1495,1555,1472,1554,27100,41169300
2013-11-14,1477,1510,1470,1480,21100,31362100
2013-11-13,1468,1500,1460,1473,17200,25457900
2013-11-12,1465,1511,1426,1493,21800,32318000
2013-11-11,1548,1565,1460,1481,16700,25038900
2013-11-08,1570,1599,1556,1556,13500,21216600
2013-11-07,1570,1648,1551,1600,61600,98536100
2013-11-06,1470,1569,1470,1540,27600,42502500
2013-11-05,1441,1526,1441,1484,27400,40798400
2013-11-01,1473,1503,1370,1471,36000,51873300
2013-10-31,1501,1515,1451,1507,20700,31044300
2013-10-30,1580,1581,1505,1515,39900,61729700
2013-10-29,1619,1649,1578,1589,61000,98463200
2013-10-28,1590,1650,1541,1648,151300,243200100
2013-10-25,1560,1580,1498,1542,98000,152393600
2013-10-24,1420,1525,1419,1515,41800,60855900
2013-10-23,1439,1530,1425,1450,108200,160110300
2013-10-22,1460,1470,1396,1427,38100,54737500
2013-10-21,1376,1447,1375,1447,40500,57747600
2013-10-18,1339,1393,1339,1357,14100,19296800
2013-10-17,1333,1370,1333,1345,14000,18948600
2013-10-16,1345,1398,1325,1325,26800,36395800
2013-10-15,1328,1347,1320,1345,7400,9859200
2013-10-11,1352,1359,1320,1323,16300,21849000
2013-10-10,1345,1354,1325,1350,9300,12547400
2013-10-09,1300,1334,1300,1315,2400,3154800
2013-10-08,1270,1301,1261,1300,7100,9103500
2013-10-07,1342,1345,1296,1300,7700,10151200
2013-10-04,1323,1330,1291,1321,16200,21243200
2013-10-03,1355,1370,1322,1353,9300,12422800
2013-10-02,1330,1389,1320,1367,21900,29660200
2013-10-01,1350,1350,1330,1330,7000,9403700
2013-09-30,1350,1380,1335,1359,7000,9445800
2013-09-27,1370,1380,1350,1355,7100,9691600
2013-09-26,1321,1350,1314,1341,5100,6797600
2013-09-25,1390,1390,1310,1349,34200,46020100
2013-09-24,1430,1449,1400,1412,14700,20871400
2013-09-20,1425,1450,1420,1449,26200,37576800
2013-09-19,1450,1450,1380,1419,37500,53232500
2013-09-18,1450,1490,1400,1413,87800,126864300
2013-09-17,1235,1345,1225,1345,44700,57782400
2013-09-13,1212,1220,1187,1205,6900,8292200
2013-09-12,1194,1202,1187,1193,1100,1310700
2013-09-11,1183,1200,1182,1194,7300,8696600
2013-09-10,1205,1205,1192,1195,2700,3232500
2013-09-09,1205,1225,1190,1200,4100,4945100
2013-09-06,1212,1212,1183,1183,2000,2394600
2013-09-05,1197,1209,1188,1208,4700,5635900
2013-09-04,1171,1196,1100,1190,10400,11950000
2013-09-03,1160,1180,1148,1180,7800,9059700
2013-09-02,1161,1170,1157,1160,4100,4770300
2013-08-30,1175,1175,1160,1166,2600,3035200
2013-08-29,1172,1175,1155,1163,3100,3615800
2013-08-28,1200,1202,1164,1177,6300,7499900
2013-08-27,1233,1233,1210,1212,3000,3656900
2013-08-26,1236,1236,1195,1233,4000,4910300
2013-08-23,1176,1206,1176,1206,3700,4392900
2013-08-22,1165,1190,1165,1170,2800,3300400
2013-08-21,1197,1201,1160,1175,3600,4239700
2013-08-20,1199,1221,1185,1200,16400,19795500
2013-08-19,1187,1199,1181,1192,3500,4151700
2013-08-16,1139,1177,1139,1177,2700,3108300
2013-08-15,1169,1169,1154,1160,2300,2677800
2013-08-14,1135,1171,1135,1168,12000,13918800
2013-08-13,1142,1142,1109,1133,2800,3148700
2013-08-12,1143,1157,1111,1112,14300,16192400
2013-08-09,1161,1177,1154,1166,7400,8627000
2013-08-08,1148,1177,1148,1168,5000,5785700
