3421-T,東証1部,稲葉製作,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1480,1482,1407,1465,184100,267506100
2014-06-26,1445,1466,1445,1466,88900,129351900
2014-06-25,1432,1443,1430,1443,60100,86394100
2014-06-24,1425,1435,1418,1432,66700,95196600
2014-06-23,1397,1428,1392,1428,104600,147811800
2014-06-20,1397,1398,1379,1387,50900,70833400
2014-06-19,1390,1396,1386,1396,70800,98615800
2014-06-18,1370,1384,1370,1384,55800,76957800
2014-06-17,1379,1382,1363,1366,61500,84501500
2014-06-16,1384,1385,1365,1375,74600,102766400
2014-06-13,1340,1356,1334,1356,77800,104537200
2014-06-12,1334,1338,1330,1333,41900,55857800
2014-06-11,1330,1340,1328,1338,31600,42162000
2014-06-10,1343,1345,1327,1338,78100,104517900
2014-06-09,1335,1352,1329,1342,217900,291810900
2014-06-06,1292,1295,1291,1295,18000,23284000
2014-06-05,1292,1295,1289,1291,10700,13819300
2014-06-04,1296,1296,1289,1291,19800,25613500
2014-06-03,1294,1296,1290,1293,20100,25987100
2014-06-02,1289,1294,1281,1284,36000,46342200
2014-05-30,1296,1297,1284,1289,22900,29555400
2014-05-29,1298,1298,1284,1284,18700,24109100
2014-05-28,1286,1295,1286,1293,17000,21957500
2014-05-27,1289,1293,1286,1287,12700,16369200
2014-05-26,1285,1285,1272,1285,17300,22137300
2014-05-23,1259,1287,1258,1275,13000,16564300
2014-05-22,1249,1260,1245,1255,8800,11012400
2014-05-21,1251,1255,1240,1241,15400,19191800
2014-05-20,1260,1265,1250,1260,9500,11938400
2014-05-19,1252,1275,1252,1252,28300,35556900
2014-05-16,1277,1294,1272,1278,23800,30445400
2014-05-15,1298,1298,1293,1294,13000,16842500
2014-05-14,1292,1297,1292,1297,14100,18249200
2014-05-13,1290,1295,1290,1292,9100,11762300
2014-05-12,1297,1297,1289,1289,9600,12403200
2014-05-09,1292,1295,1289,1291,15800,20428000
2014-05-08,1287,1295,1286,1289,15500,20002000
2014-05-07,1291,1294,1285,1286,20000,25789200
2014-05-02,1295,1295,1287,1295,14700,18999300
2014-05-01,1285,1296,1285,1294,20300,26180900
2014-04-30,1294,1297,1289,1294,11600,15004600
2014-04-28,1295,1297,1289,1293,9100,11771800
2014-04-25,1285,1297,1285,1295,26800,34664300
2014-04-24,1290,1293,1277,1285,21400,27506700
2014-04-23,1283,1290,1280,1289,12100,15547800
2014-04-22,1295,1295,1280,1283,14100,18185600
2014-04-21,1290,1294,1284,1285,11000,14167200
2014-04-18,1287,1290,1280,1287,10800,13884100
2014-04-17,1290,1294,1282,1287,10400,13401500
2014-04-16,1289,1290,1281,1290,11800,15195300
2014-04-15,1285,1294,1282,1289,38100,49091500
2014-04-14,1252,1269,1252,1266,18700,23594000
2014-04-11,1259,1259,1240,1245,14900,18591800
2014-04-10,1273,1279,1256,1256,24100,30455000
2014-04-09,1280,1280,1255,1255,25200,31908100
2014-04-08,1290,1290,1274,1282,21400,27448400
2014-04-07,1290,1293,1281,1281,17900,23000000
2014-04-04,1287,1294,1275,1279,17700,22724000
2014-04-03,1302,1302,1285,1288,26400,34121100
2014-04-02,1303,1303,1292,1294,25700,33385800
2014-04-01,1296,1304,1292,1303,47900,62177300
2014-03-31,1296,1297,1290,1296,54500,70559500
2014-03-28,1258,1294,1254,1294,62600,80019000
2014-03-27,1248,1257,1233,1254,26000,32474100
2014-03-26,1238,1248,1238,1248,24600,30608000
2014-03-25,1240,1247,1221,1238,25900,32075800
2014-03-24,1190,1241,1190,1232,38600,47271600
2014-03-20,1180,1204,1180,1195,27100,32286800
2014-03-19,1156,1184,1156,1178,21300,24917900
2014-03-18,1178,1190,1165,1170,26500,31136800
2014-03-17,1195,1198,1146,1147,55800,64976200
2014-03-14,1222,1223,1197,1198,39600,47997300
2014-03-13,1215,1224,1212,1220,21500,26185800
2014-03-12,1251,1257,1196,1212,59200,72827000
2014-03-11,1242,1254,1230,1249,21300,26517700
2014-03-10,1255,1255,1220,1244,31900,39417600
2014-03-07,1250,1259,1248,1251,15500,19422900
2014-03-06,1248,1256,1247,1254,13200,16518600
2014-03-05,1257,1257,1240,1250,12800,16036200
2014-03-04,1237,1256,1230,1255,22200,27687100
2014-03-03,1211,1250,1204,1246,29200,35929400
2014-02-28,1234,1238,1201,1227,29900,36566000
2014-02-27,1224,1240,1218,1234,28500,35178400
2014-02-26,1230,1235,1219,1227,13400,16427200
2014-02-25,1227,1236,1226,1231,5900,7254600
2014-02-24,1237,1243,1222,1230,13200,16287500
2014-02-21,1238,1238,1225,1237,11200,13835900
2014-02-20,1235,1237,1223,1224,14900,18322000
2014-02-19,1232,1239,1221,1235,10500,12950900
2014-02-18,1234,1236,1210,1232,22600,27739300
2014-02-17,1215,1234,1197,1229,20400,24768800
2014-02-14,1207,1212,1182,1195,21000,25145800
2014-02-13,1229,1234,1203,1205,14500,17634900
2014-02-12,1215,1239,1215,1229,13300,16362100
2014-02-10,1196,1221,1196,1214,21500,25996600
2014-02-07,1165,1194,1165,1193,15200,17989900
2014-02-06,1128,1170,1128,1160,21300,24447700
2014-02-05,1143,1159,1121,1131,36300,41121100
2014-02-04,1184,1184,1124,1124,72500,83027700
2014-02-03,1215,1218,1204,1204,37100,44842400
2014-01-31,1239,1242,1211,1222,36000,44069800
2014-01-30,1247,1247,1224,1228,58900,72589200
2014-01-29,1247,1251,1238,1250,65900,82063000
2014-01-28,1255,1260,1253,1253,68900,86505800
2014-01-27,1273,1275,1255,1255,78100,98612800
2014-01-24,1289,1289,1272,1279,65900,84370200
2014-01-23,1292,1298,1291,1291,51600,66702500
2014-01-22,1296,1299,1291,1297,40100,51936600
2014-01-21,1302,1302,1294,1296,49000,63603400
2014-01-20,1297,1300,1296,1300,33500,43500700
2014-01-17,1300,1300,1295,1297,24500,31797600
2014-01-16,1296,1302,1295,1296,28100,36487300
2014-01-15,1300,1300,1292,1297,31300,40549300
2014-01-14,1296,1298,1293,1293,36300,47010300
2014-01-10,1299,1302,1295,1297,45400,58955900
2014-01-09,1301,1305,1297,1301,30100,39161500
2014-01-08,1302,1306,1297,1300,57000,74159500
2014-01-07,1306,1309,1298,1298,44400,57829400
2014-01-06,1295,1310,1295,1303,59600,77601900
2013-12-30,1295,1297,1291,1295,37200,48121900
2013-12-27,1268,1290,1266,1290,38500,49243100
2013-12-26,1251,1270,1251,1266,34300,43364800
2013-12-25,1251,1255,1249,1253,48100,60179800
2013-12-24,1263,1268,1253,1255,51200,64511300
2013-12-20,1266,1266,1260,1264,19400,24494200
2013-12-19,1260,1270,1260,1264,32600,41223200
2013-12-18,1265,1265,1257,1263,26700,33701900
2013-12-17,1264,1266,1254,1260,21200,26697500
2013-12-16,1293,1294,1251,1251,73600,93500800
2013-12-13,1281,1293,1281,1291,67100,86283600
2013-12-12,1268,1285,1268,1284,39900,50957500
2013-12-11,1268,1270,1259,1268,59900,75807300
2013-12-10,1258,1262,1253,1255,24100,30295800
2013-12-09,1263,1268,1252,1256,23800,29945500
2013-12-06,1252,1263,1248,1260,24400,30573300
2013-12-05,1261,1267,1250,1250,39600,49749900
2013-12-04,1277,1277,1263,1264,31000,39341500
2013-12-03,1278,1281,1274,1274,29400,37555900
2013-12-02,1276,1280,1275,1275,20700,26430700
2013-11-29,1283,1283,1277,1280,24300,31092600
2013-11-28,1280,1290,1280,1284,35800,45933500
2013-11-27,1284,1285,1280,1282,15600,19997600
2013-11-26,1280,1288,1280,1282,29200,37478000
2013-11-25,1288,1293,1280,1282,25200,32382200
2013-11-22,1291,1296,1280,1288,24400,31465300
2013-11-21,1274,1292,1273,1290,32900,42232900
2013-11-20,1296,1302,1260,1265,54500,69740600
2013-11-19,1299,1305,1294,1298,30700,39870800
2013-11-18,1299,1304,1295,1298,23700,30781000
2013-11-15,1290,1303,1286,1299,73000,94576200
2013-11-14,1273,1289,1270,1277,33800,43218100
2013-11-13,1246,1290,1243,1290,71600,91278100
2013-11-12,1240,1245,1238,1242,45500,56447600
2013-11-11,1252,1260,1235,1243,40400,50364200
2013-11-08,1255,1256,1249,1252,21300,26693800
2013-11-07,1255,1270,1253,1262,23600,29773200
2013-11-06,1252,1265,1251,1255,26900,33767600
2013-11-05,1260,1270,1248,1252,31900,40127000
2013-11-01,1280,1280,1244,1252,65700,82544500
2013-10-31,1278,1289,1268,1272,49000,62601000
2013-10-30,1289,1289,1275,1278,30100,38582800
2013-10-29,1289,1290,1265,1282,48500,62012500
2013-10-28,1299,1299,1285,1291,37900,48917600
2013-10-25,1300,1300,1287,1289,18600,24023800
2013-10-24,1290,1298,1285,1297,24300,31359400
2013-10-23,1299,1304,1288,1288,50000,64812800
2013-10-22,1305,1305,1300,1303,29000,37796500
2013-10-21,1300,1303,1297,1302,26400,34311200
2013-10-18,1304,1304,1289,1294,26700,34588500
2013-10-17,1300,1308,1285,1293,33300,43139400
2013-10-16,1308,1308,1295,1295,23800,30988800
2013-10-15,1305,1310,1297,1302,33200,43261900
2013-10-11,1304,1307,1299,1305,71600,93334400
2013-10-10,1247,1305,1247,1299,130900,167671100
2013-10-09,1270,1270,1240,1240,81300,102193800
2013-10-08,1270,1275,1254,1275,31600,40015600
2013-10-07,1299,1300,1272,1273,68300,88001700
2013-10-04,1313,1321,1305,1307,29900,39206800
2013-10-03,1335,1335,1311,1313,91700,121167500
2013-10-02,1350,1364,1340,1340,42000,56696600
2013-10-01,1354,1355,1341,1347,28000,37742700
2013-09-30,1345,1355,1340,1346,35000,47155700
2013-09-27,1357,1358,1344,1353,18800,25406000
2013-09-26,1360,1367,1340,1356,39600,53500200
2013-09-25,1390,1390,1353,1360,78100,106847700
2013-09-24,1405,1405,1397,1399,14300,20026000
2013-09-20,1398,1409,1397,1407,17200,24114900
2013-09-19,1400,1405,1397,1405,16400,22980500
2013-09-18,1404,1407,1400,1400,12600,17677700
2013-09-17,1391,1420,1383,1396,64900,90801700
2013-09-13,1444,1480,1444,1480,29800,43298700
2013-09-12,1430,1443,1430,1443,10900,15664100
2013-09-11,1444,1453,1426,1430,13800,19900500
2013-09-10,1420,1449,1420,1442,14400,20723400
2013-09-09,1428,1429,1405,1424,18000,25530400
2013-09-06,1411,1419,1374,1393,18900,26311000
2013-09-05,1438,1457,1414,1421,22000,31543600
2013-09-04,1563,1563,1447,1457,107300,161112000
2013-09-03,1302,1350,1302,1343,18700,24783000
2013-09-02,1300,1305,1291,1299,8200,10651900
2013-08-30,1321,1321,1300,1300,14200,18551700
2013-08-29,1305,1325,1302,1321,6800,8930500
2013-08-28,1340,1340,1317,1322,12200,16151700
2013-08-27,1340,1349,1332,1341,7500,10063900
2013-08-26,1351,1355,1341,1346,7300,9844100
2013-08-23,1346,1353,1340,1350,12000,16161000
2013-08-22,1350,1350,1338,1345,12200,16395300
2013-08-21,1359,1364,1354,1355,9700,13182900
2013-08-20,1356,1370,1355,1364,11100,15153800
2013-08-19,1371,1378,1356,1358,14900,20349800
2013-08-16,1381,1381,1366,1368,13200,18082000
2013-08-15,1424,1424,1376,1379,18700,26233100
2013-08-14,1379,1409,1368,1409,20000,27716500
2013-08-13,1339,1365,1339,1365,12100,16325600
2013-08-12,1340,1349,1339,1343,12000,16114600
2013-08-09,1391,1392,1341,1347,30300,41335400
2013-08-08,1403,1414,1391,1392,18800,26298300
2013-08-07,1429,1429,1414,1414,18800,26737200
2013-08-06,1432,1440,1424,1439,17200,24628600
2013-08-05,1450,1456,1431,1437,19800,28575800
2013-08-02,1428,1452,1425,1452,32500,46812400
2013-08-01,1420,1425,1378,1425,45200,63387500
2013-07-31,1457,1463,1433,1435,29600,42990100
2013-07-30,1471,1471,1430,1462,53800,78270700
2013-07-29,1500,1521,1471,1496,173200,259602300
2013-07-26,1630,1630,1613,1621,117100,190076400
2013-07-25,1635,1636,1630,1631,64100,104628200
2013-07-24,1632,1637,1631,1635,35700,58322600
2013-07-23,1637,1639,1634,1635,36100,59093200
2013-07-22,1637,1638,1631,1637,41600,68035100
2013-07-19,1636,1639,1628,1631,52400,85588200
2013-07-18,1640,1640,1633,1636,29000,47478000
2013-07-17,1637,1639,1631,1634,32100,52507200
2013-07-16,1629,1636,1625,1631,40200,65559500
2013-07-12,1617,1626,1615,1622,28400,46019300
2013-07-11,1621,1629,1601,1617,40200,65064100
2013-07-10,1631,1634,1622,1624,42700,69531700
2013-07-09,1627,1639,1627,1631,43000,70140200
2013-07-08,1637,1641,1627,1627,69800,114134900
2013-07-05,1646,1654,1624,1641,96100,157506700
2013-07-04,1660,1677,1650,1653,64700,107473100
2013-07-03,1621,1658,1621,1657,82800,135477900
2013-07-02,1577,1610,1562,1610,69000,110100500
2013-07-01,1530,1552,1528,1550,48600,74906400
2013-06-28,1496,1515,1496,1515,42700,64295900
2013-06-27,1515,1515,1475,1495,30600,45718900
2013-06-26,1500,1530,1493,1494,48600,73220400
2013-06-25,1472,1497,1464,1497,34600,51066600
2013-06-24,1477,1477,1440,1462,29300,42816000
2013-06-21,1403,1422,1380,1422,22800,31888700
