3439-T,JQスタンダード,三ツ知,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1170,1170,1138,1138,3500,4030600
2014-06-26,1274,1274,1180,1190,14600,17942800
2014-06-25,1120,1139,1120,1139,1100,1237500
2014-06-24,1110,1120,1100,1120,1200,1331000
2014-06-23,1130,1130,1116,1116,400,449200
2014-06-20,1137,1138,1130,1130,700,794500
2014-06-19,1137,1137,1137,1137,200,227400
2014-06-18,1130,1130,1130,1130,300,339000
2014-06-17,-,-,-,-,0,0
2014-06-16,1139,1139,1137,1137,400,455200
2014-06-13,1086,1137,1086,1137,1300,1430400
2014-06-12,1135,1139,1135,1139,400,455200
2014-06-11,1095,1120,1095,1120,1100,1217900
2014-06-10,1090,1090,1090,1090,100,109000
2014-06-09,1118,1118,1092,1092,200,221000
2014-06-06,1099,1099,1099,1099,100,109900
2014-06-05,1101,1109,1090,1090,600,660000
2014-06-04,1119,1119,1102,1102,200,222100
2014-06-03,1061,1149,1061,1149,1000,1099300
2014-06-02,1075,1078,1070,1078,1500,1615200
2014-05-30,1080,1080,1070,1070,200,215000
2014-05-29,1050,1050,1041,1050,3100,3248200
2014-05-28,1055,1060,1051,1051,700,739600
2014-05-27,1040,1050,1040,1050,1500,1571100
2014-05-26,1035,1038,1031,1038,500,516800
2014-05-23,-,-,-,-,0,0
2014-05-22,-,-,-,-,0,0
2014-05-21,1010,1035,1010,1035,500,514100
2014-05-20,-,-,-,-,0,0
2014-05-19,1035,1035,1001,1035,1500,1539000
2014-05-16,1030,1030,1030,1030,500,515000
2014-05-15,1035,1035,1005,1035,300,307500
2014-05-14,1033,1033,1033,1033,100,103300
2014-05-13,1040,1040,990,996,2800,2883800
2014-05-12,1046,1046,1046,1046,200,209200
2014-05-09,-,-,-,-,0,0
2014-05-08,1026,1027,1026,1027,300,307900
2014-05-07,1033,1035,1007,1035,500,511900
2014-05-02,1038,1038,1026,1026,900,926200
2014-05-01,1036,1036,1036,1036,300,310800
2014-04-30,1036,1060,1035,1035,2100,2193300
2014-04-28,1029,1075,1024,1035,2900,3003400
2014-04-25,975,1010,975,1010,2500,2459300
2014-04-24,975,1005,975,1005,1500,1474800
2014-04-23,990,1005,990,1005,700,695200
2014-04-22,1045,1045,985,995,1400,1387600
2014-04-21,1055,1055,1019,1019,500,517800
2014-04-18,1015,1068,1011,1035,2600,2739600
2014-04-17,1000,1015,1000,1015,200,201500
2014-04-16,1000,1000,1000,1000,300,300000
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,978,988,978,988,500,491900
2014-04-10,988,988,988,988,100,98800
2014-04-09,1000,1000,962,962,1200,1166200
2014-04-08,-,-,-,-,0,0
2014-04-07,1000,1000,1000,1000,100,100000
2014-04-04,1001,1001,1000,1000,300,300100
2014-04-03,1001,1001,1001,1001,1100,1101100
2014-04-02,1000,1000,1000,1000,500,500000
2014-04-01,1005,1005,1000,1000,200,200500
2014-03-31,1000,1000,1000,1000,100,100000
2014-03-28,-,-,-,-,0,0
2014-03-27,975,985,975,985,300,293500
2014-03-26,999,1001,981,1000,1600,1596900
2014-03-25,1000,1002,980,980,500,498200
2014-03-24,1048,1048,1048,1048,200,209600
2014-03-20,990,990,970,970,300,295000
2014-03-19,-,-,-,-,0,0
2014-03-18,1003,1031,1003,1031,700,707600
2014-03-17,1024,1032,1024,1030,2000,2052500
2014-03-14,1075,1075,1060,1060,700,747400
2014-03-13,1090,1105,1080,1080,1500,1635500
2014-03-12,1094,1094,1094,1094,100,109400
2014-03-11,1084,1124,1084,1124,300,332200
2014-03-10,-,-,-,-,0,0
2014-03-07,1103,1110,1080,1110,4900,5410200
2014-03-06,1105,1105,1105,1105,100,110500
2014-03-05,1072,1099,1071,1099,600,648300
2014-03-04,-,-,-,-,0,0
2014-03-03,1158,1158,1071,1071,500,552700
2014-02-28,1150,1170,1119,1170,8200,9338000
