3440-F,福証Q-Board,日創プロ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1986,2005,1983,1984,11300,22472500
2014-06-26,1995,2010,1993,1996,6800,13606100
2014-06-25,2007,2010,1992,1999,11800,23588600
2014-06-24,2015,2017,1995,2015,20500,41064500
2014-06-23,2075,2075,2017,2028,11000,22394600
2014-06-20,2012,2100,1990,2075,29800,60722000
2014-06-19,1990,2008,1966,2000,13300,26443500
2014-06-18,2010,2012,1960,1987,39800,79024500
2014-06-17,2012,2015,1990,2008,31200,62414400
2014-06-16,2039,2060,2007,2008,13500,27284300
2014-06-13,2020,2068,1998,2068,95100,190882000
2014-06-12,2053,2084,2021,2070,7600,15693300
2014-06-11,2010,2070,2000,2053,21800,44169600
2014-06-10,2144,2144,2040,2045,23800,49458800
2014-06-09,2245,2246,2159,2180,21700,47312500
2014-06-06,2280,2280,2150,2200,39800,88330500
2014-06-05,2232,2323,2211,2298,22000,50443300
2014-06-04,2190,2296,2130,2262,19200,42291700
2014-06-03,2280,2304,2190,2230,37800,84775400
2014-06-02,2370,2380,2272,2325,21800,50534100
2014-05-30,2360,2377,2050,2326,39800,90010900
2014-05-29,2200,2340,2170,2310,53500,121825800
2014-05-28,2050,2143,2022,2142,49200,102453400
2014-05-27,2000,2005,1980,2000,45000,89885400
2014-05-26,1910,1995,1910,1975,29500,57803400
2014-05-23,1882,1897,1850,1897,15800,29704300
2014-05-22,1860,1884,1850,1884,14400,26870700
2014-05-21,1820,1869,1812,1860,15000,27576500
2014-05-20,1873,1873,1799,1859,14600,26708600
2014-05-19,1800,1870,1790,1848,29700,54282600
2014-05-16,1790,1805,1765,1805,16700,29698100
2014-05-15,1817,1817,1770,1790,11900,21344000
2014-05-14,1785,1800,1758,1800,12100,21471300
2014-05-13,1798,1798,1745,1760,11500,20235000
2014-05-12,1835,1835,1750,1769,17500,31233400
2014-05-09,1830,1850,1815,1824,31300,57318200
2014-05-08,1755,1799,1755,1799,6800,12005500
2014-05-07,1800,1800,1722,1795,8300,14811500
2014-05-02,1811,1815,1788,1813,9500,17084000
2014-05-01,1816,1830,1770,1826,25400,45982300
2014-04-30,1821,1834,1775,1805,10700,19349100
2014-04-28,1778,1818,1765,1800,14100,25271300
2014-04-25,1770,1829,1750,1818,31900,57700200
2014-04-24,1666,1791,1666,1770,45800,79295300
2014-04-23,1658,1735,1630,1677,34000,57091100
2014-04-22,1618,1618,1501,1578,10500,16309100
2014-04-21,1624,1625,1556,1620,4600,7357400
2014-04-18,1595,1626,1587,1606,4900,7874100
2014-04-17,1600,1615,1583,1607,4800,7657300
2014-04-16,1600,1645,1580,1593,7600,12154100
2014-04-15,1525,1620,1525,1604,20600,32245300
2014-04-14,1580,1589,1515,1523,19400,29988400
2014-04-11,1600,1625,1519,1601,32000,51012800
2014-04-10,1777,1779,1656,1720,17400,29877300
2014-04-09,1752,1785,1691,1779,25300,44115800
2014-04-08,1796,1850,1755,1835,19300,35003800
2014-04-07,1788,1810,1770,1800,8700,15614500
2014-04-04,1754,1835,1748,1805,16800,30047900
2014-04-03,1800,1822,1755,1755,9300,16667900
2014-04-02,1774,1840,1774,1822,19800,35803800
2014-04-01,1774,1778,1733,1772,9700,17082300
2014-03-31,1719,1793,1719,1774,9600,16853400
2014-03-28,1651,1712,1640,1710,7800,13033600
2014-03-27,1665,1669,1621,1659,9000,14823700
2014-03-26,1666,1701,1652,1665,12300,20605900
2014-03-25,1721,1724,1675,1699,9400,15975000
2014-03-24,1666,1710,1625,1681,12400,20847000
2014-03-20,1709,1711,1590,1700,55600,91390200
2014-03-19,1800,1865,1737,1749,23600,42075400
2014-03-18,1940,2044,1801,1811,136800,264573700
2014-03-17,1900,1900,1900,1900,36800,69920000
2014-03-14,1599,1619,1400,1500,82300,123009300
2014-03-13,1686,1700,1640,1641,15300,25410700
2014-03-12,1668,1742,1626,1726,22800,38399600
2014-03-11,1810,1810,1700,1712,35700,61866100
2014-03-10,1900,1900,1790,1833,42100,77835100
2014-03-07,1905,1928,1880,1910,29700,56405600
2014-03-06,1891,1928,1890,1928,25600,49006400
2014-03-05,1895,1916,1878,1905,23200,43975400
2014-03-04,1915,1939,1840,1900,48300,91429200
2014-03-03,1810,1980,1810,1886,116500,220955000
2014-02-28,1600,1790,1590,1780,75900,129309900
2014-02-27,1600,1600,1564,1600,22900,36370000
2014-02-26,1569,1600,1557,1598,15800,24965400
2014-02-25,1527,1650,1515,1600,60300,95425900
2014-02-24,1399,1409,1383,1407,11900,16585000
2014-02-21,1398,1429,1386,1401,20800,29174300
2014-02-20,1420,1431,1360,1428,23100,32367200
2014-02-19,1464,1490,1425,1450,8900,12897000
2014-02-18,1467,1495,1405,1494,28400,40951000
2014-02-17,1540,1540,1420,1497,15000,22343200
2014-02-14,1600,1625,1470,1550,17600,26996700
2014-02-13,1608,1675,1565,1600,29300,47755300
2014-02-12,1574,1599,1503,1599,27800,43265300
2014-02-10,1521,1618,1440,1500,29500,44648400
2014-02-07,1291,1520,1267,1520,63000,88469700
2014-02-06,1191,1220,1135,1220,39900,46655300
2014-02-05,1300,1305,1150,1220,40200,49044200
2014-02-04,1258,1309,1170,1188,109200,132258700
2014-02-03,1576,1640,1460,1470,33600,51802500
2014-01-31,1675,1700,1632,1656,17800,29423800
2014-01-30,1717,1717,1635,1697,23300,38950500
2014-01-29,1730,1743,1680,1743,22100,37607400
2014-01-28,1750,1755,1670,1732,21500,36890200
2014-01-27,1740,1752,1689,1750,34700,59997200
2014-01-24,1788,1807,1760,1806,17200,30787600
2014-01-23,1750,1803,1740,1803,38400,68354100
2014-01-22,1727,1749,1708,1740,27400,47170100
2014-01-21,1697,1714,1691,1707,23400,39776700
2014-01-20,1715,1718,1678,1715,30600,51899600
2014-01-17,1700,1720,1660,1718,28400,48092000
2014-01-16,1810,1810,1683,1709,68400,120012100
2014-01-15,1840,1842,1765,1820,53400,96880900
2014-01-14,1750,1765,1635,1720,43100,73728600
2014-01-10,1778,1855,1765,1770,34800,62545200
2014-01-09,1820,1860,1765,1770,42700,76273700
2014-01-08,1910,1970,1748,1836,89900,168593100
2014-01-07,1680,1900,1680,1872,96900,177313800
2014-01-06,1610,1707,1603,1707,47100,78518500
2013-12-30,1511,1635,1511,1613,48400,75403700
2013-12-27,1565,1586,1520,1570,43900,68080900
2013-12-26,1570,1597,1520,1572,46100,71721600
2013-12-25,1550,1640,1540,1580,76500,121574100
2013-12-24,1798,1798,1532,1550,182300,303389700
2013-12-20,1490,1808,1471,1800,175900,286174000
2013-12-19,1650,1680,1520,1529,172100,270041700
2013-12-18,1707,1735,1655,1675,96800,163098100
2013-12-17,1875,1890,1712,1750,115000,209910700
2013-12-16,1929,1969,1705,1827,207500,385359800
2013-12-13,2134,2195,2006,2019,84400,175863600
2013-12-12,2160,2175,2116,2135,46100,98477000
2013-12-11,2375,2380,2115,2200,95400,214185800
2013-12-10,2533,2533,2385,2429,126500,307825200
2013-12-09,2600,2625,2533,2533,33800,87075900
2013-12-06,2653,2695,2600,2695,24800,65447200
2013-12-05,2652,2720,2630,2685,29400,78976300
2013-12-04,2580,2745,2578,2652,34200,90674200
2013-12-03,2690,2700,2580,2589,40200,106119100
2013-12-02,2680,2740,2665,2700,35100,94594600
2013-11-29,2750,2800,2702,2780,49400,134399600
2013-11-28,2925,2930,2751,2762,36700,103838300
2013-11-27,2850,2947,2710,2885,43700,125335200
2013-11-26,11740,11930,11640,11680,10200,120346000
2013-11-25,11500,11960,11420,11740,6400,74781000
2013-11-22,11400,12000,11340,11500,13100,153267000
2013-11-21,11140,11360,11000,11320,4500,50524000
2013-11-20,11230,11230,10930,10930,2400,26469000
2013-11-19,10930,11200,10610,11050,4800,52336000
2013-11-18,11680,11770,11050,11230,12700,144412000
2013-11-15,11750,12450,11720,11830,25000,301418000
2013-11-14,11280,11540,11280,11530,6000,68492000
2013-11-13,10960,11250,10960,11250,2900,32242000
2013-11-12,11190,11220,10810,11150,4700,52247000
2013-11-11,11500,11650,10450,11000,15400,171403000
2013-11-08,10060,11270,9990,11260,16400,174820000
2013-11-07,10030,10300,10020,10130,2700,27402000
2013-11-06,10390,10400,10190,10300,2800,28868000
2013-11-05,10060,10430,9920,10430,8000,80612000
2013-11-01,10610,10620,10090,10110,18600,191967000
2013-10-31,11010,11250,10870,10960,3600,39678000
2013-10-30,11310,11310,10910,11150,10900,120860000
2013-10-29,11300,11400,11300,11310,3900,44158000
2013-10-28,11640,11650,11280,11470,12700,145365000
2013-10-25,11520,11650,11470,11530,4200,48405000
2013-10-24,11600,11820,11420,11650,7000,81009000
2013-10-23,11830,11830,11600,11600,8300,97087000
2013-10-22,12000,12000,11780,11820,6700,79405000
2013-10-21,12000,12070,11720,12030,9800,117087000
2013-10-18,11560,12020,11380,12020,13500,157475000
2013-10-17,11750,11750,11350,11650,7800,89542000
2013-10-16,11310,11880,11130,11530,21400,243417000
2013-10-15,12390,12490,11750,11900,35200,428397000
2013-10-11,11880,12020,11310,11790,10600,123790000
2013-10-10,11130,11580,11120,11580,8100,92512000
2013-10-09,10850,11400,10500,11200,14300,154607000
2013-10-08,10810,11200,10600,10940,15100,163746000
2013-10-07,11820,11840,11410,11410,7100,83164000
2013-10-04,11630,11850,11620,11850,4300,50434000
2013-10-03,12070,12200,11730,11860,9300,110750000
2013-10-02,11570,12150,11350,12100,13400,157486000
2013-10-01,11100,11880,10960,11570,11800,133764000
2013-09-30,11370,11400,11080,11100,11000,123221000
2013-09-27,11800,12050,11560,11600,9700,114094000
2013-09-26,11500,12130,11230,11860,6000,69331000
2013-09-25,11630,11700,11400,11690,13700,158022000
2013-09-24,11800,11850,11710,11740,8300,97820000
2013-09-20,12030,12260,11590,12200,14600,173303000
2013-09-19,12310,12450,11980,12150,15700,190923000
2013-09-18,12850,12920,12130,12540,20100,250727000
2013-09-17,13300,13490,12760,12990,27100,354513000
2013-09-13,12140,13450,12020,12920,40200,500565000
2013-09-12,12000,12200,11930,12150,10800,130792000
2013-09-11,12000,12100,11840,12100,11200,134475000
2013-09-10,11870,12100,11850,12100,11700,139955000
2013-09-09,12050,12100,11700,11870,12400,147607000
2013-09-06,12050,12050,11720,12020,7600,90606000
2013-09-05,11850,12100,11660,12080,15900,190668000
2013-09-04,11710,11730,11570,11690,6200,72362000
2013-09-03,11890,11980,11650,11760,8000,94618000
2013-09-02,11990,12020,11730,11890,9000,107122000
2013-08-30,11700,11970,11640,11970,13300,156488000
2013-08-29,11900,12040,11600,12000,16200,192012000
2013-08-28,11000,12000,10880,12000,15900,182404000
2013-08-27,11800,12380,11330,11520,32500,382839000
2013-08-26,10730,10730,10110,10300,9700,100206000
2013-08-23,10770,11000,10600,10850,9700,104062000
2013-08-22,10800,10900,10610,10660,4900,52530000
2013-08-21,11050,11300,10750,10910,7400,81128000
2013-08-20,11000,11430,10630,11430,13900,154031000
2013-08-19,10020,10450,10020,10130,6100,62165000
2013-08-16,9900,10150,9900,10000,7200,71881000
2013-08-15,10300,10450,10100,10200,5400,55382000
2013-08-14,10720,10880,10350,10600,7600,80522000
2013-08-13,10550,10550,9800,10550,16500,167488000
2013-08-12,11300,11350,10580,10700,9600,104547000
2013-08-09,11240,11840,10800,11570,6900,77495000
2013-08-08,11000,11300,10820,10930,6100,67022000
2013-08-07,11600,11600,11200,11200,13000,147876000
2013-08-06,11700,11950,11320,11840,15600,181824000
2013-08-05,11990,12600,11990,12300,3200,39585000
2013-08-02,11550,12360,11370,12200,8500,101391000
2013-08-01,11450,11950,10800,11850,15900,179900000
2013-07-31,12150,12350,11930,11930,7800,94056000
2013-07-30,11950,12770,11950,12340,20200,245988000
2013-07-29,14150,14180,12510,12820,17100,225525000
2013-07-26,14120,14200,13800,14150,9400,131204000
2013-07-25,14500,14500,14020,14190,6500,92500000
2013-07-24,14190,14860,13730,14330,13700,198445000
2013-07-23,13800,14300,13430,14190,19500,272116000
2013-07-22,12990,13300,12500,13270,11000,141175000
2013-07-19,13000,13500,12260,12900,26500,336730000
2013-07-18,12450,14100,12110,13300,23500,306110000
2013-07-17,13700,13830,12880,13050,15800,211025000
2013-07-16,14600,14780,13200,14300,22000,309303000
2013-07-12,15600,15600,14620,15050,16300,243536000
2013-07-11,14200,15820,13790,15700,16600,253903000
2013-07-10,14590,15990,13500,14250,39300,577715000
2013-07-09,17250,17500,16030,17290,22800,386381000
2013-07-08,17500,18170,17020,17840,30100,528572000
2013-07-05,15000,16900,15000,16740,29100,465331000
2013-07-04,14200,14900,14150,14900,11500,168611000
2013-07-03,14610,14930,13800,14770,20000,289215000
2013-07-02,13200,14150,13110,14010,22800,310743000
2013-07-01,12500,12850,12190,12800,15800,197645000
2013-06-28,12000,12700,11900,12300,12400,152135000
2013-06-27,11700,12000,9500,11600,24700,266698000
2013-06-26,12100,12740,11300,11700,16600,199053000
2013-06-25,12590,12590,11650,12300,17000,205845000
2013-06-24,12790,13300,12550,12800,9200,117793000
2013-06-21,12480,13300,12020,13020,19100,240422000
