3648-T,東証1部,AGS,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,868,868,816,829,10100,8466000
2014-06-26,865,868,857,863,19500,16858900
2014-06-25,850,860,841,849,8000,6789300
2014-06-24,855,860,844,850,6400,5426800
2014-06-23,863,867,841,858,8200,7025800
2014-06-20,870,874,856,859,7200,6195400
2014-06-19,879,884,858,864,11600,10086400
2014-06-18,835,879,834,865,22100,18959000
2014-06-17,830,848,829,835,8600,7193000
2014-06-16,830,839,825,829,7900,6552700
2014-06-13,850,850,830,840,9800,8283000
2014-06-12,830,837,825,834,6800,5647300
2014-06-11,829,919,823,839,58800,50442000
2014-06-10,847,847,828,839,9500,7914800
2014-06-09,835,840,830,832,6400,5335500
2014-06-06,849,849,832,836,3000,2510500
2014-06-05,850,850,832,832,6500,5497900
2014-06-04,825,837,822,837,6400,5309900
2014-06-03,840,848,821,821,9700,8119900
2014-06-02,815,840,815,839,15400,12799300
2014-05-30,804,814,804,814,6600,5340500
2014-05-29,812,813,799,808,4800,3876600
2014-05-28,795,814,795,811,8500,6834100
2014-05-27,815,815,797,799,6600,5313200
2014-05-26,842,851,811,814,26600,22305600
2014-05-23,784,827,780,825,13900,11145900
2014-05-22,779,781,755,770,8100,6224900
2014-05-21,776,782,752,757,14100,10801200
2014-05-20,780,790,762,778,17500,13589400
2014-05-19,800,801,766,798,16000,12650100
2014-05-16,834,834,807,809,19400,15850800
2014-05-15,862,868,830,834,34800,29561300
2014-05-14,887,921,861,897,44500,39284600
2014-05-13,918,1032,903,932,228700,226778500
2014-05-12,874,903,860,882,29200,25816800
2014-05-09,860,888,844,883,39700,34366400
2014-05-08,852,852,821,830,17900,14870400
2014-05-07,864,873,852,852,32700,28178500
2014-05-02,830,848,812,848,23700,19852600
2014-05-01,838,878,820,831,70900,59832600
2014-04-30,771,898,771,898,243600,209085400
2014-04-28,812,889,748,748,160200,135129600
2014-04-25,811,818,803,815,39900,32332400
2014-04-24,827,828,806,811,18300,14957500
2014-04-23,811,830,811,821,12400,10169800
2014-04-22,829,829,809,817,10000,8188100
2014-04-21,830,830,807,830,14900,12227800
2014-04-18,839,849,832,839,17200,14487500
2014-04-17,833,839,825,839,19500,16245100
2014-04-16,830,830,802,821,16300,13425700
2014-04-15,805,829,771,829,47800,38676600
2014-04-14,792,811,785,805,39300,31523600
2014-04-11,802,813,770,790,65100,51808100
2014-04-10,800,807,777,802,42300,33904700
2014-04-09,790,792,770,776,29300,22858800
2014-04-08,789,794,772,775,19800,15540700
2014-04-07,774,780,774,780,6800,5280700
2014-04-04,783,784,766,772,8900,6865500
2014-04-03,794,794,780,781,8200,6465400
2014-04-02,798,800,780,784,10400,8252800
2014-04-01,800,800,782,788,16000,12744400
2014-03-31,773,798,763,798,19600,15186100
2014-03-28,763,765,752,765,8800,6687200
2014-03-27,726,760,718,760,20700,15192700
2014-03-26,760,760,748,750,23700,17879200
2014-03-25,743,750,742,750,11300,8432600
2014-03-24,742,745,739,743,10400,7714100
2014-03-20,748,754,744,744,7100,5314000
2014-03-19,765,765,740,748,15000,11245700
2014-03-18,769,769,750,768,10600,8076800
2014-03-17,763,765,752,752,12200,9268500
2014-03-14,785,790,760,777,14300,11110300
2014-03-13,800,800,791,798,6900,5493900
2014-03-12,800,800,796,798,12300,9824100
