3653-T,東証マザーズ,モルフォ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3200,3220,2950,2993,126000,382898100
2014-06-26,3265,3330,3165,3200,50200,161768000
2014-06-25,3395,3520,3255,3265,163000,554478500
2014-06-24,3195,3360,3170,3300,87400,286386500
2014-06-23,3145,3245,3100,3245,101900,325549000
2014-06-20,3245,3275,3125,3125,172700,551613000
2014-06-19,3355,3580,3280,3385,497200,1696930000
2014-06-18,3165,3180,3075,3125,158200,492865000
2014-06-17,3295,3375,3085,3195,204500,654739000
2014-06-16,3500,3620,3170,3295,326600,1105256000
2014-06-13,3790,3895,3610,3770,154100,573836500
2014-06-12,3700,4055,3660,3860,289700,1130723500
2014-06-11,3790,3840,3620,3795,241000,897429000
2014-06-10,3800,4190,3780,3850,630000,2495982500
2014-06-09,3330,3945,3215,3760,483200,1778157000
2014-06-06,3400,3525,3235,3310,313700,1053151500
2014-06-05,3090,3470,3040,3470,632200,2094752500
2014-06-04,2821,2969,2750,2969,149800,429838000
2014-06-03,2690,2898,2651,2846,181300,507463000
2014-06-02,2658,2684,2576,2684,51600,135418600
2014-05-30,2737,2761,2478,2608,73800,195299700
2014-05-29,2677,2818,2662,2694,61600,167178500
2014-05-28,2723,2753,2642,2727,54300,146361100
2014-05-27,2800,2819,2710,2723,67000,184894300
2014-05-26,2851,2895,2705,2843,157300,440122700
2014-05-23,2740,2820,2653,2807,183200,503310500
2014-05-22,2577,2838,2515,2715,389100,1051065600
2014-05-21,2227,2752,2208,2402,335700,849826300
2014-05-20,2365,2438,2227,2252,83400,191561400
2014-05-19,2520,2760,2372,2380,249400,641110000
2014-05-16,2355,2585,2350,2420,64500,159073700
2014-05-15,2450,2515,2359,2435,87000,210643500
2014-05-14,2194,2630,2190,2524,254700,630455400
2014-05-13,2109,2200,2074,2144,28100,60106700
2014-05-12,2000,2239,2000,2072,68700,144812700
2014-05-09,2011,2015,1976,1980,12500,24928000
2014-05-08,1955,2065,1950,2015,38500,76671700
2014-05-07,2031,2050,1949,1950,28900,57208200
2014-05-02,2138,2160,2034,2034,23300,48999300
2014-05-01,1980,2060,1955,2038,16000,32265600
2014-04-30,1994,2025,1953,1990,16200,32367800
2014-04-28,2000,2020,1905,1992,33900,66795300
2014-04-25,2049,2077,1910,1996,22600,45262000
2014-04-24,2070,2072,2022,2026,13300,27245800
2014-04-23,2065,2099,2050,2092,12600,26059500
2014-04-22,2145,2200,2053,2054,20100,42679600
2014-04-21,2157,2199,2130,2145,29600,64004900
2014-04-18,2143,2236,2113,2167,37400,80606000
2014-04-17,2270,2309,2122,2145,38000,83461600
2014-04-16,2028,2254,2028,2223,55900,121023200
2014-04-15,2149,2193,2025,2056,51400,107090300
2014-04-14,2106,2231,2106,2148,22900,49380500
2014-04-11,2110,2243,2050,2156,83300,177412000
2014-04-10,2505,2506,2268,2310,43900,105393500
2014-04-09,2465,2590,2423,2460,23600,58391300
2014-04-08,2529,2561,2459,2465,29100,72802800
2014-04-07,2540,2590,2420,2524,46000,115617100
2014-04-04,2652,2669,2602,2630,26800,70297500
