3655-T,東証1部,ブレインP,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1416,1418,1357,1407,16600,23041700
2014-06-26,1445,1445,1388,1394,14900,20889600
2014-06-25,1455,1455,1410,1415,15400,21953100
2014-06-24,1450,1467,1420,1428,22700,32596900
2014-06-23,1480,1488,1450,1453,15900,23305800
2014-06-20,1507,1510,1441,1450,38000,55741300
2014-06-19,1517,1534,1501,1509,15700,23817100
2014-06-18,1530,1534,1500,1517,21700,32834400
2014-06-17,1502,1507,1456,1500,39300,58695900
2014-06-16,1509,1514,1499,1500,23100,34705900
2014-06-13,1478,1520,1455,1518,31300,46598200
2014-06-12,1500,1508,1490,1501,24900,37370300
2014-06-11,1510,1518,1422,1504,69300,103546900
2014-06-10,1460,1532,1410,1502,71500,106772100
2014-06-09,1390,1485,1362,1457,60000,86007400
2014-06-06,1327,1349,1321,1348,18600,24868400
2014-06-05,1350,1352,1326,1337,14700,19631000
2014-06-04,1340,1360,1331,1336,27200,36633600
2014-06-03,1360,1375,1321,1340,28800,38683400
2014-06-02,1350,1360,1322,1340,39500,53004000
2014-05-30,1329,1339,1278,1296,42200,55018100
2014-05-29,1280,1319,1277,1310,20000,25982700
2014-05-28,1300,1300,1272,1277,36900,47467000
2014-05-27,1345,1345,1261,1261,36100,47389800
2014-05-26,1355,1380,1300,1315,68600,91460300
2014-05-23,1220,1358,1220,1335,71400,92553300
2014-05-22,1180,1223,1166,1202,68700,82046000
2014-05-21,1253,1253,1137,1166,135700,159593500
2014-05-20,1340,1366,1250,1258,67600,87220900
2014-05-19,1390,1432,1390,1400,10800,15183000
2014-05-16,1403,1410,1370,1385,13100,18250200
2014-05-15,1436,1446,1420,1438,7600,10905900
2014-05-14,1485,1509,1424,1436,42800,62458000
2014-05-13,1520,1545,1510,1511,12300,18757500
2014-05-12,1580,1583,1527,1532,16900,26372900
2014-05-09,1552,1588,1540,1580,24400,38357000
2014-05-08,1547,1577,1515,1573,28300,44161800
2014-05-07,1550,1560,1516,1520,5000,7694500
2014-05-02,1569,1580,1536,1576,13300,20741700
2014-05-01,1570,1579,1510,1566,17500,27412900
2014-04-30,1580,1580,1536,1546,10600,16433600
2014-04-28,1509,1580,1490,1580,23600,36496300
2014-04-25,1512,1546,1469,1530,22100,33711800
2014-04-24,1529,1529,1470,1479,14900,22228400
2014-04-23,1477,1520,1477,1493,6400,9551600
2014-04-22,1540,1540,1470,1475,17300,25895300
2014-04-21,1568,1572,1499,1511,13100,20076000
2014-04-18,1515,1537,1515,1528,16800,25635200
2014-04-17,1600,1640,1500,1529,82700,132101700
2014-04-16,1484,1546,1484,1538,21000,31926500
2014-04-15,1461,1504,1455,1455,17500,25659400
2014-04-14,1483,1550,1451,1463,21200,31185300
2014-04-11,1420,1495,1385,1453,35300,50649500
2014-04-10,1480,1550,1443,1451,48100,71870000
2014-04-09,1456,1485,1422,1424,19300,27827900
2014-04-08,1520,1545,1454,1456,47100,69995100
2014-04-07,1547,1576,1530,1545,11500,17807600
2014-04-04,1581,1630,1581,1587,33100,53208400
2014-04-03,1640,1648,1571,1579,64600,103314000
2014-04-02,1700,1700,1646,1662,42400,70873100
2014-04-01,1667,1715,1652,1702,67600,114273000
2014-03-31,1564,1720,1562,1688,169600,281010400
2014-03-28,1433,1629,1430,1524,146000,218687900
2014-03-27,1371,1464,1353,1418,32400,45484500
2014-03-26,1404,1428,1383,1411,36700,51588200
2014-03-25,1387,1425,1358,1365,54000,74694600
2014-03-24,1371,1471,1371,1431,26600,37988300
2014-03-20,1440,1469,1360,1370,69200,96770300
2014-03-19,1521,1541,1432,1439,54600,80933700
2014-03-18,1558,1568,1488,1521,32400,49656300
2014-03-17,1630,1634,1470,1488,79600,124270900
2014-03-14,1636,1705,1620,1670,57200,95226900
2014-03-13,1704,1733,1680,1686,43200,73374800
2014-03-12,1700,1719,1663,1701,68500,116028000
2014-03-11,1728,1794,1721,1759,80900,141732600
2014-03-10,1649,1787,1602,1768,114300,194703900
2014-03-07,1650,1766,1650,1660,130800,223176400
2014-03-06,1655,1725,1595,1644,145800,241322800
2014-03-05,1555,1660,1528,1646,184100,296591500
2014-03-04,1478,1499,1468,1485,30300,44986100
2014-03-03,1497,1534,1400,1512,76700,111973800
2014-02-28,1492,1508,1476,1489,39300,58781900
2014-02-27,1459,1521,1451,1497,32400,48411900
2014-02-26,1505,1513,1437,1474,98600,145264900
2014-02-25,1599,1599,1502,1543,85600,133665900
2014-02-24,1480,1576,1452,1570,116400,174806800
2014-02-21,1349,1445,1336,1419,82900,116824100
2014-02-20,1268,1349,1268,1333,34900,45755200
2014-02-19,1258,1324,1258,1288,34000,43820500
2014-02-18,1222,1278,1201,1258,27300,33796200
2014-02-17,1215,1263,1183,1231,20800,25613700
2014-02-14,1250,1298,1203,1213,45600,56682100
2014-02-13,1236,1298,1139,1261,117200,143216900
2014-02-12,1372,1375,1284,1296,58400,76972200
2014-02-10,1319,1360,1282,1312,49500,65430900
2014-02-07,1256,1327,1251,1263,50200,63898600
2014-02-06,1189,1301,1187,1231,60000,74184200
2014-02-05,1205,1270,1107,1168,104500,124634000
2014-02-04,1090,1247,1090,1192,92300,107462100
2014-02-03,1401,1401,1270,1300,89800,119719700
2014-01-31,1456,1531,1437,1450,54700,80564400
2014-01-30,1540,1540,1462,1479,49900,73928000
2014-01-29,1539,1555,1523,1546,43900,67900200
2014-01-28,1559,1563,1490,1493,56900,87066400
2014-01-27,1542,1599,1542,1557,57300,89466000
2014-01-24,1586,1646,1586,1620,41200,66471800
2014-01-23,1649,1685,1610,1621,109700,179670800
2014-01-22,1790,1800,1673,1689,207700,361104200
2014-01-21,1606,1619,1594,1605,29400,47159500
2014-01-20,1632,1639,1603,1618,17000,27536800
2014-01-17,1619,1633,1583,1633,14500,23384200
2014-01-16,1640,1668,1581,1590,41800,67392400
2014-01-15,1621,1656,1615,1628,29700,48345700
2014-01-14,1610,1628,1570,1615,73100,117318000
2014-01-10,1670,1718,1612,1662,105000,173745900
2014-01-09,1611,1949,1581,1718,481500,848299800
2014-01-08,1636,1648,1608,1640,30800,50120700
2014-01-07,1625,1627,1581,1625,44700,71574600
2014-01-06,1671,1691,1618,1633,58600,96450500
2013-12-30,1555,1678,1526,1666,136600,220185900
2013-12-27,1484,1520,1481,1520,40200,60435300
2013-12-26,1469,1510,1440,1479,78400,115127500
2013-12-25,1444,1488,1437,1469,63100,92064800
2013-12-24,1510,1519,1437,1444,75400,110656200
2013-12-20,1509,1519,1481,1510,45000,67428400
2013-12-19,1555,1578,1514,1519,48400,74319700
2013-12-18,1561,1599,1540,1546,37200,58186200
2013-12-17,1572,1620,1550,1584,60500,95683000
2013-12-16,1689,1689,1479,1533,97700,154099300
2013-12-13,1736,1736,1652,1669,87800,148748300
2013-12-12,1726,1769,1681,1761,88700,152386100
2013-12-11,1824,1893,1734,1757,126100,227866900
2013-12-10,1800,1810,1712,1799,104100,185403800
2013-12-09,1901,1902,1791,1825,116200,213935000
2013-12-06,1798,1925,1731,1849,242300,444491600
2013-12-05,1725,1795,1690,1747,135000,235813200
2013-12-04,1686,1720,1631,1712,66300,111216900
2013-12-03,1724,1725,1642,1687,97500,163989200
2013-12-02,1736,1800,1716,1724,89300,155766500
2013-11-29,1860,1953,1711,1763,614100,1117276800
2013-11-28,1581,1790,1505,1780,351800,581441900
2013-11-27,1615,1642,1533,1541,201200,318708000
2013-11-26,1590,1701,1555,1626,177100,288707500
2013-11-25,1607,1633,1550,1557,116100,183306200
2013-11-22,1723,1743,1610,1623,201400,337523900
2013-11-21,1735,1770,1654,1686,362000,615194200
2013-11-20,1851,2030,1749,1805,1231600,2332559300
2013-11-19,1973,1973,1788,1819,1438900,2729322100
2013-11-18,1573,1573,1573,1573,94400,148491200
2013-11-15,1250,1276,1246,1273,40000,50547300
2013-11-14,1216,1256,1216,1243,26500,32901800
2013-11-13,1152,1238,1152,1233,38800,46247600
2013-11-12,1209,1241,1190,1241,20200,24558200
2013-11-11,1200,1217,1185,1190,16600,19982300
2013-11-08,1215,1215,1178,1201,34300,40945000
2013-11-07,1222,1242,1212,1219,29000,35394200
2013-11-06,1230,1230,1217,1222,17300,21178100
2013-11-05,1200,1238,1200,1212,20500,24926300
2013-11-01,1244,1245,1150,1206,48700,58161500
2013-10-31,1233,1273,1230,1238,19200,23851200
2013-10-30,1244,1258,1230,1245,35600,44306900
2013-10-29,1260,1279,1244,1244,21900,27515200
2013-10-28,1258,1288,1252,1270,18300,23213400
2013-10-25,1275,1275,1239,1255,23400,29332400
2013-10-24,1231,1270,1230,1268,17700,22164700
2013-10-23,1282,1290,1237,1240,41100,52005800
2013-10-22,1285,1288,1268,1281,23900,30551400
2013-10-21,1240,1282,1230,1279,41400,52009000
2013-10-18,1258,1259,1220,1233,28400,35254700
2013-10-17,1257,1269,1246,1255,33000,41439000
2013-10-16,1253,1285,1234,1239,33000,41279300
2013-10-15,1248,1285,1239,1253,60200,75563600
2013-10-11,1231,1267,1201,1209,51300,62784500
2013-10-10,1285,1390,1181,1218,286700,364060000
2013-10-09,1121,1400,1106,1236,239000,309300600
2013-10-08,1120,1127,1097,1114,45600,50767000
2013-10-07,1215,1220,1123,1141,43300,50275300
2013-10-04,1232,1250,1208,1233,49900,61233100
2013-10-03,1250,1267,1250,1254,20800,26116700
2013-10-02,1328,1328,1264,1271,29700,38208400
2013-10-01,1310,1362,1292,1302,43000,56871000
2013-09-30,1340,1344,1303,1317,30400,40189100
2013-09-27,1315,1360,1315,1357,26100,35071800
2013-09-26,1305,1340,1280,1334,23900,31361200
2013-09-25,1358,1371,1280,1307,50000,66651800
2013-09-24,1297,1339,1286,1339,23600,30973800
2013-09-20,1301,1301,1261,1300,33100,42616200
2013-09-19,1308,1317,1279,1300,27000,35030000
2013-09-18,1230,1343,1230,1297,81800,106046600
2013-09-17,1238,1250,1218,1225,49500,61011500
2013-09-13,1212,1252,1212,1245,48100,59324300
2013-09-12,1260,1261,1216,1229,37200,45669000
2013-09-11,1306,1306,1216,1277,52200,65759800
2013-09-10,1300,1312,1260,1305,26500,34479400
2013-09-09,1295,1306,1256,1291,36800,47073300
2013-09-06,1380,1393,1260,1283,89700,115744600
2013-09-05,1410,1410,1361,1380,34000,47160200
2013-09-04,1340,1415,1340,1377,65200,90081800
2013-09-03,1360,1382,1321,1349,40900,55337900
2013-09-02,1285,1419,1280,1360,89700,121429000
2013-08-30,1387,1499,1300,1305,260200,361050100
2013-08-29,1171,1480,1166,1357,424200,576558800
2013-08-28,1205,1274,1173,1187,99700,120602000
2013-08-27,1282,1309,1270,1289,59900,76668900
2013-08-26,1205,1317,1189,1312,134200,168066300
2013-08-23,1199,1310,1180,1227,245200,304785100
2013-08-22,1170,1176,1087,1139,98400,111214100
2013-08-21,1230,1249,1170,1176,69300,83335600
2013-08-20,1264,1294,1207,1220,78300,97901800
2013-08-19,1280,1300,1249,1294,47700,60666700
2013-08-16,1300,1300,1237,1254,78300,98864500
2013-08-15,1359,1359,1266,1280,67000,86822800
2013-08-14,1400,1408,1320,1331,57900,78541700
2013-08-13,1350,1378,1329,1354,74500,100539600
2013-08-12,1476,1560,1281,1388,114100,161161300
2013-08-09,1534,1576,1451,1476,50300,75404800
2013-08-08,1586,1619,1526,1550,38300,60547100
2013-08-07,1632,1710,1578,1589,37200,60803400
2013-08-06,1628,1639,1580,1631,21100,33948800
2013-08-05,1615,1665,1568,1628,40800,66134200
2013-08-02,1592,1676,1592,1615,34000,55541300
2013-08-01,1550,1598,1477,1577,62300,96006700
2013-07-31,1723,1723,1590,1594,85700,139191100
2013-07-30,1681,1746,1681,1700,53500,91796300
2013-07-29,1780,1780,1650,1699,102800,175226100
2013-07-26,1833,1854,1800,1822,49600,90268800
2013-07-25,1925,1949,1830,1857,149700,283023700
2013-07-24,1713,1900,1713,1813,118000,216781200
2013-07-23,1721,1745,1694,1714,33100,56703700
2013-07-22,1786,1829,1675,1720,92400,159854500
2013-07-19,1812,1874,1625,1776,149200,261707500
2013-07-18,1775,1845,1751,1807,158000,283247100
2013-07-17,1768,2068,1750,1855,762000,1473343800
2013-07-16,1651,1721,1651,1668,61400,103120500
2013-07-12,1744,1751,1615,1651,120500,201614100
2013-07-11,1757,1788,1721,1738,124500,217894600
2013-07-10,1898,2030,1750,1837,176200,336421900
2013-07-09,1690,1931,1644,1928,142100,251981700
2013-07-08,1610,1784,1580,1643,123400,210000600
2013-07-05,1644,1645,1580,1604,36200,58259700
2013-07-04,1559,1594,1531,1594,29600,46057800
2013-07-03,1610,1630,1570,1585,34900,55702600
2013-07-02,1626,1677,1576,1612,102100,166463500
2013-07-01,1507,1630,1503,1611,120800,190121300
2013-06-28,1400,1496,1385,1466,79400,115952400
2013-06-27,1300,1397,1264,1388,74400,98897100
2013-06-26,1334,1340,1260,1290,122900,161152000
