3672-T,東証1部,オルトプラス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1458,1458,1340,1366,153100,210436000
2014-06-26,1479,1485,1428,1438,91600,132433400
2014-06-25,1510,1520,1465,1474,56500,84175400
2014-06-24,1484,1564,1459,1510,146200,223803900
2014-06-23,1469,1527,1453,1486,108000,161772800
2014-06-20,1531,1540,1470,1485,121900,182215300
2014-06-19,1574,1578,1512,1531,139600,214922300
2014-06-18,1588,1590,1545,1573,135600,213514700
2014-06-17,1570,1594,1533,1551,147700,230493900
2014-06-16,1538,1597,1500,1564,332000,517216000
2014-06-13,1444,1513,1424,1502,153700,228918500
2014-06-12,1412,1459,1390,1439,67300,96261100
2014-06-11,1467,1478,1415,1436,71000,102996600
2014-06-10,1520,1530,1433,1458,147400,216258700
2014-06-09,1468,1538,1451,1510,183800,276217500
2014-06-06,1453,1500,1402,1447,135800,195529700
2014-06-05,1495,1505,1390,1441,182200,263442400
2014-06-04,1510,1550,1450,1480,444500,668379700
2014-06-03,1398,1415,1334,1390,178700,246748600
2014-06-02,1427,1444,1367,1387,331400,463688900
2014-05-30,1380,1530,1342,1418,696800,987141700
2014-05-29,1228,1310,1208,1292,203600,259553100
2014-05-28,1198,1247,1181,1230,140400,171303500
2014-05-27,1255,1285,1185,1198,207000,255437600
2014-05-26,1198,1278,1172,1256,327500,403905300
2014-05-23,1151,1209,1135,1196,269500,317066500
2014-05-22,1110,1211,1096,1124,354200,405935600
2014-05-21,1005,1080,985,1063,163100,166706600
2014-05-20,1038,1072,1012,1024,111100,115406200
2014-05-19,1165,1168,1022,1038,203900,222996600
2014-05-16,1109,1188,1104,1181,163600,188423200
2014-05-15,1110,1182,1086,1135,131300,149873800
2014-05-14,1099,1176,1083,1133,121300,137631400
2014-05-13,1120,1148,1055,1106,276600,303862200
2014-05-12,1187,1192,1074,1077,212200,239052200
2014-05-09,1285,1324,1195,1204,261200,323125000
2014-05-08,1356,1364,1326,1339,71500,95955300
2014-05-07,1380,1399,1355,1373,83100,113379100
2014-05-02,1370,1445,1356,1414,119200,167462300
2014-05-01,1400,1400,1355,1370,110300,150793000
2014-04-30,1470,1479,1401,1401,154500,220221800
2014-04-28,1412,1485,1401,1479,349200,503291200
2014-04-25,1438,1464,1422,1443,154400,222915100
2014-04-24,1479,1496,1446,1449,100500,147225200
2014-04-23,1505,1505,1471,1487,89100,132200100
2014-04-22,1518,1529,1470,1503,101800,152366100
2014-04-21,1541,1560,1515,1519,49300,75514000
2014-04-18,1580,1581,1514,1532,90000,138071100
2014-04-17,1565,1625,1545,1574,120900,190660200
2014-04-16,1495,1637,1487,1599,238300,377652700
2014-04-15,1515,1535,1479,1482,164200,245808700
2014-04-14,1520,1574,1503,1503,113600,173993100
2014-04-11,1521,1570,1505,1530,102000,156817000
2014-04-10,1580,1625,1553,1562,97900,156168000
2014-04-09,1534,1615,1534,1580,119900,189360300
2014-04-08,1591,1596,1550,1561,106200,166455400
2014-04-07,1634,1634,1595,1599,100700,161877600
2014-04-04,1630,1667,1612,1649,88800,145106800
2014-04-03,1675,1678,1636,1645,131700,217640600
2014-04-02,1649,1676,1638,1674,227400,376509700
2014-04-01,1621,1650,1591,1640,205500,332741900
2014-03-31,1670,1683,1605,1630,258000,422444900
2014-03-28,1616,1689,1595,1655,749300,1229572000
2014-03-27,1889,1889,1812,1816,88300,162421300
2014-03-26,1792,1920,1781,1890,78200,145506600
2014-03-25,1930,1930,1806,1809,116500,217668100
2014-03-24,1910,1948,1900,1940,94900,182745600
2014-03-20,1966,2040,1803,1950,247700,475391900
2014-03-19,1806,1990,1806,1956,345500,662448500
2014-03-18,1656,1858,1655,1795,245700,436930200
2014-03-17,1635,1707,1620,1641,65600,109468500
2014-03-14,1750,1774,1688,1713,78000,134448300
2014-03-13,1810,1850,1800,1805,44500,80705300
2014-03-12,1810,1862,1810,1850,58900,108311900
2014-03-11,1910,1924,1836,1850,123600,231310800
2014-03-10,1890,1954,1854,1913,72200,137381500
2014-03-07,1940,1957,1928,1940,45200,87740000
2014-03-06,1927,1952,1906,1920,45900,88379000
2014-03-05,1928,1939,1903,1915,54600,104787000
2014-03-04,1859,1923,1840,1890,25100,47364300
2014-03-03,1950,1951,1880,1899,74100,140893600
2014-02-28,1989,2028,1940,1999,44200,87794400
2014-02-27,2003,2029,1998,2013,23900,48059900
2014-02-26,2060,2079,1982,1995,61000,123190000
2014-02-25,2090,2090,2020,2057,71200,146588500
2014-02-24,1963,2067,1956,2043,54400,109075700
2014-02-21,1950,1999,1939,1952,58700,115262800
