3676-T,東証1部,HUG,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2317,2324,2251,2271,58700,133689500
2014-06-26,2283,2327,2265,2317,57800,132569300
2014-06-25,2358,2358,2291,2291,53400,123609100
2014-06-24,2380,2380,2312,2358,54800,129235300
2014-06-23,2312,2397,2312,2356,48800,115410800
2014-06-20,2390,2409,2308,2335,82900,194855700
2014-06-19,2389,2480,2389,2409,107400,261401800
2014-06-18,2394,2424,2369,2387,70500,168914900
2014-06-17,2393,2400,2320,2377,76600,180939000
2014-06-16,2400,2436,2322,2360,178700,427753600
2014-06-13,2247,2318,2220,2317,198700,451818500
2014-06-12,2150,2208,2116,2185,82600,179148100
2014-06-11,2153,2170,2125,2164,61400,132276700
2014-06-10,2150,2174,2088,2171,148400,316919100
2014-06-09,2157,2172,2130,2135,93900,202060800
2014-06-06,2231,2233,2117,2147,183800,396045700
2014-06-05,2254,2280,2209,2241,58000,129790800
2014-06-04,2200,2270,2187,2243,82400,184588600
2014-06-03,2306,2326,2218,2249,189300,425443800
2014-06-02,2219,2292,2198,2290,178900,403614300
2014-05-30,2115,2215,2095,2151,183600,396625200
2014-05-29,2100,2189,2085,2100,122100,259869500
2014-05-28,2081,2115,2040,2050,78000,162151000
2014-05-27,2101,2135,2070,2074,85500,179495400
2014-05-26,2049,2210,2049,2124,167300,356363800
2014-05-23,1950,2035,1930,2031,109600,218655200
2014-05-22,1930,1995,1912,1930,87400,170047300
2014-05-21,1955,1969,1890,1903,103100,199146700
2014-05-20,1960,1986,1915,1931,112800,219524700
2014-05-19,2101,2135,1875,1909,200600,393299800
2014-05-16,2127,2150,2010,2131,90100,189054800
2014-05-15,2200,2203,2080,2152,141000,299882800
2014-05-14,2240,2310,2195,2201,112700,252856100
2014-05-13,2300,2330,2230,2240,155200,351887200
2014-05-12,2375,2451,2255,2265,172100,396825800
2014-05-09,2600,2600,2542,2575,36700,94010600
2014-05-08,2587,2620,2540,2585,31000,80221600
2014-05-07,2632,2664,2551,2580,42300,110192300
2014-05-02,2630,2700,2591,2693,27900,74296500
2014-05-01,2621,2633,2573,2630,24300,63307200
2014-04-30,2600,2613,2539,2571,33200,85280800
2014-04-28,2629,2665,2582,2597,32000,83429200
2014-04-25,2634,2708,2602,2685,40100,106313400
2014-04-24,2675,2675,2622,2635,24300,64090600
2014-04-23,2689,2739,2653,2675,29100,77855400
2014-04-22,2723,2789,2680,2680,54100,147775000
2014-04-21,2721,2740,2630,2673,44700,119686200
2014-04-18,2631,2718,2580,2705,51600,138262600
2014-04-17,2695,2712,2630,2630,47400,126037300
2014-04-16,2552,2685,2542,2675,104100,274856600
2014-04-15,2567,2688,2522,2529,103400,266159400
2014-04-14,2600,2638,2538,2547,72700,187890600
2014-04-11,2632,2672,2590,2618,81200,213865400
2014-04-10,2851,2885,2713,2732,65900,185330500
