3742-T,東証マザーズ,ITBOOK,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,603,610,575,593,383700,227080300
2014-06-26,612,674,583,624,1001700,626141300
2014-06-25,664,680,591,611,830000,526329400
2014-06-24,666,713,661,673,1100600,750048100
2014-06-23,664,758,640,683,3588900,2523323800
2014-06-20,605,728,580,694,5122600,3405147800
2014-06-19,635,635,605,635,940600,594781800
2014-06-18,521,535,512,535,452200,239624500
2014-06-17,479,479,445,455,151200,69289200
2014-06-16,494,496,471,474,121500,58736700
2014-06-13,495,507,486,494,193500,96239300
2014-06-12,484,500,480,500,411300,201692000
2014-06-11,467,484,463,470,228000,107842100
2014-06-10,444,456,437,454,178900,80111800
2014-06-09,428,459,423,434,164100,71550400
2014-06-06,424,434,421,422,64100,27268800
2014-06-05,409,458,409,428,264100,113429900
2014-06-04,400,403,397,402,16600,6634400
2014-06-03,403,403,395,398,26600,10617700
2014-06-02,395,400,395,398,29900,11856600
2014-05-30,400,409,389,395,71200,28447400
2014-05-29,383,398,383,398,27900,10917400
2014-05-28,372,387,372,383,23100,8719700
2014-05-27,381,394,365,380,40200,15393700
2014-05-26,364,390,364,383,42400,16004600
2014-05-23,355,363,355,358,15900,5701600
2014-05-22,350,353,345,351,25400,8895600
2014-05-21,344,350,343,345,19600,6761200
2014-05-20,340,355,337,355,50000,17147500
2014-05-19,385,385,328,364,38300,14091300
2014-05-16,390,401,383,385,60400,23711300
2014-05-15,383,384,374,384,18900,7206000
2014-05-14,371,383,371,382,13300,5014300
2014-05-13,373,380,370,370,21000,7794600
2014-05-12,385,385,370,370,16600,6197700
2014-05-09,374,385,373,378,18200,6850400
2014-05-08,386,386,378,379,16200,6164500
2014-05-07,385,386,382,383,17600,6758700
2014-05-02,392,396,389,392,9400,3685100
2014-05-01,381,394,380,394,23800,9130900
2014-04-30,389,392,381,385,54000,20868600
2014-04-28,389,391,382,388,22500,8711800
2014-04-25,396,400,390,394,17800,7014200
2014-04-24,400,402,394,396,8900,3538900
2014-04-23,396,401,393,398,14100,5586200
2014-04-22,407,410,390,395,34100,13579400
2014-04-21,413,413,401,406,20700,8422600
2014-04-18,406,412,405,412,23400,9549600
2014-04-17,402,413,400,406,39900,16231400
2014-04-16,403,405,396,401,20600,8259000
2014-04-15,405,409,398,398,36000,14518900
2014-04-14,396,409,389,409,25100,9913400
2014-04-11,385,398,383,394,32000,12410700
2014-04-10,398,399,391,396,17500,6914300
2014-04-09,418,429,393,400,64500,26289500
2014-04-08,399,408,395,404,22400,8965200
2014-04-07,398,402,395,399,8500,3393800
2014-04-04,408,409,402,405,13300,5379000
2014-04-03,413,416,396,409,36200,14792500
2014-04-02,400,415,396,410,28700,11607700
2014-04-01,395,403,394,403,16600,6610000
2014-03-31,404,404,390,398,17700,7016600
2014-03-28,398,412,390,400,39000,15737200
2014-03-27,366,414,359,393,67300,25746800
2014-03-26,370,375,366,370,37200,13763200
2014-03-25,385,385,371,375,29700,11195000
2014-03-24,386,388,375,382,42100,16074200
2014-03-20,398,419,388,391,80200,31747100
2014-03-19,440,455,406,408,300700,129361100
2014-03-18,410,459,398,459,121700,53948300
2014-03-17,375,384,374,379,25200,9538400
2014-03-14,390,395,385,387,43500,16920000
2014-03-13,399,403,395,397,18500,7369200
2014-03-12,403,405,399,405,12300,4929800
2014-03-11,404,410,403,404,13400,5440700
2014-03-10,403,408,403,404,19200,7761900
2014-03-07,408,411,402,407,24600,10011500
2014-03-06,399,406,399,405,27100,10929200
2014-03-05,401,411,400,400,27000,10902000
2014-03-04,395,410,395,402,18800,7566600
2014-03-03,394,402,390,398,39500,15617900
2014-02-28,411,414,404,410,24200,9841000
2014-02-27,425,426,408,416,32800,13645100
2014-02-26,432,437,424,425,40600,17441300
2014-02-25,428,436,428,432,28500,12306800
2014-02-24,429,434,425,429,20300,8691400
2014-02-21,413,434,408,429,18900,8046800
2014-02-20,428,430,410,420,22500,9468600
2014-02-19,430,434,421,425,15200,6525800
2014-02-18,415,426,411,425,32700,13588100
2014-02-17,412,418,401,414,55500,22729500
2014-02-14,450,455,406,434,36800,15856700
2014-02-13,453,454,442,445,25800,11544700
2014-02-12,458,459,451,459,28500,12979800
2014-02-10,459,460,450,456,30200,13771000
2014-02-07,425,449,425,440,41200,17916400
2014-02-06,395,428,395,425,62900,25707300
2014-02-05,413,413,380,392,72200,28382900
2014-02-04,369,401,362,381,152600,58272200
2014-02-03,465,465,440,441,82100,37066700
2014-01-31,473,474,463,468,44700,20901300
2014-01-30,480,481,468,470,39800,18723700
2014-01-29,470,487,470,482,44400,21323300
2014-01-28,467,474,465,466,45200,21166800
2014-01-27,462,474,462,468,84300,39368800
2014-01-24,488,490,482,485,75800,36837100
2014-01-23,498,500,494,494,40100,19906300
2014-01-22,498,503,496,500,51500,25699600
2014-01-21,506,513,502,502,40900,20696000
2014-01-20,496,507,493,505,59900,30027400
2014-01-17,485,498,485,495,59600,29248100
2014-01-16,502,503,489,490,107900,53399600
2014-01-15,506,510,493,499,135300,67767900
2014-01-14,520,530,500,509,227500,117784100
2014-01-10,504,560,503,542,760200,403796800
2014-01-09,484,484,476,481,49300,23668400
2014-01-08,486,486,480,481,28700,13842900
2014-01-07,489,489,480,481,37400,18060200
2014-01-06,490,493,484,487,58100,28257900
2013-12-30,487,489,476,484,80200,38629700
2013-12-27,498,499,481,486,58000,28436700
2013-12-26,471,492,471,482,111600,53864300
2013-12-25,459,485,459,461,107300,50861600
2013-12-24,467,471,458,464,121700,56574300
2013-12-20,474,478,471,471,35800,16923200
2013-12-19,472,481,471,476,51800,24625800
2013-12-18,476,481,475,475,58500,27871700
2013-12-17,484,490,480,482,49400,23841200
2013-12-16,490,496,481,484,114300,55696100
2013-12-13,498,500,493,498,47500,23580200
2013-12-12,509,509,496,500,61500,30782100
2013-12-11,510,514,504,505,86300,43853800
2013-12-10,500,509,496,509,112300,56591600
2013-12-09,500,501,495,499,52100,25934000
2013-12-06,496,504,493,499,50500,25076700
2013-12-05,501,512,495,498,69600,34954700
2013-12-04,505,510,499,501,65100,32759200
2013-12-03,524,525,501,508,111900,57674200
2013-12-02,494,519,487,513,168900,84579600
2013-11-29,487,500,487,492,43000,21203400
2013-11-28,498,498,488,490,58500,28758500
2013-11-27,501,505,496,496,37200,18573300
2013-11-26,501,504,493,503,62500,31165800
2013-11-25,501,505,497,498,56500,28240400
2013-11-22,508,515,500,500,86300,43548900
