3747-T,東証マザーズ,インタトレード,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,252,254,250,250,13200,3315100
2014-06-26,247,253,247,251,11000,2753700
2014-06-25,250,251,247,251,21500,5348100
2014-06-24,255,256,248,250,24400,6108700
2014-06-23,253,258,249,254,17400,4381600
2014-06-20,263,263,249,254,34700,8837200
2014-06-19,263,264,256,259,30100,7813300
2014-06-18,245,261,245,261,56300,14239800
2014-06-17,248,248,236,247,23000,5588000
2014-06-16,251,251,246,249,9900,2458400
2014-06-13,249,251,242,251,19900,4897400
2014-06-12,249,250,246,250,13400,3336500
2014-06-11,246,255,244,251,21300,5350400
2014-06-10,255,255,242,250,37100,9239400
2014-06-09,232,252,231,252,51300,12476400
2014-06-06,228,233,224,233,15800,3594400
2014-06-05,228,234,228,229,7800,1794800
2014-06-04,232,232,228,230,2900,667400
2014-06-03,233,235,230,234,10800,2507200
2014-06-02,226,234,226,234,25300,5802400
2014-05-30,224,227,221,226,12200,2736400
2014-05-29,225,225,219,222,5500,1214100
2014-05-28,226,227,220,223,11100,2462200
2014-05-27,226,229,224,226,20600,4663900
2014-05-26,214,226,210,220,21600,4738900
2014-05-23,201,215,200,211,64500,13118900
2014-05-22,202,210,202,209,4500,935000
2014-05-21,201,205,197,203,17300,3469100
2014-05-20,207,210,197,204,62800,12788000
2014-05-19,230,231,211,212,27600,6052000
2014-05-16,237,237,223,230,26700,6143300
2014-05-15,244,244,238,242,5200,1248500
2014-05-14,239,249,236,247,18900,4560200
2014-05-13,238,250,238,244,14000,3429300
2014-05-12,242,245,238,240,9000,2160600
2014-05-09,246,247,240,241,6400,1558200
2014-05-08,246,249,243,243,6300,1547800
2014-05-07,258,259,246,247,14200,3556700
2014-05-02,256,260,255,259,13600,3511100
2014-05-01,252,255,250,254,12800,3245500
2014-04-30,250,256,247,251,16100,4059700
2014-04-28,247,249,242,248,12300,3024400
2014-04-25,253,262,247,247,29500,7578800
2014-04-24,251,259,244,252,20000,5004200
2014-04-23,243,253,242,243,11900,2931900
2014-04-22,255,257,243,243,17300,4306600
2014-04-21,257,262,254,258,24900,6414200
2014-04-18,282,285,251,254,220600,59302600
2014-04-17,244,252,244,251,10300,2549900
2014-04-16,240,247,238,246,15500,3752500
2014-04-15,236,238,233,238,6700,1573400
2014-04-14,232,233,230,232,9600,2227800
2014-04-11,232,235,229,235,12800,2962600
2014-04-10,237,247,234,235,30600,7275200
2014-04-09,243,245,236,236,20900,5022300
2014-04-08,250,250,241,242,33100,8101600
2014-04-07,255,260,250,251,27500,6976900
2014-04-04,260,263,245,263,30000,7617500
2014-04-03,258,264,257,263,24700,6446200
2014-04-02,251,262,250,258,30200,7711100
2014-04-01,244,249,244,247,19900,4912500
2014-03-31,233,243,233,242,26300,6269300
2014-03-28,228,236,228,236,16500,3824300
2014-03-27,232,232,219,228,23800,5337300
2014-03-26,233,237,232,232,15100,3533600
2014-03-25,227,238,227,233,15800,3652800
2014-03-24,222,234,221,230,27900,6376700
2014-03-20,235,235,218,218,102300,22733000
2014-03-19,240,240,231,237,35000,8207600
2014-03-18,238,240,233,240,25200,5968600
2014-03-17,244,247,225,230,100400,23640900
2014-03-14,251,258,242,247,69600,17481300
2014-03-13,271,272,264,267,37900,10135100
2014-03-12,273,282,268,271,30500,8369600
2014-03-11,275,278,274,276,9000,2481700
2014-03-10,278,282,271,278,28000,7751900
2014-03-07,280,298,277,277,48500,13731400
2014-03-06,277,284,271,280,15700,4335400
2014-03-05,272,286,272,277,19500,5361000
2014-03-04,271,272,264,272,19700,5297700
2014-03-03,275,276,266,269,19000,5127400
2014-02-28,281,285,275,280,23300,6498700
2014-02-27,287,288,281,283,20000,5677400
2014-02-26,286,291,284,288,36600,10482900
2014-02-25,297,297,286,292,31800,9261200
2014-02-24,300,300,290,295,38100,11336800
2014-02-21,287,301,283,301,26400,7632600
2014-02-20,295,299,285,286,41500,12090300
2014-02-19,296,309,287,295,114100,33939100
2014-02-18,269,293,260,290,49600,13592700
2014-02-17,277,277,262,267,26100,6982600
2014-02-14,278,288,260,277,66500,18170000
2014-02-13,300,303,286,297,52000,15315500
2014-02-12,301,306,298,300,63300,19123400
2014-02-10,285,312,285,300,80600,24181100
2014-02-07,282,289,279,280,27800,7850800
2014-02-06,260,290,259,290,51700,14187500
2014-02-05,265,277,255,263,44400,11759900
2014-02-04,237,268,225,257,133400,33147200
2014-02-03,299,307,277,277,104300,30281600
2014-01-31,320,330,306,316,67400,21349400
2014-01-30,318,323,305,312,64200,20186400
2014-01-29,327,342,313,334,118100,38959800
2014-01-28,333,335,308,311,101600,32515200
2014-01-27,336,349,327,333,146200,48794300
2014-01-24,369,376,353,368,75500,27705700
2014-01-23,400,405,371,376,257200,100340700
2014-01-22,344,409,342,399,385700,149172800
2014-01-21,352,352,343,344,26800,9320200
2014-01-20,360,363,346,353,48700,17231200
2014-01-17,343,370,343,357,69600,25105800
2014-01-16,350,350,340,348,47700,16481000
2014-01-15,354,362,337,345,63900,22223300
2014-01-14,356,369,326,350,273500,95170300
2014-01-10,359,415,338,365,1140800,435429400
2014-01-09,341,343,331,335,71300,24126100
2014-01-08,321,348,321,338,80700,27314600
2014-01-07,330,342,310,329,114300,37457200
2014-01-06,307,330,306,330,155900,49806900
2013-12-30,288,306,288,306,33300,9939700
2013-12-27,282,292,282,288,19000,5428000
2013-12-26,288,291,286,290,12600,3641600
2013-12-25,289,289,262,284,67300,18992300
