3770-T,東証1部,ザッパラス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,625,625,613,615,69600,43010200
2014-06-26,635,635,622,625,32100,20165100
2014-06-25,632,636,630,630,42900,27094200
2014-06-24,628,630,621,629,37600,23576900
2014-06-23,628,631,622,623,43000,26905400
2014-06-20,630,630,621,626,48400,30253100
2014-06-19,631,632,620,627,53100,33221200
2014-06-18,634,636,623,628,57100,35891400
2014-06-17,629,635,627,630,73400,46229400
2014-06-16,602,642,601,629,224500,138571900
2014-06-13,650,664,650,662,31900,20894300
2014-06-12,650,659,646,659,26900,17614400
2014-06-11,649,655,641,652,34200,22187000
2014-06-10,657,658,651,653,25500,16658300
2014-06-09,665,668,655,657,66800,44185200
2014-06-06,654,663,642,662,67300,43809300
2014-06-05,673,673,650,655,60400,39889800
2014-06-04,673,690,651,664,179400,120664400
2014-06-03,649,649,640,645,18900,12190900
2014-06-02,650,650,635,643,39200,25188100
2014-05-30,640,648,636,637,18200,11674400
2014-05-29,633,643,630,642,25900,16464200
2014-05-28,642,643,631,636,20800,13272400
2014-05-27,652,652,640,642,15300,9895300
2014-05-26,630,650,630,644,28800,18442700
2014-05-23,625,636,625,630,26500,16686500
2014-05-22,627,632,625,625,27200,17050600
2014-05-21,637,643,625,630,31000,19570700
2014-05-20,644,649,639,640,39000,25066100
2014-05-19,676,676,648,649,49200,32371300
2014-05-16,673,673,663,666,21000,13981200
2014-05-15,664,677,664,667,50700,33801000
2014-05-14,675,682,673,678,10900,7373000
2014-05-13,683,683,675,680,8900,6044500
2014-05-12,680,688,670,676,30900,20874700
2014-05-09,677,679,671,677,16100,10891900
2014-05-08,676,689,674,682,25800,17559500
2014-05-07,690,693,676,677,41000,28047300
2014-05-02,699,718,692,708,107700,76085200
2014-05-01,663,682,660,677,114400,76734600
2014-04-30,680,683,667,673,67700,45749400
2014-04-28,700,700,684,689,89200,61662600
2014-04-25,727,728,703,706,171900,122714800
2014-04-24,762,764,756,764,128300,97688100
2014-04-23,762,767,758,761,83800,63917200
2014-04-22,769,769,762,762,54500,41697800
2014-04-21,762,766,762,763,48700,37185100
2014-04-18,764,764,754,761,42600,32322500
2014-04-17,759,765,753,759,42700,32504900
2014-04-16,753,765,749,754,68100,51486800
2014-04-15,750,755,749,749,21500,16164800
2014-04-14,753,753,738,750,30800,23061000
2014-04-11,738,756,733,754,59600,44375700
2014-04-10,756,768,736,744,74800,56325700
2014-04-09,770,770,751,754,59500,45259800
2014-04-08,764,770,762,770,78600,60224600
2014-04-07,769,769,765,765,47300,36256600
2014-04-04,766,773,765,772,66200,50902100
2014-04-03,765,771,760,768,67400,51705000
2014-04-02,758,770,758,765,66200,50680600
2014-04-01,761,772,758,764,78400,59960100
2014-03-31,745,758,745,758,87400,65689600
2014-03-28,738,744,728,741,98200,72421100
2014-03-27,719,729,714,722,84700,61118800
2014-03-26,708,713,705,708,60800,43094200
2014-03-25,693,707,688,703,47500,33221800
2014-03-24,680,688,677,683,53800,36825900
2014-03-20,687,687,672,672,37100,25131500
2014-03-19,690,690,681,684,21800,14933100
2014-03-18,681,688,676,686,26100,17827700
2014-03-17,688,688,675,675,48600,33010400
2014-03-14,689,692,679,680,80800,55321600
2014-03-13,700,708,692,695,35900,25027900
