3785-T,東証マザーズ,エイティング,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2001,2011,1840,1905,158500,304697900
2014-06-26,2235,2274,1985,2031,191900,405794700
2014-06-25,2508,2669,2230,2335,232100,569799600
2014-06-24,2794,2830,2402,2640,458900,1243595500
2014-06-23,1950,2335,1941,2335,546800,1220683300
2014-06-20,1935,1935,1773,1935,233200,447840900
2014-06-19,1745,1770,1457,1535,374300,609102400
2014-06-18,1665,1665,1665,1665,27700,46120500
2014-06-17,1365,1365,1365,1365,18200,24843000
2014-06-16,942,1065,942,1065,52400,53154900
2014-06-13,900,915,900,915,7600,6874000
2014-06-12,920,926,910,920,3800,3473800
2014-06-11,900,945,900,911,6500,5946700
2014-06-10,993,993,888,911,19900,18799800
2014-06-09,871,948,871,948,16400,14893800
2014-06-06,853,870,850,863,12300,10599200
2014-06-05,915,915,842,862,17200,15189500
2014-06-04,953,961,905,910,24400,22674000
2014-06-03,895,942,860,942,19900,17963000
2014-06-02,851,889,851,888,12900,11305100
2014-05-30,849,850,830,843,12000,10113900
2014-05-29,816,846,812,825,14200,11778100
2014-05-28,775,848,775,846,16100,13113800
2014-05-27,760,787,750,787,10400,8013500
2014-05-26,740,780,730,765,23300,17546000
2014-05-23,678,736,678,725,14400,10352800
2014-05-22,690,697,670,688,4700,3218600
2014-05-21,668,696,665,685,8500,5764800
2014-05-20,669,669,650,669,10200,6759500
2014-05-19,707,707,666,666,13500,9280200
2014-05-16,719,719,706,707,8600,6155800
2014-05-15,710,723,706,719,4100,2927400
2014-05-14,706,730,706,716,10200,7341800
2014-05-13,730,735,724,727,12800,9339300
2014-05-12,761,761,730,730,6400,4802500
2014-05-09,767,770,760,761,9600,7327400
2014-05-08,778,785,771,779,11700,9116500
2014-05-07,788,795,773,781,8400,6587700
2014-05-02,809,816,805,815,10800,8735800
2014-05-01,830,831,796,805,25500,20651900
2014-04-30,985,994,835,859,33100,29453900
2014-04-28,996,996,981,985,2900,2862900
2014-04-25,1003,1003,980,999,2400,2373400
2014-04-24,1012,1012,988,988,2500,2489000
2014-04-23,983,990,981,989,2200,2166700
2014-04-22,1003,1010,985,986,6500,6491100
2014-04-21,1055,1074,1020,1020,4700,4936400
2014-04-18,1011,1064,1011,1064,6500,6817300
2014-04-17,983,1022,983,1022,6500,6482800
2014-04-16,965,989,965,989,3400,3341900
2014-04-15,963,970,960,961,3900,3758700
2014-04-14,981,999,962,963,3700,3640000
2014-04-11,980,1042,960,975,10800,10658300
2014-04-10,1020,1028,992,993,6900,6928700
2014-04-09,1001,1010,990,1000,9400,9397600
2014-04-08,1014,1038,1011,1020,4400,4479900
2014-04-07,1016,1039,1010,1028,7900,8065100
2014-04-04,1072,1080,1066,1066,6400,6860300
2014-04-03,1115,1123,1070,1100,6500,7125200
2014-04-02,1070,1138,1060,1092,8800,9683500
2014-04-01,1060,1063,1053,1054,5500,5823000
2014-03-31,1091,1112,1090,1090,7900,8631600
2014-03-28,1047,1087,1047,1082,2800,2964600
2014-03-27,1000,1059,1000,1047,12600,12943300
2014-03-26,1007,1043,1000,1002,6400,6494100
2014-03-25,1063,1067,1000,1006,8600,8909000
2014-03-24,1088,1109,1062,1076,4500,4870800
2014-03-20,1145,1151,1050,1058,14200,15502700
2014-03-19,1207,1210,1151,1151,5600,6595000
2014-03-18,1145,1185,1145,1185,5600,6480400
2014-03-17,1180,1190,1150,1151,5000,5832000
2014-03-14,1233,1235,1198,1203,9700,11758900
2014-03-13,1258,1297,1258,1260,3900,4961700
2014-03-12,1302,1302,1250,1271,5900,7528400
2014-03-11,1325,1330,1310,1313,2600,3429100
2014-03-10,1300,1335,1300,1335,4000,5238600
2014-03-07,1280,1320,1280,1300,3800,4941300
2014-03-06,1264,1280,1236,1276,6200,7761700
2014-03-05,1275,1297,1234,1234,3300,4179900
2014-03-04,1211,1255,1211,1249,4400,5433200
2014-03-03,1275,1284,1210,1230,11700,14620300
2014-02-28,1320,1356,1305,1305,5100,6771100
2014-02-27,1350,1360,1308,1325,4600,6159500
2014-02-26,1381,1381,1346,1351,7600,10309800
2014-02-25,1405,1405,1348,1375,8900,12246600
2014-02-24,1341,1424,1335,1406,14100,19484700
2014-02-21,1328,1341,1301,1331,4700,6231500
2014-02-20,1333,1333,1288,1307,7600,9883700
2014-02-19,1330,1348,1272,1320,8500,11184600
2014-02-18,1340,1348,1293,1330,8900,11795500
2014-02-17,1320,1321,1270,1293,7400,9647600
2014-02-14,1352,1352,1265,1290,14300,18567900
2014-02-13,1384,1399,1347,1348,18100,24673700
2014-02-12,1600,1620,1392,1406,56700,83172700
2014-02-10,1480,1570,1480,1520,10500,16002000
2014-02-07,1466,1539,1418,1455,11300,16589600
2014-02-06,1444,1494,1380,1465,15000,21600100
2014-02-05,1503,1503,1354,1354,28100,40099000
2014-02-04,1292,1443,1292,1323,75100,101159400
2014-02-03,1790,1860,1620,1632,44400,77373700
2014-01-31,1817,2128,1804,1860,128500,253160200
2014-01-30,1847,1847,1798,1830,13900,25212600
2014-01-29,1798,1834,1798,1820,5700,10354300
2014-01-28,1786,1835,1785,1814,10800,19545100
2014-01-27,1793,1812,1770,1785,22300,39920300
2014-01-24,1870,1919,1865,1873,18600,34984800
2014-01-23,2005,2005,1925,1928,41900,82475600
2014-01-22,1850,1925,1840,1925,30000,56729300
2014-01-21,1877,1877,1840,1843,11000,20322700
2014-01-20,1860,1869,1818,1858,9400,17378400
2014-01-17,1810,1837,1801,1837,7900,14331400
2014-01-16,1830,1839,1815,1817,8700,15849500
2014-01-15,1865,1865,1810,1829,8600,15708200
2014-01-14,1887,1887,1821,1841,19200,35581000
2014-01-10,1932,1932,1880,1900,8300,15757800
2014-01-09,1925,1970,1892,1892,18700,36030600
2014-01-08,1899,1915,1854,1914,13400,25358600
2014-01-07,1856,1908,1852,1858,8400,15732600
2014-01-06,1948,1960,1841,1880,21800,41400000
2013-12-30,1920,1970,1915,1935,24200,47026400
2013-12-27,1878,1939,1878,1924,24400,46568500
2013-12-26,1845,1910,1840,1910,20100,37479000
2013-12-25,1750,1880,1734,1853,57800,104556300
2013-12-24,1800,1805,1750,1751,36900,65364400
2013-12-20,1845,1862,1801,1811,18600,33852200
2013-12-19,1895,1918,1850,1864,31700,59447700
2013-12-18,1891,1950,1857,1900,32900,62578900
2013-12-17,1911,2050,1900,1931,30000,59025300
2013-12-16,2046,2063,1901,1930,51300,102251300
2013-12-13,2020,2151,2003,2096,53400,110371500
2013-12-12,2200,2243,2070,2070,76800,164338400
2013-12-11,2700,2800,2166,2250,426200,1032379600
2013-12-10,2390,2640,2301,2640,207800,520117400
2013-12-09,1947,2197,1947,2140,110700,231149600
2013-12-06,2025,2025,1916,1931,28800,56695300
2013-12-05,1978,2095,1953,1985,71500,143645900
2013-12-04,1979,1979,1861,1938,26700,51092900
2013-12-03,2110,2121,1930,1942,54100,109574500
2013-12-02,1878,2160,1863,2050,133100,268740900
2013-11-29,1818,1848,1786,1830,25000,45542300
2013-11-28,1796,1840,1785,1786,9700,17497900
2013-11-27,1835,1835,1789,1796,13000,23535300
2013-11-26,1810,1847,1806,1811,13600,24740900
2013-11-25,1860,1861,1805,1808,17100,31222900
2013-11-22,1899,1911,1865,1874,11700,22043300
2013-11-21,1869,1889,1864,1885,13900,26002700
2013-11-20,1898,1898,1863,1885,17900,33680700
2013-11-19,1920,1939,1911,1914,13900,26676500
2013-11-18,1925,1971,1906,1936,20600,39793600
2013-11-15,2017,2017,1915,1935,30900,60096300
2013-11-14,1908,2026,1900,1979,28300,56009600
2013-11-13,1868,2028,1868,1938,28100,54606700
2013-11-12,1850,1965,1830,1908,38900,74664400
2013-11-11,2118,2147,1853,1890,107500,214435600
2013-11-08,2139,2617,2056,2213,358800,864006600
2013-11-07,2121,2402,2110,2239,132600,300180900
2013-11-06,2076,2081,2007,2042,25100,51387800
2013-11-05,1980,2169,1980,2126,36800,76808000
2013-11-01,2108,2108,1936,2008,39000,78067700
2013-10-31,2110,2159,2035,2090,52800,110660000
2013-10-30,2470,2470,2035,2036,81600,178762300
2013-10-29,2400,2494,2377,2439,20200,49042900
2013-10-28,2381,2449,2366,2406,19400,46614400
2013-10-25,2419,2440,2367,2381,20100,48315100
2013-10-24,2430,2464,2390,2407,35200,84972900
2013-10-23,2580,2585,2452,2475,49900,125613500
2013-10-22,2602,2620,2536,2579,38500,98751300
2013-10-21,2624,2629,2535,2552,37900,97551600
2013-10-18,2540,2630,2514,2525,40100,102474700
2013-10-17,2592,2665,2505,2537,92800,237550900
2013-10-16,2499,2730,2499,2640,201400,528441300
2013-10-15,2485,2505,2414,2449,84700,207905000
2013-10-11,2637,2647,2535,2535,62200,161834200
2013-10-10,2687,2723,2524,2585,98700,256985600
2013-10-09,2638,2790,2590,2737,46100,123005900
2013-10-08,2665,2749,2616,2715,50600,135475100
2013-10-07,2931,3015,2718,2765,92000,261333200
2013-10-04,2971,3025,2910,2950,47400,139623500
2013-10-03,2941,3130,2941,3020,80800,246032100
2013-10-02,3085,3175,2900,2941,93900,284580900
2013-10-01,3230,3325,3045,3075,162300,514090000
2013-09-30,3015,3400,2990,3355,245600,792998200
2013-09-27,2990,3400,2970,3085,392400,1250471800
2013-09-26,2960,3135,2900,3130,118200,354534800
2013-09-25,3100,3320,2995,3120,219100,692698700
2013-09-24,3130,3185,2885,3075,196300,592892000
2013-09-20,3245,3395,3060,3190,331500,1068653500
2013-09-19,3290,3340,3025,3180,350400,1103405500
2013-09-18,3780,3845,3345,3345,156100,549697500
2013-09-17,4580,4830,4000,4045,157300,666327000
2013-09-13,5130,5240,4385,4650,279100,1360351000
2013-09-12,3770,4610,3750,4610,169100,726978000
2013-09-11,3760,4185,3640,3910,168100,661720500
2013-09-10,4300,4990,3750,3830,634500,2793272000
2013-09-09,3490,4400,3345,4400,534300,2173020000
2013-09-06,3745,4000,3505,3700,636800,2428041500
2013-09-05,2725,3325,2650,3325,292400,895185600
2013-09-04,2660,2940,2636,2825,228400,638358600
2013-09-03,2680,3070,2530,2690,682900,1877785500
2013-09-02,2750,3690,2513,2880,1360300,4053383700
2013-08-30,2933,3035,2830,3035,440800,1318079100
2013-08-29,2280,2533,2173,2533,486600,1173015600
2013-08-28,2033,2033,1883,2033,455100,916299900
2013-08-27,1633,1633,1633,1633,20200,32986600
2013-08-26,1153,1333,1129,1333,47900,58871700
2013-08-23,1023,1033,1012,1033,4700,4829500
2013-08-22,995,1010,991,996,4600,4593600
2013-08-21,1026,1027,991,1005,6800,6839000
2013-08-20,1057,1075,1035,1037,4200,4415100
2013-08-19,1110,1110,1050,1070,3800,4061400
2013-08-16,1088,1109,1062,1080,3800,4152200
2013-08-15,1033,1140,1033,1070,14100,15412100
2013-08-14,1004,1099,1004,1074,8100,8522400
2013-08-13,1028,1030,1006,1009,10500,10736700
2013-08-12,1100,1100,965,981,21000,21616200
2013-08-09,1120,1240,1103,1132,31000,36084000
2013-08-08,1150,1150,1100,1140,22200,24919500
2013-08-07,1235,1235,1160,1192,10200,12162900
2013-08-06,1280,1280,1199,1268,13500,16535300
2013-08-05,1191,1298,1170,1295,10200,12613300
2013-08-02,1150,1195,1150,1195,8000,9370400
2013-08-01,1200,1200,1100,1142,13900,15928900
2013-07-31,1250,1250,1200,1201,10600,12881700
2013-07-30,1165,1250,1150,1239,14800,17501400
2013-07-29,1282,1299,1209,1209,25200,31653600
2013-07-26,1360,1380,1271,1320,40100,52861600
2013-07-25,1520,1550,1390,1390,40800,60207200
2013-07-24,1500,1500,1412,1460,56400,82703600
2013-07-23,1351,1468,1340,1440,94400,132292400
2013-07-22,1300,1310,1250,1300,21000,26828800
2013-07-19,1316,1316,1176,1220,50500,62796600
2013-07-18,1145,1425,1130,1316,126400,168280900
2013-07-17,1090,1145,1090,1125,10900,12314800
2013-07-16,1089,1120,1070,1120,6500,7071600
2013-07-12,1074,1093,1064,1080,5600,6025800
2013-07-11,1041,1099,1031,1074,6600,7018600
2013-07-10,1121,1141,1060,1099,13900,15090700
2013-07-09,1180,1180,1100,1160,8400,9654000
2013-07-08,1160,1172,1123,1145,6600,7562400
2013-07-05,1195,1195,1100,1100,9700,11156200
2013-07-04,1100,1150,1040,1150,11800,12862500
2013-07-03,1111,1198,1110,1130,15400,17500600
2013-07-02,1081,1150,1041,1100,16300,17629300
2013-07-01,1100,1104,1002,1078,11300,12231300
2013-06-28,900,955,890,955,7900,7298600
2013-06-27,880,895,824,866,11100,9482500
2013-06-26,972,1016,850,850,21900,19364300
2013-06-25,1000,1000,960,962,9900,9626300
2013-06-24,1070,1070,1032,1032,4500,4715700
2013-06-21,1085,1085,990,1052,7100,7229800
