3832-T,JQグロース,T&CHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,388,388,372,385,21700,8187900
2014-06-26,385,392,381,386,36000,13910900
2014-06-25,372,398,371,385,87200,33332300
2014-06-24,375,379,371,377,43800,16474400
2014-06-23,376,383,372,375,58600,22025600
2014-06-20,392,392,373,384,25300,9622600
2014-06-19,393,393,381,391,32200,12481800
2014-06-18,382,386,370,386,35100,13338600
2014-06-17,365,370,362,370,15600,5699500
2014-06-16,372,372,361,370,24900,9133300
2014-06-13,365,376,362,370,55900,20621700
2014-06-12,371,373,362,370,23400,8594600
2014-06-11,373,376,368,371,28100,10418000
2014-06-10,380,380,371,377,16800,6322800
2014-06-09,374,380,371,380,28900,10874000
2014-06-06,375,378,373,375,13900,5215000
2014-06-05,380,380,373,375,13700,5140700
2014-06-04,374,381,373,380,26900,10103100
2014-06-03,378,380,375,380,9000,3397500
2014-06-02,375,382,375,378,20000,7541900
2014-05-30,389,390,374,384,69700,26660700
2014-05-29,375,383,373,377,16400,6190700
2014-05-28,376,384,368,380,27700,10410300
2014-05-27,375,380,370,375,30100,11254500
2014-05-26,383,383,368,375,65000,24342900
2014-05-23,383,393,372,393,35500,13666600
2014-05-22,386,392,381,385,17600,6763300
2014-05-21,388,393,383,393,12800,4962100
2014-05-20,382,397,380,396,11100,4286200
2014-05-19,388,398,343,398,53900,20032200
2014-05-16,390,400,386,389,28100,10955100
2014-05-15,406,406,392,403,16300,6552000
2014-05-14,418,418,399,411,37600,15303300
2014-05-13,401,408,390,403,83900,33517500
2014-05-12,397,426,397,421,125400,52325000
2014-05-09,392,398,390,393,29800,11761700
2014-05-08,390,397,381,390,30000,11603700
2014-05-07,383,394,381,390,22800,8804500
2014-05-02,362,430,362,380,150300,58473200
2014-05-01,368,374,363,370,44600,16436900
2014-04-30,369,379,363,368,33600,12406000
2014-04-28,375,390,362,380,45800,16980100
2014-04-25,390,390,375,383,27900,10645500
2014-04-24,368,387,360,387,45100,16788800
2014-04-23,368,371,355,370,29300,10668900
2014-04-22,374,375,360,368,43700,16012100
2014-04-21,362,378,359,372,42700,15709000
2014-04-18,360,390,351,370,81800,30535300
2014-04-17,363,365,353,357,30700,11015600
2014-04-16,354,364,342,362,42300,14804400
2014-04-15,349,365,349,358,36600,13048100
2014-04-14,307,368,307,360,402500,130395700
2014-04-11,387,393,371,387,46800,18002200
2014-04-10,407,408,370,395,91600,36066400
2014-04-09,408,414,403,407,48900,19905900
2014-04-08,421,429,406,414,76100,31563000
2014-04-07,412,435,412,423,229900,97586300
2014-04-04,411,488,400,400,640300,281873300
2014-04-03,423,423,411,420,18400,7660000
2014-04-02,416,427,410,415,28000,11654200
2014-04-01,424,424,410,412,24000,9985100
2014-03-31,428,430,416,424,48400,20443800
2014-03-28,415,429,415,419,37500,15866400
2014-03-27,399,429,380,428,129000,52633100
2014-03-26,399,413,398,400,39700,16033500
2014-03-25,411,420,394,400,88700,36203200
2014-03-24,435,436,411,419,109600,46381200
2014-03-20,459,477,438,443,178900,81242000
2014-03-19,470,474,443,443,152900,69902400
2014-03-18,458,486,440,475,228000,105644200
2014-03-17,489,538,435,453,641900,317843000
2014-03-14,478,500,457,482,261600,126521400
2014-03-13,469,500,445,490,387900,185412900
2014-03-12,445,469,432,465,213700,97589000
2014-03-11,429,476,421,450,201500,90483400
2014-03-10,430,433,423,425,38600,16498700
2014-03-07,430,433,422,430,57200,24491000
2014-03-06,433,435,423,433,77000,33106700
2014-03-05,432,440,426,434,111800,48331100
2014-03-04,431,437,418,425,83400,35676300
2014-03-03,411,437,397,436,439800,182912300
2014-02-28,397,443,397,443,421300,179466900
2014-02-27,398,405,393,401,75500,30096700
2014-02-26,391,410,387,406,84900,34023900
2014-02-25,402,402,385,399,148900,58858500
2014-02-24,412,412,384,395,100800,40114200
2014-02-21,430,450,408,408,223100,94669100
2014-02-20,380,408,367,405,188700,72894200
2014-02-19,345,396,341,396,64400,23169100
2014-02-18,347,354,335,353,51500,17730900
2014-02-17,352,354,339,344,91700,31588800
2014-02-14,363,363,343,352,53800,19027600
2014-02-13,362,362,341,350,110900,39148800
2014-02-12,370,370,357,362,49800,18067300
2014-02-10,371,381,366,368,44600,16634100
2014-02-07,375,383,367,371,81300,30457400
2014-02-06,364,378,347,375,87200,31267800
2014-02-05,380,394,342,372,61300,22653000
2014-02-04,335,373,311,370,266300,87738500
2014-02-03,416,424,391,391,119200,48265400
2014-01-31,449,449,415,439,146600,64341200
2014-01-30,438,438,427,434,96500,41601700
2014-01-29,438,446,416,423,148600,64345300
2014-01-28,396,446,381,430,305800,128303500
2014-01-27,400,408,396,398,105400,42285800
2014-01-24,399,429,395,410,115600,47588800
2014-01-23,440,448,400,407,218300,91598000
2014-01-22,450,455,435,441,114800,50734000
2014-01-21,421,459,419,449,247600,108516400
2014-01-20,422,455,419,422,495700,215701400
2014-01-17,383,398,383,398,176700,69091300
2014-01-16,409,413,378,390,940600,370737400
2014-01-15,447,496,395,458,1148800,523550400
2014-01-14,358,423,351,423,991100,400145600
2014-01-10,333,343,330,343,159400,53669500
2014-01-09,325,333,319,332,106200,34571400
2014-01-08,311,325,311,320,97100,30755600
2014-01-07,312,318,305,317,99100,30826800
2014-01-06,320,325,312,313,155600,49290400
2013-12-30,314,330,312,325,187200,60779200
2013-12-27,303,316,300,312,198000,60891100
2013-12-26,313,328,299,310,621300,190448300
2013-12-25,339,345,305,328,663300,213861000
2013-12-24,451,451,323,339,2725900,1042674800
2013-12-20,341,380,340,371,685700,241816600
2013-12-19,300,336,291,332,529100,168449700
2013-12-18,267,346,266,303,1078400,336303800
2013-12-17,260,275,257,272,284400,75750100
2013-12-16,259,275,250,252,172200,44159000
2013-12-13,284,286,262,266,306700,83581600
2013-12-12,300,304,278,289,678700,198504400
2013-12-11,275,348,272,320,1995500,649372900
2013-12-10,267,276,267,268,111900,30121300
2013-12-09,274,278,261,266,251200,67787300
2013-12-06,293,297,272,282,246800,70609900
2013-12-05,299,310,290,301,210300,62663000
2013-12-04,286,298,286,291,296500,85794600
2013-12-03,283,320,282,304,572300,173482300
2013-12-02,283,302,280,291,508100,146753900
2013-11-29,311,312,283,291,612000,181605800
2013-11-28,345,373,310,318,1176500,399804800
2013-11-27,345,358,325,327,660100,224050000
2013-11-26,40000,40000,33650,36000,16370,583410000
2013-11-25,47600,48700,40000,40000,12049,525989650
2013-11-22,53400,53500,42550,50000,19659,953991600
2013-11-21,49000,49000,49000,49000,3283,160867000
2013-11-20,37000,42000,37000,42000,5282,210420050
2013-11-19,39700,46000,33300,35000,32375,1300475200
2013-11-18,39700,39700,39700,39700,1185,47044500
2013-11-15,32700,32700,32700,32700,1472,48134400
2013-11-14,23690,27690,23010,27690,15823,411970700
2013-11-13,20700,22690,20500,22690,4608,100751230
2013-11-12,21500,21600,18220,18690,7899,155653740
2013-11-11,18990,21000,17620,21000,5715,115129190
2013-11-08,20000,20800,16800,17000,9103,172210110
2013-11-07,20960,20960,20960,20960,2059,43156640
2013-11-06,15560,16960,15380,16960,1233,20277840
2013-11-05,14400,14500,13950,13960,337,4779440
2013-11-01,14490,14850,13880,14170,526,7398620
2013-10-31,14460,14950,13780,14600,711,10208360
2013-10-30,15990,15990,14210,14730,879,13310400
2013-10-29,17100,17880,15180,15770,1857,30578800
2013-10-28,16000,17600,15810,17220,1634,27045490
2013-10-25,15590,16900,15480,16120,1447,23368980
2013-10-24,15500,15780,15150,15440,940,14491970
2013-10-23,16540,16860,15620,15940,649,10516430
2013-10-22,17640,17700,16120,17100,1123,19002280
2013-10-21,19500,20400,17600,17600,2621,49752450
2013-10-18,17000,20900,16230,19010,10499,197234320
2013-10-17,15000,16900,14500,16900,2408,39247530
2013-10-16,14040,14100,13510,13900,294,4098250
2013-10-15,14300,14340,14020,14050,291,4128250
2013-10-11,14100,14800,14010,14230,675,9741540
2013-10-10,14200,14200,13920,14000,196,2756750
2013-10-09,14080,14200,13910,14200,142,2001460
2013-10-08,14050,14350,13920,13920,155,2182160
2013-10-07,14390,14450,14030,14030,209,2981710
2013-10-04,14450,14600,14000,14160,378,5389610
2013-10-03,14270,14600,14000,14150,309,4438860
2013-10-02,14200,14340,14050,14270,286,4051580
2013-10-01,14500,14530,14050,14290,376,5379540
2013-09-30,14510,14550,13500,14200,501,7148140
2013-09-27,14710,15200,14600,14800,428,6326030
2013-09-26,14400,15000,14300,15000,639,9411400
2013-09-25,14770,14780,14290,14400,456,6624980
2013-09-24,15000,15000,14280,14390,653,9534560
2013-09-20,14900,14980,14560,14750,583,8618450
2013-09-19,15760,15760,14500,15520,967,14521710
2013-09-18,15600,16100,15600,15730,139,2184000
2013-09-17,16110,16180,15360,16000,156,2474940
2013-09-13,15850,16140,15590,15710,180,2836880
2013-09-12,16250,16440,15950,16250,255,4122980
2013-09-11,15970,16450,15600,16350,548,8730490
2013-09-10,16500,18750,15940,16000,1014,17128330
2013-09-09,17800,17800,16160,16400,710,11851460
2013-09-06,18850,18860,17000,17400,674,11893830
2013-09-05,20510,21500,18530,19100,2301,45179860
2013-09-04,21000,21510,19010,21510,1672,34807120
2013-09-03,16710,17510,16710,17510,621,10601110
2013-09-02,15300,15700,13510,14510,926,13660500
2013-08-30,17610,17610,16200,16900,391,6644680
2013-08-29,17600,17860,17020,17610,328,5705620
2013-08-28,19000,19800,18000,18400,190,3581630
2013-08-27,20100,20250,19500,20170,258,5134830
2013-08-26,20560,20560,20100,20250,208,4226140
2013-08-23,20650,21280,20350,20790,252,5199870
2013-08-22,20720,21300,20500,20570,107,2223150
2013-08-21,21090,21550,20600,21020,189,3969270
2013-08-20,22180,22180,21080,21500,260,5588470
2013-08-19,23500,23500,21800,22500,238,5319790
2013-08-16,21620,24000,21300,23500,156,3473930
2013-08-15,21090,25000,20630,22600,377,8406640
2013-08-14,21090,21450,20600,21290,77,1615360
2013-08-13,20650,21370,20200,21090,179,3690100
2013-08-12,21000,21500,20200,20940,248,5132110
2013-08-09,20880,22900,20880,21480,388,8419510
2013-08-08,22500,22900,21500,22380,723,16002350
2013-08-07,28000,28500,23910,24000,1638,43628570
2013-08-06,21560,26550,21560,26550,2390,58995880
2013-08-05,20500,21560,20500,21550,300,6265500
2013-08-02,22000,22540,21800,22300,128,2829250
2013-08-01,21870,22500,20200,21980,460,9594390
2013-07-31,23000,23150,22110,22970,86,1943500
2013-07-30,21500,23310,21500,23000,259,5792710
2013-07-29,25370,25740,22330,23000,331,7693690
2013-07-26,24100,25330,23910,25330,227,5549860
2013-07-25,24990,25380,23500,24500,309,7516160
2013-07-24,24000,24400,23000,24400,528,12454110
2013-07-23,25020,25500,24310,25000,317,7837930
2013-07-22,26750,27250,24500,25790,336,8732660
2013-07-19,28100,28580,25500,26880,1679,45865600
2013-07-18,23820,28600,23820,28600,2278,61001580
2013-07-17,25690,25690,23600,23600,502,12148070
2013-07-16,26000,26450,23500,24700,725,18521940
