3840-T,東証マザーズ,イー･キャッシュ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,272,309,230,244,1393100,378154800
2014-06-26,244,307,227,256,1574300,434198200
2014-06-25,209,248,202,240,407500,93242800
2014-06-24,227,228,202,214,450400,96462400
2014-06-23,184,220,184,219,944800,195551700
2014-06-20,183,183,178,182,51900,9439400
2014-06-19,178,180,175,180,33200,5933500
2014-06-18,180,181,170,178,46100,8088600
2014-06-17,175,180,174,179,27200,4777400
2014-06-16,178,183,175,180,53900,9625000
2014-06-13,175,184,173,179,60700,10962700
2014-06-12,176,179,174,175,29200,5145300
2014-06-11,164,183,164,177,176400,31150500
2014-06-10,166,166,160,161,74100,11964500
2014-06-09,163,166,163,165,31300,5157900
2014-06-06,164,170,162,166,12500,2077100
2014-06-05,170,170,163,166,26400,4383900
2014-06-04,172,173,165,170,41600,7051300
2014-06-03,172,172,168,171,14500,2454700
2014-06-02,171,172,168,168,35700,6064200
2014-05-30,171,179,171,172,22100,3836100
2014-05-29,179,179,173,176,23500,4180400
2014-05-28,181,181,172,172,15400,2711500
2014-05-27,180,180,174,176,16400,2917800
2014-05-26,168,188,168,176,135900,24366900
2014-05-23,165,166,161,165,15500,2537000
2014-05-22,164,165,164,165,8700,1433100
2014-05-21,171,171,160,164,25600,4163200
2014-05-20,159,173,158,166,39300,6520100
2014-05-19,165,166,157,160,28100,4518800
2014-05-16,170,171,163,165,38400,6355800
2014-05-15,175,175,170,170,44600,7691900
2014-05-14,181,181,173,176,61000,10784100
2014-05-13,184,185,175,175,109900,19883000
2014-05-12,169,182,165,177,145100,25844400
2014-05-09,174,175,168,170,37400,6429900
2014-05-08,159,181,159,171,172700,29742500
2014-05-07,158,161,156,158,40900,6488800
2014-05-02,158,159,155,157,38200,5981500
2014-05-01,159,162,156,157,27700,4369200
2014-04-30,161,165,157,159,45500,7284700
2014-04-28,171,172,160,165,123100,20365600
2014-04-25,159,197,158,173,731500,132377700
2014-04-24,154,159,154,158,67100,10416800
2014-04-23,157,157,154,157,43200,6737100
2014-04-22,161,166,158,158,50600,8125800
2014-04-21,163,172,163,165,62800,10393700
2014-04-18,167,170,160,167,42100,6987000
2014-04-17,170,175,166,170,44800,7650300
2014-04-16,165,169,164,169,34500,5771900
2014-04-15,173,175,164,170,47700,8128600
2014-04-14,176,176,170,171,9600,1652400
2014-04-11,168,172,168,171,30000,5108500
2014-04-10,180,180,167,178,60000,10581600
2014-04-09,183,183,177,177,83500,14981100
2014-04-08,187,187,180,185,65900,12080700
2014-04-07,185,194,185,187,66800,12521700
2014-04-04,191,195,185,193,133500,25581000
2014-04-03,187,190,183,186,187600,34870500
2014-04-02,206,206,188,195,122100,23741400
2014-04-01,216,216,199,199,116000,23782400
2014-03-31,229,235,203,218,236800,51673200
2014-03-28,214,230,210,221,298600,67054000
2014-03-27,207,216,174,212,136200,27820000
2014-03-26,20330,21990,20220,20700,1742,36075140
2014-03-25,20220,23000,20220,20450,5060,106332780
2014-03-24,21070,21600,19300,20000,3815,78054280
2014-03-20,21000,23400,20730,20930,5655,122546460
2014-03-19,20230,25000,20230,21010,9964,216349290
2014-03-18,18900,20880,18500,20000,6005,117730730
2014-03-17,19000,21500,18400,19490,11681,235014700
2014-03-14,15800,17990,15200,17500,3474,57355030
2014-03-13,18680,19900,15500,16380,8184,142794120
2014-03-12,15500,16680,15210,16680,1919,31180180
2014-03-11,14000,14000,12350,13680,1049,13874660
2014-03-10,14580,14580,13700,14100,638,8992330
2014-03-07,14500,14800,14390,14570,239,3486720
