3844-T,東証1部,コムチュア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1850,1856,1801,1850,42000,77046100
2014-06-26,1872,1889,1841,1872,20800,38688200
2014-06-25,1871,1900,1863,1868,23000,43101200
2014-06-24,1875,1902,1862,1886,20900,39357500
2014-06-23,1872,1907,1865,1884,21900,41295100
2014-06-20,1900,1901,1872,1873,25900,48848500
2014-06-19,1906,1926,1892,1901,27200,51813300
2014-06-18,1940,1946,1906,1912,22900,44182600
2014-06-17,1930,1941,1883,1913,39400,75194600
2014-06-16,1960,2005,1901,1930,89300,176198800
2014-06-13,1868,1935,1855,1932,37400,71051100
2014-06-12,1898,1920,1877,1894,43100,81819700
2014-06-11,1910,1937,1902,1927,92200,176752800
2014-06-10,1850,1920,1826,1865,153000,286177500
2014-06-09,1790,1820,1790,1810,22600,40744000
2014-06-06,1780,1790,1767,1784,11500,20462500
2014-06-05,1794,1799,1750,1778,16400,29146100
2014-06-04,1759,1797,1751,1775,24600,43669400
2014-06-03,1730,1768,1722,1750,27500,48006800
2014-06-02,1710,1745,1710,1739,20700,35699900
2014-05-30,1727,1731,1691,1697,13300,22692000
2014-05-29,1697,1730,1686,1716,11000,18846500
2014-05-28,1705,1719,1693,1716,10900,18674000
2014-05-27,1699,1732,1694,1697,44500,75985900
2014-05-26,1660,1693,1656,1688,11700,19639100
2014-05-23,1608,1648,1608,1639,15200,24762200
2014-05-22,1580,1624,1560,1608,24200,38594500
2014-05-21,1560,1575,1555,1562,10700,16703300
2014-05-20,1556,1585,1556,1576,30300,47313500
2014-05-19,1617,1618,1550,1560,30200,48200100
2014-05-16,1630,1630,1604,1611,14100,22694500
2014-05-15,1641,1652,1621,1632,22100,36058800
2014-05-14,1650,1665,1632,1641,30500,50219800
2014-05-13,1642,1693,1642,1660,49900,82803200
2014-05-12,1720,1721,1695,1702,23300,39718400
2014-05-09,1715,1731,1715,1718,7600,13083300
2014-05-08,1699,1722,1691,1715,7400,12625300
2014-05-07,1730,1733,1680,1700,16000,27261200
2014-05-02,1713,1735,1711,1735,16100,27757400
2014-05-01,1650,1716,1632,1704,23200,38958200
2014-04-30,1682,1685,1641,1650,26300,43445200
2014-04-28,1688,1693,1645,1662,31700,52804300
2014-04-25,1692,1712,1681,1689,20100,33989100
2014-04-24,1700,1736,1699,1710,17600,30267700
2014-04-23,1680,1700,1680,1699,22300,37661600
2014-04-22,1721,1729,1680,1687,15100,25659700
2014-04-21,1717,1732,1691,1704,11200,19101400
2014-04-18,1730,1750,1705,1721,16500,28563400
2014-04-17,1745,1748,1710,1721,11400,19765200
2014-04-16,1672,1731,1672,1722,23500,40120100
2014-04-15,1681,1714,1660,1665,10700,18055400
2014-04-14,1670,1715,1661,1668,14100,23766900
2014-04-11,1701,1714,1688,1690,14500,24655000
2014-04-10,1780,1784,1724,1734,18800,33028900
2014-04-09,1761,1784,1738,1738,20200,35452400
2014-04-08,1770,1807,1744,1796,24100,42834100
2014-04-07,1819,1820,1781,1791,21800,39214800
2014-04-04,1850,1850,1825,1840,21700,39946200
2014-04-03,1803,1837,1801,1813,25600,46472700
2014-04-02,1839,1850,1796,1819,33300,60769200
2014-04-01,1848,1849,1805,1839,14500,26576900
2014-03-31,1811,1833,1798,1818,25400,46114900
2014-03-28,1780,1827,1730,1811,27400,49090800
2014-03-27,1757,1773,1705,1769,27800,48401100
2014-03-26,1650,1736,1650,1731,36700,62536300
2014-03-25,1672,1710,1659,1662,30400,50824100
2014-03-24,1687,1730,1680,1698,50200,85463500
2014-03-20,1761,1772,1673,1687,41200,70161800
2014-03-19,1780,1785,1746,1761,63300,112038000
2014-03-18,1756,1788,1750,1755,21000,37071500
2014-03-17,1765,1808,1720,1721,36400,63876400
2014-03-14,1830,1830,1762,1768,56300,100754300
2014-03-13,1876,1884,1839,1856,22300,41526100
2014-03-12,1879,1902,1875,1885,19600,36901400
2014-03-11,1908,1930,1875,1906,22800,43532100
2014-03-10,1895,1925,1886,1899,24700,47086900
