4008-T,東証1部,住精化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,704,705,696,698,441000,309160000
2014-06-26,705,718,698,714,502000,355611000
2014-06-25,704,710,699,699,417000,293801000
2014-06-24,709,711,698,703,421000,295846000
2014-06-23,694,713,694,712,375000,264524000
2014-06-20,710,713,695,695,567000,398560000
2014-06-19,706,715,703,707,368000,260957000
2014-06-18,689,706,689,704,353000,247055000
2014-06-17,702,702,686,689,662000,458839000
2014-06-16,717,722,705,708,352000,250300000
2014-06-13,720,728,716,723,422000,304096000
2014-06-12,707,732,707,726,661000,478092000
2014-06-11,706,718,706,714,251000,179202000
2014-06-10,706,715,699,706,639000,450925000
2014-06-09,718,724,710,711,327000,234179000
2014-06-06,714,716,705,715,763000,541645000
2014-06-05,740,740,721,723,590000,429654000
2014-06-04,709,745,707,743,1559000,1136596000
2014-06-03,692,708,692,706,733000,514460000
2014-06-02,674,687,674,685,470000,320772000
2014-05-30,681,683,663,667,552000,371551000
2014-05-29,684,684,670,671,403000,272610000
2014-05-28,667,678,663,674,436000,293353000
2014-05-27,653,670,653,666,481000,319066000
2014-05-26,632,654,632,653,720000,463446000
2014-05-23,624,628,620,622,338000,211118000
2014-05-22,608,617,604,614,479000,293424000
2014-05-21,594,605,589,598,438000,261288000
2014-05-20,589,608,587,605,404000,241895000
2014-05-19,617,617,583,590,700000,417253000
2014-05-16,618,626,610,623,502000,310934000
2014-05-15,624,631,616,625,600000,374806000
2014-05-14,609,632,607,624,674000,416200000
2014-05-13,627,635,600,612,2430000,1500815000
2014-05-12,658,667,656,667,445000,294272000
2014-05-09,651,658,649,654,290000,189387000
2014-05-08,658,660,652,653,219000,143605000
2014-05-07,661,661,647,651,297000,193883000
2014-05-02,654,669,654,668,259000,171608000
2014-05-01,642,660,639,659,309000,201196000
2014-04-30,668,668,638,641,419000,272830000
2014-04-28,660,660,649,658,240000,157352000
2014-04-25,673,681,662,665,423000,284095000
2014-04-24,667,671,657,670,403000,268115000
2014-04-23,651,667,651,667,405000,268092000
2014-04-22,659,661,644,647,307000,200529000
2014-04-21,666,670,653,659,362000,239735000
2014-04-18,673,673,662,669,319000,212996000
2014-04-17,672,679,661,664,401000,268613000
2014-04-16,651,666,648,666,309000,202979000
2014-04-15,645,648,639,643,425000,273574000
2014-04-14,630,653,626,634,508000,324921000
2014-04-11,640,642,626,629,1004000,635340000
2014-04-10,665,677,651,657,526000,349562000
2014-04-09,644,666,640,659,731000,479519000
2014-04-08,666,668,655,655,516000,341014000
2014-04-07,675,681,668,673,626000,421898000
2014-04-04,701,707,682,685,800000,553028000
2014-04-03,722,722,692,700,570000,402153000
2014-04-02,719,728,710,712,487000,348519000
2014-04-01,703,718,699,714,524000,372013000
2014-03-31,688,693,682,693,522000,358873000
2014-03-28,680,686,675,682,660000,449682000
2014-03-27,688,694,667,683,1385000,944441000
2014-03-26,713,721,710,715,455000,325108000
2014-03-25,726,727,708,709,776000,554304000
2014-03-24,705,740,705,728,1077000,785317000
2014-03-20,713,718,698,701,929000,655355000
2014-03-19,732,732,703,717,1166000,836710000
2014-03-18,724,742,717,729,1183000,863083000
2014-03-17,740,745,702,705,1657000,1190041000
2014-03-14,740,762,728,739,2248000,1669832000
2014-03-13,806,809,773,774,1863000,1461693000
2014-03-12,840,841,818,820,513000,424325000
2014-03-11,847,853,835,847,399000,336832000
2014-03-10,859,859,842,847,452000,383740000
2014-03-07,865,869,852,861,423000,364500000
2014-03-06,859,863,849,861,589000,504811000
2014-03-05,850,866,847,851,718000,614334000
2014-03-04,825,839,822,833,873000,727164000
2014-03-03,830,841,815,839,1040000,865533000
2014-02-28,818,857,815,844,1670000,1409997000
2014-02-27,808,829,803,813,667000,545371000
2014-02-26,790,827,790,815,1511000,1226003000
2014-02-25,804,808,788,790,797000,632564000
2014-02-24,810,817,793,808,582000,468543000
2014-02-21,803,812,801,809,333000,268674000
2014-02-20,805,817,790,796,705000,564810000
2014-02-19,825,837,812,815,653000,534970000
2014-02-18,825,848,811,843,718000,597476000
2014-02-17,821,838,805,825,657000,540934000
2014-02-14,854,869,813,827,1070000,894396000
2014-02-13,888,888,858,864,541000,471035000
2014-02-12,890,894,882,885,357000,316943000
2014-02-10,897,898,874,883,622000,549414000
2014-02-07,881,908,868,882,2110000,1872648000
2014-02-06,824,885,822,867,3598000,3081196000
2014-02-05,783,784,748,770,996000,767377000
2014-02-04,731,759,714,738,1160000,856765000
2014-02-03,797,805,775,776,810000,637881000
2014-01-31,852,854,800,818,1047000,862619000
2014-01-30,851,853,836,845,408000,344078000
2014-01-29,856,877,854,869,590000,509877000
2014-01-28,848,864,837,838,605000,514206000
2014-01-27,846,853,832,843,890000,752624000
2014-01-24,873,889,872,880,880000,774607000
2014-01-23,915,915,890,893,699000,631549000
2014-01-22,911,920,903,916,477000,435904000
2014-01-21,920,933,909,915,753000,692424000
2014-01-20,939,942,926,927,410000,382008000
2014-01-17,921,938,916,936,533000,495992000
2014-01-16,943,947,924,927,808000,756998000
2014-01-15,930,937,920,933,689000,639368000
2014-01-14,918,928,890,911,1529000,1397378000
2014-01-10,920,943,916,941,1480000,1378766000
2014-01-09,895,915,888,915,1125000,1017464000
