4046-T,東証1部,ダイソー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,366,366,362,364,95000,34538000
2014-06-26,372,372,366,368,70000,25794000
2014-06-25,370,372,369,370,58000,21468000
2014-06-24,372,372,369,372,46000,17078000
2014-06-23,372,375,371,372,85000,31666000
2014-06-20,376,376,369,370,103000,38212000
2014-06-19,376,377,372,375,128000,47904000
2014-06-18,374,377,371,377,80000,29949000
2014-06-17,374,374,371,372,63000,23459000
2014-06-16,376,376,368,370,111000,41260000
2014-06-13,367,376,367,376,290000,107272000
2014-06-12,377,377,365,366,226000,84080000
2014-06-11,358,367,356,366,133000,48155000
2014-06-10,360,363,358,361,97000,35019000
2014-06-09,359,362,359,360,173000,62418000
2014-06-06,349,357,348,356,135000,47775000
2014-06-05,351,353,347,347,51000,17857000
2014-06-04,348,351,348,348,43000,14991000
2014-06-03,347,352,341,349,170000,59077000
2014-06-02,345,350,344,345,78000,27023000
2014-05-30,344,349,341,345,83000,28618000
2014-05-29,345,346,342,342,59000,20315000
2014-05-28,348,356,344,348,127000,44400000
2014-05-27,347,355,347,348,57000,19964000
2014-05-26,340,352,340,352,244000,85148000
2014-05-23,336,336,330,335,59000,19703000
2014-05-22,320,332,320,332,114000,37502000
2014-05-21,318,318,314,317,42000,13313000
2014-05-20,317,324,317,317,44000,14046000
2014-05-19,319,322,314,314,42000,13352000
2014-05-16,323,324,319,321,106000,34090000
2014-05-15,331,331,326,328,81000,26570000
2014-05-14,335,337,332,335,60000,20014000
2014-05-13,336,338,334,336,49000,16453000
2014-05-12,340,340,330,331,72000,23975000
2014-05-09,333,340,333,335,33000,11086000
2014-05-08,336,338,334,336,61000,20481000
2014-05-07,341,341,332,333,105000,35326000
2014-05-02,345,345,341,344,48000,16496000
2014-05-01,342,345,338,343,86000,29421000
2014-04-30,341,341,336,339,57000,19301000
2014-04-28,346,346,338,342,44000,15012000
2014-04-25,344,347,338,346,65000,22351000
2014-04-24,346,348,344,346,35000,12115000
2014-04-23,348,354,343,350,95000,33112000
2014-04-22,345,345,340,340,29000,9926000
2014-04-21,346,346,326,346,80000,27306000
2014-04-18,342,346,341,346,57000,19560000
2014-04-17,344,345,343,343,45000,15465000
2014-04-16,337,344,336,343,50000,17035000
2014-04-15,335,338,335,335,63000,21186000
2014-04-14,334,338,331,332,40000,13406000
2014-04-11,338,338,331,335,72000,24115000
2014-04-10,345,350,342,342,166000,57491000
2014-04-09,343,344,334,337,128000,43295000
2014-04-08,350,351,345,345,97000,33764000
2014-04-07,356,356,348,350,99000,34735000
2014-04-04,361,362,360,361,66000,23808000
2014-04-03,363,367,359,362,105000,38154000
2014-04-02,366,368,362,362,150000,54813000
2014-04-01,365,365,359,364,131000,47460000
2014-03-31,352,366,352,365,253000,91483000
2014-03-28,341,349,335,347,150000,51639000
2014-03-27,348,351,345,347,161000,55984000
2014-03-26,343,349,343,348,141000,48881000
2014-03-25,343,343,338,342,79000,26977000
2014-03-24,331,344,331,340,106000,36045000
2014-03-20,340,340,329,331,184000,61073000
2014-03-19,334,339,330,334,85000,28405000
2014-03-18,332,337,328,335,117000,38995000
2014-03-17,332,333,327,329,91000,30010000
2014-03-14,336,340,332,332,265000,89019000
2014-03-13,342,342,337,339,101000,34338000
2014-03-12,347,347,342,343,64000,21988000
2014-03-11,348,349,347,349,76000,26483000
2014-03-10,345,348,345,346,55000,19060000
2014-03-07,349,352,346,348,115000,40040000
2014-03-06,341,348,341,347,105000,36295000
2014-03-05,341,348,341,343,154000,53074000
2014-03-04,328,339,328,338,150000,49912000
2014-03-03,338,338,321,331,185000,60744000
2014-02-28,342,342,337,341,96000,32588000
2014-02-27,342,343,340,341,66000,22545000
2014-02-26,343,348,343,343,88000,30317000
2014-02-25,343,350,338,347,128000,44031000
2014-02-24,342,349,336,338,113000,38580000
2014-02-21,343,349,338,346,124000,42573000
2014-02-20,345,345,332,336,129000,43468000
2014-02-19,350,350,345,346,51000,17658000
2014-02-18,347,352,345,350,137000,47831000
2014-02-17,344,350,336,349,120000,41048000
2014-02-14,351,351,334,343,154000,52665000
2014-02-13,355,355,350,350,81000,28472000
2014-02-12,357,357,351,356,96000,33967000
2014-02-10,350,354,346,351,150000,52424000
2014-02-07,349,356,344,351,146000,51086000
2014-02-06,343,350,338,340,176000,60317000
2014-02-05,340,348,335,337,226000,76633000
2014-02-04,350,350,332,333,391000,132579000
2014-02-03,361,365,359,360,208000,75424000
2014-01-31,381,387,366,368,209000,78177000
2014-01-30,375,382,372,380,288000,108815000
2014-01-29,368,385,368,385,232000,87944000
2014-01-28,365,375,364,364,248000,91075000
2014-01-27,363,371,363,366,316000,115527000
2014-01-24,372,379,371,376,307000,115553000
2014-01-23,392,395,380,380,224000,86424000
2014-01-22,396,398,389,391,307000,120948000
2014-01-21,393,401,393,395,442000,175864000
2014-01-20,388,398,382,392,434000,170267000
2014-01-17,371,390,370,389,425000,161846000
2014-01-16,367,376,367,371,423000,157351000
2014-01-15,361,369,361,368,247000,90173000
2014-01-14,367,369,362,363,326000,118939000
2014-01-10,377,381,371,377,318000,119921000
2014-01-09,372,381,369,380,412000,155036000
2014-01-08,358,383,357,375,748000,277811000
2014-01-07,360,366,352,358,300000,107840000
2014-01-06,359,364,351,360,349000,125130000
2013-12-30,343,356,343,354,319000,112096000
2013-12-27,345,347,339,346,230000,79012000
2013-12-26,337,344,336,342,243000,82738000
2013-12-25,335,337,333,336,329000,110209000
2013-12-24,334,339,333,335,315000,105688000
2013-12-20,340,340,334,338,352000,118556000
2013-12-19,348,349,334,337,716000,244796000
2013-12-18,331,340,331,340,652000,219151000
2013-12-17,335,335,327,330,318000,105033000
2013-12-16,326,338,326,333,780000,258940000
2013-12-13,324,331,318,330,889000,289198000
2013-12-12,324,324,316,319,493000,157822000
2013-12-11,334,336,325,326,891000,293959000
2013-12-10,330,339,325,337,2275000,754092000
2013-12-09,310,314,308,311,368000,114399000
2013-12-06,298,305,296,304,302000,90854000
2013-12-05,297,297,293,293,106000,31218000
2013-12-04,299,299,293,295,166000,49024000
2013-12-03,302,302,299,300,127000,38122000
2013-12-02,301,303,300,300,88000,26493000
2013-11-29,302,302,300,300,59000,17751000
2013-11-28,300,302,300,302,70000,21044000
2013-11-27,298,301,297,300,130000,38832000
2013-11-26,300,301,299,300,64000,19203000
2013-11-25,300,301,299,301,83000,24900000
