4063-T,東証1部,信越化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,6191,6229,6055,6101,1470700,8997772000
2014-06-26,6186,6242,6176,6183,1193200,7396269800
2014-06-25,6240,6282,6181,6185,1098200,6828688200
2014-06-24,6240,6311,6210,6308,1459600,9167583700
2014-06-23,6186,6228,6147,6218,1988500,12317281200
2014-06-20,6250,6298,6137,6156,1973000,12227445000
2014-06-19,6177,6293,6175,6291,2016300,12630863100
2014-06-18,6050,6155,6049,6140,1116900,6833404300
2014-06-17,6090,6094,6027,6050,1289900,7816940500
2014-06-16,6001,6052,5985,6046,1070100,6448838600
2014-06-13,5979,6038,5944,6035,2465800,14770666600
2014-06-12,5996,6019,5950,5998,1221700,7319264500
2014-06-11,6033,6053,5991,6020,1198700,7205099700
2014-06-10,6194,6204,6038,6056,1533700,9345423000
2014-06-09,6199,6217,6182,6184,795400,4928894700
2014-06-06,6210,6227,6106,6171,1244600,7669246200
2014-06-05,6201,6245,6156,6167,1018600,6302442700
2014-06-04,6227,6236,6126,6163,913400,5634587800
2014-06-03,6210,6236,6177,6180,937000,5813687800
2014-06-02,6090,6198,6085,6174,883900,5444306400
2014-05-30,6051,6091,6032,6049,1163500,7046947100
2014-05-29,6055,6081,6024,6063,637600,3860401800
2014-05-28,6111,6144,6067,6108,779400,4761754600
2014-05-27,6088,6176,6084,6129,915400,5618934500
2014-05-26,6099,6099,6057,6098,760100,4624218300
2014-05-23,6080,6093,6032,6058,1027300,6230040600
2014-05-22,6006,6096,5996,6080,916600,5559756400
2014-05-21,5934,5977,5913,5959,761700,4527674600
2014-05-20,5963,5995,5934,5954,558700,3329380500
2014-05-19,5958,6010,5925,5949,692200,4123841900
2014-05-16,5917,6001,5911,5995,1249800,7460656600
2014-05-15,5940,5976,5903,5968,702000,4172867400
2014-05-14,5973,6027,5964,6008,552000,3313534400
2014-05-13,6000,6038,5990,6012,891000,5357992300
2014-05-12,5901,5929,5885,5885,597400,3525557700
2014-05-09,5895,5959,5865,5909,1092000,6451995500
2014-05-08,5915,6028,5911,5964,1184800,7080846700
2014-05-07,5988,5994,5865,5881,1585800,9354321600
2014-05-02,5918,6007,5877,5995,1587600,9461660300
2014-05-01,5951,5960,5816,5929,2689800,15818038700
