4064-T,東証1部,カーバイド,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,289,290,277,282,2673000,755048000
2014-06-26,284,292,281,291,3013000,864776000
2014-06-25,285,288,279,280,2851000,804389000
2014-06-24,288,291,283,289,2853000,822878000
2014-06-23,300,301,283,286,5929000,1713275000
2014-06-20,310,311,298,299,5836000,1775752000
2014-06-19,303,307,297,307,4724000,1427537000
2014-06-18,306,310,299,302,5307000,1614061000
2014-06-17,304,311,295,307,12462000,3788618000
2014-06-16,289,304,287,300,11045000,3285317000
2014-06-13,277,290,276,285,4883000,1391265000
2014-06-12,278,287,276,281,4218000,1185792000
2014-06-11,264,285,262,283,8568000,2357116000
2014-06-10,281,283,264,267,7245000,1969092000
2014-06-09,295,296,280,284,4074000,1167702000
2014-06-06,294,301,280,290,12815000,3741878000
2014-06-05,286,296,282,292,17848000,5170978000
2014-06-04,265,278,264,278,14601000,3973882000
2014-06-03,255,262,247,259,4122000,1060315000
2014-06-02,256,262,252,254,3322000,849923000
2014-05-30,259,267,245,254,10060000,2576023000
2014-05-29,231,254,228,252,8433000,2073736000
2014-05-28,225,232,225,230,1510000,345783000
2014-05-27,220,228,220,223,895000,200551000
2014-05-26,221,222,218,221,376000,82721000
2014-05-23,220,223,215,216,503000,110437000
2014-05-22,216,221,216,220,529000,115226000
2014-05-21,210,214,209,213,460000,97394000
2014-05-20,210,217,210,216,964000,205932000
2014-05-19,227,227,209,211,1376000,297219000
2014-05-16,224,234,223,228,1168000,266852000
2014-05-15,224,237,218,230,2851000,653999000
2014-05-14,212,232,210,229,3907000,870647000
2014-05-13,199,207,197,207,691000,139630000
2014-05-12,202,205,196,196,672000,134347000
2014-05-09,208,208,201,202,881000,180005000
2014-05-08,212,213,208,210,746000,157673000
2014-05-07,216,216,210,211,376000,79643000
2014-05-02,215,223,214,216,712000,155370000
2014-05-01,213,217,210,215,1071000,228659000
2014-04-30,214,216,211,212,454000,96744000
2014-04-28,213,215,212,213,458000,97665000
2014-04-25,216,217,215,216,284000,61428000
2014-04-24,217,218,216,217,275000,59647000
2014-04-23,216,220,214,218,685000,148696000
2014-04-22,220,221,216,216,413000,90021000
2014-04-21,219,223,218,219,546000,120367000
2014-04-18,218,221,218,219,451000,98863000
2014-04-17,218,221,218,219,599000,131360000
2014-04-16,215,220,214,220,499000,108234000
2014-04-15,220,220,215,215,515000,111609000
2014-04-14,218,223,216,217,315000,68759000
2014-04-11,218,221,216,219,705000,153787000
2014-04-10,223,231,220,222,1458000,328101000
2014-04-09,219,221,217,218,516000,112905000
2014-04-08,221,223,221,221,374000,82932000
2014-04-07,227,227,223,224,376000,84564000
