4080-T,JQスタンダード,田中化研,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,500,504,489,492,36800,18230400
2014-06-26,504,508,485,508,75500,37553300
2014-06-25,497,502,492,497,26300,13065400
2014-06-24,504,505,494,502,43600,21845900
2014-06-23,509,514,504,505,81600,41474500
2014-06-20,489,519,487,503,235500,118271200
2014-06-19,485,488,472,481,73400,35272700
2014-06-18,460,479,460,479,49100,23182000
2014-06-17,470,474,458,465,23000,10711700
2014-06-16,472,485,467,470,38500,18233300
2014-06-13,458,472,452,470,47900,22285900
2014-06-12,441,462,433,450,39800,17908400
2014-06-11,437,443,427,441,24200,10530200
2014-06-10,451,453,440,441,31900,14192000
2014-06-09,450,452,440,448,21200,9502500
2014-06-06,439,450,439,449,24200,10738300
2014-06-05,434,448,432,445,17100,7473200
2014-06-04,445,449,429,437,38000,16580700
2014-06-03,451,458,447,449,28400,12805300
2014-06-02,455,465,451,454,34200,15602700
2014-05-30,446,454,440,447,23700,10529600
2014-05-29,446,456,443,446,41500,18591800
2014-05-28,438,478,436,464,168600,76818400
2014-05-27,422,423,415,423,13300,5580500
2014-05-26,413,424,413,419,18100,7536600
2014-05-23,410,413,405,410,10000,4089000
2014-05-22,400,407,398,402,15700,6296500
2014-05-21,398,402,395,398,18400,7334000
2014-05-20,403,409,398,402,34400,13837800
2014-05-19,420,427,400,401,28700,11961900
2014-05-16,415,424,415,423,37400,15576400
2014-05-15,420,429,411,423,21300,8918900
2014-05-14,420,429,416,422,8900,3780800
2014-05-13,414,439,414,423,15800,6712400
2014-05-12,418,424,416,418,6300,2634900
2014-05-09,410,430,410,420,24400,10230500
2014-05-08,421,423,418,418,5400,2272400
2014-05-07,432,432,420,421,7000,2982600
2014-05-02,424,425,410,425,14100,5856600
2014-05-01,415,420,414,419,8600,3586500
2014-04-30,416,417,410,412,11800,4883400
2014-04-28,420,423,415,415,11900,4975100
2014-04-25,427,429,415,416,17100,7226300
2014-04-24,425,427,415,415,29100,12246200
2014-04-23,426,433,426,429,5600,2396000
2014-04-22,429,434,427,427,22500,9627400
2014-04-21,432,434,425,427,13700,5878500
2014-04-18,425,429,423,424,11100,4717700
2014-04-17,427,431,425,425,14900,6372100
2014-04-16,421,430,419,423,14300,6043000
2014-04-15,425,430,420,420,8300,3524300
2014-04-14,410,420,406,417,9700,4013400
2014-04-11,410,415,403,410,28600,11679300
2014-04-10,423,430,419,419,21900,9261900
2014-04-09,431,431,423,423,17900,7620700
2014-04-08,427,436,427,431,13500,5807400
2014-04-07,442,446,436,440,11100,4904600
2014-04-04,442,456,441,450,24500,10987200
2014-04-03,445,454,431,445,24200,10782900
2014-04-02,454,456,446,449,31200,14042900
2014-04-01,455,455,438,446,12200,5465400
2014-03-31,437,449,435,449,19600,8719500
2014-03-28,426,436,412,436,11400,4856900
2014-03-27,401,427,400,427,55300,22413400
2014-03-26,439,439,422,425,20000,8628400
2014-03-25,438,446,431,432,20300,8838200
2014-03-24,435,441,431,438,20300,8831800
2014-03-20,453,453,425,430,61400,26981900
2014-03-19,454,461,452,452,38300,17426600
2014-03-18,452,464,450,464,30800,13929300
2014-03-17,454,455,445,445,41200,18528200
2014-03-14,460,466,453,458,45900,21079900
2014-03-13,475,485,468,468,26200,12367700
2014-03-12,477,482,476,477,24100,11508900
2014-03-11,481,520,480,483,216800,107855400
2014-03-10,475,476,465,470,39900,18790900
2014-03-07,476,480,473,478,38800,18451000
2014-03-06,481,486,469,475,39300,18763100
2014-03-05,493,497,470,477,68300,32988600
2014-03-04,462,498,455,481,98100,47013600
2014-03-03,475,478,457,463,112900,52434900
2014-02-28,520,523,475,484,220500,110960800
2014-02-27,580,614,500,500,2324000,1314538500
2014-02-26,480,527,476,527,148900,75437900
2014-02-25,450,454,446,447,13800,6195100
2014-02-24,444,454,442,452,12900,5771000
2014-02-21,441,456,437,444,12400,5490400
2014-02-20,445,446,437,437,11800,5197900
2014-02-19,456,461,446,446,10500,4743700
2014-02-18,450,465,441,456,18900,8568900
2014-02-17,445,448,435,448,11800,5220100
2014-02-14,464,464,435,443,22900,10231500
2014-02-13,478,478,452,456,20800,9568800
2014-02-12,466,476,455,469,32100,15021500
2014-02-10,448,450,442,450,13700,6112100
2014-02-07,436,454,435,436,19800,8739800
2014-02-06,427,438,420,420,35200,15155800
2014-02-05,428,444,412,418,40400,17064300
2014-02-04,427,450,390,405,133100,55642700
2014-02-03,464,465,451,455,31500,14432600
2014-01-31,475,490,461,464,37400,17624600
2014-01-30,477,485,471,471,30100,14312900
2014-01-29,492,496,477,489,26800,13071500
2014-01-28,497,497,472,484,47600,23102500
2014-01-27,480,485,470,477,65200,31186500
2014-01-24,497,509,495,501,29800,14918800
2014-01-23,504,510,500,501,57900,29111600
2014-01-22,510,527,509,510,51400,26479800
2014-01-21,543,545,510,519,79000,41188500
2014-01-20,546,546,532,538,24700,13314600
2014-01-17,531,542,531,542,36600,19601600
2014-01-16,544,544,533,535,44500,23885600
2014-01-15,555,559,533,544,69700,38125800
2014-01-14,536,555,531,543,66300,35812800
2014-01-10,566,583,545,556,154300,86288800
2014-01-09,575,608,560,586,720700,420713300
2014-01-08,547,567,527,557,288600,158421600
2014-01-07,551,553,505,527,203600,109210100
2014-01-06,485,559,470,541,479500,252876500
2013-12-30,479,489,475,481,55800,26935700
2013-12-27,465,470,458,465,36500,16921800
2013-12-26,453,470,450,457,55400,25363100
2013-12-25,433,440,430,438,100000,43378500
2013-12-24,456,456,440,441,87400,39180200
2013-12-20,470,470,455,458,57600,26643200
2013-12-19,485,488,468,471,65900,31610100
2013-12-18,470,473,467,468,48700,22876000
2013-12-17,478,488,477,478,27600,13295200
2013-12-16,499,499,473,473,76500,37035200
2013-12-13,510,510,497,503,50300,25277800
2013-12-12,516,516,504,507,35600,18054100
2013-12-11,511,514,504,513,73300,37270300
2013-12-10,519,524,515,517,41900,21741700
2013-12-09,536,539,512,522,60900,31777200
2013-12-06,528,539,516,526,58800,30969600
2013-12-05,551,561,533,533,110800,60761700
2013-12-04,575,575,543,551,180800,100560400
2013-12-03,565,598,535,572,840600,478651700
2013-12-02,505,517,490,511,66600,33480500
2013-11-29,525,525,504,507,52100,26560500
2013-11-28,543,543,514,518,77700,40577300
2013-11-27,521,533,512,526,135400,70416000
2013-11-26,548,591,522,531,245300,135340700
2013-11-25,516,553,506,548,254400,136282500
2013-11-22,530,567,501,524,547600,295590200
2013-11-21,458,537,458,501,617300,312155400
2013-11-20,457,462,455,457,44500,20362200
2013-11-19,455,461,455,455,40500,18498900
2013-11-18,466,466,454,454,51200,23482800
2013-11-15,460,470,452,455,62200,28588600
2013-11-14,453,461,452,453,40100,18267400
2013-11-13,457,460,451,459,46000,20940900
2013-11-12,460,469,456,467,50700,23405100
2013-11-11,471,471,453,453,45600,20959100
2013-11-08,461,465,455,455,45300,20754700
2013-11-07,468,475,463,466,33400,15650900
2013-11-06,468,482,467,472,40600,19315000
