4082-T,東証2部,稀元素,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2844,2875,2570,2700,81000,220975900
2014-06-26,2515,3000,2506,2894,118000,336960600
2014-06-25,2530,2530,2493,2506,4200,10587800
2014-06-24,2540,2540,2450,2514,8200,20491400
2014-06-23,2493,2515,2490,2490,3800,9492600
2014-06-20,2526,2550,2490,2493,9700,24486300
2014-06-19,2456,2510,2451,2510,15700,38851000
2014-06-18,2460,2460,2445,2460,6800,16713700
2014-06-17,2410,2440,2410,2440,4300,10422200
2014-06-16,2448,2450,2400,2410,7700,18755100
2014-06-13,2385,2398,2360,2398,7600,18119200
2014-06-12,2326,2385,2326,2379,5100,12038100
2014-06-11,2315,2379,2315,2356,4500,10567600
2014-06-10,2334,2347,2323,2339,4000,9347300
2014-06-09,2347,2369,2331,2345,8600,20147400
2014-06-06,2315,2360,2315,2347,6300,14720200
2014-06-05,2333,2345,2267,2312,8800,20389000
2014-06-04,2366,2366,2341,2341,4400,10388600
2014-06-03,2363,2388,2363,2370,3900,9267000
2014-06-02,2365,2389,2365,2376,5100,12123600
2014-05-30,2388,2388,2362,2365,1700,4038400
2014-05-29,2390,2400,2358,2388,4000,9534200
2014-05-28,2392,2425,2390,2391,3200,7694300
2014-05-27,2369,2405,2369,2399,4300,10308600
2014-05-26,2377,2410,2355,2384,5100,12174900
2014-05-23,2317,2341,2290,2330,8700,20159800
2014-05-22,2181,2320,2181,2288,9000,20277000
2014-05-21,2160,2208,2160,2181,6500,14176600
2014-05-20,2200,2200,2106,2160,17900,38697900
2014-05-19,2270,2270,2203,2218,14600,32625400
2014-05-16,2331,2340,2295,2324,12300,28418800
2014-05-15,2415,2415,2380,2381,8700,20818100
2014-05-14,2363,2432,2363,2431,10000,23985200
2014-05-13,2380,2405,2290,2401,44000,103432200
2014-05-12,2418,2497,2418,2464,17600,43204300
2014-05-09,2432,2454,2417,2454,9200,22348400
2014-05-08,2461,2470,2422,2444,9900,24177400
2014-05-07,2430,2474,2413,2474,4500,11016800
2014-05-02,2438,2446,2426,2445,2500,6092300
2014-05-01,2478,2478,2423,2456,10700,26122700
2014-04-30,2530,2530,2456,2478,4000,9967600
2014-04-28,2508,2555,2507,2523,10000,25151900
2014-04-25,2597,2600,2521,2570,21900,56416400
2014-04-24,2492,2519,2458,2478,7500,18628500
2014-04-23,2455,2498,2430,2469,4500,11035300
2014-04-22,2471,2475,2425,2437,6900,16900200
2014-04-21,2473,2476,2415,2471,5900,14433600
2014-04-18,2473,2473,2437,2470,2400,5902700
2014-04-17,2450,2477,2445,2450,4100,10070500
2014-04-16,2407,2447,2383,2447,9800,23583100
2014-04-15,2396,2419,2390,2407,5800,13929700
2014-04-14,2375,2420,2375,2395,4900,11728700
2014-04-11,2338,2393,2338,2393,11300,26690000
2014-04-10,2544,2544,2420,2430,7900,19562600
2014-04-09,2535,2547,2500,2500,6800,17125400
2014-04-08,2580,2580,2542,2572,9000,23073200
2014-04-07,2590,2644,2587,2633,6200,16237000
2014-04-04,2684,2685,2643,2680,5200,13909200
2014-04-03,2670,2681,2650,2676,5600,14922300
2014-04-02,2644,2684,2615,2670,10200,26998700
2014-04-01,2615,2687,2615,2644,12000,31872700
2014-03-31,2580,2650,2538,2639,25800,66865600
2014-03-28,2372,2509,2372,2490,25800,62281000
2014-03-27,2386,2436,2363,2405,19700,47006600
2014-03-26,2433,2474,2415,2459,6000,14674700
2014-03-25,2500,2500,2399,2434,28300,68677000
2014-03-24,2500,2539,2479,2505,10900,27334600
2014-03-20,2546,2566,2503,2524,10400,26295700
2014-03-19,2502,2580,2502,2570,10300,26243800
2014-03-18,2488,2517,2460,2502,10000,24797500
2014-03-17,2528,2534,2343,2438,28100,69304800
2014-03-14,2625,2640,2546,2546,16600,43097700
2014-03-13,2680,2680,2650,2662,9000,23964500
2014-03-12,2696,2696,2669,2680,8300,22266100
2014-03-11,2694,2710,2680,2700,6000,16176000
2014-03-10,2689,2695,2652,2695,11800,31628900
2014-03-07,2674,2680,2630,2657,10600,28240800
2014-03-06,2630,2639,2583,2631,10000,26131000
2014-03-05,2607,2644,2606,2630,5700,14978300
2014-03-04,2550,2615,2541,2572,6100,15703300
2014-03-03,2611,2643,2540,2567,22700,58606900
2014-02-28,2697,2697,2612,2660,16200,42911400
2014-02-27,2734,2734,2668,2683,15400,41625900
2014-02-26,2717,2717,2653,2705,11800,31871600
2014-02-25,2750,2785,2685,2718,18900,51503500
2014-02-24,2643,2770,2642,2706,14200,38420800
2014-02-21,2620,2660,2619,2643,12700,33458100
2014-02-20,2745,2749,2604,2615,20800,55668100
2014-02-19,2712,2748,2701,2747,10400,28317800
2014-02-18,2662,2775,2662,2712,18900,51521500
2014-02-17,2750,2751,2587,2676,20500,54669500
2014-02-14,2828,2828,2701,2729,34600,95812700
2014-02-13,2955,2980,2781,2810,121500,349575500
2014-02-12,2695,2705,2651,2705,19700,52877800
2014-02-10,2589,2637,2536,2596,16000,41424600
2014-02-07,2585,2588,2500,2528,17300,44163100
2014-02-06,2372,2536,2370,2505,16400,39753000
2014-02-05,2360,2420,2244,2372,19200,45429600
2014-02-04,2460,2461,2222,2300,41600,98304500
2014-02-03,2600,2610,2540,2563,18200,46806900
2014-01-31,2670,2700,2616,2627,15800,41918400
2014-01-30,2652,2716,2652,2657,17300,46101700
2014-01-29,2748,2780,2700,2770,8300,22809700
2014-01-28,2654,2700,2654,2700,14500,38956400
2014-01-27,2700,2713,2601,2652,43300,115368700
2014-01-24,2854,2893,2810,2814,14300,40668300
2014-01-23,2900,2931,2877,2895,7600,22100900
2014-01-22,2880,2914,2863,2914,6600,19120200
2014-01-21,2910,2925,2893,2910,15000,43636900
2014-01-20,2915,2925,2866,2894,14900,43234300
2014-01-17,2909,2920,2853,2915,7900,22946600
2014-01-16,2923,2925,2906,2910,8500,24785300
2014-01-15,2900,2934,2890,2913,14100,41166700
2014-01-14,2869,2880,2800,2875,15100,43032400
2014-01-10,2900,2949,2900,2908,30800,89829800
2014-01-09,2875,2890,2833,2855,22900,65774400
2014-01-08,2769,2950,2740,2909,47700,136593500
2014-01-07,2703,2733,2703,2733,11200,30480800
2014-01-06,2730,2748,2710,2710,25400,69246600
2013-12-30,2728,2757,2700,2720,21100,57507200
2013-12-27,2705,2770,2705,2766,13100,35802000
2013-12-26,2730,2730,2676,2701,13900,37482400
2013-12-25,2737,2737,2670,2699,11800,31913900
2013-12-24,2700,2735,2668,2700,28800,78220600
2013-12-20,2680,2680,2658,2679,25700,68650000
2013-12-19,2725,2727,2680,2683,14400,39006500
2013-12-18,2710,2710,2670,2708,8700,23429400
2013-12-17,2658,2725,2658,2683,10300,27700600
2013-12-16,2700,2710,2650,2652,14500,38903500
2013-12-13,2720,2739,2680,2690,22800,61774600
2013-12-12,2705,2742,2705,2721,10500,28490000
2013-12-11,2754,2790,2705,2725,15900,43540400
2013-12-10,2795,2836,2786,2790,12000,33591100
2013-12-09,2812,2836,2810,2821,22800,64143100
2013-12-06,2776,2828,2776,2812,12100,33746600
2013-12-05,2830,2844,2800,2801,9900,27972100
2013-12-04,2851,2874,2815,2830,20800,59148400
2013-12-03,2994,2994,2857,2857,29200,85062100
2013-12-02,2980,3025,2960,2984,16700,49973700
2013-11-29,2950,3005,2940,2965,11900,35430600
2013-11-28,3035,3075,2982,3005,22500,67979200
2013-11-27,2900,3020,2892,3010,48000,142448200
2013-11-26,2900,2947,2880,2900,22400,65070300
2013-11-25,2879,2970,2832,2883,42400,123360300
2013-11-22,2829,2830,2785,2823,8600,24178900
2013-11-21,2793,2793,2728,2793,11500,31908500
2013-11-20,2755,2764,2727,2754,10700,29420600
2013-11-19,2699,2720,2678,2718,11700,31632100
2013-11-18,2704,2729,2673,2679,27100,73087700
2013-11-15,2696,2728,2675,2700,21700,58427700
2013-11-14,2735,2740,2690,2696,16400,44325200
2013-11-13,2750,2750,2705,2714,9400,25624500
2013-11-12,2734,2800,2725,2783,9800,27112400
2013-11-11,2723,2740,2670,2733,12000,32426700
2013-11-08,2662,2700,2653,2673,15600,41694000
2013-11-07,2850,2850,2675,2698,50200,137944400
2013-11-06,2800,2876,2799,2824,24900,70204000
2013-11-05,2950,2989,2790,2791,53900,153648900
2013-11-01,2986,3095,2986,3025,18800,56963800
2013-10-31,3010,3010,2950,2986,7200,21391900
2013-10-30,3035,3080,2906,3010,17400,52225500
2013-10-29,3015,3080,3010,3035,2200,6670500
2013-10-28,3075,3100,3020,3040,7500,22969500
2013-10-25,3140,3140,3045,3065,3800,11748500
2013-10-24,3085,3120,3015,3120,5900,18160000
2013-10-23,3200,3205,3065,3070,17600,55507500
2013-10-22,3060,3200,3005,3180,18400,57041500
2013-10-21,2980,3100,2951,3065,16600,49836500
2013-10-18,2925,2980,2925,2975,7200,21320100
2013-10-17,2903,2950,2880,2921,12300,35840200
2013-10-16,2880,2900,2850,2874,3300,9517300
2013-10-15,2867,2880,2835,2880,7900,22627300
2013-10-11,2880,2890,2830,2867,6700,19217300
2013-10-10,2929,2929,2875,2895,9600,27822900
2013-10-09,2840,2931,2821,2916,14900,43020400
2013-10-08,2760,2890,2700,2890,20600,57421600
2013-10-07,2770,2776,2750,2776,11600,31974900
2013-10-04,2780,2789,2750,2765,4800,13267100
2013-10-03,2765,2812,2752,2798,4400,12217100
2013-10-02,2815,2837,2766,2766,6800,19020300
2013-10-01,2787,2818,2787,2799,2200,6170100
2013-09-30,2797,2807,2765,2787,7800,21777600
2013-09-27,2805,2829,2800,2802,5200,14604600
2013-09-26,2874,2878,2780,2832,5200,14684700
2013-09-25,2901,2901,2786,2869,10800,30847100
2013-09-24,2885,2885,2780,2864,15000,42466500
2013-09-20,2850,2930,2819,2930,36600,104740900
2013-09-19,2723,2750,2707,2742,11200,30601400
2013-09-18,2704,2728,2704,2723,4300,11680500
2013-09-17,2699,2747,2671,2739,16500,44717000
2013-09-13,2746,2746,2666,2700,28900,77803200
2013-09-12,2729,2819,2698,2787,16500,45453300
2013-09-11,2734,2734,2663,2696,12400,33409900
2013-09-10,2710,2750,2690,2690,15000,40757200
2013-09-09,2835,2860,2678,2725,24900,68613200
2013-09-06,2900,2900,2750,2810,36300,102504700
2013-09-05,2875,3120,2837,2863,73900,219547700
2013-09-04,2800,2819,2741,2805,19500,54298900
2013-09-03,2751,2879,2701,2838,25500,71455200
2013-09-02,2712,2773,2712,2750,13000,35623100
2013-08-30,2786,2796,2742,2750,13000,36097500
2013-08-29,2777,2786,2700,2786,15400,42413000
2013-08-28,2699,2750,2650,2730,16200,43919500
2013-08-27,2801,2829,2750,2778,16600,46432100
2013-08-26,2704,2849,2704,2829,27600,76908500
2013-08-23,2620,2750,2600,2724,35300,94633400
2013-08-22,2580,2630,2520,2520,42200,108016100
2013-08-21,2731,2740,2616,2645,24100,64441500
2013-08-20,2840,2870,2620,2781,34400,95170400
2013-08-19,2950,2950,2835,2860,47300,136865800
2013-08-16,2856,3080,2802,3020,94900,283006900
2013-08-15,2701,2910,2662,2856,80500,226318400
2013-08-14,2610,2805,2610,2712,63300,170558700
2013-08-13,2550,2640,2451,2592,88000,223629300
2013-08-12,2592,2592,2558,2592,114600,297038500
2013-08-09,2115,2130,2049,2092,6600,13702800
2013-08-08,2020,2122,2001,2065,8500,17567700
2013-08-07,2046,2062,2001,2062,2600,5297600
2013-08-06,2150,2159,2059,2060,6600,13939600
2013-08-05,2104,2150,2062,2150,11000,23366600
2013-08-02,2063,2104,2012,2104,9600,19798900
2013-08-01,2022,2063,1971,2063,8400,17032700
2013-07-31,2092,2110,2010,2070,20200,41962800
2013-07-30,1909,2025,1909,2022,12300,24254300
2013-07-29,1867,1910,1862,1905,5900,11173500
2013-07-26,1847,1892,1847,1892,4100,7681600
2013-07-25,1872,1872,1845,1866,3400,6346700
2013-07-24,1820,1834,1812,1834,2000,3639000
2013-07-23,1828,1890,1825,1831,3500,6430800
2013-07-22,1850,1860,1834,1842,3300,6085000
2013-07-19,1888,1890,1850,1887,8100,15189100
2013-07-18,1925,1926,1867,1884,5400,10232000
2013-07-17,1970,1970,1911,1925,4500,8696500
2013-07-16,1985,1990,1968,1969,1800,3561800
2013-07-12,1950,1985,1942,1985,3000,5882700
2013-07-11,1960,1960,1886,1940,5500,10550900
2013-07-10,1970,1991,1960,1960,2100,4151000
2013-07-09,1978,2000,1945,1960,5900,11621200
2013-07-08,1929,2005,1929,1975,5900,11732400
2013-07-05,1907,1926,1882,1925,3000,5735600
2013-07-04,1916,1932,1899,1907,3000,5723200
2013-07-03,1990,2029,1910,1910,12500,24683700
2013-07-02,1970,1995,1950,1955,13300,26177600
2013-07-01,1760,1865,1760,1850,6600,11975300
2013-06-28,1735,1800,1735,1788,2800,4970200
2013-06-27,1755,1755,1704,1749,2800,4853200
2013-06-26,1742,1782,1615,1700,7300,12367500
2013-06-25,1857,1859,1730,1740,6300,11349000
2013-06-24,1860,1860,1842,1842,700,1300200
2013-06-21,1815,1864,1807,1860,13800,25094700
