4201-T,東証1部,日合成,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,817,818,794,798,445000,357004000
2014-06-26,820,830,819,824,387000,318875000
2014-06-25,822,834,814,816,418000,344114000
2014-06-24,846,849,827,833,548000,456837000
2014-06-23,827,853,820,851,718000,604761000
2014-06-20,833,835,810,813,509000,417200000
2014-06-19,803,834,803,834,629000,517763000
2014-06-18,789,807,783,806,365000,291164000
2014-06-17,785,786,777,784,162000,126792000
2014-06-16,786,793,777,780,147000,115444000
2014-06-13,772,786,771,781,296000,229898000
2014-06-12,771,784,770,783,221000,172270000
2014-06-11,779,782,770,777,258000,199995000
2014-06-10,797,800,775,779,377000,295455000
2014-06-09,779,802,775,796,682000,539483000
2014-06-06,749,767,745,766,482000,365158000
2014-06-05,733,753,733,749,378000,281786000
2014-06-04,750,750,732,736,267000,197623000
2014-06-03,760,760,742,744,204000,152347000
2014-06-02,743,759,743,757,229000,172277000
2014-05-30,754,754,726,735,232000,171519000
2014-05-29,744,754,742,754,261000,195499000
2014-05-28,745,750,740,745,289000,215554000
2014-05-27,730,745,730,744,355000,262762000
2014-05-26,726,730,722,726,226000,163836000
2014-05-23,702,728,702,722,412000,295413000
2014-05-22,681,694,674,692,231000,158426000
2014-05-21,673,674,668,672,132000,88584000
2014-05-20,672,677,664,674,128000,85983000
2014-05-19,685,685,669,670,174000,117490000
2014-05-16,695,695,680,683,238000,162788000
2014-05-15,706,706,692,700,155000,108333000
2014-05-14,703,715,703,710,249000,176632000
2014-05-13,704,707,697,703,174000,122320000
2014-05-12,696,704,687,687,178000,123532000
2014-05-09,692,701,687,693,259000,179665000
2014-05-08,683,695,683,690,174000,119987000
2014-05-07,696,696,683,683,222000,152382000
2014-05-02,691,701,690,695,244000,169432000
2014-05-01,679,694,676,689,354000,242736000
2014-04-30,696,698,678,680,335000,228791000
2014-04-28,707,707,682,686,331000,228122000
2014-04-25,710,722,708,709,273000,194822000
2014-04-24,723,734,723,730,184000,134048000
2014-04-23,725,732,723,732,229000,166625000
2014-04-22,717,723,712,712,121000,86761000
2014-04-21,715,723,713,718,100000,71698000
2014-04-18,718,718,711,716,99000,70788000
2014-04-17,713,723,711,712,145000,103857000
2014-04-16,698,720,698,720,162000,115274000
2014-04-15,696,701,694,697,193000,134720000
2014-04-14,688,703,688,695,210000,146274000
2014-04-11,700,702,691,698,184000,128166000
2014-04-10,725,725,702,706,195000,138762000
2014-04-09,715,716,707,710,333000,236951000
2014-04-08,739,739,718,719,366000,265307000
2014-04-07,747,754,737,739,400000,297772000
2014-04-04,738,762,737,752,588000,441769000
2014-04-03,750,751,735,737,476000,352917000
2014-04-02,741,752,737,748,644000,481129000
2014-04-01,747,755,735,739,438000,324759000
2014-03-31,731,741,725,741,467000,342840000
2014-03-28,717,727,702,724,475000,340616000
2014-03-27,706,719,686,717,1320000,921161000
2014-03-26,723,734,709,717,742000,532339000
2014-03-25,735,741,721,728,450000,327380000
2014-03-24,722,756,722,738,625000,462324000
2014-03-20,744,752,730,735,290000,214422000
2014-03-19,753,764,750,756,282000,213314000
2014-03-18,766,766,756,760,205000,156073000
2014-03-17,763,763,747,751,136000,102785000
2014-03-14,770,777,762,763,391000,300298000
2014-03-13,799,802,790,795,203000,161322000
2014-03-12,810,812,799,802,161000,129428000
2014-03-11,813,820,804,811,199000,161244000
