4217-T,東証1部,日立化成,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1656,1658,1628,1641,421900,692748600
2014-06-26,1664,1667,1647,1656,403400,667536200
2014-06-25,1676,1692,1654,1660,888600,1483141600
2014-06-24,1662,1684,1651,1669,1357400,2266440700
2014-06-23,1656,1661,1641,1661,771600,1275146700
2014-06-20,1652,1660,1636,1644,1005100,1653710800
2014-06-19,1629,1660,1628,1651,1272400,2097772600
2014-06-18,1595,1619,1593,1615,1037500,1670588800
2014-06-17,1565,1582,1560,1575,668000,1049746700
2014-06-16,1557,1557,1528,1546,603500,931539300
2014-06-13,1548,1569,1547,1566,694700,1081952300
2014-06-12,1558,1571,1554,1564,657800,1028129100
2014-06-11,1572,1575,1552,1562,400900,625044100
2014-06-10,1570,1575,1558,1560,570100,892198500
2014-06-09,1611,1613,1549,1557,1043500,1632627800
2014-06-06,1615,1623,1589,1596,598700,957049500
2014-06-05,1622,1632,1597,1605,1035900,1666762200
2014-06-04,1599,1615,1592,1615,1073700,1726877300
2014-06-03,1599,1603,1576,1586,727000,1156642400
2014-06-02,1589,1598,1569,1574,628900,991603700
2014-05-30,1566,1579,1547,1579,643900,1011462500
2014-05-29,1596,1596,1566,1569,426400,671376600
2014-05-28,1572,1595,1568,1591,932600,1480571400
2014-05-27,1549,1569,1548,1562,428100,668896800
2014-05-26,1566,1567,1542,1556,572800,888488800
2014-05-23,1552,1556,1541,1548,488300,755473600
2014-05-22,1518,1557,1510,1551,1015400,1563302900
2014-05-21,1509,1510,1488,1507,961700,1442900900
2014-05-20,1537,1547,1520,1532,907200,1394032000
2014-05-19,1555,1555,1538,1541,717500,1107449800
2014-05-16,1560,1560,1525,1548,849900,1309669200
2014-05-15,1579,1579,1552,1574,802100,1253215300
2014-05-14,1590,1590,1559,1587,995500,1572280400
2014-05-13,1582,1590,1553,1566,1325300,2075811500
2014-05-12,1565,1565,1540,1551,1004500,1557725800
2014-05-09,1539,1580,1537,1570,1298100,2038762100
2014-05-08,1533,1547,1531,1535,748900,1151299300
2014-05-07,1549,1563,1521,1525,1969100,3027909600
2014-05-02,1515,1515,1494,1509,850300,1280028700
2014-05-01,1515,1519,1492,1513,786900,1186716000
2014-04-30,1526,1526,1488,1503,1204800,1812787000
2014-04-28,1501,1528,1498,1505,1240000,1874944400
2014-04-25,1471,1524,1466,1524,2854800,4294774800
2014-04-24,1434,1439,1408,1411,942000,1342442500
2014-04-23,1445,1452,1429,1438,638700,920792700
2014-04-22,1456,1464,1449,1452,404100,588274600
2014-04-21,1448,1468,1447,1455,425900,621414200
2014-04-18,1434,1440,1423,1438,263600,377973800
2014-04-17,1424,1434,1417,1428,295000,420847700
2014-04-16,1418,1427,1405,1424,559700,793048600
2014-04-15,1400,1413,1394,1405,432800,607921600
2014-04-14,1382,1408,1380,1390,510700,713119400
2014-04-11,1387,1409,1374,1400,579700,811448800
2014-04-10,1451,1455,1414,1423,534000,763655200
2014-04-09,1424,1439,1414,1433,622400,890881500
2014-04-08,1449,1458,1440,1447,484800,703332100
2014-04-07,1465,1470,1446,1452,376100,546770500
2014-04-04,1468,1507,1459,1482,979800,1457139700
2014-04-03,1458,1469,1449,1458,663100,968525900
2014-04-02,1451,1467,1439,1449,772700,1124343500
2014-04-01,1432,1473,1430,1451,1669000,2423486400
2014-03-31,1381,1408,1370,1405,620300,861581300
2014-03-28,1375,1385,1355,1378,442500,606584700
2014-03-27,1352,1384,1352,1383,817200,1120449600
2014-03-26,1362,1374,1354,1373,654300,894869700
2014-03-25,1360,1369,1340,1360,835100,1131466500
2014-03-24,1363,1401,1359,1364,815600,1121274700
2014-03-20,1388,1399,1360,1360,486300,667869400
2014-03-19,1399,1407,1380,1388,316700,440921600
2014-03-18,1392,1400,1385,1388,278300,387648800
2014-03-17,1385,1392,1370,1377,324000,447393500
2014-03-14,1404,1408,1386,1386,800000,1117801100
2014-03-13,1426,1447,1425,1433,303600,436685800
2014-03-12,1435,1441,1423,1428,668800,956502600
2014-03-11,1452,1470,1450,1460,338600,494267700
2014-03-10,1457,1463,1444,1453,437600,635763900
2014-03-07,1463,1466,1439,1451,393100,570635000
2014-03-06,1440,1459,1432,1454,423500,613539600
2014-03-05,1462,1466,1445,1449,503800,733302900
2014-03-04,1402,1444,1399,1435,617200,884762000
2014-03-03,1408,1415,1390,1410,644500,904808400
2014-02-28,1430,1437,1412,1420,520900,740030500
2014-02-27,1439,1443,1421,1430,649300,930499800
2014-02-26,1456,1469,1438,1443,948100,1375538900
2014-02-25,1474,1479,1456,1462,603300,883659100
2014-02-24,1456,1478,1437,1453,620400,903067200
2014-02-21,1432,1459,1426,1456,839800,1215264700
2014-02-20,1430,1434,1407,1412,859000,1218321800
2014-02-19,1421,1439,1412,1434,803700,1148034100
2014-02-18,1400,1421,1394,1420,413600,583056300
2014-02-17,1389,1404,1375,1400,386700,539720600
2014-02-14,1400,1414,1374,1389,804000,1120744800
2014-02-13,1433,1442,1411,1415,601200,856641300
2014-02-12,1425,1437,1418,1428,812800,1160483200
2014-02-10,1420,1426,1401,1403,683400,962067300
2014-02-07,1367,1405,1367,1390,1396900,1938570700
