4235-T,JQスタンダード,第一化成,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,390,391,386,386,11000,4263000
2014-06-26,394,394,391,394,4000,1571000
2014-06-25,393,397,390,396,8000,3159000
2014-06-24,384,390,380,390,10000,3861000
2014-06-23,389,389,381,381,6000,2302000
2014-06-20,385,386,385,386,4000,1541000
2014-06-19,380,380,380,380,5000,1900000
2014-06-18,372,380,372,380,4000,1502000
2014-06-17,371,371,369,370,9000,3327000
2014-06-16,368,370,367,370,7000,2577000
2014-06-13,365,365,365,365,1000,365000
2014-06-12,366,367,366,367,7000,2563000
2014-06-11,368,368,367,367,3000,1103000
2014-06-10,363,366,362,362,6000,2182000
2014-06-09,364,368,361,362,8000,2912000
2014-06-06,362,364,362,364,2000,726000
2014-06-05,361,361,356,356,3000,1075000
2014-06-04,360,360,358,358,2000,718000
2014-06-03,361,361,358,360,13000,4680000
2014-06-02,369,369,360,360,12000,4391000
2014-05-30,349,377,348,376,22000,7970000
2014-05-29,341,341,341,341,1000,341000
2014-05-28,336,349,336,349,4000,1365000
2014-05-27,340,345,338,338,7000,2376000
2014-05-26,345,345,338,338,8000,2732000
2014-05-23,336,339,336,339,5000,1690000
2014-05-22,338,338,334,334,2000,672000
2014-05-21,330,330,330,330,2000,660000
2014-05-20,335,335,335,335,1000,335000
2014-05-19,334,334,331,331,11000,3664000
2014-05-16,349,350,340,340,10000,3445000
2014-05-15,357,357,356,356,3000,1069000
2014-05-14,357,357,357,357,1000,357000
2014-05-13,352,361,352,360,10000,3587000
2014-05-12,361,361,338,350,66000,22870000
2014-05-09,410,411,401,401,29000,11725000
2014-05-08,409,410,406,410,6000,2449000
2014-05-07,412,412,406,406,10000,4099000
2014-05-02,410,412,409,410,6000,2465000
2014-05-01,407,410,402,410,8000,3249000
2014-04-30,412,412,412,412,4000,1648000
2014-04-28,412,412,411,412,6000,2471000
2014-04-25,417,417,415,415,5000,2077000
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,424,424,417,417,3000,1262000
2014-04-21,424,424,424,424,19000,8056000
2014-04-18,423,423,423,423,1000,423000
2014-04-17,416,416,415,415,3000,1247000
2014-04-16,413,416,412,416,6000,2486000
2014-04-15,407,407,407,407,1000,407000
2014-04-14,405,405,405,405,1000,405000
2014-04-11,408,408,408,408,8000,3264000
2014-04-10,-,-,-,-,0,0
2014-04-09,416,427,411,427,5000,2086000
2014-04-08,427,432,426,432,3000,1285000
2014-04-07,428,436,428,436,3000,1292000
2014-04-04,436,436,436,436,1000,436000
2014-04-03,443,443,442,442,2000,885000
2014-04-02,426,450,426,450,4000,1729000
2014-04-01,450,450,440,440,4000,1790000
2014-03-31,440,442,440,440,4000,1763000
2014-03-28,436,438,420,438,12000,5199000
2014-03-27,423,428,418,428,12000,5069000
2014-03-26,426,428,423,427,24000,10221000
2014-03-25,410,411,410,410,4000,1641000
2014-03-24,400,405,400,405,6000,2410000
2014-03-20,407,408,400,400,16000,6462000
2014-03-19,410,418,410,418,3000,1238000
2014-03-18,416,420,410,413,8000,3317000
2014-03-17,420,426,415,416,24000,10090000
2014-03-14,422,422,412,412,22000,9183000
2014-03-13,429,429,428,428,3000,1286000
2014-03-12,433,433,430,430,6000,2590000
2014-03-11,430,438,430,438,2000,868000
2014-03-10,-,-,-,-,0,0
2014-03-07,429,435,429,431,8000,3459000
2014-03-06,428,428,428,428,3000,1284000
2014-03-05,425,428,425,428,8000,3409000
2014-03-04,428,428,423,423,5000,2131000
2014-03-03,428,430,428,430,4000,1715000
2014-02-28,437,438,437,438,3000,1312000
2014-02-27,443,443,430,438,11000,4786000
2014-02-26,443,443,443,443,1000,443000
2014-02-25,443,451,443,451,3000,1340000
2014-02-24,448,449,442,442,6000,2674000
2014-02-21,441,445,441,445,5000,2214000
2014-02-20,441,441,426,434,9000,3927000
2014-02-19,448,448,440,441,6000,2651000
2014-02-18,434,434,432,432,2000,866000
2014-02-17,429,429,425,428,9000,3843000
2014-02-14,461,461,433,433,13000,5801000
2014-02-13,481,481,462,462,17000,7988000
2014-02-12,450,457,450,457,12000,5438000
2014-02-10,443,446,441,441,10000,4447000
2014-02-07,428,444,428,437,5000,2173000
2014-02-06,419,420,419,420,4000,1677000
2014-02-05,420,434,412,412,13000,5492000
2014-02-04,408,426,400,420,49000,19921000
2014-02-03,446,458,444,444,40000,18012000
2014-01-31,460,468,435,444,38000,17172000
2014-01-30,460,460,450,452,15000,6805000
2014-01-29,462,479,462,479,11000,5201000
2014-01-28,450,461,445,448,13000,5835000
2014-01-27,457,457,425,442,57000,25126000
