4275-T,東証1部,カーリットHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,584,584,568,575,24200,13891200
2014-06-26,590,591,578,586,41200,24146700
2014-06-25,574,585,568,580,68700,39491700
2014-06-24,589,591,571,580,73000,42436000
2014-06-23,611,611,591,594,51100,30601400
2014-06-20,600,614,599,612,137600,83104000
2014-06-19,620,620,604,606,124000,75485000
2014-06-18,601,645,596,625,318500,197778500
2014-06-17,675,685,577,628,859800,539983200
2014-06-16,655,665,651,665,804200,531756400
2014-06-13,510,565,500,565,518700,285688800
2014-06-12,483,485,480,485,12600,6091700
2014-06-11,482,484,479,483,9700,4677300
2014-06-10,480,483,476,479,16200,7768100
2014-06-09,477,479,477,478,8300,3965600
2014-06-06,477,478,474,477,7100,3381200
2014-06-05,476,478,474,477,7500,3571700
2014-06-04,476,476,474,476,5300,2518200
2014-06-03,477,477,475,477,5500,2621200
2014-06-02,472,475,471,475,10600,5014200
2014-05-30,474,475,472,474,6900,3270200
2014-05-29,469,472,467,470,9600,4507300
2014-05-28,466,473,464,472,22800,10646500
2014-05-27,477,478,474,476,7500,3572200
2014-05-26,477,477,472,475,14200,6758600
2014-05-23,468,469,461,469,10400,4864600
2014-05-22,460,466,459,466,9700,4484500
2014-05-21,455,458,455,458,4400,2009000
2014-05-20,460,460,455,455,6400,2927900
2014-05-19,454,460,454,456,8900,4068600
2014-05-16,453,457,451,451,33300,15075000
2014-05-15,466,467,460,461,12600,5832200
2014-05-14,472,472,464,468,5500,2569200
2014-05-13,472,472,468,471,6400,3009000
2014-05-12,472,473,467,467,5300,2487500
2014-05-09,467,470,465,470,2900,1356800
2014-05-08,467,471,463,467,14400,6722600
2014-05-07,474,474,465,467,17300,8106200
2014-05-02,471,474,471,474,5900,2785000
2014-05-01,468,474,468,474,5700,2690100
2014-04-30,473,473,469,470,5300,2496200
2014-04-28,477,478,465,470,15300,7231300
2014-04-25,466,471,464,471,5300,2482000
2014-04-24,462,467,462,464,9300,4308300
2014-04-23,473,473,465,466,8400,3923200
2014-04-22,472,472,468,468,5300,2489800
2014-04-21,470,472,469,471,4600,2163400
2014-04-18,468,468,464,467,5100,2373400
2014-04-17,466,467,465,466,6600,3077300
2014-04-16,458,464,458,464,7000,3230200
2014-04-15,459,460,457,457,6400,2929700
2014-04-14,456,462,455,455,6600,3017400
2014-04-11,457,470,454,459,20300,9303300
2014-04-10,463,463,460,460,9800,4526800
2014-04-09,467,467,459,459,24900,11493700
2014-04-08,473,474,468,468,16800,7884700
2014-04-07,476,477,475,476,11500,5476300
2014-04-04,479,481,477,481,11800,5656000
2014-04-03,478,480,476,480,8800,4211100
2014-04-02,479,480,474,476,22600,10790600
2014-04-01,475,479,471,478,18600,8847300
2014-03-31,468,473,468,473,22300,10483800
2014-03-28,469,473,467,473,14200,6677600
2014-03-27,469,473,467,470,57700,27111000
2014-03-26,497,499,495,499,55900,27790200
2014-03-25,488,493,488,492,24700,12106300
2014-03-24,486,490,486,488,24500,11951500
2014-03-20,490,490,481,481,16300,7894000
2014-03-19,489,490,484,484,14400,7011500
2014-03-18,484,488,482,485,10500,5089300
2014-03-17,481,485,478,479,29800,14352700
2014-03-14,491,492,480,481,63500,30985100
2014-03-13,496,496,491,493,15100,7459300
2014-03-12,497,497,494,494,15400,7630600
2014-03-11,497,497,495,495,11900,5900500
2014-03-10,496,498,494,495,16400,8129400
2014-03-07,499,499,493,496,23900,11853600
2014-03-06,495,497,493,497,12900,6391300
2014-03-05,498,498,493,497,18700,9276000
2014-03-04,494,495,490,495,16600,8183500
2014-03-03,496,499,485,490,32500,15966600
2014-02-28,489,494,487,489,54100,26501700
2014-02-27,479,483,474,481,22100,10606300
2014-02-26,465,479,465,476,25600,12055200
