4293-T,JQスタンダード,セプテーニHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1107,1107,1038,1065,253600,271032300
2014-06-26,1108,1134,1090,1105,176600,195344000
2014-06-25,1154,1154,1095,1108,256600,287047700
2014-06-24,1170,1173,1137,1148,218200,251302100
2014-06-23,1135,1165,1135,1153,305400,350512500
2014-06-20,1183,1195,1146,1146,254400,296608100
2014-06-19,1200,1202,1171,1171,153900,181881600
2014-06-18,1175,1188,1160,1186,191800,225840500
2014-06-17,1192,1195,1152,1158,144600,168453900
2014-06-16,1216,1230,1164,1192,182800,217727700
2014-06-13,1199,1219,1188,1215,182500,219980900
2014-06-12,1176,1240,1175,1219,165300,200158700
2014-06-11,1208,1212,1170,1204,265700,317007300
2014-06-10,1218,1239,1191,1200,290500,351672200
2014-06-09,1206,1246,1200,1218,322900,392628600
2014-06-06,1100,1197,1100,1197,290000,335793200
2014-06-05,1170,1180,1108,1125,253000,289262600
2014-06-04,1185,1190,1131,1147,332400,384989900
2014-06-03,1100,1145,1100,1139,317100,357225500
2014-06-02,1080,1093,1051,1090,222200,238951600
2014-05-30,1059,1063,1026,1047,167100,174078000
2014-05-29,1034,1062,1028,1034,205100,214889600
2014-05-28,1055,1067,1034,1038,179200,187179000
2014-05-27,1064,1068,1041,1051,193500,203937500
2014-05-26,1049,1074,1044,1064,310400,328396600
2014-05-23,992,1041,985,1022,309400,315207000
2014-05-22,970,988,951,977,161100,156400200
2014-05-21,935,970,920,970,203100,192430400
2014-05-20,948,976,925,950,327400,308577600
2014-05-19,998,1016,935,939,271200,262005200
2014-05-16,1057,1064,998,1008,309100,315468600
2014-05-15,1046,1093,1046,1085,277600,296855800
2014-05-14,1020,1082,1005,1076,278200,293348400
2014-05-13,1073,1113,1049,1058,357300,381714100
2014-05-12,1116,1121,1043,1043,277300,298800300
2014-05-09,1145,1154,1092,1103,372600,417195700
2014-05-08,1169,1175,1125,1166,447600,512557700
2014-05-07,1196,1200,1128,1144,433900,502582000
2014-05-02,1270,1284,1206,1234,754000,932540000
2014-05-01,1289,1350,1283,1342,229700,303886500
2014-04-30,1375,1390,1288,1303,242900,321807300
2014-04-28,1372,1420,1364,1384,193500,268367500
2014-04-25,1380,1400,1352,1400,191300,264359800
2014-04-24,1427,1429,1365,1388,180500,251080200
2014-04-23,1390,1415,1360,1414,160600,224202700
2014-04-22,1450,1450,1351,1360,262500,368443400
2014-04-21,1337,1448,1337,1399,570400,809156200
2014-04-18,1350,1354,1325,1337,127700,170464500
2014-04-17,1350,1350,1313,1327,183800,244562600
2014-04-16,1259,1325,1240,1325,150600,194347500
2014-04-15,1273,1295,1234,1234,131400,165333600
2014-04-14,1265,1274,1233,1242,222400,278801500
2014-04-11,1290,1293,1270,1278,199100,254850800
2014-04-10,1358,1387,1320,1331,190100,256607000
2014-04-09,1280,1348,1280,1324,137800,181091900
2014-04-08,1296,1334,1284,1290,156700,204167900
2014-04-07,1346,1348,1289,1295,245100,321534700
2014-04-04,1415,1429,1364,1376,215100,299092000
2014-04-03,1454,1480,1408,1442,279900,403658500
2014-04-02,1390,1484,1380,1484,622500,892997500
2014-04-01,1320,1377,1310,1376,311800,420553800
2014-03-31,1303,1320,1284,1320,287400,374526500
2014-03-28,1216,1270,1210,1248,237000,293642600
2014-03-27,1150,1240,1129,1240,308500,368670800
2014-03-26,1134,1168,1128,1150,196700,225902400
2014-03-25,1181,1181,1114,1117,290700,330299400
2014-03-24,1130,1208,1130,1198,296300,350006800
2014-03-20,1200,1210,1118,1131,191900,220090900
2014-03-19,1220,1245,1186,1200,183600,222101000
2014-03-18,1201,1240,1178,1226,169700,204782500
2014-03-17,1210,1240,1161,1166,155800,187054100
2014-03-14,1200,1237,1186,1205,199000,240717000
2014-03-13,1260,1264,1212,1224,142200,174611800
2014-03-12,1270,1277,1241,1246,165900,208598400
2014-03-11,1260,1294,1254,1286,170200,215903200
2014-03-10,1223,1296,1223,1275,266200,338674300
2014-03-07,1240,1247,1194,1247,296400,363493900
2014-03-06,1182,1233,1179,1222,192100,233099100
2014-03-05,1150,1200,1134,1175,269700,313417800
2014-03-04,1140,1148,1108,1128,364700,409447800
2014-03-03,1176,1198,1160,1179,208900,245069100
2014-02-28,1250,1257,1194,1236,253700,311175400
2014-02-27,1265,1279,1240,1263,101200,127712100
2014-02-26,1286,1301,1257,1264,152300,194795000
2014-02-25,1310,1331,1281,1294,224400,293040200
2014-02-24,1275,1304,1240,1280,189100,240996600
2014-02-21,1251,1287,1232,1258,187200,233476800
2014-02-20,1224,1311,1224,1265,450300,573257800
2014-02-19,1220,1292,1220,1225,340600,423511400
2014-02-18,1248,1270,1186,1230,464800,566441900
2014-02-17,1309,1320,1240,1250,300500,379028900
2014-02-14,1297,1330,1260,1309,186900,241627000
2014-02-13,1385,1386,1296,1298,213500,282978600
2014-02-12,1379,1399,1350,1384,198800,274455500
2014-02-10,1346,1367,1312,1367,231000,309382000
2014-02-07,1450,1450,1227,1297,638700,851330300
2014-02-06,1276,1311,1250,1278,224000,287389100
2014-02-05,1300,1322,1180,1217,291700,366274600
2014-02-04,1112,1290,1061,1233,689500,803780400
2014-02-03,1440,1440,1325,1352,327300,447131200
2014-01-31,1467,1515,1413,1458,262300,385906600
2014-01-30,1450,1456,1391,1437,268700,382638400
2014-01-29,1432,1490,1432,1470,164700,241023000
2014-01-28,1370,1459,1368,1390,207800,293792200
2014-01-27,1399,1412,1350,1365,213000,294273400
2014-01-24,1420,1488,1407,1456,218100,315945500
2014-01-23,1538,1539,1451,1466,275200,411244700
2014-01-22,1541,1549,1488,1529,281700,427390800
2014-01-21,1509,1548,1505,1541,304800,466569100
2014-01-20,1520,1528,1480,1491,327500,493557500
2014-01-17,1405,1477,1405,1456,221000,320497200
2014-01-16,1439,1440,1381,1400,186400,261030500
2014-01-15,1470,1497,1397,1419,310900,448900000
2014-01-14,1410,1465,1402,1447,254400,366465100
2014-01-10,1403,1465,1391,1451,490400,703376600
2014-01-09,1399,1418,1360,1373,297600,412290700
2014-01-08,1318,1480,1315,1402,615800,858348500
2014-01-07,1315,1324,1248,1304,371600,477621900
2014-01-06,1286,1333,1285,1321,262300,344015200
2013-12-30,1310,1338,1300,1303,367600,484351300
2013-12-27,1238,1290,1216,1282,347000,437865000
2013-12-26,1240,1249,1211,1238,238800,293681400
2013-12-25,1127,1244,1127,1225,675700,817544800
2013-12-24,1140,1149,1116,1127,259200,292575600
2013-12-20,1122,1176,1120,1157,279100,318938400
2013-12-19,1214,1226,1166,1182,337500,401803300
2013-12-18,1177,1260,1163,1207,876300,1070274000
2013-12-17,1146,1165,1100,1135,202400,230985800
2013-12-16,1180,1181,1116,1124,176900,202045600
2013-12-13,1183,1199,1150,1176,166600,196137400
2013-12-12,1210,1210,1163,1181,248100,293258600
2013-12-11,1221,1240,1198,1220,267300,326838900
2013-12-10,1232,1238,1195,1214,196700,239129300
2013-12-09,1245,1245,1208,1232,233200,286031700
2013-12-06,1240,1245,1120,1235,452000,545140500
2013-12-05,1218,1258,1200,1224,393900,485537300
2013-12-04,1190,1263,1183,1219,646900,796069900
2013-12-03,1198,1203,1152,1183,324000,382978100
2013-12-02,1140,1175,1136,1171,400100,462249100
2013-11-29,1103,1134,1103,1129,147400,164805300
2013-11-28,1089,1126,1076,1122,184600,203901400
2013-11-27,1150,1179,1062,1070,392000,439163600
2013-11-26,1116,1148,1115,1148,165600,187475500
2013-11-25,1129,1136,1102,1131,167500,187516300
2013-11-22,1110,1140,1083,1135,228200,256138400
2013-11-21,1100,1155,1099,1102,485900,550744400
2013-11-20,1103,1110,1059,1074,188200,203316200
2013-11-19,1110,1113,1070,1098,309200,339306000
2013-11-18,1130,1140,1100,1127,367200,413188300
2013-11-15,1050,1099,1050,1087,257300,277014100
2013-11-14,1090,1130,1050,1050,366600,400133500
2013-11-13,1055,1103,1050,1082,475100,513426700
2013-11-12,1020,1080,1016,1070,424600,448959000
2013-11-11,1055,1065,1003,1026,347700,359579400
2013-11-08,1000,1045,987,1034,372900,377879800
2013-11-07,1036,1082,1028,1037,712800,751252400
2013-11-06,938,1068,937,1041,1451200,1492051000
2013-11-05,894,922,869,921,322500,292569200
2013-11-01,875,899,860,899,164400,145406900
2013-10-31,887,907,870,874,326300,289423900
2013-10-30,921,921,888,888,393000,354092700
2013-10-29,943,959,922,930,164600,154160200
2013-10-28,1000,1000,959,960,161500,157716200
2013-10-25,1021,1025,985,996,197400,197713200
2013-10-24,956,1024,952,1011,320700,321072400
2013-10-23,989,992,961,970,270100,262625200
2013-10-22,1002,1015,981,981,185900,185502400
2013-10-21,1021,1025,981,995,216400,216808300
2013-10-18,980,1020,970,994,476700,476230600
2013-10-17,988,1084,958,981,1014100,1017328300
2013-10-16,1000,1014,951,955,394800,387251900
2013-10-15,1030,1041,966,1021,1188700,1200597800
2013-10-11,886,1034,865,1030,2261000,2268436700
2013-10-10,893,928,865,884,353300,318096500
2013-10-09,845,898,831,878,264300,230735000
2013-10-08,828,892,825,851,347100,297445100
2013-10-07,821,837,800,819,121100,99191100
2013-10-04,810,840,804,821,102800,84610400
2013-10-03,800,838,800,824,56300,46133400
2013-10-02,877,879,792,820,278600,230916300
2013-10-01,866,885,862,877,96300,84009500
2013-09-30,870,886,852,886,87600,76316900
2013-09-27,897,915,876,885,66300,59112400
2013-09-26,840,886,840,883,71000,61477100
2013-09-25,179700,179700,170000,170400,827,144193900
2013-09-24,178000,181400,176500,179100,672,119923400
2013-09-20,182700,183800,177300,180500,717,128873400
2013-09-19,180500,186200,179000,182700,1947,356186900
2013-09-18,174100,189000,171800,178000,4450,798346500
2013-09-17,168000,175000,168000,170100,1236,212223600
2013-09-13,167000,173500,166200,168500,1115,189528100
2013-09-12,167200,167900,162000,165700,423,69543300
2013-09-11,166500,168900,164600,165300,747,124557700
2013-09-10,172000,174500,168000,169500,1109,190114000
2013-09-09,170100,171900,166800,169800,1245,211367400
2013-09-06,165700,167700,164500,167500,1041,172926100
2013-09-05,167000,169300,162400,167800,1357,225630700
2013-09-04,160500,169400,160400,167000,2595,432162500
2013-09-03,157500,159800,156100,157000,798,126082700
2013-09-02,150500,159000,149100,156000,1498,231142200
2013-08-30,148000,153500,148000,152000,1024,154766200
2013-08-29,143100,148700,143100,148500,1079,158161800
2013-08-28,144300,149400,142000,142800,1213,175500700
2013-08-27,147000,154200,146800,148200,896,134610700
2013-08-26,151900,155100,146500,150500,1438,215322000
2013-08-23,154000,157300,152000,153700,1496,230622300
2013-08-22,161000,161000,150000,150000,3036,467479300
2013-08-21,163900,169100,158700,162000,2986,488595300
2013-08-20,169500,169500,158000,160500,3239,528768500
2013-08-19,160600,171900,156600,169900,4335,720174400
2013-08-16,160000,161600,153000,158300,3186,501819200
2013-08-15,166000,174500,160200,163800,3634,604604200
2013-08-14,155000,174800,154300,169900,11376,1902715100
2013-08-13,157800,161400,150300,153700,7754,1202874900
2013-08-12,184800,194800,154100,157800,22825,4035063000
2013-08-09,189700,190000,165600,180800,21962,3906374300
2013-08-08,158700,171900,150500,161700,15212,2534829200
2013-08-07,141800,144100,141000,141900,675,96349800
2013-08-06,143500,145300,141300,144200,525,75367100
2013-08-05,141100,147800,141100,142900,1190,170538800
2013-08-02,158000,159800,143000,145400,2753,413909300
2013-08-01,143000,155400,133500,149800,2977,438601800
2013-07-31,142000,153000,141300,147300,3483,517303600
2013-07-30,133100,140800,133100,138300,532,72888600
2013-07-29,144000,144900,131900,133000,1090,151464600
2013-07-26,139500,149500,139500,142900,2505,363858900
2013-07-25,137400,148900,136100,139100,3397,482805800
2013-07-24,124000,133300,123500,132700,897,115178100
2013-07-23,125500,126000,123100,123500,221,27536300
2013-07-22,125100,128800,123800,125000,322,40495900
2013-07-19,130000,130600,125000,126000,607,77157600
2013-07-18,128100,131000,127800,128300,501,64719700
2013-07-17,136700,136700,115500,129300,823,107298100
2013-07-16,133500,135500,130000,134500,551,73661000
