4308-T,東証マザーズ,Jストリーム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,415,416,398,398,35900,14532500
2014-06-26,416,420,412,416,19200,7973200
2014-06-25,420,430,409,419,31200,13076700
2014-06-24,429,429,410,413,26300,10909800
2014-06-23,420,429,413,424,17800,7499500
2014-06-20,441,445,416,424,75600,32596200
2014-06-19,447,460,436,449,88700,39443000
2014-06-18,432,461,432,441,65600,29241800
2014-06-17,446,452,429,440,93000,40831700
2014-06-16,491,491,446,458,94400,44432700
2014-06-13,520,525,488,499,248700,125858800
2014-06-12,446,500,440,488,266800,127742600
2014-06-11,437,468,428,459,143800,63829600
2014-06-10,505,515,451,453,570400,279911100
2014-06-09,393,466,393,466,1070200,490569300
2014-06-06,394,395,380,386,27000,10415300
2014-06-05,384,386,381,386,15800,6062300
2014-06-04,388,392,381,385,15100,5848000
2014-06-03,386,400,380,392,59200,23098300
2014-06-02,371,380,370,378,35700,13356400
2014-05-30,361,378,356,365,30700,11292000
2014-05-29,350,360,350,356,6800,2411600
2014-05-28,359,364,358,358,10100,3638600
2014-05-27,366,370,362,362,9800,3593300
2014-05-26,364,364,359,361,12500,4502500
2014-05-23,348,360,348,353,19800,7014600
2014-05-22,330,355,322,340,12900,4312800
2014-05-21,319,325,315,322,16800,5354800
2014-05-20,330,339,325,327,31100,10282000
2014-05-19,346,354,340,341,11600,3981900
2014-05-16,357,357,347,350,5100,1790600
2014-05-15,355,358,350,355,14700,5208700
2014-05-14,375,375,348,349,30300,10812000
2014-05-13,372,376,367,367,10000,3711100
2014-05-12,372,384,368,369,12500,4655600
2014-05-09,374,385,373,375,10000,3782800
2014-05-08,395,395,375,377,24600,9410100
2014-05-07,402,408,396,396,8200,3292100
2014-05-02,402,402,384,394,6400,2509800
2014-05-01,389,400,382,396,12300,4789300
2014-04-30,400,409,381,397,9500,3707300
2014-04-28,411,411,400,400,5400,2170400
2014-04-25,405,409,398,403,9800,3940700
2014-04-24,409,409,396,397,9500,3800200
2014-04-23,405,419,400,410,12300,4989500
2014-04-22,426,426,401,405,36500,15184500
2014-04-21,415,430,410,425,53200,22444500
2014-04-18,406,420,396,410,24500,9994800
2014-04-17,400,418,399,406,11800,4780000
2014-04-16,389,401,389,395,8900,3524500
2014-04-15,397,397,384,386,8100,3186300
2014-04-14,366,395,362,384,10700,4022300
2014-04-11,384,388,365,366,19200,7204800
2014-04-10,394,401,389,389,5200,2058100
2014-04-09,400,400,393,393,6400,2540400
2014-04-08,402,406,397,405,10100,4060500
2014-04-07,411,416,405,407,5600,2299700
2014-04-04,415,424,415,424,12500,5258700
2014-04-03,419,419,413,415,7000,2910900
2014-04-02,417,420,410,418,36400,15197200
2014-04-01,419,419,400,412,22900,9389900
2014-03-31,410,420,410,416,41500,17234000
2014-03-28,396,405,394,405,27200,10877700
2014-03-27,386,402,386,395,25500,10060700
2014-03-26,379,385,371,380,13700,5186900
2014-03-25,390,390,371,371,30300,11577900
2014-03-24,406,408,381,390,28600,11217300
2014-03-20,422,422,404,410,56000,23054300
2014-03-19,450,455,435,435,26200,11656600
2014-03-18,451,460,429,439,27500,12285000
2014-03-17,470,470,447,450,33500,15215900
2014-03-14,500,520,460,478,191200,94053600
2014-03-13,470,534,470,534,298500,155588100
2014-03-12,449,455,445,454,4100,1843100
2014-03-11,447,455,447,451,6600,2975400
2014-03-10,452,458,450,455,1300,590000
2014-03-07,455,465,454,460,1700,774800
2014-03-06,451,455,451,455,1600,723600
2014-03-05,445,451,435,451,1500,659200
2014-03-04,441,441,437,438,3000,1319500
2014-03-03,450,450,436,436,3400,1509100
2014-02-28,461,463,458,460,2200,1011900
2014-02-27,460,460,460,460,400,184000
2014-02-26,468,475,460,460,6200,2882400
2014-02-25,470,472,460,465,5700,2659500
2014-02-24,455,468,455,467,2400,1111100
2014-02-21,462,466,455,456,2000,915200
2014-02-20,476,476,454,454,3600,1655100
2014-02-19,477,477,465,468,2000,938800
2014-02-18,445,478,445,471,5100,2347200
2014-02-17,444,458,440,458,2400,1072900
