4333-T,東証1部,東邦システム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,841,843,834,837,21000,17607200
2014-06-26,838,845,835,839,16300,13673900
2014-06-25,836,839,834,835,5100,4265700
2014-06-24,835,835,827,832,10100,8402700
2014-06-23,839,839,834,834,5600,4682600
2014-06-20,842,842,826,832,9200,7689600
2014-06-19,836,840,831,839,16500,13829900
2014-06-18,835,836,829,829,9600,7998300
2014-06-17,823,833,823,826,10300,8537100
2014-06-16,824,825,818,818,5200,4273800
2014-06-13,820,824,815,821,10200,8354000
2014-06-12,817,823,816,817,5600,4589600
2014-06-11,815,823,815,818,8700,7134000
2014-06-10,810,820,810,812,5800,4734100
2014-06-09,822,822,807,814,5800,4713700
2014-06-06,820,820,812,812,8400,6852300
2014-06-05,821,821,816,818,5500,4504400
2014-06-04,820,820,812,820,5400,4407700
2014-06-03,810,819,807,818,8200,6666700
2014-06-02,812,813,805,809,6100,4930100
2014-05-30,798,810,797,808,5700,4579600
2014-05-29,800,800,795,798,2800,2234200
2014-05-28,807,807,798,798,6300,5065200
2014-05-27,801,803,796,800,5300,4240500
2014-05-26,809,809,793,799,12600,10044400
2014-05-23,804,809,800,809,6500,5229900
2014-05-22,809,809,798,804,6400,5143300
2014-05-21,808,808,792,801,5700,4563500
2014-05-20,805,805,797,800,3200,2560200
2014-05-19,810,810,796,796,5000,4003700
2014-05-16,810,810,794,799,7400,5935800
2014-05-15,804,823,798,810,33900,27574100
2014-05-14,798,798,790,791,2600,2060700
2014-05-13,809,809,798,798,2200,1762400
2014-05-12,809,809,781,809,10600,8457600
2014-05-09,784,809,784,798,11400,9112400
2014-05-08,787,793,784,784,8000,6287500
2014-05-07,795,800,787,795,13400,10641300
2014-05-02,770,828,765,825,21400,17180700
2014-05-01,781,804,772,772,22900,18006300
2014-04-30,780,813,766,779,53700,42273300
2014-04-28,792,829,771,771,192200,153861400
2014-04-25,806,811,790,800,40600,32603000
2014-04-24,830,832,801,804,17400,14258700
2014-04-23,825,833,824,827,8100,6721500
2014-04-22,828,833,818,823,4700,3874900
2014-04-21,838,839,830,833,9000,7517900
2014-04-18,840,840,833,838,15200,12712100
2014-04-17,837,840,836,837,15700,13170100
2014-04-16,831,845,828,830,27100,22564300
2014-04-15,810,835,805,830,61500,50619000
2014-04-14,804,812,804,810,34400,27810000
2014-04-11,807,810,800,804,19700,15906400
2014-04-10,804,812,804,810,28500,23030100
2014-04-09,791,799,791,791,21200,16859300
2014-04-08,808,811,791,791,20200,16237400
2014-04-07,808,809,805,807,10200,8234100
2014-04-04,799,813,796,806,26200,21080100
2014-04-03,800,800,795,800,11400,9106600
2014-04-02,805,805,793,797,10200,8163300
