4341-T,東証2部,西菱電機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1200,1200,1176,1176,3200,3835300
2014-06-26,1175,1176,1173,1176,2900,3407300
2014-06-25,1170,1172,1169,1170,700,819300
2014-06-24,1186,1186,1156,1170,1300,1519800
2014-06-23,1180,1180,1178,1180,1000,1179800
2014-06-20,1151,1200,1140,1200,10000,11538800
2014-06-19,1146,1154,1145,1154,5800,6656100
2014-06-18,1150,1150,1137,1145,2700,3079800
2014-06-17,1140,1150,1139,1150,4100,4683100
2014-06-16,1160,1160,1140,1140,9300,10686600
2014-06-13,1155,1160,1137,1160,7800,8927300
2014-06-12,1160,1171,1151,1171,800,927900
2014-06-11,1191,1191,1155,1173,3700,4341200
2014-06-10,1179,1190,1179,1190,900,1062500
2014-06-09,1165,1165,1154,1159,2200,2553700
2014-06-06,1128,1300,1081,1161,15600,19348200
2014-06-05,1110,1115,1110,1115,1100,1224300
2014-06-04,1110,1127,1081,1127,3600,3988600
2014-06-03,1127,1127,1072,1113,5500,6100600
2014-06-02,1135,1140,1110,1111,5100,5705000
2014-05-30,1180,1180,1107,1118,3700,4120800
2014-05-29,1100,1180,1100,1180,2500,2805900
2014-05-28,1073,1080,1072,1076,1100,1184400
2014-05-27,1069,1075,1068,1069,2900,3114800
2014-05-26,1051,1069,1051,1069,14700,15455400
2014-05-23,1050,1052,1050,1050,2400,2521000
2014-05-22,1055,1076,1020,1050,2600,2726900
2014-05-21,1060,1060,1060,1060,100,106000
2014-05-20,1059,1078,1045,1051,1800,1904200
2014-05-19,1021,1090,1021,1031,5000,5251200
2014-05-16,1040,1050,1018,1018,4900,5070400
2014-05-15,1021,1060,1011,1040,3800,3947000
2014-05-14,1010,1014,1000,1014,5100,5147900
2014-05-13,1035,1035,1014,1014,3500,3603400
2014-05-12,-,-,-,-,0,0
2014-05-09,1015,1061,1014,1031,7800,7972400
2014-05-08,1060,1060,1035,1037,5700,6009100
2014-05-07,1075,1075,1065,1065,2900,3098000
2014-05-02,1071,1091,1068,1078,4100,4425400
2014-05-01,1092,1092,1079,1090,4800,5217300
2014-04-30,1108,1108,1107,1107,700,775000
2014-04-28,1144,1144,1114,1114,1200,1366900
2014-04-25,1085,1100,1085,1090,700,763600
2014-04-24,1090,1103,1090,1103,1100,1209200
2014-04-23,1105,1105,1100,1100,1300,1434300
2014-04-22,1105,1110,1105,1105,600,663500
2014-04-21,1120,1120,1110,1110,1500,1669000
2014-04-18,1096,1120,1096,1120,300,332100
2014-04-17,1119,1121,1110,1111,9000,10061000
2014-04-16,1090,1119,1090,1119,1200,1327900
2014-04-15,1100,1119,1100,1119,400,441900
2014-04-14,1100,1100,1080,1100,1700,1853500
2014-04-11,1103,1103,1091,1100,900,991200
2014-04-10,1112,1132,1112,1115,800,896600
2014-04-09,1140,1142,1112,1112,5300,5908100
2014-04-08,1158,1158,1139,1148,2500,2864400
2014-04-07,1174,1174,1167,1170,900,1053500
2014-04-04,1178,1178,1155,1174,3900,4556700
2014-04-03,1181,1182,1178,1178,1800,2124100
2014-04-02,1178,1199,1177,1189,6400,7547100
2014-04-01,1156,1171,1156,1171,2900,3355400
2014-03-31,1181,1183,1170,1178,1400,1649800
2014-03-28,1167,1196,1167,1193,400,472300
2014-03-27,1166,1197,1166,1166,1100,1296500
2014-03-26,1239,1239,1230,1230,800,990300
2014-03-25,1200,1231,1200,1230,3700,4530500
2014-03-24,1190,1242,1130,1230,14400,17332100
2014-03-20,1293,1293,1201,1201,3000,3693300
2014-03-19,1289,1300,1289,1300,1800,2327700
2014-03-18,1280,1285,1270,1285,1400,1789700
2014-03-17,1270,1280,1233,1262,4100,5165000
2014-03-14,1395,1395,1271,1300,5300,7109900
2014-03-13,1391,1391,1375,1375,900,1240700
2014-03-12,1405,1408,1380,1395,1700,2375300
