4344-T,東証1部,ソースネクスト,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,740,743,715,726,232100,169757700
2014-06-26,700,738,695,735,346600,251804900
2014-06-25,700,705,689,690,55500,38548200
2014-06-24,691,707,691,700,47800,33366000
2014-06-23,688,704,687,701,72600,50637100
2014-06-20,710,714,685,687,106700,73965300
2014-06-19,713,714,703,710,64200,45466500
2014-06-18,714,717,706,708,89500,63600800
2014-06-17,717,720,705,708,52200,37088800
2014-06-16,720,728,709,716,109200,78526300
2014-06-13,702,730,702,716,230400,164568700
2014-06-12,698,725,697,713,152500,108783300
2014-06-11,672,728,672,717,302200,214733400
2014-06-10,704,710,677,677,185500,127362000
2014-06-09,709,720,701,702,140600,99317600
2014-06-06,722,736,691,710,311300,221709200
2014-06-05,670,766,664,721,1244300,890509100
2014-06-04,634,668,632,668,477400,310528500
2014-06-03,613,621,602,619,186400,113804100
2014-06-02,610,612,597,604,144200,87251600
2014-05-30,617,617,595,597,260000,157036600
2014-05-29,583,633,581,615,762800,463546100
2014-05-28,578,588,573,578,200300,115998500
2014-05-27,586,592,570,570,188300,108836800
2014-05-26,574,590,573,585,246600,143740900
2014-05-23,585,585,562,570,135800,77901700
2014-05-22,582,598,579,582,87800,51477300
2014-05-21,578,578,564,570,56900,32405000
2014-05-20,539,593,539,588,143200,81921700
2014-05-19,578,583,536,539,171300,95353100
2014-05-16,590,593,576,578,118900,69234800
2014-05-15,614,614,586,592,202800,121517400
2014-05-14,602,642,595,629,251200,155273100
2014-05-13,565,597,561,594,136800,80073800
2014-05-12,599,602,553,555,294800,168292800
2014-05-09,634,634,599,605,184000,112689500
2014-05-08,642,646,618,627,107600,68391000
2014-05-07,652,658,638,640,100200,64534800
2014-05-02,652,662,645,661,67000,43931000
2014-05-01,652,666,637,648,146600,94675700
2014-04-30,663,665,637,645,106500,68902100
2014-04-28,658,666,637,654,134600,87817900
2014-04-25,675,682,660,662,83900,56073200
2014-04-24,690,704,672,675,120000,82285100
2014-04-23,700,700,671,685,47400,32466700
