4368-T,JQスタンダード,扶桑化学,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3280,3310,3215,3260,3800,12376000
2014-06-26,3355,3355,3250,3350,4000,13244500
2014-06-25,3365,3365,3230,3355,4800,15975000
2014-06-24,3385,3385,3360,3365,2100,7082000
2014-06-23,3380,3390,3380,3385,1900,6436000
2014-06-20,3325,3380,3310,3360,3100,10383500
2014-06-19,3305,3400,3290,3395,6200,20764500
2014-06-18,3320,3340,3305,3305,1900,6307500
2014-06-17,3320,3325,3315,3320,1800,5978000
2014-06-16,3295,3445,3295,3320,11300,37848000
2014-06-13,3150,3275,3145,3275,5800,18481000
2014-06-12,3115,3155,3090,3115,3000,9352500
2014-06-11,3075,3165,3075,3135,3800,11826000
2014-06-10,3110,3115,3110,3115,4600,14321000
2014-06-09,3150,3150,3105,3110,2600,8115000
2014-06-06,3040,3150,3040,3150,7100,22119500
2014-06-05,3065,3070,3020,3060,4800,14662500
2014-06-04,3070,3070,3040,3065,7100,21714500
2014-06-03,3145,3155,3100,3110,4600,14349500
2014-06-02,3110,3200,3100,3145,2100,6605500
2014-05-30,3115,3115,3065,3100,4900,15146500
2014-05-29,3180,3180,3100,3115,3500,10893500
2014-05-28,3200,3200,3090,3140,5500,17307500
2014-05-27,3215,3220,3110,3200,6500,20767000
2014-05-26,3000,3250,3000,3250,11700,36134000
2014-05-23,2924,2985,2919,2985,4100,12099200
2014-05-22,2890,2950,2882,2919,3700,10780300
2014-05-21,2819,2880,2819,2876,8600,24522000
2014-05-20,2762,2814,2762,2810,4100,11428400
2014-05-19,2820,2841,2810,2810,8100,22883800
2014-05-16,2800,2805,2799,2800,15600,43685000
2014-05-15,2780,2828,2753,2820,6400,17903400
2014-05-14,2700,2700,2700,2700,700,1890000
2014-05-13,2711,2749,2700,2700,1200,3251300
2014-05-12,2710,2711,2700,2701,1400,3783200
2014-05-09,2700,2750,2700,2729,600,1628000
2014-05-08,2735,2755,2680,2680,2200,6011200
2014-05-07,2785,2785,2735,2735,200,552000
2014-05-02,2781,2788,2750,2785,11100,30881700
2014-05-01,2750,2780,2750,2780,2600,7198800
2014-04-30,2770,2770,2770,2770,600,1662000
2014-04-28,2776,2779,2763,2763,3200,8881300
2014-04-25,2749,2773,2749,2773,4200,11587900
2014-04-24,2750,2750,2749,2749,300,824900
2014-04-23,2750,2755,2750,2750,7100,19534000
2014-04-22,2740,2740,2740,2740,5400,14796000
2014-04-21,2735,2740,2735,2740,600,1642500
2014-04-18,2698,2720,2698,2720,1300,3514500
2014-04-17,2698,2699,2698,2698,1600,4317400
2014-04-16,2650,2663,2650,2651,1700,4506700
2014-04-15,2660,2660,2650,2650,1300,3452300
2014-04-14,2650,2650,2650,2650,800,2120000
2014-04-11,2636,2650,2630,2650,3200,8424300
2014-04-10,2638,2638,2614,2614,1000,2635400
2014-04-09,2660,2660,2575,2588,2600,6824900
2014-04-08,2676,2676,2673,2673,300,802200
2014-04-07,2681,2723,2673,2700,800,2156800
2014-04-04,2700,2709,2700,2709,600,1622900
2014-04-03,2655,2700,2650,2700,1400,3728500
2014-04-02,2600,2655,2584,2650,1700,4441600
2014-04-01,2570,2584,2569,2573,1500,3860000
2014-03-31,2580,2585,2566,2575,1500,3867500
2014-03-28,2558,2558,2554,2555,600,1533500
2014-03-27,2570,2570,2556,2558,1600,4102700
2014-03-26,2600,2600,2561,2595,2300,5955900
2014-03-25,2598,2600,2555,2595,1400,3633200
2014-03-24,2570,2600,2570,2598,1100,2847300
2014-03-20,2611,2615,2568,2568,2900,7529800
2014-03-19,2640,2648,2601,2605,1200,3159000
2014-03-18,2587,2649,2587,2649,2400,6250500
2014-03-17,2601,2610,2568,2605,1900,4932500
2014-03-14,2656,2663,2600,2631,2100,5542400
2014-03-13,2685,2690,2685,2687,700,1880700
2014-03-12,2685,2695,2667,2667,2100,5637200
2014-03-11,2694,2700,2680,2680,1300,3502100
2014-03-10,2660,2675,2650,2650,1700,4514200
2014-03-07,2650,2678,2630,2649,1500,3976300
2014-03-06,2639,2645,2639,2639,2100,5543600
2014-03-05,2600,2629,2600,2600,1300,3385500
2014-03-04,2601,2650,2598,2598,1600,4186600
2014-03-03,2635,2635,2600,2630,1200,3143400
2014-02-28,2638,2638,2600,2635,1300,3406300
2014-02-27,2630,2680,2577,2627,1900,4980100
2014-02-26,2685,2685,2635,2680,800,2132400
2014-02-25,2629,2651,2601,2635,1800,4719700
2014-02-24,2570,2611,2570,2601,1200,3102200
2014-02-21,2570,2570,2555,2560,1800,4611000
2014-02-20,2537,2679,2530,2579,1300,3335400
2014-02-19,2560,2561,2560,2561,1600,4096200
2014-02-18,2585,2591,2539,2560,2100,5411200
2014-02-17,2680,2680,2582,2582,1700,4479600
2014-02-14,2621,2671,2621,2630,600,1579400
2014-02-13,2700,2700,2671,2671,500,1347100
2014-02-12,2713,2713,2670,2706,1000,2688100
2014-02-10,2680,2680,2660,2663,1500,4006200
2014-02-07,2610,2710,2610,2655,2100,5575700
2014-02-06,2590,2730,2554,2730,1900,4990800
2014-02-05,2644,2644,2518,2590,4400,11300500
2014-02-04,2600,2620,2570,2620,3400,8806000
2014-02-03,2659,2668,2620,2620,1800,4748400
2014-01-31,2721,2751,2708,2750,800,2189000
2014-01-30,2707,2750,2661,2750,1000,2704300
2014-01-29,2694,2780,2694,2780,1200,3327300
2014-01-28,2621,2744,2621,2744,2300,6174900
2014-01-27,2626,2626,2600,2620,3300,8626800
2014-01-24,2791,2791,2640,2700,3700,10159900
2014-01-23,2825,2829,2791,2791,3000,8383500
2014-01-22,2820,2820,2771,2790,1000,2801300
2014-01-21,2765,2810,2758,2770,2400,6680100
2014-01-20,2789,2789,2765,2779,2500,6952300
2014-01-17,2742,2800,2742,2789,3000,8358900
2014-01-16,2744,2780,2744,2771,3000,8298700
2014-01-15,2750,2770,2749,2769,3200,8812200
2014-01-14,2720,2730,2703,2715,5300,14399300
2014-01-10,2683,2718,2683,2713,1900,5144100
2014-01-09,2700,2746,2690,2710,2900,7863500
2014-01-08,2641,2682,2641,2665,1500,3986000
2014-01-07,2635,2682,2635,2640,1000,2641800
