4517-T,東証1部,ビオフェル,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2452,2452,2430,2438,8800,21455200
2014-06-26,2457,2457,2431,2435,3500,8552100
2014-06-25,2441,2448,2429,2430,11400,27767600
2014-06-24,2435,2470,2432,2441,8300,20250800
2014-06-23,2468,2470,2430,2433,20600,50349600
2014-06-20,2465,2490,2464,2464,5900,14562900
2014-06-19,2450,2468,2450,2464,5000,12308500
2014-06-18,2470,2471,2460,2462,3300,8131300
2014-06-17,2450,2477,2446,2450,5900,14524500
2014-06-16,2425,2445,2425,2440,7300,17799300
2014-06-13,2422,2434,2422,2425,11700,28356800
2014-06-12,2422,2430,2412,2417,10000,24209800
2014-06-11,2417,2454,2417,2439,10400,25383300
2014-06-10,2430,2430,2417,2424,5400,13090100
2014-06-09,2449,2449,2407,2413,9500,23001400
2014-06-06,2412,2430,2405,2418,8500,20523200
2014-06-05,2400,2410,2397,2407,11100,26685600
2014-06-04,2414,2414,2400,2410,7200,17317100
2014-06-03,2430,2432,2405,2405,7200,17372600
2014-06-02,2425,2425,2410,2415,7700,18595900
2014-05-30,2418,2423,2405,2413,10000,24132900
2014-05-29,2416,2420,2397,2418,10400,25047100
2014-05-28,2421,2424,2405,2405,6700,16165800
2014-05-27,2399,2424,2395,2406,5400,13011000
2014-05-26,2419,2425,2392,2403,9000,21670900
2014-05-23,2381,2437,2381,2393,9300,22408700
2014-05-22,2411,2441,2364,2381,20200,48359800
2014-05-21,2449,2450,2403,2405,8400,20372000
2014-05-20,2475,2479,2450,2461,8800,21689000
2014-05-19,2487,2495,2471,2477,5000,12398800
2014-05-16,2485,2493,2475,2475,14200,35257700
2014-05-15,2508,2508,2475,2498,8900,22144900
2014-05-14,2500,2514,2495,2514,16400,41044500
2014-05-13,2510,2510,2485,2486,12900,32180000
2014-05-12,2465,2530,2465,2495,52700,131159300
2014-05-09,2606,2770,2606,2665,11600,31107200
2014-05-08,2635,2655,2620,2631,8700,22908700
2014-05-07,2613,2613,2590,2600,10300,26795200
2014-05-02,2607,2616,2600,2613,4800,12517500
2014-05-01,2610,2635,2605,2615,3900,10183600
2014-04-30,2615,2630,2611,2614,4900,12818500
2014-04-28,2627,2653,2615,2615,5300,13945000
2014-04-25,2660,2664,2622,2627,8300,21877400
2014-04-24,2611,2649,2611,2628,3100,8128200
2014-04-23,2603,2653,2588,2611,7000,18278400
2014-04-22,2669,2669,2623,2623,3600,9512000
2014-04-21,2728,2750,2650,2670,4300,11608800
2014-04-18,2701,2701,2662,2691,2600,6984500
2014-04-17,2684,2688,2651,2671,1200,3204900
2014-04-16,2641,2687,2625,2676,2900,7710400
2014-04-15,2620,2651,2620,2625,3100,8144300
2014-04-14,2615,2628,2614,2615,3000,7863100
2014-04-11,2630,2632,2600,2600,7100,18541600
2014-04-10,2642,2690,2639,2647,6100,16259400
2014-04-09,2716,2716,2636,2637,11800,31527300
2014-04-08,2839,2839,2715,2716,13700,37893100
2014-04-07,2824,2864,2824,2839,6400,18230100
2014-04-04,2876,2880,2864,2874,10700,30753500
2014-04-03,2860,2878,2853,2858,5500,15781700
2014-04-02,2875,2878,2837,2855,14000,40189000
2014-04-01,2779,2853,2779,2840,21500,60729600
2014-03-31,2780,2800,2700,2780,10200,28345700
2014-03-28,2777,2797,2682,2780,9400,25929200
2014-03-27,2742,2778,2685,2755,8800,24165000
2014-03-26,2705,2745,2693,2742,12800,34922000
2014-03-25,2705,2733,2691,2705,11900,32218200
2014-03-24,2603,2718,2603,2655,11300,30163000
2014-03-20,2621,2657,2600,2612,12000,31606100
2014-03-19,2620,2660,2620,2637,9500,25085600
2014-03-18,2603,2654,2581,2623,6800,17778500
2014-03-17,2601,2620,2569,2598,5200,13502700
2014-03-14,2610,2680,2610,2616,16500,43377500
2014-03-13,2700,2704,2687,2687,8100,21841900
