4527-T,東証1部,ロート,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1618,1618,1560,1565,641000,1011877000
2014-06-26,1617,1638,1617,1623,349300,568133200
2014-06-25,1617,1627,1612,1617,202900,328955100
2014-06-24,1597,1625,1597,1618,304400,491473400
2014-06-23,1606,1611,1601,1604,525100,843616200
2014-06-20,1613,1620,1587,1592,791400,1266833100
2014-06-19,1599,1623,1594,1621,360500,582546600
2014-06-18,1598,1608,1588,1599,338700,541670800
2014-06-17,1600,1609,1587,1592,611300,974862100
2014-06-16,1616,1620,1596,1606,416500,669294400
2014-06-13,1597,1616,1580,1612,557300,892134200
2014-06-12,1590,1604,1563,1574,653300,1032540700
2014-06-11,1593,1593,1557,1574,594500,933853500
2014-06-10,1606,1607,1570,1572,401400,636125700
2014-06-09,1608,1608,1594,1599,364400,583572300
2014-06-06,1603,1610,1580,1584,450200,715824200
2014-06-05,1600,1611,1591,1603,876900,1405471700
2014-06-04,1597,1617,1569,1588,808300,1281490700
2014-06-03,1609,1618,1600,1605,1079100,1739732800
2014-06-02,1585,1614,1578,1599,878200,1404310100
2014-05-30,1562,1585,1556,1561,768700,1207122400
2014-05-29,1548,1560,1540,1554,335100,519397300
2014-05-28,1582,1582,1547,1551,401700,626174600
2014-05-27,1546,1565,1540,1542,341900,529553100
2014-05-26,1525,1550,1508,1546,675900,1036588800
2014-05-23,1501,1520,1498,1515,448300,677772200
2014-05-22,1500,1504,1488,1501,380700,570690600
2014-05-21,1480,1519,1475,1500,521200,779341800
2014-05-20,1474,1508,1471,1490,917800,1370600300
2014-05-19,1540,1541,1479,1480,1080000,1631707900
2014-05-16,1584,1614,1540,1544,1199100,1870477600
2014-05-15,1628,1629,1546,1584,2217300,3531513000
2014-05-14,1711,1728,1699,1708,435500,745488200
2014-05-13,1715,1739,1698,1720,564000,969190700
2014-05-12,1771,1778,1754,1755,307000,542004600
2014-05-09,1750,1783,1750,1768,456700,808868600
2014-05-08,1792,1794,1765,1768,422700,750318600
2014-05-07,1800,1808,1787,1792,645600,1160485800
2014-05-02,1811,1829,1811,1825,371100,675942500
2014-05-01,1800,1827,1799,1820,268900,488507300
2014-04-30,1804,1811,1783,1803,340700,613877800
2014-04-28,1800,1804,1781,1791,260000,465312500
2014-04-25,1775,1800,1759,1797,512500,913748600
2014-04-24,1780,1808,1777,1784,442700,792449100
2014-04-23,1771,1788,1752,1787,509100,906147800
2014-04-22,1760,1769,1740,1744,426700,746502300
2014-04-21,1790,1804,1773,1777,316300,565349300
2014-04-18,1781,1787,1760,1785,276000,489801700
2014-04-17,1779,1789,1766,1774,448500,796988200
2014-04-16,1756,1756,1735,1749,359500,627533000
2014-04-15,1732,1750,1731,1747,318200,554108100
2014-04-14,1725,1748,1716,1722,298900,517952800
2014-04-11,1707,1735,1688,1729,504500,869151000
2014-04-10,1741,1750,1725,1728,333400,578239500
2014-04-09,1700,1728,1681,1718,507600,871035100
2014-04-08,1748,1751,1721,1729,416400,720915900
2014-04-07,1760,1775,1756,1762,323700,571312900
2014-04-04,1781,1788,1768,1780,339900,605106000
2014-04-03,1800,1810,1791,1801,469000,844854000
2014-04-02,1838,1838,1798,1804,609500,1102497600
2014-04-01,1829,1834,1805,1833,473300,861572900
2014-03-31,1856,1872,1800,1822,489500,891614000
2014-03-28,1806,1846,1785,1846,657300,1203149300
2014-03-27,1785,1813,1773,1807,618400,1110805300
2014-03-26,1818,1820,1780,1786,826000,1480844500
2014-03-25,1781,1834,1781,1808,964400,1745370300
2014-03-24,1696,1754,1694,1730,767000,1332235000
2014-03-20,1688,1716,1666,1696,560700,954151200
2014-03-19,1662,1694,1647,1666,428400,717449600
2014-03-18,1661,1669,1640,1659,430600,713829400
2014-03-17,1648,1649,1617,1621,310300,505671500
2014-03-14,1681,1695,1646,1648,675500,1127383700
2014-03-13,1696,1741,1696,1721,403400,696420200
2014-03-12,1719,1731,1695,1697,239600,409261400
2014-03-11,1729,1748,1707,1731,261600,453828100
2014-03-10,1729,1731,1708,1711,187500,321606800
2014-03-07,1729,1732,1711,1729,333700,575376200
2014-03-06,1711,1711,1691,1707,188100,320301800
2014-03-05,1705,1710,1689,1703,309300,526739500
2014-03-04,1680,1690,1665,1683,478900,804126600
2014-03-03,1704,1724,1682,1697,261800,444365300
2014-02-28,1720,1724,1689,1713,198000,337921800
2014-02-27,1710,1732,1695,1716,239400,410739100
2014-02-26,1719,1735,1700,1721,269300,463300800
2014-02-25,1728,1728,1700,1722,190200,326219200
2014-02-24,1720,1739,1696,1719,356900,611935000
2014-02-21,1679,1720,1674,1718,348800,594214500
2014-02-20,1689,1689,1647,1660,342600,570291900
2014-02-19,1699,1705,1670,1679,317600,535692500
2014-02-18,1652,1721,1652,1711,646700,1098515400
2014-02-17,1655,1692,1605,1661,350100,579827900
2014-02-14,1647,1684,1630,1643,422300,696521400
2014-02-13,1670,1673,1636,1642,406400,672265000
2014-02-12,1642,1670,1638,1660,551900,915799100
2014-02-10,1643,1658,1613,1629,618400,1009873300
2014-02-07,1601,1606,1561,1580,557600,879881200
2014-02-06,1597,1622,1587,1591,316900,506694800
2014-02-05,1606,1608,1572,1597,414400,660635700
2014-02-04,1620,1689,1606,1607,729500,1189991300
2014-02-03,1632,1654,1616,1635,233700,382081600
2014-01-31,1645,1666,1632,1647,357400,588895600
2014-01-30,1650,1661,1627,1643,368400,604400100
2014-01-29,1671,1678,1662,1674,225300,376453800
2014-01-28,1664,1682,1652,1653,489300,813354300
2014-01-27,1649,1690,1640,1664,583400,973746800
2014-01-24,1697,1704,1679,1687,393400,665116800
2014-01-23,1730,1743,1708,1709,395000,679749800
2014-01-22,1722,1733,1706,1729,316300,544394300
2014-01-21,1746,1772,1721,1722,302800,526528400
2014-01-20,1755,1755,1705,1720,318300,547492800
2014-01-17,1700,1738,1693,1738,425400,733194200
2014-01-16,1705,1719,1692,1707,347400,593037400
2014-01-15,1689,1704,1676,1699,280500,474946300
2014-01-14,1707,1707,1665,1669,447000,750160400
2014-01-10,1658,1720,1650,1719,719600,1218915400
2014-01-09,1665,1666,1636,1650,253800,418432800
2014-01-08,1632,1652,1631,1651,322900,530109200
2014-01-07,1668,1668,1626,1637,571000,936760200
2014-01-06,1619,1671,1616,1656,1113200,1842216200
2013-12-30,1595,1615,1588,1605,391000,626680000
2013-12-27,1572,1593,1560,1587,854000,1351505000
