4528-T,東証1部,小野薬,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,9150,9190,8910,8980,951800,8590561000
2014-06-26,8480,8610,8360,8550,519300,4410692000
2014-06-25,8320,8350,8230,8240,247600,2046622000
2014-06-24,8320,8380,8290,8320,215700,1799251000
2014-06-23,8370,8390,8300,8330,226400,1889745000
2014-06-20,8330,8390,8290,8330,232900,1944001000
2014-06-19,8300,8360,8270,8340,380100,3165751000
2014-06-18,8290,8430,8280,8350,649200,5421029000
2014-06-17,8180,8300,8180,8250,611800,5050418000
2014-06-16,8070,8140,8060,8140,342200,2773279000
2014-06-13,7820,8030,7800,8000,372800,2941986000
2014-06-12,7790,7880,7710,7880,465000,3633159000
2014-06-11,7920,7930,7860,7910,271600,2146473000
2014-06-10,8050,8050,7870,7880,282700,2243008000
2014-06-09,8070,8100,8000,8050,283700,2278310000
2014-06-06,8120,8140,8030,8100,470900,3806638000
2014-06-05,8150,8220,8080,8130,373500,3041967000
2014-06-04,8110,8200,8090,8200,247000,2016045000
2014-06-03,8190,8190,8060,8090,217200,1762255000
2014-06-02,7910,8140,7910,8110,294600,2368961000
2014-05-30,7970,7980,7780,7800,400500,3153510000
2014-05-29,7910,8000,7870,7920,230600,1828732000
2014-05-28,8140,8160,8050,8060,213000,1726940000
2014-05-27,8160,8250,8120,8120,120400,984530000
2014-05-26,8190,8250,8080,8220,223400,1828974000
2014-05-23,8110,8250,8110,8180,163000,1334773000
2014-05-22,7890,8140,7850,8090,230300,1850390000
2014-05-21,7730,7840,7710,7820,105100,818691000
2014-05-20,7770,7890,7770,7790,219800,1718022000
2014-05-19,7860,7880,7760,7770,238700,1865131000
2014-05-16,8050,8070,7820,7900,363600,2885156000
2014-05-15,8240,8250,8140,8200,320100,2624139000
2014-05-14,8170,8250,8150,8240,317200,2604386000
2014-05-13,8200,8230,7950,8140,185500,1504552000
2014-05-12,8140,8240,8080,8100,177900,1452208000
2014-05-09,8130,8270,8100,8200,175400,1439702000
2014-05-08,8170,8290,8150,8190,220400,1808280000
2014-05-07,8050,8160,8050,8110,284600,2307551000
2014-05-02,8300,8380,8250,8290,164800,1367322000
2014-05-01,8230,8300,8180,8280,224400,1853042000
2014-04-30,8100,8130,7990,8090,251500,2030116000
2014-04-28,8100,8130,7900,7970,165100,1317619000
2014-04-25,8160,8250,8110,8140,192000,1566035000
2014-04-24,8320,8350,8110,8160,257600,2112774000
2014-04-23,8200,8340,8140,8320,314600,2593630000
2014-04-22,8380,8460,8150,8170,340500,2806723000
2014-04-21,8300,8490,8150,8170,231300,1906953000
2014-04-18,8210,8430,8170,8410,270900,2259614000
2014-04-17,8190,8220,8020,8070,277900,2254697000
2014-04-16,8100,8190,8060,8150,341200,2774339000
2014-04-15,8160,8200,7910,7940,456000,3636587000
2014-04-14,8110,8270,8100,8130,261800,2145418000
2014-04-11,8000,8180,7900,8090,391800,3168903000
2014-04-10,8370,8400,8180,8190,260000,2147693000
2014-04-09,8080,8160,7980,8100,583000,4710441000
2014-04-08,8500,8530,8230,8330,410100,3421871000
2014-04-07,8660,8830,8620,8620,269200,2345118000
2014-04-04,8810,8830,8700,8720,192600,1685016000
2014-04-03,8800,8880,8700,8820,190100,1674185000
2014-04-02,8710,8760,8580,8670,394200,3418784000
2014-04-01,8990,9000,8660,8750,502900,4416007000
2014-03-31,9080,9090,8820,8940,494600,4417493000
2014-03-28,9110,9220,8960,9070,259100,2343471000
2014-03-27,9330,9410,9010,9190,394800,3618605000
2014-03-26,9050,9450,9050,9410,521600,4861078000
2014-03-25,9060,9170,8820,8870,655100,5851141000
2014-03-24,9370,9520,9270,9340,398600,3733541000
2014-03-20,9760,9760,9400,9440,349900,3322370000
2014-03-19,9510,9710,9440,9610,368300,3529534000
2014-03-18,9220,9440,9180,9290,232100,2164532000
2014-03-17,9060,9150,8960,8960,191400,1728963000
2014-03-14,9200,9260,9040,9060,736800,6735858000
2014-03-13,9500,9590,9450,9510,189200,1798773000
2014-03-12,9700,9730,9550,9550,218500,2099807000
2014-03-11,9790,9820,9670,9780,219300,2138515000
2014-03-10,9760,9780,9570,9660,224300,2167692000
2014-03-07,9900,9930,9760,9800,274600,2697896000
2014-03-06,9700,9860,9670,9820,268000,2625668000
2014-03-05,9900,9940,9710,9710,306600,3006342000
2014-03-04,9490,9830,9420,9770,321700,3125026000
2014-03-03,9940,9940,9530,9600,505000,4883633000
2014-02-28,9910,10110,9870,10070,570800,5715909000
2014-02-27,9890,10170,9840,9900,593900,5925820000
2014-02-26,9910,9980,9840,9910,351700,3493577000
2014-02-25,10080,10140,9920,9980,422100,4215549000
2014-02-24,9990,10150,9900,10000,656300,6560885000
2014-02-21,9900,10000,9700,9970,816900,8095900000
2014-02-20,9570,9600,9410,9450,194600,1847987000
2014-02-19,9600,9680,9510,9550,283600,2718080000
2014-02-18,9430,9800,9430,9750,417900,4032258000
2014-02-17,9340,9480,9120,9420,420700,3920042000
2014-02-14,9250,9350,9050,9130,289400,2658447000
2014-02-13,9320,9400,9180,9210,377500,3505007000
2014-02-12,8990,9190,8930,9170,379900,3461539000
2014-02-10,8900,8930,8770,8920,158100,1404672000
2014-02-07,8700,8780,8550,8700,222100,1919791000
2014-02-06,8600,8730,8520,8530,335000,2890136000
2014-02-05,8630,8880,8600,8710,306400,2672964000
2014-02-04,8610,8890,8600,8620,709900,6215451000
2014-02-03,8990,9000,8750,8750,237300,2102586000
2014-01-31,8960,9040,8840,8930,317500,2833913000
2014-01-30,9010,9200,8900,8940,278300,2503865000
2014-01-29,9150,9280,9120,9280,211100,1943265000
2014-01-28,8980,9200,8970,9070,273700,2494912000
2014-01-27,8930,9180,8820,9000,635800,5701706000
2014-01-24,9390,9610,9210,9260,742500,6977240000
2014-01-23,9690,9750,9460,9460,356400,3415029000
2014-01-22,9550,9730,9510,9630,686300,6613587000
2014-01-21,9740,9840,9670,9670,317600,3092896000
2014-01-20,9950,9970,9770,9770,164800,1622352000
2014-01-17,9820,10040,9780,9980,289300,2869621000
2014-01-16,10010,10090,9880,9910,302800,3021551000
2014-01-15,9850,9970,9740,9960,324400,3199225000
2014-01-14,9690,9940,9560,9790,707000,6924504000
2014-01-10,9560,9690,9460,9660,244600,2349044000
2014-01-09,9500,9680,9430,9590,383800,3667994000
2014-01-08,9400,9470,9290,9460,315100,2962721000
2014-01-07,9080,9370,9080,9340,418100,3881214000
2014-01-06,9200,9220,9010,9080,400900,3654410000
2013-12-30,9220,9280,9080,9210,315600,2900001000
2013-12-27,8850,9270,8780,9220,628700,5710080000
2013-12-26,8640,8810,8590,8780,228400,1994220000
2013-12-25,8590,8690,8500,8590,427900,3679593000
2013-12-24,8400,8590,8400,8560,549900,4689273000
2013-12-20,8460,8600,8330,8380,1612500,13568577000
2013-12-19,8400,8480,8320,8410,751300,6321167000
2013-12-18,8040,8070,7970,8010,440500,3532949000
2013-12-17,8040,8120,7990,8040,199600,1603724000
2013-12-16,7900,8120,7900,8020,496400,3984231000
2013-12-13,8000,8110,7970,7980,485700,3892698000
2013-12-12,8180,8210,7990,7990,316500,2549694000
2013-12-11,8350,8480,8270,8330,369200,3088678000
2013-12-10,8400,8400,8260,8320,205500,1710482000
2013-12-09,8340,8400,8260,8400,262700,2195878000
2013-12-06,8440,8440,8120,8240,502700,4143354000
2013-12-05,8110,8590,8060,8440,929300,7788505000
2013-12-04,8020,8140,7970,8060,491400,3960259000
2013-12-03,7820,8020,7820,7990,432300,3441755000
2013-12-02,7740,7820,7720,7790,190500,1481895000
2013-11-29,7760,7780,7710,7760,241100,1868242000
2013-11-28,7650,7800,7610,7790,363600,2812137000
2013-11-27,7550,7770,7520,7710,710900,5470492000
2013-11-26,7840,7850,7230,7250,1511700,11366913000
2013-11-25,7830,7890,7750,7880,171300,1345176000
2013-11-22,7850,7860,7710,7780,421300,3275103000
2013-11-21,7800,7860,7770,7830,311300,2432937000
2013-11-20,7810,7820,7660,7730,225200,1737264000
2013-11-19,7680,7890,7660,7730,430100,3337059000
2013-11-18,7790,7790,7570,7640,550100,4202947000
2013-11-15,7870,7950,7800,7800,460400,3618392000
2013-11-14,7980,8010,7780,7850,641400,5070381000
2013-11-13,8070,8140,7950,7990,348700,2800181000
2013-11-12,7960,8050,7940,8050,497700,3982914000
2013-11-11,7900,8080,7890,8050,548200,4386695000
2013-11-08,7720,7800,7690,7770,495200,3843024000
2013-11-07,7620,7880,7570,7770,649200,5041670000
2013-11-06,7500,7650,7420,7510,640900,4810572000
2013-11-05,7250,7250,7060,7170,386100,2763510000
2013-11-01,7200,7300,7080,7170,671100,4823970000
2013-10-31,7120,7500,7060,7400,851000,6252582000
2013-10-30,6900,7130,6750,7130,1371000,9610360000
2013-10-29,6630,7200,6600,6940,1620500,11180266000
2013-10-28,6200,6230,6160,6230,226400,1404915000
2013-10-25,6240,6250,6120,6130,359400,2221274000
2013-10-24,6110,6220,6050,6210,192500,1184369000
2013-10-23,6140,6160,6090,6110,252300,1546127000
2013-10-22,6170,6170,6070,6080,210200,1285036000
2013-10-21,6130,6150,6060,6150,199900,1223415000
2013-10-18,5940,6070,5940,6040,348700,2100492000
2013-10-17,5910,6000,5870,5910,367100,2174723000
2013-10-16,5810,5850,5750,5850,204800,1192608000
2013-10-15,5800,5850,5770,5800,235500,1366753000
2013-10-11,5940,6000,5710,5750,508300,2953356000
2013-10-10,5850,5970,5820,5910,311600,1838497000
2013-10-09,5650,5820,5630,5810,335500,1931504000
2013-10-08,5740,5770,5600,5650,447400,2534515000
2013-10-07,5920,5960,5800,5820,182000,1066454000
2013-10-04,5970,6010,5930,5950,109900,655182000
2013-10-03,6040,6070,5970,5980,161200,966215000
2013-10-02,6030,6110,5970,6050,245000,1479271000
2013-10-01,6040,6080,6010,6010,131600,793749000
2013-09-30,6060,6100,6030,6030,148800,901703000
2013-09-27,6130,6200,6080,6120,155500,953116000
2013-09-26,6080,6120,5970,6110,158800,963910000
2013-09-25,6170,6190,6110,6170,163700,1006870000
2013-09-24,6110,6180,6090,6150,175600,1078960000
2013-09-20,6190,6200,6130,6190,147400,911141000
2013-09-19,6180,6200,6090,6170,208400,1280588000
2013-09-18,6170,6190,6110,6110,173600,1065660000
2013-09-17,6240,6250,6140,6140,99800,617145000
2013-09-13,6170,6240,6150,6180,251500,1553961000
2013-09-12,6170,6170,6120,6140,91200,560060000
2013-09-11,6210,6240,6140,6150,142300,879730000
2013-09-10,6150,6240,6150,6170,196400,1215796000
2013-09-09,6150,6170,6080,6140,144400,885130000
2013-09-06,6050,6050,5940,5970,122900,734897000
2013-09-05,6140,6140,5980,6030,192200,1158323000
2013-09-04,6040,6140,6040,6140,88400,539999000
2013-09-03,6040,6160,6000,6140,261400,1597783000
2013-09-02,5950,6020,5950,5970,92700,554795000
2013-08-30,6060,6070,5910,5930,220500,1312569000
2013-08-29,6060,6080,5930,5980,152100,910797000
2013-08-28,6030,6100,5980,6060,128100,772906000
2013-08-27,6130,6170,6090,6130,166300,1020005000
2013-08-26,6100,6140,6050,6120,104600,638118000
2013-08-23,6030,6160,6020,6100,197900,1205433000
2013-08-22,5920,6050,5880,5980,294400,1758515000
2013-08-21,6010,6040,5830,5920,310900,1836974000
2013-08-20,6020,6130,6000,6000,292100,1768250000
2013-08-19,6080,6120,6030,6070,273000,1657370000
2013-08-16,6120,6160,6070,6110,170900,1045124000
2013-08-15,6290,6340,6170,6200,177100,1106098000
2013-08-14,6380,6420,6250,6390,127800,811243000
2013-08-13,6220,6360,6200,6360,185000,1165126000
2013-08-12,6220,6260,6150,6190,79600,494336000
2013-08-09,6280,6350,6230,6280,133100,836600000
2013-08-08,6400,6490,6200,6220,257000,1629420000
2013-08-07,6620,6640,6450,6460,151300,987443000
2013-08-06,6640,6700,6480,6690,173400,1144211000
2013-08-05,6680,6720,6650,6670,143800,962107000
2013-08-02,6390,6670,6370,6670,396500,2577691000
2013-08-01,6290,6660,6290,6590,273300,1784628000
2013-07-31,6360,6480,6280,6290,237300,1512951000
2013-07-30,6430,6540,6330,6450,178300,1147676000
2013-07-29,6490,6570,6450,6460,165300,1076397000
2013-07-26,6730,6750,6530,6550,241500,1596112000
2013-07-25,6800,6850,6750,6810,232500,1584165000
2013-07-24,6900,6930,6730,6750,209900,1423831000
2013-07-23,6850,6910,6750,6870,260700,1785525000
2013-07-22,6900,6920,6820,6860,198900,1363779000
2013-07-19,6990,7000,6770,6860,203100,1398123000
2013-07-18,6950,7000,6880,6970,102500,713929000
2013-07-17,6870,6980,6820,6940,159600,1106450000
2013-07-16,6780,6860,6580,6860,260400,1761845000
2013-07-12,6800,6890,6780,6830,28500,194030000
2013-07-11,6900,6900,6720,6830,7800,53162000
2013-07-10,6920,6950,6870,6900,41100,284247000
2013-07-09,6960,6960,6800,6920,17000,116735000
2013-07-08,6910,6970,6890,6890,5100,35221000
2013-07-05,6870,6900,6830,6870,8600,59076000
2013-07-04,6910,6960,6870,6870,5900,40633000
2013-07-03,6900,7000,6870,7000,12600,88056000
2013-07-02,6870,6940,6870,6940,11300,78275000
2013-07-01,6870,6900,6750,6870,15000,102544000
2013-06-28,6530,6860,6500,6800,21800,147511000
2013-06-27,6300,6430,6220,6430,12200,78060000
2013-06-26,6390,6400,6200,6200,4500,28165000
2013-06-25,6390,6430,6250,6310,11700,74135000
2013-06-24,6360,6390,6300,6360,5300,33702000
2013-06-21,6090,6340,6090,6280,15400,96259000
