4574-T,東証1部,大幸薬品,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1561,1561,1527,1551,145400,224377200
2014-06-26,1540,1562,1540,1554,92900,144484300
2014-06-25,1551,1556,1541,1541,71800,111128800
2014-06-24,1550,1559,1534,1547,91000,140918200
2014-06-23,1541,1558,1534,1543,92500,143096700
2014-06-20,1553,1555,1535,1541,104800,162074200
2014-06-19,1558,1560,1546,1550,142300,221060600
2014-06-18,1525,1546,1515,1545,167400,256827100
2014-06-17,1500,1525,1486,1525,138700,209362800
2014-06-16,1517,1527,1481,1489,194300,293170400
2014-06-13,1465,1510,1464,1507,189600,282792000
2014-06-12,1455,1478,1442,1472,192200,280923800
2014-06-11,1461,1472,1453,1456,198900,290321300
2014-06-10,1470,1484,1460,1465,229600,337548300
2014-06-09,1480,1484,1471,1473,204400,301396200
2014-06-06,1482,1493,1466,1480,187100,276078000
2014-06-05,1527,1529,1462,1482,353700,525838700
2014-06-04,1550,1556,1526,1527,291000,446462800
2014-06-03,1587,1593,1571,1580,114500,181157000
2014-06-02,1565,1579,1550,1577,133600,209952500
2014-05-30,1559,1569,1540,1548,120700,187811700
2014-05-29,1537,1555,1537,1553,134600,208227300
2014-05-28,1535,1549,1530,1535,92100,141674100
2014-05-27,1552,1555,1521,1527,151300,232782400
2014-05-26,1537,1552,1534,1551,213700,330018900
2014-05-23,1468,1529,1448,1519,386100,578285600
2014-05-22,1459,1465,1406,1433,239800,344246700
2014-05-21,1401,1448,1400,1434,496800,709693900
2014-05-20,1353,1375,1352,1364,85800,117242400
2014-05-19,1359,1379,1350,1352,101800,138969700
2014-05-16,1395,1395,1343,1363,140400,191496500
2014-05-15,1359,1400,1355,1395,183100,252274500
2014-05-14,1381,1397,1332,1370,553900,755722300
2014-05-13,1460,1472,1452,1468,128900,188533800
2014-05-12,1502,1510,1440,1457,191700,283722400
2014-05-09,1511,1518,1495,1504,107000,160922200
2014-05-08,1513,1525,1506,1510,82000,124096400
2014-05-07,1509,1526,1509,1519,110800,168009300
2014-05-02,1536,1547,1513,1538,134000,205576000
2014-05-01,1480,1525,1479,1523,157700,237446700
2014-04-30,1503,1513,1481,1486,129300,193036600
2014-04-28,1520,1523,1493,1504,174500,261893700
2014-04-25,1500,1533,1500,1527,150300,228826800
2014-04-24,1525,1525,1496,1500,123800,186844100
2014-04-23,1494,1521,1484,1516,130700,196222800
2014-04-22,1535,1538,1481,1491,197800,297910400
2014-04-21,1523,1549,1519,1528,184700,283543600
2014-04-18,1521,1527,1501,1515,134200,202853800
2014-04-17,1533,1542,1509,1519,146900,223940700
2014-04-16,1504,1528,1498,1520,221300,334809000
2014-04-15,1530,1535,1484,1493,415300,623075000
2014-04-14,1620,1643,1531,1547,1286200,2047320900
2014-04-11,1480,1518,1466,1497,235600,351576500
2014-04-10,1540,1580,1515,1524,304500,470452000
