4575-T,東証マザーズ,CANBAS,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,840,855,799,819,145600,119522400
2014-06-26,830,909,810,855,389500,331066800
2014-06-25,803,830,770,780,126800,100650100
2014-06-24,842,842,787,807,266300,214019100
2014-06-23,840,870,830,842,171600,144763100
2014-06-20,920,949,874,882,221500,202351500
2014-06-19,884,942,876,899,244500,220963500
2014-06-18,920,1028,885,905,430900,415008300
2014-06-17,969,969,900,905,253500,235654700
2014-06-16,910,995,878,970,695700,652848100
2014-06-13,738,878,738,878,366900,293139900
2014-06-12,719,750,691,728,116200,84307700
2014-06-11,680,722,676,722,79200,55835400
2014-06-10,693,693,660,689,33200,22486400
2014-06-09,685,698,660,688,45400,31034700
2014-06-06,652,680,640,680,41700,27481300
2014-06-05,665,675,645,655,23200,15258600
2014-06-04,665,675,651,661,26700,17712800
2014-06-03,700,705,657,676,66100,44675000
2014-06-02,731,740,683,699,101100,71631300
2014-05-30,620,709,620,709,390900,270880900
2014-05-29,615,627,605,609,26900,16511200
2014-05-28,648,651,607,616,43800,27308900
2014-05-27,625,664,625,650,75700,49001400
2014-05-26,595,625,595,625,29300,17998400
2014-05-23,587,605,578,595,22700,13523900
2014-05-22,561,600,553,580,30900,17909400
2014-05-21,567,572,551,565,11100,6200400
2014-05-20,550,580,548,567,20300,11417900
2014-05-19,592,598,550,550,41800,24205500
2014-05-16,600,607,595,597,31400,18818300
2014-05-15,604,620,601,602,21000,12721700
2014-05-14,605,625,597,611,19300,11727600
2014-05-13,605,615,601,601,18700,11302600
2014-05-12,610,618,603,605,16600,10099800
2014-05-09,617,628,613,613,14200,8791000
2014-05-08,630,640,615,621,21000,13050600
2014-05-07,640,647,621,627,12800,8097200
2014-05-02,620,656,617,641,24100,15374000
2014-05-01,604,634,600,623,30000,18361600
2014-04-30,618,624,600,609,29000,17556000
2014-04-28,621,624,614,615,19800,12246000
2014-04-25,617,638,617,621,15100,9444600
2014-04-24,638,649,620,620,21600,13655700
2014-04-23,634,639,624,628,12500,7865100
2014-04-22,665,665,626,628,20600,13203900
2014-04-21,682,690,658,665,24500,16481600
2014-04-18,682,701,665,692,26400,17906800
2014-04-17,680,711,665,687,55700,38404400
2014-04-16,622,694,622,658,54500,36301700
2014-04-15,644,644,620,621,13700,8648000
2014-04-14,653,653,626,633,21600,13848000
2014-04-11,612,637,605,633,41200,25373800
2014-04-10,669,677,615,622,35200,22322100
2014-04-09,655,683,642,652,36900,24347900
2014-04-08,685,690,660,667,38000,25770000
2014-04-07,675,709,674,695,44700,30944500
2014-04-04,710,724,681,700,143300,100521200
2014-04-03,670,750,660,722,368900,264762900
2014-04-02,615,673,613,650,239300,152558000
2014-04-01,620,628,605,614,90800,55887400
2014-03-31,628,628,608,613,73500,45167300
2014-03-28,603,642,603,629,87400,54201300
2014-03-27,607,623,590,608,100400,60830800
2014-03-26,631,650,621,622,65600,41657800
2014-03-25,690,694,619,637,95700,62738200
2014-03-24,706,718,672,692,71200,49175400
2014-03-20,792,799,701,702,152000,111501600
2014-03-19,860,921,780,780,982300,862393900
2014-03-18,771,771,771,771,18800,14494800
2014-03-17,710,716,671,671,72000,50325900
2014-03-14,730,763,712,740,76500,55656500
2014-03-13,783,802,733,741,108200,82135300
2014-03-12,860,875,796,796,133900,111150500
2014-03-11,990,1009,855,875,768200,705372600
2014-03-10,802,938,801,938,645800,578955000
2014-03-07,708,788,701,788,167000,126184400
2014-03-06,645,698,628,688,42300,28266300
2014-03-05,613,710,613,635,75800,50096600
2014-03-04,608,615,607,611,5400,3300900
2014-03-03,631,631,610,610,8300,5103800
2014-02-28,620,628,615,625,6600,4106100
2014-02-27,642,646,620,625,20700,13153500
2014-02-26,665,665,645,646,8600,5598800
2014-02-25,649,657,638,657,12700,8275400
2014-02-24,652,661,632,646,18000,11654800
2014-02-21,616,643,612,642,19300,12046800
2014-02-20,652,652,625,625,10500,6669200
2014-02-19,644,657,628,642,23800,15331900
2014-02-18,622,639,621,635,17600,11104600
2014-02-17,650,654,610,632,30600,19314800
2014-02-14,673,681,644,648,41200,27455700
2014-02-13,685,686,672,672,16300,11059100
2014-02-12,708,718,688,689,34300,24006300
2014-02-10,700,710,674,698,33600,23198000
2014-02-07,685,712,661,675,46900,31989800
2014-02-06,607,722,582,698,117000,75726900
2014-02-05,649,650,597,622,44400,27735600
2014-02-04,628,648,608,617,72400,45486000
2014-02-03,806,810,702,708,60800,46451600
2014-01-31,828,835,809,813,30300,24736400
2014-01-30,855,860,814,814,40400,33613500
2014-01-29,811,828,811,825,22000,17988800
2014-01-28,813,826,809,811,27400,22341400
2014-01-27,842,842,818,821,35800,29850900
2014-01-24,868,870,855,860,26800,23146300
2014-01-23,887,896,877,877,29500,26112900
2014-01-22,902,916,885,901,23400,21090400
2014-01-21,920,928,857,891,33900,30122200
2014-01-20,899,953,882,920,40400,37413700
2014-01-17,855,873,850,868,23900,20602400
2014-01-16,901,910,868,868,25600,22704600
2014-01-15,890,907,884,884,29100,25976500
2014-01-14,910,910,887,892,18400,16476000
2014-01-10,909,930,907,925,24300,22296700
2014-01-09,927,927,903,909,25500,23204000
2014-01-08,947,947,920,927,24200,22541200
2014-01-07,951,1007,912,940,71900,69200000
2014-01-06,903,952,891,952,53300,49054800
2013-12-30,848,898,845,887,41200,36127300
2013-12-27,840,859,839,848,49100,41419600
2013-12-26,850,898,850,879,52200,45702300
2013-12-25,805,860,805,855,81800,67621800
2013-12-24,822,838,800,801,71300,57728000
2013-12-20,884,885,870,870,29700,25927200
2013-12-19,880,898,880,884,19000,16913800
2013-12-18,896,905,879,888,22500,20072000
2013-12-17,880,906,880,900,24700,22159200
2013-12-16,940,945,880,880,49800,45201300
2013-12-13,962,970,945,955,23600,22541600
2013-12-12,978,978,955,962,30200,29213900
2013-12-11,995,1004,980,984,34900,34509700
2013-12-10,1001,1013,996,996,55800,55864900
2013-12-09,1017,1020,1001,1007,28600,28742300
2013-12-06,1045,1068,1002,1017,41700,42530800
2013-12-05,1013,1082,1013,1031,92900,96765700
2013-12-04,1016,1028,1010,1010,48200,48922200
2013-12-03,1040,1043,1014,1015,46300,47529900
2013-12-02,1027,1029,1009,1013,21300,21696700
2013-11-29,1001,1023,1001,1004,20600,20762800
2013-11-28,1022,1027,1003,1010,24800,25105900
2013-11-27,1031,1048,1026,1026,10400,10749400
2013-11-26,1001,1050,1001,1043,31100,31900800
2013-11-25,1070,1073,1000,1027,42700,44351700
2013-11-22,1081,1090,1050,1062,33800,36002100
2013-11-21,1115,1115,1070,1081,32900,35847500
2013-11-20,1114,1120,1093,1110,36900,40821100
2013-11-19,1142,1142,1103,1103,37300,41751500
2013-11-18,1165,1170,1141,1144,19900,23024000
2013-11-15,1160,1170,1142,1152,65700,75744500
2013-11-14,1165,1226,1165,1212,31400,38070200
2013-11-13,1150,1169,1140,1163,10800,12457000
2013-11-12,1130,1176,1100,1158,14700,16852900
2013-11-11,1184,1184,1133,1135,15200,17509200
2013-11-08,1177,1184,1148,1174,13800,15977000
2013-11-07,1158,1192,1157,1184,12000,14060800
2013-11-06,1221,1225,1185,1198,11800,14162800
2013-11-05,1175,1254,1148,1251,27100,32765500
2013-11-01,1192,1228,1111,1174,41200,47634900
