4579-T,JQグロース,ラクオリア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,643,665,598,619,296500,186776200
2014-06-26,658,662,645,649,110800,72310000
2014-06-25,667,676,640,655,327600,215520700
2014-06-24,652,666,627,652,623700,405569300
2014-06-23,620,625,613,624,60800,37714100
2014-06-20,638,638,610,618,199000,124014400
2014-06-19,625,635,614,630,151100,94737200
2014-06-18,635,638,609,622,175100,108441500
2014-06-17,646,649,615,631,267800,169125900
2014-06-16,620,648,605,632,563200,353839900
2014-06-13,581,620,578,614,443900,266963900
2014-06-12,578,605,572,586,232800,137417000
2014-06-11,570,585,567,584,67400,38880300
2014-06-10,577,582,569,571,66200,38059500
2014-06-09,580,585,577,581,47500,27619400
2014-06-06,575,577,566,577,60600,34589400
2014-06-05,590,590,568,575,75500,43552500
2014-06-04,591,597,575,587,136100,79943100
2014-06-03,598,598,587,592,95600,56612200
2014-06-02,600,601,582,587,144000,85028600
2014-05-30,601,605,568,585,289300,168730700
2014-05-29,615,620,584,595,909500,550339800
2014-05-28,552,564,545,549,118800,65702600
2014-05-27,552,584,543,546,319600,179667200
2014-05-26,549,622,532,566,862900,508611100
2014-05-23,488,538,484,522,217200,112288600
2014-05-22,482,495,477,495,169600,82482000
2014-05-21,475,478,465,476,135900,63971100
2014-05-20,479,502,471,485,262300,126627300
2014-05-19,624,628,486,486,1363000,768404700
2014-05-16,554,554,554,554,60500,33517000
2014-05-15,477,477,465,474,14900,6999300
2014-05-14,477,478,466,477,13800,6525400
2014-05-13,472,473,465,469,12700,5977500
2014-05-12,485,485,465,465,38000,18030700
2014-05-09,479,479,473,475,13500,6419200
2014-05-08,496,510,473,474,53200,26101500
2014-05-07,484,492,480,483,26500,12837700
2014-05-02,486,494,483,492,25800,12595300
2014-05-01,476,489,475,485,28500,13710500
2014-04-30,478,487,468,483,60200,28564200
2014-04-28,480,493,478,480,42900,20721500
2014-04-25,495,498,485,489,23600,11595300
2014-04-24,495,495,487,487,20900,10236500
2014-04-23,499,499,488,493,23100,11371300
2014-04-22,506,506,492,492,68700,34404200
2014-04-21,513,515,504,509,30800,15691500
2014-04-18,510,510,498,500,30100,15121100
2014-04-17,517,517,504,505,42900,21895800
2014-04-16,492,509,492,509,64300,32267800
2014-04-15,499,502,492,492,35800,17812600
2014-04-14,499,513,491,491,52100,25963000
2014-04-11,498,520,471,500,115600,57038100
2014-04-10,535,548,503,505,154500,80917000
2014-04-09,607,608,540,545,565200,327192100
2014-04-08,519,535,510,522,118800,61620500
2014-04-07,547,566,530,539,208900,113516400
2014-04-04,626,666,575,577,1754600,1099336300
2014-04-03,535,566,524,566,199500,109604500
2014-04-02,477,491,477,486,32100,15568700
2014-04-01,472,489,470,475,45100,21540300
2014-03-31,478,482,465,472,37900,17907900
2014-03-28,444,480,444,475,59800,27850900
2014-03-27,443,456,430,455,47700,21148300
2014-03-26,451,457,430,441,77200,34122900
2014-03-25,482,488,450,455,56100,26316800
2014-03-24,485,495,472,488,41000,20055900
2014-03-20,512,513,486,490,70500,35204100
2014-03-19,536,536,510,519,25900,13480500
2014-03-18,530,534,523,526,18800,9921800
2014-03-17,525,530,508,528,33300,17287800
2014-03-14,545,545,525,530,47900,25586500
2014-03-13,557,560,553,553,26800,14902500
2014-03-12,560,565,557,559,33600,18803700
2014-03-11,582,584,561,561,66400,37868200
2014-03-10,556,591,555,590,83600,48277800
2014-03-07,559,570,557,564,52300,29448600
2014-03-06,551,560,540,553,40400,22252300
2014-03-05,535,558,535,546,40900,22393000
2014-03-04,530,540,520,537,18700,9932600
2014-03-03,550,552,528,533,49300,26527100
2014-02-28,553,563,552,553,30500,16912300
2014-02-27,569,569,558,560,43400,24348400
2014-02-26,570,577,570,571,41800,23877900
2014-02-25,583,583,572,577,26100,15028700
2014-02-24,583,586,570,579,35700,20665300
2014-02-21,582,586,573,582,60200,34917300
2014-02-20,609,612,570,572,133400,77709200
2014-02-19,585,645,585,607,397600,244810900
2014-02-18,545,563,545,560,49500,27490400
2014-02-17,555,570,539,550,80800,44842700
2014-02-14,563,573,535,554,62500,34329800
2014-02-13,585,585,552,556,82300,46631600
2014-02-12,595,599,583,585,65100,38496200
2014-02-10,575,606,575,593,60900,35827900
2014-02-07,558,617,558,585,210800,123376300
2014-02-06,506,556,506,542,154300,81279800
2014-02-05,555,558,503,516,148000,78091600
2014-02-04,502,555,502,524,235300,122691100
2014-02-03,636,640,600,602,127000,78955900
2014-01-31,645,659,640,643,92400,59718200
2014-01-30,680,680,636,641,135100,88468600
2014-01-29,640,655,640,653,43200,28022100
2014-01-28,652,660,635,635,78000,50343600
2014-01-27,665,668,641,644,119500,77920500
2014-01-24,677,689,672,681,74200,50331000
2014-01-23,695,712,683,683,82300,56739700
2014-01-22,683,707,683,698,75800,52626200
2014-01-21,685,700,684,688,47800,33040700
2014-01-20,680,689,670,685,64800,44168400
2014-01-17,678,689,678,683,45000,30703200
2014-01-16,694,698,679,684,84000,57765100
2014-01-15,690,707,687,690,99400,68993700
2014-01-14,697,705,682,691,102200,70834400
2014-01-10,713,733,705,712,161000,115027000
2014-01-09,767,812,719,725,1324500,1017796000
2014-01-08,752,752,752,752,309800,232969600
2014-01-07,666,673,651,652,61100,40186700
2014-01-06,679,679,660,666,60800,40521300
2013-12-30,647,684,643,681,84900,56799100
2013-12-27,664,683,657,660,60700,40495600
2013-12-26,629,673,629,670,95200,62765900
2013-12-25,620,653,616,635,141400,90291700
2013-12-24,650,651,621,621,149100,94834800
2013-12-20,659,665,650,652,88400,57936400
2013-12-19,670,693,662,664,111400,74734100
2013-12-18,680,680,662,672,142900,95748900
2013-12-17,710,750,676,682,681000,489500800
2013-12-16,678,678,647,653,89800,59359600
2013-12-13,682,692,680,681,61100,41724400
2013-12-12,695,703,687,692,46400,32056100
2013-12-11,693,714,683,691,118200,82650500
2013-12-10,705,710,693,700,71600,50119300
2013-12-09,709,718,695,705,66700,46816900
2013-12-06,725,727,706,708,57600,41111400
2013-12-05,747,747,720,730,135800,100059300
2013-12-04,713,719,703,717,41400,29415400
2013-12-03,712,728,710,712,63200,45332100
2013-12-02,708,713,701,711,45500,32259000
2013-11-29,718,718,691,705,71000,50185400
2013-11-28,696,698,683,687,39000,26878700
2013-11-27,700,707,691,694,43700,30443700
2013-11-26,699,711,690,702,68900,48260100
2013-11-25,712,712,698,698,72800,51136400
2013-11-22,726,759,716,720,84000,61358900
2013-11-21,760,760,720,725,168100,123323800
2013-11-20,816,829,763,768,857400,679965500
2013-11-19,679,761,675,761,107400,76481700
2013-11-18,665,668,655,661,59400,39227600
2013-11-15,650,670,646,655,76500,50293600
2013-11-14,630,684,627,660,108100,71351300
2013-11-13,624,632,615,630,58700,36716700
2013-11-12,611,639,609,623,99800,62198500
2013-11-11,619,637,604,615,296000,183299700
2013-11-08,701,715,698,703,42800,30074500
2013-11-07,705,718,701,715,34400,24392500
2013-11-06,720,720,704,705,35900,25561300
2013-11-05,698,720,691,720,50800,35772200
2013-11-01,720,727,687,698,130100,91467200
2013-10-31,740,748,729,730,78900,58265600
2013-10-30,784,785,750,755,98300,74810300
2013-10-29,775,784,775,778,23800,18577600
2013-10-28,780,794,775,778,32200,25128000
2013-10-25,794,794,775,777,53000,41403000
2013-10-24,778,797,777,788,61800,48674600
2013-10-23,788,800,776,778,145000,114068100
2013-10-22,812,816,798,801,63300,51011800
2013-10-21,810,820,799,811,86200,69748900
2013-10-18,812,817,796,808,85000,68433200
2013-10-17,820,824,794,804,108700,87995200
2013-10-16,821,833,790,793,171200,138188500
2013-10-15,868,900,820,821,659100,563804600
2013-10-11,883,883,883,883,274400,242295200
2013-10-10,757,760,730,733,46000,34178700
2013-10-09,720,757,712,750,55200,41112000
2013-10-08,721,751,705,732,124100,89866800
2013-10-07,805,806,751,751,84300,65230000
2013-10-04,790,805,763,799,128200,100516700
2013-10-03,821,836,791,812,87900,71666600
2013-10-02,829,866,791,828,230200,190145500
2013-10-01,914,943,808,844,497500,444398200
2013-09-30,907,918,850,900,557600,498674900
2013-09-27,795,933,791,899,862300,760287400
2013-09-26,760,805,747,791,98300,76775200
2013-09-25,800,810,761,766,100000,78439500
2013-09-24,800,805,786,796,80600,64198700
2013-09-20,782,796,777,793,116800,91812000
2013-09-19,810,815,773,782,127300,100737700
2013-09-18,776,810,775,793,262000,207058600
2013-09-17,761,773,751,763,94500,72064700
2013-09-13,757,775,740,748,106300,80435100
2013-09-12,737,769,721,756,152800,114162700
2013-09-11,693,795,675,748,290000,214793400
2013-09-10,722,732,696,696,76100,54091900
2013-09-09,711,722,701,717,81000,57447300
2013-09-06,768,769,710,710,167300,121395000
2013-09-05,727,864,726,768,898900,707723800
2013-09-04,640,720,640,720,220800,154681800
2013-09-03,612,646,611,620,113300,71182500
2013-09-02,629,635,600,603,114200,69703000
2013-08-30,630,658,625,639,94600,60736200
2013-08-29,624,645,622,624,101800,64009700
2013-08-28,658,660,621,622,155700,99530800
2013-08-27,701,701,656,682,254400,171523000
2013-08-26,730,734,702,705,49200,35139400
2013-08-23,732,740,715,720,61300,44476100
2013-08-22,760,760,717,723,100600,73994800
2013-08-21,780,786,767,767,44300,34298100
2013-08-20,784,795,775,778,53400,41799800
2013-08-19,777,804,775,799,51100,40423400
2013-08-16,771,795,763,782,45500,35630100
2013-08-15,780,797,772,784,40400,31739800
2013-08-14,795,811,761,789,97300,77339200
2013-08-13,776,817,731,790,209900,161664600
2013-08-12,845,849,760,761,205000,163436700
2013-08-09,890,905,860,860,139700,122316000
2013-08-08,933,943,891,920,86100,78811300
2013-08-07,938,959,933,943,99800,94420100
2013-08-06,943,951,931,941,67300,63268900
2013-08-05,910,975,905,958,108200,102449600
2013-08-02,916,921,900,911,93100,84854100
2013-08-01,900,916,842,876,192700,169898500
2013-07-31,945,957,917,917,105800,98525700
2013-07-30,925,980,920,945,129600,123423200
2013-07-29,1000,1010,942,942,252100,244022800
2013-07-26,1050,1060,999,1020,255800,262341300
2013-07-25,1075,1100,1040,1046,407000,436506600
2013-07-24,1030,1085,1026,1040,173400,183090100
2013-07-23,1052,1100,1030,1057,156600,165350800
2013-07-22,1042,1120,1022,1057,363000,387125200
2013-07-19,1041,1042,1006,1019,113100,115482900
