4587-T,東証マザーズ,ペプチド,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,8020,8100,7700,7740,359100,2821077000
2014-06-26,8600,8730,8160,8260,299800,2503470000
2014-06-25,8900,9150,8560,8570,364200,3215241000
2014-06-24,8660,8960,8560,8860,323300,2854008000
2014-06-23,9060,9070,8570,8740,343400,3018330000
2014-06-20,8780,9340,8560,8810,813500,7296281000
2014-06-19,8420,8960,8330,8550,632000,5470437000
2014-06-18,8510,8680,8300,8350,244800,2068344000
2014-06-17,8470,8750,8200,8420,399100,3358433000
2014-06-16,7650,8980,7600,8600,1350900,11446631000
2014-06-13,7160,7600,7110,7590,306800,2287596000
2014-06-12,7030,7380,7030,7240,140700,1014283000
2014-06-11,7050,7240,6890,7160,179300,1271255000
2014-06-10,7550,7550,7050,7150,217400,1581290000
2014-06-09,7480,7640,7380,7490,274600,2060910000
2014-06-06,6980,7330,6980,7330,161700,1158184000
2014-06-05,7340,7400,6910,7090,230300,1648063000
2014-06-04,7310,7450,7130,7430,195700,1425715000
2014-06-03,7690,7700,7320,7460,289400,2170925000
2014-06-02,7540,7750,7380,7480,390100,2946203000
2014-05-30,6870,7290,6840,7270,443700,3138107000
2014-05-29,6780,6820,6650,6710,235700,1583981000
2014-05-28,6690,6790,6550,6750,227500,1518193000
2014-05-27,6320,6860,6300,6500,432400,2858692000
2014-05-26,6470,6790,6220,6300,375500,2424439000
2014-05-23,6030,6440,5940,6170,259700,1618792000
2014-05-22,5700,6020,5620,5980,330200,1929792000
2014-05-21,5180,5480,5170,5480,156200,826623000
2014-05-20,5320,5540,5270,5360,181300,980155000
2014-05-19,5830,5840,5260,5280,209400,1143842000
2014-05-16,6070,6120,5670,5770,265100,1554973000
2014-05-15,5940,6330,5920,6290,168600,1045241000
2014-05-14,5700,6200,5480,6090,288900,1699682000
2014-05-13,5960,6220,5760,5900,277700,1654780000
2014-05-12,6080,6120,5480,5580,319400,1838607000
2014-05-09,6170,6270,6090,6110,131900,811232000
