4696-T,東証1部,ワタベ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,613,613,603,609,23200,14112500
2014-06-26,608,614,608,612,5400,3303000
2014-06-25,610,615,606,607,10200,6228400
2014-06-24,602,609,602,606,8000,4847300
2014-06-23,607,607,602,605,4600,2780100
2014-06-20,607,609,604,607,15200,9226600
2014-06-19,604,607,600,606,7400,4480000
2014-06-18,606,606,599,600,4500,2702600
2014-06-17,598,605,594,605,9600,5780700
2014-06-16,600,601,595,597,6900,4131400
2014-06-13,599,606,590,600,30400,18203000
2014-06-12,594,595,590,593,11800,6994000
2014-06-11,595,597,591,594,11100,6596500
2014-06-10,597,598,594,598,6700,3994600
2014-06-09,600,601,597,597,5800,3472000
2014-06-06,600,601,597,600,6600,3955900
2014-06-05,600,601,598,600,4900,2936400
2014-06-04,605,606,596,602,6400,3847600
2014-06-03,610,610,600,601,11100,6699800
2014-06-02,615,620,607,608,11800,7252000
2014-05-30,609,615,605,607,10900,6644000
2014-05-29,602,607,602,607,8700,5257300
2014-05-28,600,605,599,603,6200,3733300
2014-05-27,590,609,590,600,17300,10372700
2014-05-26,581,591,581,590,12900,7560100
2014-05-23,580,584,580,581,11300,6566200
2014-05-22,571,580,569,580,11500,6604800
2014-05-21,563,574,563,574,11800,6700200
2014-05-20,562,567,559,563,27500,15474200
2014-05-19,570,575,569,572,18200,10396200
2014-05-16,600,604,560,575,69600,40346500
2014-05-15,606,615,590,615,48500,29282400
2014-05-14,651,654,612,615,113500,71449300
2014-05-13,674,675,669,671,7300,4903300
2014-05-12,669,672,668,669,4000,2679500
2014-05-09,673,674,665,674,2700,1815000
2014-05-08,678,683,667,673,7600,5109300
2014-05-07,686,686,677,681,12800,8721600
2014-05-02,685,686,680,686,8500,5813200
2014-05-01,682,684,677,684,7800,5317600
2014-04-30,682,682,677,681,10500,7143200
2014-04-28,677,682,676,682,8000,5435100
2014-04-25,682,682,676,681,5900,4017200
2014-04-24,681,682,676,680,5700,3874100
2014-04-23,677,683,675,680,4600,3119900
2014-04-22,675,676,672,673,6700,4519400
2014-04-21,672,673,670,673,2500,1680300
2014-04-18,671,675,660,671,11700,7827700
2014-04-17,664,671,664,670,5300,3532000
2014-04-16,669,671,661,670,6200,4131700
2014-04-15,673,673,661,664,13400,8927200
2014-04-14,664,672,662,665,6800,4524000
2014-04-11,660,669,656,665,12200,8079300
2014-04-10,661,666,660,661,9200,6085200
2014-04-09,661,666,658,661,12600,8340400
2014-04-08,665,670,661,663,10900,7250800
2014-04-07,661,673,661,669,11100,7408200
2014-04-04,678,678,672,676,7500,5062600
2014-04-03,676,683,673,678,20800,14105100
2014-04-02,683,683,676,678,15200,10335900
2014-04-01,680,683,676,683,15700,10693700
2014-03-31,680,680,675,680,13300,9029100
2014-03-28,670,680,648,679,10000,6735700
2014-03-27,673,673,662,670,11600,7770700
2014-03-26,685,687,681,686,20300,13885800
2014-03-25,680,686,675,685,18600,12674300
2014-03-24,676,679,676,677,10100,6846600
2014-03-20,677,679,670,676,16400,11078500
2014-03-19,679,680,675,677,5400,3662500
2014-03-18,671,679,666,678,6700,4511500
2014-03-17,678,678,667,667,7700,5178200
2014-03-14,682,682,674,675,30800,20934400
2014-03-13,681,683,680,682,5600,3818000
2014-03-12,678,681,676,680,6500,4409700
2014-03-11,683,684,678,682,6400,4360500
2014-03-10,680,684,677,684,6000,4085700
2014-03-07,673,684,672,681,11300,7627600
2014-03-06,667,668,661,668,11900,7907200
2014-03-05,666,675,665,667,8600,5750400
2014-03-04,665,666,659,665,8300,5511000
2014-03-03,657,662,650,661,10500,6891600
2014-02-28,660,662,658,659,17300,11416600
2014-02-27,658,658,653,657,10400,6820400
2014-02-26,659,660,657,659,8300,5469400
2014-02-25,660,661,658,660,4600,3034800
2014-02-24,658,664,657,660,7200,4746600
2014-02-21,649,667,649,665,11700,7700300
2014-02-20,650,653,650,650,9200,5983800
2014-02-19,649,653,649,652,5500,3578100
2014-02-18,640,655,640,654,21000,13550100
2014-02-17,642,652,642,645,8800,5675900
2014-02-14,668,668,647,648,12500,8202300
2014-02-13,661,661,650,650,8900,5838400
2014-02-12,671,671,661,661,13400,8929100
2014-02-10,645,669,645,661,11800,7760600
2014-02-07,648,658,643,643,16800,10875700
2014-02-06,648,652,643,643,15100,9785100
2014-02-05,657,657,645,648,22300,14501200
2014-02-04,655,658,647,647,36500,23785100
2014-02-03,666,675,666,668,29800,19936800
2014-01-31,676,684,670,678,29500,19855800
2014-01-30,678,678,671,673,18200,12247500
2014-01-29,676,692,676,682,17300,11866900
2014-01-28,684,687,675,675,26000,17702500
2014-01-27,680,687,680,683,21900,14959900
2014-01-24,695,700,689,697,30900,21435900
2014-01-23,705,705,697,702,17000,11913400
2014-01-22,703,703,700,702,3700,2595300
2014-01-21,702,705,697,699,20800,14589400
2014-01-20,705,705,699,702,10300,7231200
2014-01-17,696,700,696,700,8100,5656100
2014-01-16,692,703,692,695,23200,16210300
2014-01-15,686,698,686,696,17900,12399000
2014-01-14,691,691,682,685,46400,31879400
2014-01-10,698,699,691,693,24200,16834100
2014-01-09,706,706,693,699,20100,14077900
2014-01-08,693,714,693,711,42500,29903100
2014-01-07,682,694,678,692,49400,33923600
2014-01-06,660,678,660,677,55800,37357600
2013-12-30,650,654,648,654,64500,41979100
2013-12-27,646,651,644,649,32700,21191700
2013-12-26,639,644,636,641,21200,13567400
2013-12-25,630,635,625,634,34000,21411800
2013-12-24,639,639,622,629,51700,32695400
2013-12-20,644,646,640,640,36300,23318000
2013-12-19,649,649,645,645,32000,20670300
2013-12-18,649,650,648,650,13800,8959100
2013-12-17,650,650,647,648,18700,12135500
2013-12-16,648,651,647,647,27400,17780500
2013-12-13,649,653,648,648,50300,32666000
2013-12-12,654,654,649,653,24800,16163100
2013-12-11,650,658,650,653,30000,19593200
2013-12-10,657,657,651,651,20400,13327700
2013-12-09,652,656,652,656,15200,9945800
2013-12-06,650,654,649,650,21300,13858200
2013-12-05,653,658,648,648,32700,21310800
2013-12-04,660,665,653,653,22900,15050800
2013-12-03,668,675,664,664,45500,30470700
2013-12-02,652,660,651,660,33500,21938700
2013-11-29,651,656,650,656,25800,16861300
2013-11-28,653,654,647,649,47000,30488600
2013-11-27,650,654,650,651,8000,5214300
2013-11-26,651,656,648,649,34600,22525200
2013-11-25,655,656,651,653,18200,11881400
2013-11-22,655,655,650,650,20000,13048400
2013-11-21,652,658,651,654,17400,11372700
2013-11-20,657,657,651,653,23200,15160600
2013-11-19,660,660,654,655,30400,19961000
2013-11-18,647,654,647,651,27300,17741200
2013-11-15,649,649,643,645,55400,35831100
2013-11-14,661,661,631,639,121300,77920000
2013-11-13,661,665,660,660,18600,12303600
2013-11-12,661,669,661,662,15500,10289300
2013-11-11,660,663,660,661,17100,11306100
2013-11-08,664,665,660,660,17400,11511400
2013-11-07,669,669,662,663,8100,5381300
2013-11-06,658,667,656,661,17500,11558000
2013-11-05,680,680,658,659,60900,40422700
2013-11-01,685,699,680,680,69700,47742000
2013-10-31,734,741,734,736,12100,8907300
