4726-T,東証1部,ソフトバンテク,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1582,1594,1564,1576,10700,16863900
2014-06-26,1609,1615,1579,1592,14800,23619000
2014-06-25,1628,1628,1604,1604,13100,21114200
2014-06-24,1626,1626,1618,1626,21700,35249500
2014-06-23,1630,1648,1620,1626,17800,29050300
2014-06-20,1630,1630,1590,1618,24900,40175100
2014-06-19,1610,1678,1603,1655,33500,54991600
2014-06-18,1612,1612,1568,1600,14600,23346400
2014-06-17,1580,1620,1565,1613,27200,43645700
2014-06-16,1561,1589,1561,1581,16500,25997400
2014-06-13,1530,1592,1530,1588,37500,58564200
2014-06-12,1505,1531,1503,1531,13400,20442400
2014-06-11,1512,1525,1490,1522,8400,12734400
2014-06-10,1525,1530,1520,1530,19900,30354000
2014-06-09,1515,1528,1511,1525,25900,39381300
2014-06-06,1502,1514,1498,1513,7400,11171100
2014-06-05,1510,1518,1482,1510,12700,19109900
2014-06-04,1508,1508,1495,1508,9900,14872700
2014-06-03,1503,1509,1496,1508,7100,10678100
2014-06-02,1490,1508,1485,1507,9100,13600900
2014-05-30,1458,1497,1458,1488,10600,15770100
2014-05-29,1444,1474,1444,1458,4400,6417000
2014-05-28,1442,1480,1442,1462,9700,14227700
2014-05-27,1482,1497,1449,1454,12000,17705600
2014-05-26,1450,1489,1439,1476,8300,12224400
2014-05-23,1455,1479,1444,1454,13300,19448500
2014-05-22,1388,1456,1388,1450,27000,38760400
2014-05-21,1379,1403,1379,1391,10400,14440900
2014-05-20,1384,1397,1371,1379,7900,10928600
2014-05-19,1391,1416,1377,1383,14000,19463800
2014-05-16,1390,1434,1390,1402,24200,34175400
2014-05-15,1445,1445,1401,1409,18100,25672100
2014-05-14,1429,1449,1415,1446,18400,26421400
2014-05-13,1441,1445,1405,1429,17300,24615100
2014-05-12,1450,1450,1393,1411,18200,25801800
2014-05-09,1430,1442,1412,1430,17600,25015100
2014-05-08,1440,1446,1418,1441,21000,30035200
2014-05-07,1472,1493,1401,1440,64600,92673100
2014-05-02,1499,1509,1440,1472,12100,17816000
2014-05-01,1505,1518,1471,1499,18100,26959700
2014-04-30,1525,1527,1500,1521,16300,24715400
2014-04-28,1500,1529,1500,1525,14400,21939900
2014-04-25,1518,1534,1481,1525,26200,39951300
2014-04-24,1493,1538,1485,1508,30500,46157200
2014-04-23,1441,1499,1441,1493,27300,40359100
2014-04-22,1459,1468,1441,1453,9900,14446100
2014-04-21,1458,1459,1444,1452,17600,25574700
2014-04-18,1449,1466,1428,1458,23800,34595500
2014-04-17,1429,1448,1410,1430,14200,20321700
2014-04-16,1378,1430,1378,1412,18400,25929000
2014-04-15,1375,1429,1373,1377,19300,26895200
2014-04-14,1392,1408,1358,1375,21900,30135400
2014-04-11,1396,1398,1370,1391,20800,28814200
2014-04-10,1430,1483,1401,1427,26500,37930200
2014-04-09,1420,1443,1392,1403,21700,30604900
2014-04-08,1455,1455,1423,1434,15200,21909900
2014-04-07,1538,1538,1472,1480,16500,24653000
2014-04-04,1544,1555,1530,1538,10100,15582300
2014-04-03,1570,1570,1540,1544,21700,33785000
2014-04-02,1525,1567,1511,1554,29400,45306800
2014-04-01,1511,1521,1497,1521,17300,26132700
2014-03-31,1504,1527,1504,1525,13700,20826200
2014-03-28,1470,1512,1457,1510,23000,34274400
2014-03-27,1458,1466,1410,1459,19400,27996700
2014-03-26,1469,1485,1437,1453,19300,28116300
2014-03-25,1485,1485,1445,1467,21800,31846600
2014-03-24,1417,1488,1417,1484,33600,49277700
2014-03-20,1450,1450,1400,1404,28700,40620200
2014-03-19,1434,1438,1400,1433,19500,27694800
2014-03-18,1430,1435,1394,1424,22700,32134600
2014-03-17,1424,1456,1370,1400,38700,54859400
2014-03-14,1450,1457,1390,1394,48600,69619000
2014-03-13,1434,1450,1426,1426,6200,8880600
2014-03-12,1444,1454,1417,1439,30900,44439500
2014-03-11,1435,1462,1430,1444,28800,41619000
2014-03-10,1469,1469,1440,1444,8300,12062600
2014-03-07,1455,1471,1428,1453,19600,28383100
2014-03-06,1458,1485,1427,1455,19600,28648600
2014-03-05,1495,1517,1455,1458,25800,38155800
2014-03-04,1468,1517,1445,1482,34100,50134700
2014-03-03,1493,1493,1439,1469,55700,81566600
2014-02-28,1519,1600,1495,1539,107700,166383100
2014-02-27,1522,1537,1505,1510,46800,71066000
2014-02-26,1583,1585,1501,1539,109200,168947700
2014-02-25,1393,1578,1393,1555,240700,368088600
2014-02-24,1384,1394,1363,1368,28500,39290800
2014-02-21,1353,1390,1353,1384,11900,16430900
2014-02-20,1365,1390,1352,1355,14200,19465800
2014-02-19,1360,1389,1351,1379,17400,23898200
2014-02-18,1330,1387,1310,1384,27200,37024300
2014-02-17,1326,1380,1326,1336,20700,27781300
2014-02-14,1359,1369,1320,1326,24200,32183400
2014-02-13,1390,1393,1323,1347,36000,48771800
2014-02-12,1389,1396,1366,1388,26900,37121700
2014-02-10,1339,1361,1339,1359,14600,19692700
2014-02-07,1330,1350,1318,1337,33100,44126200
2014-02-06,1259,1313,1259,1300,19700,25522500
2014-02-05,1308,1327,1232,1270,44800,57361500
2014-02-04,1215,1287,1199,1253,67300,83588800
2014-02-03,1380,1390,1303,1321,44300,59809200
2014-01-31,1415,1440,1380,1400,32000,45177800
2014-01-30,1425,1425,1375,1412,40600,56678600
2014-01-29,1414,1441,1413,1435,40300,57367000
2014-01-28,1455,1486,1414,1414,48800,70423100
2014-01-27,1490,1490,1450,1453,77800,114453300
2014-01-24,1501,1518,1496,1501,99800,150096500
2014-01-23,1605,1605,1552,1566,40400,63922200
2014-01-22,1617,1618,1585,1612,41900,67128600
2014-01-21,1616,1629,1603,1617,18600,30108500
2014-01-20,1613,1615,1602,1611,14500,23341800
2014-01-17,1599,1610,1599,1599,40600,65004800
2014-01-16,1602,1613,1590,1599,37500,60034800
2014-01-15,1609,1609,1591,1595,33900,54166900
2014-01-14,1619,1622,1588,1605,37200,59488500
2014-01-10,1650,1651,1626,1636,25800,42202900
2014-01-09,1686,1686,1651,1657,22700,37653500
2014-01-08,1672,1708,1672,1689,24400,41181200
2014-01-07,1689,1710,1660,1672,18200,30614900
2014-01-06,1704,1710,1653,1668,53200,89518600
2013-12-30,1720,1738,1719,1728,33300,57544900
2013-12-27,1690,1712,1680,1697,40700,68929800
2013-12-26,1649,1674,1620,1673,31300,51763300
2013-12-25,1601,1633,1601,1611,41000,66144700
2013-12-24,1644,1654,1598,1606,47400,76675800
2013-12-20,1602,1643,1602,1639,42900,69312900
2013-12-19,1640,1650,1588,1602,70400,113487100
2013-12-18,1655,1657,1636,1640,25100,41239900
2013-12-17,1643,1666,1630,1659,33600,55536500
2013-12-16,1680,1685,1649,1651,29500,49055400
2013-12-13,1664,1699,1659,1669,33200,55354000
2013-12-12,1710,1710,1663,1679,37700,63306000
2013-12-11,1702,1719,1681,1697,33700,57205800
2013-12-10,1720,1720,1686,1702,24200,41204300
2013-12-09,1700,1729,1698,1714,24700,42235500
2013-12-06,1722,1729,1680,1685,35000,59236800
2013-12-05,1779,1779,1716,1724,52900,91977400
2013-12-04,1774,1784,1741,1775,58600,103835300
2013-12-03,1670,1778,1667,1772,162800,284281300
2013-12-02,1675,1694,1650,1652,33000,54923400
2013-11-29,1720,1727,1647,1677,52500,88035300
2013-11-28,1774,1774,1709,1712,43400,75102200
2013-11-27,1749,1757,1730,1744,42200,73706900
2013-11-26,1728,1740,1716,1730,29800,51439400
2013-11-25,1735,1750,1718,1733,30900,53671100
2013-11-22,1734,1758,1686,1707,50200,86369400
2013-11-21,1718,1738,1686,1734,44500,76460200
2013-11-20,1800,1800,1722,1737,63100,111248600
2013-11-19,1708,1790,1708,1732,80400,140159000
2013-11-18,1596,1745,1596,1702,133800,226822400
2013-11-15,1594,1595,1575,1594,61700,97903500
2013-11-14,1613,1620,1591,1594,54900,87974400
2013-11-13,1635,1653,1613,1613,37300,60718900
2013-11-12,1632,1659,1623,1640,38000,62473000
2013-11-11,1695,1696,1620,1653,42700,70603900
2013-11-08,1690,1715,1674,1699,18300,31116600
2013-11-07,1698,1735,1683,1715,22400,38454100
2013-11-06,1730,1734,1705,1713,14000,24035500
2013-11-05,1681,1751,1681,1714,28300,48602900
2013-11-01,1772,1783,1689,1703,46300,79995100
2013-10-31,1714,1778,1703,1756,37000,64775600
2013-10-30,1774,1805,1710,1714,39500,69173000
2013-10-29,1769,1779,1754,1774,32400,57131000
2013-10-28,1848,1875,1750,1772,96600,174909000
2013-10-25,1910,1914,1870,1875,36400,68930000
2013-10-24,1885,1914,1850,1910,33700,63354500
2013-10-23,1905,1944,1880,1889,74700,142346900
2013-10-22,1867,1906,1857,1884,26200,49337100
2013-10-21,1885,1912,1856,1872,37600,70797500
2013-10-18,1920,1926,1872,1882,44700,84756500
2013-10-17,1907,1977,1851,1926,127200,245665800
2013-10-16,1866,1896,1837,1896,98400,184073300
2013-10-15,1808,1873,1789,1826,95400,175473500
2013-10-11,1794,1835,1751,1807,92600,165738200
2013-10-10,1699,1883,1685,1803,199600,357137200
2013-10-09,1640,1719,1630,1699,115300,194347700
2013-10-08,1490,1686,1489,1676,105800,171571100
2013-10-07,1533,1543,1490,1490,24600,37211900
2013-10-04,1575,1586,1555,1557,6500,10224300
2013-10-03,1545,1616,1545,1574,31900,50387100
2013-10-02,1600,1600,1560,1560,17500,27586500
2013-10-01,1580,1619,1528,1601,26500,41729100
2013-09-30,1620,1620,1590,1607,7700,12364100
2013-09-27,1596,1620,1596,1613,10800,17390800
2013-09-26,1555,1647,1524,1591,24500,38791700
2013-09-25,1620,1643,1581,1595,21800,34942700
2013-09-24,1630,1660,1630,1645,19700,32447100
2013-09-20,1650,1655,1589,1630,29200,47353900
2013-09-19,1598,1640,1561,1631,54200,86745500
2013-09-18,1606,1657,1590,1596,25800,41819400
2013-09-17,1565,1650,1565,1605,36100,58347100
2013-09-13,1500,1580,1500,1562,30400,46676700
2013-09-12,1510,1520,1499,1507,10800,16286600
2013-09-11,1500,1510,1500,1502,13400,20143500
2013-09-10,1539,1539,1490,1510,14500,21878900
2013-09-09,1550,1550,1512,1533,12600,19347000
2013-09-06,1521,1530,1499,1511,17500,26470100
2013-09-05,1529,1539,1520,1532,18000,27545900
2013-09-04,1499,1535,1485,1527,31700,47918700
2013-09-03,1470,1498,1462,1481,19100,28321900
2013-09-02,1441,1469,1441,1466,9700,14187600
2013-08-30,1442,1478,1442,1450,12300,17880100
2013-08-29,1470,1475,1430,1442,34900,50700800
2013-08-28,1459,1471,1401,1466,33000,48043400
2013-08-27,1529,1529,1464,1465,45400,67099300
2013-08-26,1435,1549,1412,1549,55200,81762600
2013-08-23,1440,1440,1425,1433,9200,13165600
2013-08-22,1435,1443,1400,1438,18000,25661000
2013-08-21,1405,1453,1388,1453,21800,31078500
2013-08-20,1410,1419,1389,1389,11900,16684700
2013-08-19,1418,1418,1381,1405,9900,13819100
2013-08-16,1403,1424,1355,1403,21200,29717400
2013-08-15,1419,1443,1402,1439,16300,23227600
2013-08-14,1400,1425,1386,1423,9900,13921800
2013-08-13,1324,1386,1324,1380,18100,24600500
2013-08-12,1410,1410,1350,1354,17600,24230400
2013-08-09,1429,1455,1401,1410,15500,22213500
2013-08-08,1450,1477,1443,1444,22400,32651200
2013-08-07,1471,1477,1456,1456,16200,23740500
