4748-T,JQスタンダード,構造計画,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1088,1088,1050,1065,2500,2666000
2014-06-26,1097,1109,1095,1098,3400,3735400
2014-06-25,1105,1139,1105,1139,2200,2471500
2014-06-24,1096,1122,1096,1105,2300,2540400
2014-06-23,1122,1129,1120,1126,3400,3812700
2014-06-20,1120,1144,1119,1120,1600,1794700
2014-06-19,1120,1120,1109,1112,1200,1337700
2014-06-18,1102,1120,1100,1120,2500,2765000
2014-06-17,1091,1120,1091,1120,3000,3322000
2014-06-16,1112,1133,1095,1100,4400,4887600
2014-06-13,1100,1128,1100,1114,1200,1329600
2014-06-12,1110,1114,1100,1100,9500,10502600
2014-06-11,1136,1165,1107,1140,18700,21254200
2014-06-10,1089,1196,1074,1196,39200,44563500
2014-06-09,1089,1089,1073,1089,1600,1726600
2014-06-06,1074,1075,1074,1074,700,751900
2014-06-05,1055,1074,1052,1074,900,951200
2014-06-04,1078,1092,1050,1055,2400,2563600
2014-06-03,1027,1048,1027,1048,1000,1031600
2014-06-02,1025,1045,1025,1027,700,720400
2014-05-30,1021,1025,1020,1025,900,919700
2014-05-29,1001,1028,1001,1020,1000,1015000
2014-05-28,1002,1005,1000,1000,2000,2005000
2014-05-27,1012,1012,1000,1002,1900,1911000
2014-05-26,1013,1013,1010,1012,500,505800
2014-05-23,999,1015,999,1015,1200,1202600
2014-05-22,1028,1028,1010,1010,700,712300
2014-05-21,1025,1025,991,995,1200,1201600
2014-05-20,1055,1055,1055,1055,100,105500
2014-05-19,1030,1045,1025,1025,900,926500
2014-05-16,1075,1075,1075,1075,500,537500
2014-05-15,1058,1115,1049,1080,2800,3006900
2014-05-14,1029,1052,1029,1052,600,622400
2014-05-13,1110,1110,1021,1021,1200,1258300
2014-05-12,1080,1080,1080,1080,100,108000
2014-05-09,1090,1090,1060,1070,3600,3913000
2014-05-08,1108,1137,1096,1096,2100,2331900
2014-05-07,1109,1170,1080,1160,2800,3127500
2014-05-02,1071,1122,1071,1083,1700,1859300
2014-05-01,1085,1099,1085,1088,500,544300
2014-04-30,1060,1112,1055,1112,1200,1284900
2014-04-28,1125,1128,1080,1120,1200,1328200
2014-04-25,1103,1148,1082,1125,3500,3890600
2014-04-24,1115,1120,1081,1120,2400,2672900
2014-04-23,1080,1080,1050,1077,600,643100
2014-04-22,1050,1050,1050,1050,500,525000
2014-04-21,1060,1070,1026,1050,2700,2857200
2014-04-18,1030,1070,1010,1065,3200,3336600
2014-04-17,1000,1000,1000,1000,700,700000
2014-04-16,985,1000,985,1000,1400,1386500
2014-04-15,1000,1000,1000,1000,500,500000
2014-04-14,995,995,995,995,100,99500
2014-04-11,1016,1016,988,988,4500,4556000
2014-04-10,1005,1017,1004,1017,1200,1207300
2014-04-09,1000,1028,999,1001,2700,2707600
2014-04-08,1015,1020,1015,1020,200,203500
2014-04-07,991,1019,991,1002,1000,998700
2014-04-04,990,990,990,990,100,99000
2014-04-03,1015,1039,1010,1010,2600,2679100
2014-04-02,998,1005,998,1005,800,799900
2014-04-01,963,998,963,998,1700,1669900
2014-03-31,983,983,960,975,1600,1547900
2014-03-28,979,980,979,980,300,293800
2014-03-27,965,974,965,966,300,290500
2014-03-26,965,977,960,960,1300,1254700
2014-03-25,983,983,980,980,1400,1373200
2014-03-24,977,990,977,983,1100,1082000
2014-03-20,985,1000,947,998,6800,6692200
2014-03-19,984,986,981,981,1700,1670300
2014-03-18,986,1018,986,986,2200,2181300
2014-03-17,990,992,981,990,1700,1677900
2014-03-14,1029,1030,990,990,3400,3426600
2014-03-13,1021,1055,1010,1010,2700,2759000
2014-03-12,1001,1100,1000,1019,12700,13155500
2014-03-11,1000,1005,1000,1000,1700,1701500
2014-03-10,1000,1020,997,998,4300,4307100
2014-03-07,1011,1015,998,1001,7900,7926100
2014-03-06,1026,1026,999,1006,1600,1608100
2014-03-05,1011,1040,1002,1002,3800,3827300
2014-03-04,1001,1003,988,996,7300,7289600
2014-03-03,1060,1060,1005,1013,8700,8835700
2014-02-28,1090,1090,1057,1087,1800,1943200
2014-02-27,1102,1102,1090,1090,4100,4503300
2014-02-26,1110,1138,1102,1102,2900,3232100
2014-02-25,1088,1136,1088,1120,3400,3799600
2014-02-24,1106,1139,1080,1080,9500,10508100
2014-02-21,1120,1125,1100,1108,2200,2442000
2014-02-20,1135,1136,1109,1120,2700,3040900
2014-02-19,1144,1174,1144,1155,2000,2304000
2014-02-18,1205,1225,1131,1155,4500,5223500
2014-02-17,1248,1248,1176,1205,7400,8968200
2014-02-14,1210,1249,1161,1170,10200,12179600
2014-02-13,1141,1184,1138,1150,4400,5034300
2014-02-12,1130,1144,1130,1136,7200,8146300
2014-02-10,1121,1151,1121,1127,4000,4517300
2014-02-07,1121,1136,1100,1111,2600,2898600
2014-02-06,1080,1096,1080,1091,1600,1737600
2014-02-05,1086,1100,1062,1100,4300,4627000
2014-02-04,1080,1080,1068,1068,10000,10758300
2014-02-03,1205,1210,1161,1161,5400,6362700
2014-01-31,1221,1221,1211,1214,2200,2675600
2014-01-30,1213,1220,1212,1220,2100,2549500
2014-01-29,1230,1245,1212,1212,1600,1974000
2014-01-28,1219,1234,1204,1214,1000,1219000
2014-01-27,1221,1248,1200,1200,2600,3178000
2014-01-24,1252,1275,1250,1251,3500,4381500
2014-01-23,1277,1296,1258,1260,5000,6365400
2014-01-22,1279,1279,1236,1250,3900,4855800
2014-01-21,1275,1285,1252,1279,900,1144200
2014-01-20,1300,1300,1261,1275,5000,6442200
2014-01-17,1280,1308,1280,1299,5000,6471100
2014-01-16,1286,1286,1253,1270,3700,4701300
2014-01-15,1245,1299,1240,1287,9000,11300700
2014-01-14,1200,1230,1200,1230,10300,12485500
2014-01-10,1200,1202,1193,1200,4700,5632100
2014-01-09,1199,1199,1186,1191,1500,1788800
2014-01-08,1185,1195,1181,1181,2900,3434200
2014-01-07,1165,1196,1162,1196,2400,2825000
2014-01-06,1185,1185,1175,1177,2900,3423200
