4799-T,東証1部,アグレックス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1098,1099,1087,1099,5500,6021200
2014-06-26,1100,1100,1093,1096,13200,14511700
2014-06-25,1094,1099,1092,1099,8500,9317600
2014-06-24,1083,1093,1083,1091,6300,6850600
2014-06-23,1078,1100,1078,1087,10200,11082500
2014-06-20,1063,1079,1063,1078,7300,7825000
2014-06-19,1060,1063,1055,1063,4600,4873700
2014-06-18,1058,1060,1050,1055,3400,3593400
2014-06-17,1055,1060,1039,1049,6600,6939100
2014-06-16,1040,1054,1036,1053,6400,6692100
2014-06-13,1057,1059,1036,1052,8300,8737600
2014-06-12,1040,1057,1039,1056,1400,1471000
2014-06-11,1058,1058,1035,1048,4300,4504400
2014-06-10,1038,1060,1037,1059,7000,7343700
2014-06-09,1048,1050,1041,1046,2100,2196000
2014-06-06,1047,1049,1035,1048,3700,3860900
2014-06-05,1055,1055,1043,1046,900,944100
2014-06-04,1036,1056,1036,1049,1900,1990100
2014-06-03,1058,1058,1042,1050,7200,7549100
2014-06-02,1048,1055,1028,1048,6300,6571100
2014-05-30,1047,1048,1027,1045,2600,2706200
2014-05-29,1062,1062,1032,1047,2100,2216500
2014-05-28,1035,1064,1026,1063,19100,20053700
2014-05-27,1025,1028,1016,1025,3800,3887400
2014-05-26,1004,1028,1004,1025,14200,14394400
2014-05-23,1020,1039,1020,1030,3900,4005400
2014-05-22,1015,1019,1014,1019,4400,4473200
2014-05-21,998,1012,995,1004,3100,3104600
2014-05-20,1000,1005,1000,1000,2100,2101700
2014-05-19,1005,1005,999,1000,3300,3306500
2014-05-16,1010,1010,998,1005,7400,7423200
2014-05-15,1023,1023,1008,1015,4300,4358700
2014-05-14,1020,1020,1013,1019,4200,4266300
2014-05-13,1012,1023,1012,1020,3800,3857200
2014-05-12,1016,1030,1012,1012,5400,5496500
2014-05-09,1055,1059,1024,1026,13900,14497200
2014-05-08,1022,1044,1010,1012,12500,12709800
2014-05-07,1050,1050,1015,1015,7800,8028100
2014-05-02,1053,1060,1039,1060,3200,3374900
2014-05-01,1055,1055,1035,1053,3800,3988400
2014-04-30,1032,1055,1032,1049,9200,9583700
2014-04-28,1039,1069,1039,1053,6200,6526600
2014-04-25,1070,1070,1031,1064,7400,7847100
2014-04-24,1073,1073,1057,1063,7100,7581200
2014-04-23,1072,1072,1031,1071,5700,6062400
2014-04-22,1050,1073,1050,1066,12400,13205600
2014-04-21,1042,1060,1042,1050,4200,4418600
2014-04-18,1051,1056,1031,1039,7300,7640100
2014-04-17,1056,1059,1046,1055,6600,6964700
2014-04-16,1049,1050,1042,1050,11400,11944700
2014-04-15,1039,1046,1031,1031,10200,10623100
2014-04-14,1024,1035,1017,1020,11000,11326900
2014-04-11,1021,1040,1013,1023,12000,12343100
2014-04-10,1049,1049,1025,1026,7300,7543000
2014-04-09,1031,1039,1024,1024,9900,10203400
2014-04-08,1048,1048,1025,1031,8200,8517900
2014-04-07,1043,1050,1037,1048,6600,6894100
2014-04-04,1058,1058,1048,1050,5700,6002200
2014-04-03,1061,1061,1043,1051,9900,10443000
2014-04-02,1062,1062,1045,1046,8300,8728300
2014-04-01,1040,1063,1034,1062,11600,12187800
2014-03-31,1055,1055,1030,1040,10500,10938800
2014-03-28,1033,1057,1017,1055,19700,20477800
2014-03-27,1001,1034,1001,1017,35700,36096500
2014-03-26,1048,1049,1039,1046,105200,110055700
2014-03-25,1064,1072,1031,1051,25200,26607400
2014-03-24,1056,1082,1056,1068,18600,19856100
2014-03-20,1053,1063,1049,1055,10500,11087800
2014-03-19,1065,1079,1053,1059,20200,21467900
2014-03-18,1058,1066,1041,1052,14400,15163600
2014-03-17,1081,1085,1034,1053,22900,24339200
2014-03-14,1100,1112,1068,1078,27200,29660700
2014-03-13,1133,1135,1112,1114,13800,15470600
2014-03-12,1126,1148,1124,1131,14900,16883600
2014-03-11,1149,1149,1125,1129,15200,17344200
2014-03-10,1110,1149,1110,1148,34000,38401700
2014-03-07,1107,1110,1100,1108,14100,15581300
