4824-T,東証マザーズ,メディアシーク,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,851,851,772,805,119100,95992600
2014-06-26,850,860,841,850,56300,47736600
2014-06-25,847,874,842,843,97700,84114800
2014-06-24,851,860,826,842,81700,69174500
2014-06-23,813,868,805,848,186700,158227300
2014-06-20,890,893,811,850,258800,218906100
2014-06-19,865,940,863,894,240500,214539700
2014-06-18,1050,1050,910,910,1082200,1076022300
2014-06-17,868,961,849,900,391200,355629500
2014-06-16,981,990,870,894,390800,367734400
2014-06-13,1032,1061,935,990,976200,981195600
2014-06-12,832,1012,831,1012,1149200,1116033000
2014-06-11,827,862,790,862,734000,602207000
2014-06-10,939,939,842,857,1265200,1171260600
2014-06-09,789,789,789,789,40900,32270100
2014-06-06,605,689,587,689,333800,216721100
2014-06-05,620,620,577,589,168800,100064700
2014-06-04,622,660,608,622,682600,431165600
2014-06-03,570,585,558,562,52300,29740200
2014-06-02,570,594,545,580,152700,86021000
2014-05-30,628,629,595,599,54000,32877700
2014-05-29,628,638,616,626,66600,41527300
2014-05-28,607,640,591,638,96000,59083100
2014-05-27,620,634,585,605,156900,95466300
2014-05-26,610,640,584,640,540400,338075000
2014-05-23,468,543,468,540,55400,27688000
2014-05-22,450,488,450,468,21700,10120600
2014-05-21,440,453,438,445,22000,9716500
2014-05-20,458,458,436,455,30100,13349000
2014-05-19,497,501,434,465,47500,21940700
2014-05-16,524,525,499,503,12500,6309000
2014-05-15,500,525,500,524,15800,8136700
2014-05-14,513,515,501,507,12900,6550800
2014-05-13,513,522,488,518,62000,31216000
2014-05-12,596,658,494,531,192100,113935500
2014-05-09,506,600,476,596,55400,30648200
2014-05-08,530,540,500,501,10500,5496900
2014-05-07,536,539,529,535,4300,2295500
2014-05-02,540,547,539,539,6800,3685700
2014-05-01,530,568,527,560,11700,6396400
2014-04-30,530,540,520,528,13800,7262900
2014-04-28,535,550,512,528,17800,9431000
2014-04-25,550,560,529,534,22500,12114800
2014-04-24,582,582,553,558,9700,5480000
2014-04-23,576,588,570,574,10700,6180400
2014-04-22,585,585,565,579,12400,7138600
2014-04-21,583,605,583,591,6200,3698200
2014-04-18,571,584,571,583,10300,5938600
2014-04-17,589,592,571,590,10100,5855600
2014-04-16,572,585,561,577,13700,7836700
2014-04-15,625,625,566,570,35000,21077100
2014-04-14,590,621,590,601,8400,5094800
2014-04-11,582,602,566,602,23400,13671300
2014-04-10,611,627,600,603,8800,5328600
2014-04-09,608,620,605,612,10100,6160600
2014-04-08,645,648,606,616,42200,26830800
2014-04-07,649,649,610,628,27000,16960500
2014-04-04,656,657,638,655,7000,4524800
2014-04-03,666,674,656,666,14900,9863700
2014-04-02,659,685,654,676,15300,10155700
2014-04-01,646,654,641,650,14000,9050300
2014-03-31,660,666,643,666,17900,11628300
2014-03-28,603,641,603,630,10200,6368300
2014-03-27,583,616,576,611,20700,12192200
2014-03-26,606,622,572,583,26900,16219300
2014-03-25,634,638,603,606,12000,7453100
2014-03-24,682,682,639,644,23100,15166300
2014-03-20,700,701,650,650,28100,18838900
2014-03-19,712,720,690,704,16700,11820400
2014-03-18,729,736,700,712,18700,13341500
2014-03-17,705,738,704,718,9300,6663100
2014-03-14,716,748,690,720,48100,34332000
2014-03-13,770,778,702,759,18200,13670800
2014-03-12,774,791,765,766,19400,15018500
2014-03-11,767,791,767,775,24500,19118700
2014-03-10,762,781,762,777,15200,11744100
2014-03-07,782,787,764,771,12800,9930000
2014-03-06,772,790,764,777,40300,31437800
2014-03-05,785,797,770,778,20400,16023300
2014-03-04,775,815,762,770,32400,25490400
2014-03-03,779,850,751,777,71400,56059500
2014-02-28,880,884,808,824,91700,78605000
2014-02-27,857,886,811,849,69600,59077800
2014-02-26,824,853,810,844,69800,57774100
2014-02-25,738,903,715,875,222900,185796200
2014-02-24,740,753,713,753,38400,28030500
2014-02-21,738,747,737,743,4600,3413800
2014-02-20,748,753,739,742,6800,5078800
2014-02-19,720,748,720,747,29100,21432500
2014-02-18,725,739,710,735,20400,14770700
2014-02-17,723,724,684,715,14200,10020000
2014-02-14,739,739,701,723,21200,15228700
2014-02-13,760,765,728,739,48100,35843900
2014-02-12,741,809,740,787,108800,83214600
2014-02-10,721,850,714,786,97400,74167400
2014-02-07,750,775,705,725,81700,60496200
2014-02-06,683,735,681,695,75800,53864100
2014-02-05,746,746,656,697,225500,156336700
2014-02-04,721,760,691,691,208900,147833000
2014-02-03,963,974,841,841,75600,66539500
2014-01-31,995,1025,967,991,29600,29216600
2014-01-30,1036,1036,975,998,57700,57239900
