4827-F,福証Q-Board,BワンHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,266,266,266,266,500,133000
2014-06-25,265,265,265,265,100,26500
2014-06-24,-,-,-,-,0,0
2014-06-23,-,-,-,-,0,0
2014-06-20,271,271,261,261,1000,263400
2014-06-19,-,-,-,-,0,0
2014-06-18,261,261,261,261,100,26100
2014-06-17,272,272,262,262,1000,265000
2014-06-16,-,-,-,-,0,0
2014-06-13,-,-,-,-,0,0
2014-06-12,-,-,-,-,0,0
2014-06-11,269,272,269,272,200,54100
2014-06-10,-,-,-,-,0,0
2014-06-09,285,285,285,285,300,85500
2014-06-06,-,-,-,-,0,0
2014-06-05,-,-,-,-,0,0
2014-06-04,285,285,275,275,800,225700
2014-06-03,285,285,285,285,100,28500
2014-06-02,-,-,-,-,0,0
2014-05-30,-,-,-,-,0,0
2014-05-29,-,-,-,-,0,0
2014-05-28,275,275,275,275,200,55000
2014-05-27,-,-,-,-,0,0
2014-05-26,283,283,283,283,10100,2858300
2014-05-23,283,283,270,270,31800,8889400
2014-05-22,283,283,283,283,100,28300
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,-,-,-,-,0,0
2014-05-16,285,285,285,285,100,28500
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,295,295,295,295,500,147500
2014-05-08,288,290,288,288,700,202600
2014-05-07,-,-,-,-,0,0
2014-05-02,283,283,278,280,500,140200
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,-,-,-,-,0,0
2014-04-25,-,-,-,-,0,0
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,306,306,306,306,300,91800
2014-04-18,-,-,-,-,0,0
2014-04-17,288,288,288,288,300,86400
2014-04-16,-,-,-,-,0,0
2014-04-15,288,288,288,288,100,28800
2014-04-14,270,270,270,270,600,162000
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,270,270,270,270,1100,297000
2014-04-08,270,270,270,270,300,81000
2014-04-07,270,270,270,270,1000,270000
2014-04-04,-,-,-,-,0,0
2014-04-03,273,275,272,275,500,136800
2014-04-02,283,283,271,271,400,110700
2014-04-01,-,-,-,-,0,0
2014-03-31,-,-,-,-,0,0
2014-03-28,-,-,-,-,0,0
2014-03-27,312,312,312,312,100,31200
2014-03-26,28800,29000,28800,29000,19,548600
2014-03-25,28800,28800,28800,28800,1,28800
2014-03-24,-,-,-,-,0,0
2014-03-20,28800,28800,28800,28800,3,86400
2014-03-19,-,-,-,-,0,0
2014-03-18,-,-,-,-,0,0
