4834-S,札証,キャリアバンク,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,-,-,-,-,0,0
2014-06-25,-,-,-,-,0,0
2014-06-24,-,-,-,-,0,0
2014-06-23,-,-,-,-,0,0
2014-06-20,476,476,476,476,100,47600
2014-06-19,-,-,-,-,0,0
2014-06-18,490,490,490,490,100,49000
2014-06-17,-,-,-,-,0,0
2014-06-16,494,494,494,494,100,49400
2014-06-13,-,-,-,-,0,0
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,495,495,495,495,200,99000
2014-06-09,495,495,495,495,300,148500
2014-06-06,-,-,-,-,0,0
2014-06-05,495,495,495,495,200,99000
2014-06-04,-,-,-,-,0,0
2014-06-03,-,-,-,-,0,0
2014-06-02,498,498,498,498,100,49800
2014-05-30,499,510,482,482,1600,806400
2014-05-29,478,485,478,485,800,386100
2014-05-28,474,475,474,475,300,142300
2014-05-27,480,480,480,480,100,48000
2014-05-26,479,495,479,495,400,193200
2014-05-23,-,-,-,-,0,0
2014-05-22,479,479,479,479,100,47900
2014-05-21,-,-,-,-,0,0
2014-05-20,477,477,477,477,100,47700
2014-05-19,480,480,480,480,1100,528000
2014-05-16,-,-,-,-,0,0
2014-05-15,450,450,450,450,100,45000
2014-05-14,450,450,450,450,400,180000
2014-05-13,460,460,460,460,100,46000
2014-05-12,478,478,478,478,100,47800
2014-05-09,-,-,-,-,0,0
2014-05-08,470,470,470,470,100,47000
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,470,470,470,470,200,94000
2014-04-30,471,471,471,471,1000,471000
2014-04-28,-,-,-,-,0,0
2014-04-25,464,471,464,471,1100,513300
2014-04-24,-,-,-,-,0,0
2014-04-23,459,459,459,459,100,45900
2014-04-22,-,-,-,-,0,0
2014-04-21,-,-,-,-,0,0
2014-04-18,-,-,-,-,0,0
2014-04-17,-,-,-,-,0,0
2014-04-16,-,-,-,-,0,0
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,450,467,450,467,1800,813500
2014-04-10,465,470,465,470,200,93500
2014-04-09,458,458,458,458,100,45800
2014-04-08,460,460,459,459,200,91900
2014-04-07,477,477,458,458,600,276700
2014-04-04,475,475,475,475,2100,997500
2014-04-03,478,478,478,478,200,95600
2014-04-02,470,470,470,470,1000,470000
2014-04-01,-,-,-,-,0,0
2014-03-31,461,468,461,468,800,370200
2014-03-28,448,448,443,443,200,89100
2014-03-27,442,442,442,442,100,44200
2014-03-26,458,458,458,458,200,91600
2014-03-25,-,-,-,-,0,0
2014-03-24,436,436,436,436,100,43600
2014-03-20,440,440,436,436,300,131600
2014-03-19,-,-,-,-,0,0
2014-03-18,445,445,445,445,800,356000
2014-03-17,448,448,445,445,1100,491300
2014-03-14,460,460,460,460,600,276000
2014-03-13,458,458,448,448,1400,632900
2014-03-12,-,-,-,-,0,0
2014-03-11,-,-,-,-,0,0
2014-03-10,459,459,459,459,800,367200
2014-03-07,460,460,460,460,100,46000
2014-03-06,460,460,460,460,100,46000
2014-03-05,461,461,461,461,100,46100
2014-03-04,-,-,-,-,0,0
2014-03-03,461,461,461,461,500,230500
2014-02-28,450,453,450,453,700,315500
2014-02-27,441,445,441,445,200,88600
2014-02-26,440,440,440,440,200,88000
2014-02-25,470,470,430,440,6600,2851700
2014-02-24,-,-,-,-,0,0
2014-02-21,-,-,-,-,0,0
2014-02-20,457,457,457,457,100,45700
2014-02-19,481,481,481,481,800,384800
2014-02-18,484,484,481,481,700,338500
2014-02-17,-,-,-,-,0,0
2014-02-14,-,-,-,-,0,0
2014-02-13,-,-,-,-,0,0
2014-02-12,-,-,-,-,0,0
2014-02-10,-,-,-,-,0,0
2014-02-07,-,-,-,-,0,0
2014-02-06,451,460,451,460,900,413100
2014-02-05,459,459,459,459,100,45900
2014-02-04,462,462,450,451,4000,1831700
2014-02-03,463,470,463,470,200,93300
2014-01-31,474,474,474,474,300,142200
2014-01-30,466,469,466,469,400,186700
2014-01-29,463,463,463,463,100,46300
2014-01-28,461,462,461,462,300,138400
2014-01-27,470,470,468,470,2600,1221800
2014-01-24,470,470,470,470,300,141000
2014-01-23,464,465,463,464,800,370900
2014-01-22,459,463,459,460,500,230100
2014-01-21,460,460,458,458,1200,551600
2014-01-20,458,462,454,462,3300,1510100
2014-01-17,458,460,457,459,4900,2246800
2014-01-16,469,469,457,465,3100,1425900
2014-01-15,470,470,450,469,2600,1186900
2014-01-14,479,479,473,473,2500,1187600
2014-01-10,487,487,479,479,300,145300
2014-01-09,487,487,487,487,100,48700
2014-01-08,488,488,488,488,400,195200
2014-01-07,480,480,480,480,400,192000
2014-01-06,480,480,480,480,700,336000
2013-12-30,475,480,467,480,1800,853500
2013-12-27,475,475,475,475,100,47500
2013-12-26,475,475,475,475,100,47500
2013-12-25,459,459,459,459,100,45900
2013-12-24,459,459,459,459,3600,1652400
2013-12-20,461,461,461,461,3800,1751800
2013-12-19,461,466,458,466,1500,690200
2013-12-18,485,485,485,485,300,145500
2013-12-17,-,-,-,-,0,0
2013-12-16,-,-,-,-,0,0
2013-12-13,500,500,500,500,100,50000
2013-12-12,492,500,484,484,400,196600
2013-12-11,485,485,485,485,100,48500
2013-12-10,490,490,490,490,100,49000
2013-12-09,490,490,490,490,100,49000
2013-12-06,483,493,483,493,200,97600
2013-12-05,503,503,492,492,700,349900
2013-12-04,-,-,-,-,0,0
2013-12-03,499,499,499,499,200,99800
2013-12-02,499,499,499,499,300,149700
2013-11-29,505,505,500,504,1300,652700
2013-11-28,518,518,500,500,700,351800
2013-11-27,510,510,510,510,300,153000
2013-11-26,50000,50000,49650,50000,12,599650
2013-11-25,48200,49600,48200,49600,13,635000
2013-11-22,50300,50300,48200,48200,26,1305000
2013-11-21,47500,47500,47500,47500,1,47500
2013-11-20,48700,48700,48700,48700,1,48700
2013-11-19,-,-,-,-,0,0
2013-11-18,48700,48700,48700,48700,5,243500
2013-11-15,46550,46600,46550,46600,4,186350
2013-11-14,46400,46800,46300,46300,10,464300
2013-11-13,47000,47000,46300,46300,11,513500
2013-11-12,47300,47300,47200,47200,5,236200
2013-11-11,50000,50000,48000,48000,6,296000
2013-11-08,-,-,-,-,0,0
