4902-T,東証1部,コニカミノルタ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1010,1015,988,998,4211500,4209267600
2014-06-26,1003,1008,994,1002,1778100,1780160500
2014-06-25,994,1003,990,994,2188100,2182152100
2014-06-24,994,1007,985,996,3673000,3662565500
2014-06-23,998,1019,996,1000,4675000,4698165100
2014-06-20,967,988,965,979,4599300,4506367000
2014-06-19,935,965,924,958,3703100,3529641800
2014-06-18,932,950,919,941,3253400,3055869800
2014-06-17,913,960,913,930,8641700,8092228400
2014-06-16,875,886,871,876,2012700,1766336900
2014-06-13,868,885,853,884,5450600,4748676100
2014-06-12,886,896,886,889,2069100,1842375500
2014-06-11,894,907,893,901,1714800,1541693900
2014-06-10,911,915,892,895,2153900,1939712900
2014-06-09,906,908,896,899,1230600,1108982600
2014-06-06,895,899,888,892,1561200,1393202200
2014-06-05,897,897,887,892,2234700,1994211900
2014-06-04,915,918,881,884,3165200,2819881400
2014-06-03,900,908,897,900,2839600,2563431500
2014-06-02,878,903,878,897,2275400,2034602400
2014-05-30,884,889,875,876,1785600,1571818000
2014-05-29,883,889,878,881,1578300,1394210800
2014-05-28,876,886,873,877,2214600,1944819100
2014-05-27,888,889,877,878,2419700,2132524400
2014-05-26,899,899,879,883,1656400,1466222200
2014-05-23,871,895,871,885,2143300,1896498000
2014-05-22,860,880,855,873,2025700,1764368300
2014-05-21,867,867,847,853,2588400,2217346700
2014-05-20,848,852,837,845,2518400,2126757000
2014-05-19,851,856,839,842,2516700,2131106200
2014-05-16,845,856,839,846,2001200,1690044000
2014-05-15,856,862,848,856,1487200,1272464800
2014-05-14,842,870,841,869,3919100,3362230700
2014-05-13,849,869,843,846,7236400,6185411700
2014-05-12,841,857,830,842,8406700,7088766800
2014-05-09,918,958,916,946,3786200,3571130000
2014-05-08,922,949,921,931,2175900,2034437400
2014-05-07,940,945,919,923,2489800,2303292900
2014-05-02,956,961,948,953,1790000,1706665600
2014-05-01,958,969,953,964,1936600,1863727300
2014-04-30,951,959,942,949,2422800,2297404000
2014-04-28,929,937,919,930,1374200,1276088900
2014-04-25,933,952,927,939,2108700,1982821100
2014-04-24,956,958,924,927,2731000,2553206400
2014-04-23,947,959,932,940,3141400,2955473900
2014-04-22,973,973,936,938,3943100,3748413200
