4925-T,JQスタンダード,HABA,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3475,3475,3460,3460,2100,7281000
2014-06-26,3470,3480,3465,3475,2200,7638500
2014-06-25,3450,3450,3445,3450,1200,4139000
2014-06-24,3430,3445,3430,3440,3300,11333000
2014-06-23,3430,3430,3420,3425,1300,4453500
2014-06-20,3430,3430,3415,3430,1300,4454500
2014-06-19,3430,3430,3415,3430,2400,8221000
2014-06-18,3415,3425,3415,3420,2900,9915500
2014-06-17,3400,3405,3395,3405,2100,7139500
2014-06-16,3385,3395,3385,3390,900,3052000
2014-06-13,3390,3395,3380,3385,800,2709000
2014-06-12,3390,3390,3390,3390,500,1695000
2014-06-11,3395,3395,3390,3390,500,1695500
2014-06-10,3400,3400,3385,3385,1600,5432000
2014-06-09,3395,3400,3385,3395,2300,7805000
2014-06-06,3375,3385,3370,3385,1100,3714500
2014-06-05,3385,3390,3380,3380,1000,3386000
2014-06-04,3385,3390,3385,3385,2400,8126000
2014-06-03,3375,3380,3370,3380,2700,9109500
2014-06-02,3350,3360,3350,3360,1500,5031500
2014-05-30,3350,3350,3345,3350,700,2344000
2014-05-29,3335,3350,3335,3350,1900,6357000
2014-05-28,3330,3340,3325,3340,2100,6999000
2014-05-27,3320,3320,3320,3320,300,996000
2014-05-26,3325,3325,3315,3320,1400,4649500
2014-05-23,3320,3330,3320,3320,1000,3322000
2014-05-22,3330,3335,3315,3320,1200,3995500
2014-05-21,3315,3330,3315,3330,1000,3320000
2014-05-20,3325,3330,3315,3315,1300,4317000
2014-05-19,3325,3330,3315,3320,1400,4652500
2014-05-16,3330,3330,3315,3325,1400,4651500
2014-05-15,3320,3325,3315,3315,900,2988500
2014-05-14,3305,3320,3305,3315,700,2318500
2014-05-13,3310,3315,3300,3300,2400,7938000
2014-05-12,3300,3300,3295,3295,2900,9567000
2014-05-09,3270,3290,3270,3285,700,2297500
2014-05-08,3285,3290,3270,3275,1900,6238000
2014-05-07,3265,3280,3260,3280,1600,5230500
2014-05-02,3280,3280,3265,3265,600,1964000
2014-05-01,3270,3285,3270,3285,1200,3933500
2014-04-30,3260,3270,3260,3260,700,2283000
2014-04-28,3255,3270,3255,3260,1200,3912500
2014-04-25,3280,3280,3255,3255,1800,5878500
2014-04-24,3260,3275,3255,3275,500,1630000
2014-04-23,3255,3265,3250,3255,1000,3256000
2014-04-22,3255,3265,3255,3255,900,2930500
2014-04-21,3260,3270,3255,3255,600,1956000
2014-04-18,3260,3260,3260,3260,300,978000
2014-04-17,3260,3270,3255,3260,1000,3260500
2014-04-16,3275,3275,3260,3260,1400,4574000
2014-04-15,3265,3280,3260,3260,1100,3595000
2014-04-14,3260,3280,3260,3270,1400,4575000
2014-04-11,3260,3265,3255,3255,1800,5868500
2014-04-10,3290,3290,3265,3265,600,1965500
2014-04-09,3290,3290,3265,3270,2000,6560000
2014-04-08,3265,3295,3265,3290,1200,3936500
2014-04-07,3280,3280,3270,3270,1400,4584500
2014-04-04,3280,3290,3275,3280,1200,3939000
2014-04-03,3260,3280,3260,3280,1500,4911000
2014-04-02,3240,3260,3235,3260,1400,4545000
2014-04-01,3250,3250,3240,3240,2800,9086000
2014-03-31,3255,3260,3245,3250,3200,10406000
2014-03-28,3270,3275,3250,3255,3800,12390500
2014-03-27,3215,3280,3210,3270,10900,35234000
2014-03-26,3360,3400,3360,3400,10300,34805500
2014-03-25,3350,3360,3350,3360,8900,29854500
2014-03-24,3350,3360,3350,3350,6400,21448500
2014-03-20,3350,3355,3345,3345,3700,12389000
2014-03-19,3350,3350,3340,3350,2500,8370500
2014-03-18,3350,3350,3345,3345,2300,7701000
2014-03-17,3355,3355,3350,3350,2500,8382000
2014-03-14,3360,3360,3345,3355,4600,15423000
2014-03-13,3360,3370,3360,3360,900,3027000
2014-03-12,3360,3370,3355,3360,1500,5040000
2014-03-11,3355,3365,3355,3365,2600,8730500
2014-03-10,3350,3360,3345,3360,3300,11067000
2014-03-07,3345,3355,3345,3355,1500,5026000
2014-03-06,3350,3350,3340,3350,3500,11722500
2014-03-05,3350,3355,3345,3350,2000,6699500
2014-03-04,3340,3350,3340,3340,1100,3678500
2014-03-03,3360,3360,3300,3340,2600,8666000
2014-02-28,3345,3360,3345,3360,1800,6030000
2014-02-27,3340,3350,3340,3350,1000,3343500
