4928-T,東証1部,ノエビアHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1992,1999,1971,1997,42500,84485000
2014-06-26,1989,1997,1989,1994,18500,36891000
2014-06-25,2000,2000,1987,1987,29800,59394300
2014-06-24,1970,2000,1962,2000,65800,130879100
2014-06-23,1961,1969,1958,1966,22900,44966500
2014-06-20,1964,1964,1946,1960,32500,63566300
2014-06-19,1956,1964,1950,1958,33000,64578700
2014-06-18,1957,1967,1954,1961,28100,55151000
2014-06-17,1941,1954,1936,1954,37500,73020400
2014-06-16,1927,1943,1925,1926,15500,29900500
2014-06-13,1924,1941,1920,1936,36700,70768700
2014-06-12,1927,1930,1915,1924,31300,60160500
2014-06-11,1920,1932,1920,1927,18000,34668100
2014-06-10,1918,1935,1918,1931,18300,35265200
2014-06-09,1931,1936,1922,1925,16100,31041600
2014-06-06,1951,1951,1923,1928,21700,41955800
2014-06-05,1933,1958,1933,1939,28400,55299200
2014-06-04,1929,1943,1927,1942,28000,54215100
2014-06-03,1930,1930,1916,1924,25700,49458100
2014-06-02,1928,1928,1911,1913,25700,49278400
2014-05-30,1910,1929,1900,1922,38000,72823800
2014-05-29,1901,1907,1899,1899,13300,25305800
2014-05-28,1908,1909,1894,1900,22500,42836700
2014-05-27,1904,1906,1884,1885,16800,31829000
2014-05-26,1895,1902,1885,1902,20500,38845700
2014-05-23,1860,1881,1859,1873,15200,28465800
2014-05-22,1848,1872,1848,1869,24600,45786900
2014-05-21,1839,1851,1837,1846,25000,46076500
2014-05-20,1879,1879,1850,1851,30000,55716300
2014-05-19,1853,1887,1839,1839,41500,76867700
2014-05-16,1878,1890,1852,1856,56000,104414200
2014-05-15,1901,1912,1882,1888,41300,78112600
2014-05-14,1912,1920,1898,1906,44900,85507600
2014-05-13,1939,1959,1915,1924,21000,40393200
2014-05-12,1944,1955,1922,1923,25800,49997700
2014-05-09,1942,1965,1925,1944,30600,59552300
2014-05-08,1915,1938,1904,1904,29300,56012100
2014-05-07,1970,1978,1909,1909,64800,125113900
2014-05-02,1981,1999,1979,1984,58300,115931900
2014-05-01,1950,1981,1950,1979,71100,139810300
2014-04-30,1944,1948,1937,1943,35600,69186400
2014-04-28,1935,1945,1925,1934,21800,42178900
2014-04-25,1947,1947,1929,1946,26000,50559600
2014-04-24,1930,1947,1924,1944,49600,96202100
2014-04-23,1920,1927,1915,1921,14500,27839200
2014-04-22,1921,1921,1912,1912,23000,44086400
2014-04-21,1929,1932,1918,1920,23900,46027200
2014-04-18,1904,1926,1903,1919,28200,54039700
2014-04-17,1907,1919,1901,1904,30200,57629200
2014-04-16,1881,1907,1879,1907,29700,56302000
2014-04-15,1889,1889,1859,1870,36600,68408300
2014-04-14,1863,1876,1856,1862,28500,53214800
2014-04-11,1860,1885,1855,1864,43300,80874400
2014-04-10,1862,1889,1858,1870,41800,78216400
2014-04-09,1882,1885,1861,1864,46200,86453600
2014-04-08,1905,1909,1896,1897,36500,69394500
2014-04-07,1909,1924,1905,1910,50600,96775200
2014-04-04,1908,1947,1908,1937,65900,127551400
2014-04-03,1940,1944,1909,1920,49500,95371800
2014-04-02,1955,1959,1925,1925,53900,104794800
2014-04-01,1944,1960,1927,1955,82300,160193300
2014-03-31,1920,1948,1907,1948,91100,175966000
2014-03-28,1896,1922,1890,1921,76100,145355400
2014-03-27,1828,1921,1815,1908,176700,331240600
2014-03-26,1849,1886,1842,1872,138600,259359900
2014-03-25,1827,1846,1812,1833,125900,230874500
2014-03-24,1751,1824,1751,1817,123900,222315000
2014-03-20,1750,1750,1723,1741,63200,109783400
2014-03-19,1749,1768,1739,1739,56300,98532900
2014-03-18,1760,1770,1724,1749,109100,190624400
2014-03-17,1761,1773,1740,1746,72200,126377300
2014-03-14,1789,1798,1761,1761,137800,245113400
2014-03-13,1811,1815,1795,1796,76500,137994800
2014-03-12,1810,1815,1804,1807,39400,71290900
2014-03-11,1807,1817,1805,1816,41900,75846800
2014-03-10,1820,1825,1804,1806,41300,74763100
2014-03-07,1818,1833,1815,1822,29100,52974800
2014-03-06,1825,1826,1811,1818,50200,91207200
2014-03-05,1838,1856,1823,1824,36500,66845000
2014-03-04,1823,1848,1823,1838,46800,85802700
2014-03-03,1834,1869,1823,1849,57500,105564300
2014-02-28,1855,1883,1822,1883,68400,126583400
2014-02-27,1847,1854,1827,1841,59600,109706200
2014-02-26,1829,1878,1815,1867,58500,108454100
2014-02-25,1825,1829,1815,1828,27900,50889600
2014-02-24,1837,1839,1805,1819,42400,77154200
2014-02-21,1801,1833,1800,1827,48700,88246500
2014-02-20,1820,1821,1789,1790,75100,135134600
2014-02-19,1839,1843,1815,1816,50000,91261900
2014-02-18,1830,1845,1830,1844,32200,59199400
2014-02-17,1820,1835,1814,1830,20900,38103900
2014-02-14,1841,1852,1804,1814,44300,80716300
2014-02-13,1873,1882,1831,1831,48700,89979600
2014-02-12,1890,1908,1872,1873,47000,88640200
2014-02-10,1874,1896,1853,1888,35800,67028500
2014-02-07,1834,1864,1833,1840,47400,87318600
2014-02-06,1838,1860,1826,1837,33600,61780000
2014-02-05,1825,1874,1825,1855,51500,95162200
2014-02-04,1850,1855,1800,1800,70100,128130300
2014-02-03,1885,1910,1870,1873,35000,65974600
2014-01-31,1884,1905,1867,1885,50000,94138500
2014-01-30,1886,1895,1872,1878,64700,121665400
2014-01-29,1886,1926,1886,1926,23700,45339700
2014-01-28,1877,1903,1877,1884,31800,60140500
2014-01-27,1902,1905,1877,1877,65500,123942000
2014-01-24,1935,1935,1902,1902,50100,95803100
2014-01-23,1952,1952,1920,1920,33000,63774500
2014-01-22,1952,1955,1929,1940,35600,69003800
2014-01-21,1941,1957,1941,1947,32100,62528800
2014-01-20,1941,1941,1930,1931,20000,38699500
2014-01-17,1918,1947,1918,1928,35800,69100000
2014-01-16,1926,1952,1917,1917,45800,88677500
2014-01-15,1918,1935,1905,1935,44500,85504900
2014-01-14,1911,1930,1908,1911,46500,89163500
2014-01-10,1919,1940,1903,1940,69800,134085900
2014-01-09,1910,1923,1909,1919,42100,80556900
2014-01-08,1911,1934,1910,1934,35200,67614300
2014-01-07,1950,1955,1908,1911,57200,109999000
2014-01-06,1908,1949,1908,1935,48100,92806600
2013-12-30,1944,1944,1893,1906,44300,84763000
2013-12-27,1878,1895,1869,1893,54200,102221800
2013-12-26,1831,1873,1831,1868,44700,83051600
2013-12-25,1824,1850,1816,1821,81700,149335500
2013-12-24,1870,1871,1839,1841,94600,175553700
2013-12-20,1891,1899,1873,1880,80300,151355700
2013-12-19,1900,1908,1889,1894,79500,151056700
2013-12-18,1900,1900,1890,1898,48400,91771600
2013-12-17,1900,1914,1892,1901,55000,104577600
2013-12-16,1901,1916,1886,1887,52400,99406400
2013-12-13,1896,1927,1896,1908,126900,242428900
2013-12-12,1885,1918,1885,1900,79200,150748000
2013-12-11,1899,1910,1880,1890,58100,110126400
2013-12-10,1920,1923,1880,1904,84600,160760600
2013-12-09,1943,1965,1912,1924,93400,180931900
2013-12-06,1991,1997,1950,1966,109900,217425600
2013-12-05,1945,1997,1942,1978,126900,251544900
2013-12-04,1932,1959,1914,1945,115200,224262400
2013-12-03,1899,1960,1897,1940,114000,220286600
2013-12-02,1872,1896,1865,1884,87300,164438600
2013-11-29,1840,1875,1828,1872,113800,211841600
2013-11-28,1809,1847,1809,1842,95100,174440900
2013-11-27,1780,1810,1772,1804,114000,204543000
2013-11-26,1720,1800,1720,1800,331100,586644800
2013-11-25,1732,1737,1725,1730,32300,55933600
2013-11-22,1722,1737,1722,1732,52400,90584700
2013-11-21,1686,1735,1686,1735,84100,145022900
2013-11-20,1724,1735,1686,1686,138200,236232500
2013-11-19,1699,1729,1696,1725,138800,238643900
2013-11-18,1690,1699,1688,1689,34500,58448800
2013-11-15,1663,1697,1660,1686,69200,116591100
2013-11-14,1700,1712,1668,1680,70300,118641900
2013-11-13,1639,1698,1628,1696,130500,216960500
2013-11-12,1629,1639,1618,1638,39000,63754000
2013-11-11,1627,1640,1611,1618,20500,33269900
2013-11-08,1598,1644,1594,1625,78100,126923000
2013-11-07,1592,1599,1591,1598,21300,33952200
2013-11-06,1590,1605,1590,1599,15500,24778800
2013-11-05,1591,1600,1588,1596,24900,39695300
2013-11-01,1596,1598,1590,1591,25100,39976300
2013-10-31,1593,1602,1592,1595,13500,21571000
2013-10-30,1598,1607,1592,1596,28200,45057600
2013-10-29,1613,1613,1592,1592,26100,41704100
2013-10-28,1601,1614,1600,1613,19000,30511900
2013-10-25,1621,1621,1600,1600,16700,26827800
2013-10-24,1613,1622,1604,1621,18800,30283400
2013-10-23,1624,1636,1614,1615,23300,37847300
2013-10-22,1627,1635,1624,1629,13800,22474000
2013-10-21,1642,1642,1620,1624,38700,63121300
2013-10-18,1640,1646,1630,1642,24900,40832500
2013-10-17,1639,1640,1629,1634,17800,29107400
2013-10-16,1614,1635,1610,1629,31600,51423700
2013-10-15,1633,1635,1609,1614,18100,29262700
2013-10-11,1600,1637,1600,1630,28200,45798500
2013-10-10,1584,1598,1581,1598,17900,28489700
