4929-T,東証1部,アジュバン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,975,975,962,969,23100,22369000
2014-06-26,979,985,964,965,72200,70390500
2014-06-25,958,970,952,965,49100,47278400
2014-06-24,948,957,940,955,29400,27927200
2014-06-23,939,946,935,946,23800,22399700
2014-06-20,920,925,917,917,11800,10851700
2014-06-19,915,917,911,915,9300,8497900
2014-06-18,929,929,908,913,22700,20844300
2014-06-17,914,925,910,925,47000,42982500
2014-06-16,900,902,895,900,28500,25615400
2014-06-13,881,887,875,885,17100,15079000
2014-06-12,873,877,872,874,4500,3931500
2014-06-11,872,878,868,873,9500,8281600
2014-06-10,880,880,866,873,11500,10037500
2014-06-09,865,879,865,877,14700,12827600
2014-06-06,861,866,860,866,8600,7424300
2014-06-05,864,868,857,860,12300,10600400
2014-06-04,868,869,860,863,7800,6735200
2014-06-03,863,870,862,865,10500,9082800
2014-06-02,879,879,859,866,19300,16727000
2014-05-30,870,877,864,871,9400,8173800
2014-05-29,861,871,860,870,10900,9433300
2014-05-28,858,863,858,860,7600,6535700
2014-05-27,866,866,858,858,7700,6636800
2014-05-26,857,864,856,862,7200,6189700
2014-05-23,858,858,850,855,13200,11283900
2014-05-22,862,862,852,857,11500,9851700
2014-05-21,870,871,860,866,13700,11860400
2014-05-20,870,878,867,873,5200,4526800
2014-05-19,883,885,871,875,6600,5798000
2014-05-16,895,895,875,878,13100,11552600
2014-05-15,897,897,893,895,10200,9134000
2014-05-14,904,904,896,900,7600,6830000
2014-05-13,916,916,902,909,4700,4268000
2014-05-12,917,917,900,902,7800,7069900
2014-05-09,918,929,913,915,13200,12130900
2014-05-08,919,928,915,926,11000,10163600
2014-05-07,913,915,907,909,8600,7834000
2014-05-02,908,920,905,913,9400,8557300
2014-05-01,907,907,902,907,14900,13473700
2014-04-30,910,910,895,902,13600,12276100
2014-04-28,896,907,890,903,19000,17046100
2014-04-25,900,901,885,899,24000,21407600
2014-04-24,891,897,886,891,11900,10609900
2014-04-23,904,905,895,898,11900,10708000
2014-04-22,914,914,901,904,5400,4885700
2014-04-21,913,920,909,909,3900,3563200
2014-04-18,911,914,908,913,3800,3462200
2014-04-17,910,915,907,911,8000,7288600
2014-04-16,905,907,901,906,4000,3618800
2014-04-15,900,906,890,901,16800,15108800
2014-04-14,880,894,878,885,5300,4693100
2014-04-11,900,903,860,888,15400,13625000
2014-04-10,903,908,903,905,10600,9602200
2014-04-09,913,915,901,902,11200,10140500
2014-04-08,908,919,908,909,12900,11783600
2014-04-07,926,926,900,918,16300,14927600
2014-04-04,930,934,926,926,4200,3902900
2014-04-03,938,938,927,936,6800,6344900
2014-04-02,939,939,928,938,12400,11599000
2014-04-01,930,940,915,932,10400,9666500
2014-03-31,943,943,921,937,11400,10660600
2014-03-28,925,939,920,939,14500,13548100
2014-03-27,911,925,911,925,11300,10360900
2014-03-26,920,930,920,929,24500,22638500
2014-03-25,940,940,925,925,12400,11571700
2014-03-24,910,939,901,939,31000,28538500
2014-03-20,928,930,906,917,18900,17377000
2014-03-19,902,937,902,928,33100,30427700
2014-03-18,910,931,899,917,73900,67660500
2014-03-17,960,960,925,928,117100,110835700
2014-03-14,980,983,971,971,34400,33615300
2014-03-13,988,998,986,989,22300,22134100
2014-03-12,980,995,976,987,20900,20581500
2014-03-11,983,990,980,983,21500,21150100
2014-03-10,982,986,981,982,15700,15433300
2014-03-07,980,983,979,982,12000,11771100
2014-03-06,980,983,978,979,10400,10199800
2014-03-05,983,985,978,979,12700,12458600
2014-03-04,982,983,976,981,10800,10589200
2014-03-03,990,990,968,983,17100,16752300
2014-02-28,998,998,977,980,18000,17736100
2014-02-27,983,986,981,983,17800,17504400
2014-02-26,979,987,976,983,16900,16598000
2014-02-25,975,982,971,979,14700,14328700
2014-02-24,963,975,961,974,15000,14544700
2014-02-21,964,965,958,960,11700,11254600
2014-02-20,963,963,952,959,10200,9780600
2014-02-19,958,965,952,963,17000,16317600
2014-02-18,950,959,948,958,11600,11066100
2014-02-17,941,970,940,948,16300,15520400
2014-02-14,979,979,920,945,32500,30767900
2014-02-13,967,980,963,980,20200,19603500
2014-02-12,962,975,953,959,19000,18315200
2014-02-10,960,967,952,958,29200,28035400
2014-02-07,960,962,945,951,27100,25879700
2014-02-06,911,961,911,946,34900,32803200
2014-02-05,919,931,912,913,20800,19127600
2014-02-04,916,938,897,914,76000,69670600
2014-02-03,969,995,955,973,54700,53430400
2014-01-31,960,1019,960,985,146300,144568500
2014-01-30,902,969,902,955,116800,108123300
2014-01-29,921,928,910,911,49800,45649300
2014-01-28,930,947,905,912,64700,59601500
2014-01-27,921,955,896,915,150200,139025400
2014-01-24,900,909,892,909,23400,21084700
2014-01-23,909,912,903,910,34200,31066600
2014-01-22,897,919,897,902,28500,25680800
2014-01-21,897,920,886,900,34300,30786600
2014-01-20,876,888,868,886,29300,25764100
2014-01-17,864,873,861,871,11300,9812300
2014-01-16,873,873,858,866,12900,11173300
2014-01-15,870,870,858,865,7300,6299500
2014-01-14,860,865,850,865,25400,21747300
2014-01-10,871,875,863,867,11900,10330200
2014-01-09,879,879,870,872,15100,13218900
2014-01-08,880,880,874,874,12200,10707100
2014-01-07,880,880,873,875,14600,12797900
2014-01-06,880,880,873,879,17000,14912300
2013-12-30,874,874,853,874,38000,32970100
2013-12-27,858,860,828,857,21900,18593000
2013-12-26,836,850,830,845,16800,14157000
2013-12-25,818,821,806,816,26100,21277800
2013-12-24,810,823,810,816,27500,22436800
2013-12-20,811,811,801,809,28000,22574500
2013-12-19,825,825,801,814,27100,22112100
2013-12-18,834,834,818,825,29200,24133100
2013-12-17,849,853,840,840,23400,19761500
2013-12-16,859,864,845,851,36600,31264800
2013-12-13,863,869,854,866,20500,17692900
2013-12-12,865,871,840,855,30400,26075700
2013-12-11,880,880,870,872,13300,11660800
2013-12-10,885,885,875,883,29500,25978600
2013-12-09,885,898,873,884,88600,78579800
2013-12-06,864,866,838,860,65400,55715500
2013-12-05,883,883,866,866,22100,19393700
2013-12-04,869,883,859,883,51600,45078900
2013-12-03,870,870,858,863,19900,17170600
2013-12-02,859,869,852,869,22200,19083400
2013-11-29,859,862,855,855,16300,13994000
2013-11-28,852,865,850,852,21300,18183700
2013-11-27,841,876,841,850,29600,25442100
2013-11-26,852,852,833,837,11900,10054900
2013-11-25,860,860,846,851,6200,5307100
2013-11-22,861,861,840,852,22400,19069500
2013-11-21,851,859,842,859,17300,14698100
2013-11-20,825,860,825,856,45400,38241500
2013-11-19,827,829,820,829,10100,8329300
2013-11-18,824,826,818,826,9000,7419200
2013-11-15,824,825,804,825,18600,15194200
2013-11-14,825,825,806,813,22000,17914900
2013-11-13,822,824,816,816,9000,7383800
2013-11-12,829,833,819,822,14000,11571100
2013-11-11,824,830,814,828,24500,20195000
2013-11-08,804,815,800,813,10300,8315400
2013-11-07,789,818,789,818,28200,22707900
2013-11-06,791,795,787,795,9000,7117700
2013-11-05,785,798,785,793,13000,10258800
2013-11-01,793,808,771,797,25800,20332400
2013-10-31,795,802,789,799,13700,10897000
2013-10-30,818,818,792,792,18900,15169000
2013-10-29,812,818,810,813,10000,8122100
2013-10-28,815,825,810,816,11700,9566900
2013-10-25,815,815,792,803,6100,4917700
2013-10-24,787,807,786,806,32700,25978300
2013-10-23,792,800,789,791,12300,9760700
2013-10-22,791,793,787,791,16200,12801300
2013-10-21,786,792,780,791,22300,17504100
2013-10-18,772,786,771,782,15400,11954900
2013-10-17,786,790,770,776,14300,11136000
2013-10-16,781,810,760,786,46500,36305000
2013-10-15,805,815,797,800,11900,9593500
2013-10-11,818,818,798,808,8700,7046500
2013-10-10,795,810,790,806,8700,6923900
2013-10-09,790,794,785,790,7700,6076600
2013-10-08,785,790,776,790,10400,8121600
2013-10-07,787,790,774,785,19200,14980300
2013-10-04,790,798,778,790,15300,12002300
2013-10-03,815,815,779,794,33600,26799800
2013-10-02,828,840,790,815,38300,31186300
2013-10-01,834,841,815,840,37700,31395400
2013-09-30,815,833,785,819,32900,26540700
2013-09-27,819,830,761,800,70300,56719800
2013-09-26,749,810,738,810,59600,46105400
2013-09-25,750,751,738,738,28400,21237500
2013-09-24,740,754,735,745,25400,18844700
2013-09-20,725,738,725,730,15100,11008900
2013-09-19,725,728,720,722,25100,18114600
2013-09-18,725,729,721,725,13200,9568400
2013-09-17,720,724,715,721,18100,13018500
2013-09-13,706,715,705,707,9900,7024900
2013-09-12,710,715,705,708,11200,7952700
2013-09-11,712,715,709,710,5900,4200100
2013-09-10,710,710,706,709,7600,5380200
2013-09-09,705,705,700,705,10400,7300500
2013-09-06,705,705,701,701,17200,12114900
2013-09-05,710,710,707,709,2700,1913100
2013-09-04,709,712,702,708,16500,11712400
2013-09-03,709,711,705,705,7600,5385500
2013-09-02,706,710,701,708,13100,9251100
2013-08-30,706,706,698,700,10400,7289600
2013-08-29,699,701,698,699,9200,6438900
2013-08-28,700,704,699,699,7700,5388500
2013-08-27,710,710,701,707,6500,4589800
2013-08-26,714,714,707,710,10500,7451600
2013-08-23,710,713,710,712,2600,1847000
2013-08-22,714,714,710,714,12800,9103700
2013-08-21,711,714,710,714,6200,4406900
2013-08-20,719,719,710,710,16100,11510900
2013-08-19,715,716,712,716,10500,7500500
2013-08-16,700,711,700,711,5400,3814100
2013-08-15,1410,1414,1406,1411,5200,7331200
2013-08-14,1417,1421,1405,1410,4400,6226700
2013-08-13,1411,1414,1407,1414,1300,1832700
2013-08-12,1400,1410,1399,1405,8700,12213400
2013-08-09,1400,1408,1391,1400,2200,3080100
2013-08-08,1398,1400,1380,1388,6300,8736300
2013-08-07,1405,1410,1400,1400,9400,13197200
2013-08-06,1412,1420,1409,1409,7100,10026200
2013-08-05,1399,1424,1399,1411,7500,10514600
2013-08-02,1410,1412,1400,1409,4900,6890000
2013-08-01,1393,1399,1380,1399,7300,10137800
2013-07-31,1406,1423,1382,1401,13800,19295900
2013-07-30,1403,1428,1389,1426,10000,14016600
2013-07-29,1433,1433,1402,1406,8100,11484500
2013-07-26,1405,1430,1405,1425,9300,13178300
2013-07-25,1410,1425,1405,1415,6400,9051300
2013-07-24,1440,1445,1414,1418,22400,32101300
2013-07-23,1440,1440,1435,1435,7300,10507700
2013-07-22,1440,1440,1435,1438,4200,6041300
2013-07-19,1440,1440,1427,1431,6900,9894200
2013-07-18,1425,1445,1425,1444,4700,6748900
2013-07-17,1430,1432,1420,1430,3300,4707800
2013-07-16,1430,1444,1430,1435,1800,2580400
2013-07-12,1427,1430,1414,1430,2200,3131500
2013-07-11,1422,1430,1419,1422,4500,6406400
2013-07-10,1449,1449,1425,1425,7600,10931300
2013-07-09,1415,1437,1415,1430,4500,6401500
2013-07-08,1420,1450,1420,1421,9800,14025700
2013-07-05,1420,1421,1401,1418,11000,15555200
2013-07-04,1426,1426,1415,1421,2700,3839700
2013-07-03,1419,1430,1401,1430,13600,19302500
2013-07-02,1412,1424,1408,1418,21600,30544700
2013-07-01,1400,1410,1399,1406,7500,10514800
2013-06-28,1410,1410,1385,1392,9200,12910500
2013-06-27,1400,1400,1363,1372,4600,6342600
2013-06-26,1402,1413,1386,1400,18200,25487700
2013-06-25,1445,1445,1404,1411,3900,5554900
2013-06-24,1475,1475,1445,1451,11400,16662700
2013-06-21,1447,1474,1400,1445,26600,38535900
