4951-T,東証1部,エステー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1007,1011,1004,1011,13100,13210200
2014-06-26,1006,1010,1004,1007,10700,10784000
2014-06-25,1010,1011,1006,1006,11300,11397500
2014-06-24,1008,1010,1005,1010,14900,15024100
2014-06-23,1007,1008,1002,1005,9600,9655500
2014-06-20,1004,1007,1001,1007,13300,13366200
2014-06-19,1003,1004,999,1004,11600,11628300
2014-06-18,1000,1005,1000,1003,17000,17046600
2014-06-17,999,1004,997,1002,30000,30021400
2014-06-16,991,999,990,990,21300,21161400
2014-06-13,989,990,982,988,35600,35188300
2014-06-12,986,989,985,988,11000,10857100
2014-06-11,986,990,978,987,15700,15499900
2014-06-10,982,987,980,984,13400,13180700
2014-06-09,982,984,980,982,7600,7461800
2014-06-06,987,988,981,982,16600,16332500
2014-06-05,985,987,985,987,17300,17056600
2014-06-04,975,983,974,983,14200,13915300
2014-06-03,966,979,966,975,18600,18096500
2014-06-02,974,990,957,961,54300,52860000
2014-05-30,989,991,944,944,187800,180452800
2014-05-29,979,982,973,974,15200,14838300
2014-05-28,980,983,977,977,21400,20962100
2014-05-27,983,984,979,980,19200,18833100
2014-05-26,984,984,978,980,10400,10197000
2014-05-23,981,984,972,975,20600,20165500
2014-05-22,975,977,970,974,13900,13520600
2014-05-21,971,976,966,967,33300,32295300
2014-05-20,982,982,971,971,12700,12384500
2014-05-19,974,993,973,981,10100,9937200
2014-05-16,973,978,970,973,24500,23857000
2014-05-15,982,989,973,973,41300,40364200
2014-05-14,999,999,989,994,5100,5062800
2014-05-13,999,999,990,995,8100,8051300
2014-05-12,998,998,991,993,6300,6265600
2014-05-09,990,1002,990,998,6500,6479200
2014-05-08,990,1009,988,998,11100,11051600
2014-05-07,1000,1009,984,985,20300,20264200
2014-05-02,1008,1009,999,1009,14300,14382600
2014-05-01,1000,1010,991,1005,40000,40167200
2014-04-30,984,1000,980,990,19000,18827400
2014-04-28,980,984,972,981,6700,6561700
2014-04-25,1000,1000,979,985,18000,17836500
2014-04-24,978,978,972,973,5800,5653500
2014-04-23,977,977,971,971,5300,5155400
2014-04-22,977,977,971,971,3900,3794600
2014-04-21,972,976,971,972,6500,6324200
2014-04-18,981,981,969,972,7600,7384800
2014-04-17,970,982,970,973,8700,8498500
2014-04-16,985,988,966,967,16800,16361700
2014-04-15,980,981,970,970,11500,11183400
2014-04-14,971,984,970,975,6800,6637900
2014-04-11,973,976,971,971,16100,15663400
2014-04-10,976,979,974,974,8900,8685700
2014-04-09,981,984,975,975,17300,16940600
2014-04-08,991,995,980,981,14400,14178500
2014-04-07,991,996,986,995,13500,13371800
2014-04-04,990,996,989,991,8200,8135000
2014-04-03,1000,1002,990,990,18300,18226600
2014-04-02,1003,1006,997,997,17300,17328200
2014-04-01,999,1001,994,1000,14200,14182800
2014-03-31,999,1000,996,999,11800,11779500
2014-03-28,991,998,989,995,19000,18888800
2014-03-27,988,995,984,991,26400,26125700
2014-03-26,1018,1019,1005,1012,49800,50470500
2014-03-25,1020,1020,1013,1015,23800,24224800
2014-03-24,1008,1015,1002,1013,32000,32315000
2014-03-20,1001,1005,1000,1005,14200,14243900
2014-03-19,1005,1005,1000,1001,11700,11732600
2014-03-18,1001,1005,997,1002,12100,12119600
2014-03-17,1000,1002,995,995,19700,19651700
2014-03-14,1002,1003,999,999,43200,43247400
2014-03-13,1000,1005,1000,1003,7300,7318900
2014-03-12,1000,1005,998,1000,15600,15607800
2014-03-11,1005,1010,1001,1005,15400,15465600
2014-03-10,1008,1008,1002,1005,15800,15882800
2014-03-07,1000,1004,1000,1002,15200,15224400
2014-03-06,999,1000,996,999,18900,18873700
2014-03-05,1000,1000,997,999,16600,16584400
2014-03-04,998,1000,995,999,15000,14977700
