4962-T,東証2部,互応化学,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1279,1279,1261,1261,800,1021400
2014-06-26,1295,1295,1265,1275,1600,2064000
2014-06-25,1260,1270,1260,1270,900,1138700
2014-06-24,1257,1260,1257,1260,200,251700
2014-06-23,1259,1268,1258,1268,500,631200
2014-06-20,1259,1259,1259,1259,200,251800
2014-06-19,1259,1260,1258,1260,300,377700
2014-06-18,1259,1260,1259,1260,300,377800
2014-06-17,1258,1259,1258,1259,300,377600
2014-06-16,1292,1292,1258,1258,500,639600
2014-06-13,1242,1294,1242,1294,800,1004700
2014-06-12,1245,1257,1245,1245,400,499200
2014-06-11,1244,1250,1244,1250,400,498600
2014-06-10,1243,1257,1243,1243,1300,1617600
2014-06-09,1242,1245,1242,1245,400,497300
2014-06-06,1252,1252,1251,1251,300,375500
2014-06-05,1253,1257,1253,1253,500,627200
2014-06-04,1257,1257,1251,1251,500,627900
2014-06-03,1275,1275,1275,1275,500,637500
2014-06-02,1275,1275,1258,1275,3400,4327400
2014-05-30,1275,1275,1275,1275,500,637500
2014-05-29,1275,1275,1275,1275,800,1020000
2014-05-28,1250,1275,1250,1275,1100,1377500
2014-05-27,1305,1305,1264,1264,1000,1288600
2014-05-26,1282,1282,1280,1280,1500,1922800
2014-05-23,1255,1257,1255,1257,1700,2135900
2014-05-22,1240,1250,1240,1250,9200,11448000
2014-05-21,1250,1250,1250,1250,100,125000
2014-05-20,1255,1255,1250,1250,300,375500
2014-05-19,-,-,-,-,0,0
2014-05-16,1231,1240,1231,1240,200,247100
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,1232,1257,1227,1240,5000,6166300
2014-05-12,1238,1238,1238,1238,100,123800
2014-05-09,-,-,-,-,0,0
2014-05-08,1250,1250,1237,1238,3100,3862100
2014-05-07,1250,1267,1238,1267,1100,1370700
2014-05-02,1241,1250,1241,1250,1100,1369600
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
