4966-T,東証2部,上村工業,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,5300,5300,5210,5230,1700,8956000
2014-06-26,5360,5360,5280,5290,1700,9003000
2014-06-25,5290,5300,5280,5300,1100,5818000
2014-06-24,5300,5300,5230,5280,3900,20550000
2014-06-23,5400,5400,5280,5300,5100,27115000
2014-06-20,5230,5500,5150,5500,9200,49466000
2014-06-19,5020,5250,5020,5230,6500,33405000
2014-06-18,5120,5140,5080,5140,1900,9709000
2014-06-17,5040,5090,5040,5080,3200,16186000
2014-06-16,5150,5150,5010,5100,3500,17854000
2014-06-13,4995,5100,4980,5100,2000,10078000
2014-06-12,4940,4995,4940,4965,3300,16409500
2014-06-11,4940,4985,4920,4940,2400,11885000
2014-06-10,4905,5090,4905,4955,4300,21358500
2014-06-09,4940,4975,4915,4950,4300,21290000
2014-06-06,5000,5030,4900,4975,8800,43754000
2014-06-05,5090,5170,5040,5050,4300,21819000
2014-06-04,5210,5210,5000,5110,8200,41791000
2014-06-03,4965,5150,4965,5150,5800,29197000
2014-06-02,4920,4995,4920,4920,5500,27216500
2014-05-30,5200,5300,4925,4925,14900,77325000
2014-05-29,5130,5130,5130,5130,400,2052000
2014-05-28,5140,5160,5130,5130,1400,7195000
2014-05-27,5130,5180,5130,5170,2400,12332000
2014-05-26,5000,5130,5000,5120,1500,7645000
2014-05-23,5190,5270,5100,5100,5200,27071000
2014-05-22,5050,5190,5050,5190,4900,25076000
2014-05-21,5000,5050,4980,5050,700,3506500
2014-05-20,5230,5230,5050,5050,3200,16463000
2014-05-19,5280,5280,5040,5200,2400,12359000
2014-05-16,5280,5290,5180,5240,1900,10028000
2014-05-15,5150,5290,5050,5290,8900,45846000
2014-05-14,4670,5050,4670,5050,4900,24172000
2014-05-13,4865,4870,4605,4650,5300,25089500
2014-05-12,4850,4895,4850,4865,1000,4866500
2014-05-09,4780,4780,4780,4780,1200,5736000
2014-05-08,4680,4760,4640,4640,4100,19189000
2014-05-07,4865,4865,4660,4670,2900,13674000
2014-05-02,4720,4810,4720,4795,2300,10991000
2014-05-01,4650,4870,4650,4800,3300,15831500
2014-04-30,4850,4850,4710,4720,5600,26704500
2014-04-28,5100,5100,4800,4845,2900,14332000
2014-04-25,5090,5090,5020,5040,700,3550000
2014-04-24,5060,5090,5050,5090,900,4557000
2014-04-23,5160,5170,4980,5060,6100,30906500
2014-04-22,5200,5200,5120,5160,900,4625000
2014-04-21,5180,5240,5180,5200,4600,23874000
2014-04-18,5200,5200,5150,5180,1400,7262000
2014-04-17,5200,5230,5190,5200,4700,24440000
2014-04-16,5210,5210,5100,5170,1900,9801000
2014-04-15,5300,5300,5100,5110,2900,15054000
2014-04-14,5350,5350,5050,5150,3700,19410000
2014-04-11,5280,5330,5180,5330,7900,41792000
2014-04-10,5300,5380,5250,5310,6700,35572000
2014-04-09,5250,5300,5110,5250,16000,82789000
2014-04-08,5190,5190,5100,5150,2300,11870000
2014-04-07,5130,5240,5130,5150,2900,14972000
2014-04-04,5250,5260,5110,5230,7700,39866000
2014-04-03,5210,5210,5020,5130,2800,14351000
2014-04-02,5170,5270,5080,5110,12100,62722000
2014-04-01,5100,5260,5050,5170,8100,41826000
2014-03-31,5100,5100,4950,5100,7400,37401000
2014-03-28,5150,5150,4920,5000,7400,37094000
2014-03-27,5010,5180,5010,5140,8700,44492000
2014-03-26,5210,5250,5150,5200,14800,77104000
2014-03-25,5020,5200,5020,5190,18100,93074000
2014-03-24,5450,5450,4970,5000,25600,132405000
2014-03-20,5390,5450,5270,5410,65700,354727000
