4967-T,東証1部,小林製薬,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,6500,6500,6390,6430,86800,558658000
2014-06-26,6570,6600,6490,6500,52700,343841000
2014-06-25,6590,6620,6540,6580,80200,528662000
2014-06-24,6500,6590,6480,6570,83400,546005000
2014-06-23,6500,6510,6460,6510,43500,282465000
2014-06-20,6510,6530,6480,6500,92000,598659000
2014-06-19,6450,6550,6430,6530,76700,500129000
2014-06-18,6400,6500,6390,6470,69500,449178000
2014-06-17,6380,6480,6380,6440,67400,434292000
2014-06-16,6350,6410,6320,6380,70700,450113000
2014-06-13,6380,6420,6300,6400,163100,1039516000
2014-06-12,6320,6420,6320,6370,149400,952608000
2014-06-11,6380,6440,6360,6400,137100,877988000
2014-06-10,6560,6560,6360,6370,213700,1371372000
2014-06-09,6620,6620,6520,6550,71700,470244000
2014-06-06,6630,6630,6540,6570,122800,807781000
2014-06-05,6630,6670,6600,6620,88600,588205000
2014-06-04,6590,6630,6570,6620,74100,489468000
2014-06-03,6570,6610,6520,6580,124800,820552000
2014-06-02,6540,6560,6500,6560,195100,1276456000
2014-05-30,6720,6720,6520,6540,414700,2733289000
2014-05-29,6980,7000,6780,6820,132900,913396000
2014-05-28,6900,7030,6900,6940,99300,692343000
2014-05-27,6820,6860,6790,6800,85600,583542000
2014-05-26,6680,6800,6630,6800,82000,552636000
2014-05-23,6640,6650,6590,6630,59300,392682000
2014-05-22,6550,6600,6500,6590,73000,479399000
2014-05-21,6460,6550,6460,6520,58800,383167000
2014-05-20,6490,6560,6450,6530,87500,571050000
2014-05-19,6400,6470,6390,6440,61000,392578000
2014-05-16,6390,6430,6350,6380,103000,657438000
2014-05-15,6390,6460,6370,6450,40400,259138000
2014-05-14,6410,6440,6390,6440,45300,290576000
2014-05-13,6460,6510,6410,6440,80800,521913000
2014-05-12,6450,6450,6370,6370,59400,380336000
2014-05-09,6340,6450,6330,6440,74900,480732000
2014-05-08,6400,6430,6340,6350,99100,632123000
2014-05-07,6370,6540,6340,6390,225700,1451979000
2014-05-02,6350,6390,6190,6370,162400,1024915000
2014-05-01,6380,6490,6330,6390,194700,1246367000
2014-04-30,6270,6270,6190,6200,101300,630253000
2014-04-28,6190,6220,6170,6220,85800,530745000
2014-04-25,6290,6360,6250,6280,92000,580043000
2014-04-24,6220,6280,6180,6280,112100,699589000
2014-04-23,6170,6210,6140,6210,53000,327713000
2014-04-22,6190,6210,6120,6120,54600,335994000
2014-04-21,6150,6190,6120,6180,43500,268218000
2014-04-18,6120,6160,6090,6140,57900,354692000
2014-04-17,6000,6120,6000,6090,83600,508590000
2014-04-16,5950,6000,5930,6000,48700,290524000
2014-04-15,5870,5900,5830,5900,48000,281848000
2014-04-14,5780,5910,5780,5850,60900,357757000
2014-04-11,5800,5860,5750,5790,62200,361888000
2014-04-10,5990,5990,5870,5870,75900,448354000
2014-04-09,5830,5940,5800,5890,108100,637037000
2014-04-08,5960,6010,5890,5890,80800,479882000
2014-04-07,5930,6060,5930,5960,76400,457378000
2014-04-04,5960,6040,5930,6000,74600,447252000
2014-04-03,5930,5980,5910,5960,46300,275514000
2014-04-02,5990,6020,5890,5930,120700,719126000
2014-04-01,5980,6040,5940,5980,79800,477544000
2014-03-31,5950,5980,5880,5950,89100,528260000
2014-03-28,5830,5940,5830,5940,57600,339880000
2014-03-27,5780,5900,5720,5870,92800,540036000
2014-03-26,5770,5860,5770,5830,152000,883661000
2014-03-25,5840,5920,5770,5790,135900,795212000
2014-03-24,5620,5790,5600,5750,134300,771147000
2014-03-20,5590,5630,5480,5480,149400,824287000
2014-03-19,5550,5610,5530,5560,53600,298181000
2014-03-18,5500,5580,5470,5530,52900,292593000
2014-03-17,5500,5520,5370,5440,153200,830675000
2014-03-14,5610,5650,5540,5540,129400,723949000
2014-03-13,5640,5680,5620,5660,36800,208277000
2014-03-12,5680,5700,5640,5650,81300,459953000
2014-03-11,5760,5810,5700,5740,57300,329247000
2014-03-10,5720,5750,5680,5730,95900,548665000
2014-03-07,5730,5740,5650,5730,92700,528135000
2014-03-06,5650,5720,5620,5710,65700,372760000
2014-03-05,5720,5750,5670,5670,33800,192591000
2014-03-04,5600,5750,5590,5720,99500,567252000
2014-03-03,5740,5740,5510,5600,134100,748898000
2014-02-28,5840,5890,5690,5760,121100,696745000
2014-02-27,5770,5870,5750,5770,111600,646695000
2014-02-26,5740,5790,5740,5740,64500,371595000
2014-02-25,5830,5840,5750,5810,71600,415331000
2014-02-24,5700,5840,5670,5730,81500,468206000
2014-02-21,5640,5720,5620,5670,88100,499574000
2014-02-20,5520,5640,5510,5540,101700,566109000
2014-02-19,5510,5530,5470,5520,16900,93077000
2014-02-18,5440,5530,5420,5520,39300,215940000
2014-02-17,5390,5450,5340,5430,44000,237221000
2014-02-14,5470,5540,5360,5390,86700,470308000
2014-02-13,5470,5470,5400,5430,59200,321273000
2014-02-12,5440,5490,5420,5460,41700,227118000
2014-02-10,5400,5400,5300,5350,55800,298272000
2014-02-07,5270,5320,5220,5290,61400,323648000
2014-02-06,5340,5350,5200,5210,87500,458912000
2014-02-05,5300,5390,5250,5350,121200,644178000
2014-02-04,5400,5440,5260,5280,138800,739850000
2014-02-03,5570,5640,5490,5490,79500,438853000
2014-01-31,5570,5610,5510,5580,94500,525644000
2014-01-30,5500,5620,5500,5580,133400,743169000
2014-01-29,5550,5650,5550,5640,53700,301494000
2014-01-28,5570,5670,5530,5530,57100,318614000
2014-01-27,5600,5670,5550,5550,85500,478292000
2014-01-24,5700,5760,5620,5700,90500,515852000
2014-01-23,5810,5840,5700,5700,46300,265699000
2014-01-22,5760,5810,5720,5770,40500,233468000
2014-01-21,5790,5850,5740,5750,50700,293384000
2014-01-20,5780,5830,5770,5770,48300,279631000
2014-01-17,5740,5840,5740,5770,48200,278215000
2014-01-16,5750,5830,5730,5740,48800,281570000
2014-01-15,5760,5780,5700,5770,74500,428442000
2014-01-14,5800,5800,5670,5700,104900,599576000
2014-01-10,5800,5840,5740,5840,61000,353807000
2014-01-09,5830,5840,5770,5830,59200,343705000
2014-01-08,5870,5890,5790,5860,47300,276113000
2014-01-07,5860,5900,5810,5830,41500,242383000
