4997-T,東証1部,日農薬,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1241,1245,1198,1210,336800,409868800
2014-06-26,1235,1247,1229,1241,262900,326066600
2014-06-25,1255,1256,1223,1228,328300,406546400
2014-06-24,1261,1269,1241,1262,263800,331605500
2014-06-23,1275,1275,1257,1264,272500,344809900
2014-06-20,1280,1282,1256,1260,509800,647241700
2014-06-19,1277,1287,1266,1273,561900,716716400
2014-06-18,1230,1266,1225,1264,531200,665372300
2014-06-17,1221,1234,1211,1231,463600,567384400
2014-06-16,1208,1229,1206,1220,577800,704846700
2014-06-13,1182,1211,1182,1208,501000,598454200
2014-06-12,1185,1200,1184,1192,544400,647930100
2014-06-11,1180,1189,1174,1189,448200,530075100
2014-06-10,1175,1194,1173,1182,664900,785206700
2014-06-09,1187,1189,1170,1180,713500,841240100
2014-06-06,1149,1170,1148,1169,920600,1069261400
2014-06-05,1136,1148,1130,1135,771300,878512600
2014-06-04,1139,1145,1123,1141,1440200,1635414800
2014-06-03,1076,1119,1070,1113,2191700,2399328600
2014-06-02,1070,1073,1045,1051,1935300,2040575600
2014-05-30,1115,1124,1064,1073,1202700,1307906100
2014-05-29,1133,1135,1105,1114,529100,589337300
2014-05-28,1162,1170,1131,1134,406500,465133200
2014-05-27,1150,1160,1146,1153,390500,449887800
2014-05-26,1139,1155,1133,1145,274600,314192300
2014-05-23,1140,1145,1121,1126,368200,415739300
2014-05-22,1125,1138,1099,1133,510700,572658000
2014-05-21,1136,1138,1116,1125,408100,459494500
2014-05-20,1163,1181,1138,1147,511600,589371800
2014-05-19,1234,1234,1161,1163,455900,540405700
2014-05-16,1245,1248,1221,1237,392600,483940200
2014-05-15,1250,1253,1226,1245,197800,245039300
2014-05-14,1239,1262,1231,1256,178200,222437500
2014-05-13,1246,1263,1231,1234,410300,508598300
2014-05-12,1273,1288,1235,1238,270700,338815000
2014-05-09,1263,1289,1263,1272,182800,233396400
2014-05-08,1256,1305,1256,1276,387700,495144900
2014-05-07,1271,1281,1243,1249,499600,627805600
2014-05-02,1292,1300,1280,1294,289800,373870200
2014-05-01,1281,1319,1281,1312,481300,629007600
2014-04-30,1265,1294,1226,1273,933400,1179170200
2014-04-28,1309,1311,1258,1264,587100,752733900
2014-04-25,1333,1356,1322,1334,414900,555050800
2014-04-24,1358,1378,1317,1333,1093500,1464502700
2014-04-23,1383,1398,1333,1357,1547200,2098187200
2014-04-22,1479,1483,1447,1449,85100,124715500
2014-04-21,1498,1500,1466,1479,186400,276296500
2014-04-18,1474,1499,1464,1484,249600,370530700
2014-04-17,1460,1480,1454,1460,246900,361848900
2014-04-16,1425,1466,1404,1466,210300,302951400
2014-04-15,1411,1431,1388,1406,269600,380430000
2014-04-14,1397,1421,1381,1390,238500,333143500
2014-04-11,1391,1422,1364,1411,285100,399108900
2014-04-10,1444,1460,1414,1421,195100,279582500
2014-04-09,1458,1463,1421,1424,299900,429970400
2014-04-08,1486,1493,1453,1465,470700,691575500
2014-04-07,1541,1564,1493,1511,567500,861493900
2014-04-04,1595,1630,1554,1566,460700,730473700
2014-04-03,1600,1620,1582,1604,374100,599588700
2014-04-02,1620,1620,1570,1573,597900,949724100
2014-04-01,1551,1606,1529,1602,623000,983262000
2014-03-31,1500,1558,1482,1555,802000,1232200000
2014-03-28,1431,1454,1407,1452,290000,414925000
2014-03-27,1459,1460,1429,1447,209000,301614000
2014-03-26,1450,1472,1433,1465,381000,553850000
2014-03-25,1455,1496,1442,1479,417000,615747000
2014-03-24,1360,1427,1360,1418,357000,504253000
2014-03-20,1390,1399,1353,1353,221000,302868000
2014-03-19,1408,1425,1389,1405,193000,271641000
2014-03-18,1365,1406,1364,1391,222000,308064000
2014-03-17,1363,1365,1342,1356,194000,262393000
2014-03-14,1348,1375,1340,1347,332000,449909000
2014-03-13,1380,1400,1369,1375,270000,372291000
2014-03-12,1439,1439,1400,1404,248000,350887000
2014-03-11,1435,1452,1428,1450,224000,323179000
2014-03-10,1400,1442,1355,1435,305000,432966000
2014-03-07,1397,1412,1390,1406,253000,355011000
2014-03-06,1391,1412,1383,1397,195000,272650000
2014-03-05,1384,1407,1384,1389,156000,217826000
2014-03-04,1317,1384,1317,1380,203000,276581000
2014-03-03,1349,1349,1325,1332,445000,594031000
2014-02-28,1388,1391,1371,1378,256000,353691000
2014-02-27,1402,1413,1388,1390,248000,347140000
2014-02-26,1442,1442,1413,1417,200000,285665000
2014-02-25,1474,1485,1446,1456,131000,190789000
2014-02-24,1446,1470,1431,1447,138000,199500000
2014-02-21,1454,1473,1454,1469,147000,215512000
2014-02-20,1476,1480,1446,1451,220000,320857000
2014-02-19,1464,1498,1460,1475,371000,549081000
2014-02-18,1402,1477,1402,1470,573000,833936000
2014-02-17,1361,1407,1320,1396,556000,766283000
2014-02-14,1462,1478,1392,1416,362000,514818000
2014-02-13,1450,1473,1432,1473,323000,471304000
2014-02-12,1448,1462,1437,1450,301000,436134000
2014-02-10,1450,1455,1415,1439,304000,435816000
2014-02-07,1444,1458,1427,1429,237000,340804000
2014-02-06,1400,1423,1388,1414,273000,384089000
2014-02-05,1396,1412,1374,1404,387000,540283000
2014-02-04,1378,1393,1345,1366,576000,788578000
2014-02-03,1418,1446,1411,1420,289000,412222000
2014-01-31,1473,1479,1423,1447,399000,578150000
2014-01-30,1465,1466,1443,1462,288000,419615000
2014-01-29,1457,1495,1453,1495,190000,280364000
2014-01-28,1410,1446,1410,1427,326000,467716000
2014-01-27,1404,1424,1400,1411,499000,704993000
2014-01-24,1450,1483,1431,1464,357000,522797000
2014-01-23,1491,1500,1477,1480,513000,762873000
2014-01-22,1520,1520,1484,1495,488000,731119000
2014-01-21,1521,1536,1520,1526,246000,375958000
2014-01-20,1540,1546,1512,1516,259000,395622000
2014-01-17,1545,1553,1522,1547,409000,630501000
2014-01-16,1589,1589,1540,1545,308000,480140000
2014-01-15,1529,1580,1524,1577,414000,643926000
2014-01-14,1501,1539,1481,1515,551000,834851000
2014-01-10,1507,1544,1497,1539,357000,545120000
2014-01-09,1504,1515,1494,1507,315000,473659000
2014-01-08,1548,1549,1504,1514,389000,589742000
2014-01-07,1480,1528,1461,1525,631000,948471000
2014-01-06,1509,1515,1482,1491,533000,797639000
2013-12-30,1520,1530,1498,1503,355000,536426000
2013-12-27,1498,1515,1492,1508,465000,699449000
2013-12-26,1460,1491,1451,1486,381000,561839000
2013-12-25,1432,1459,1425,1448,492000,710525000
2013-12-24,1413,1442,1413,1432,480000,686238000
2013-12-20,1407,1420,1404,1412,244000,344709000
2013-12-19,1443,1449,1421,1425,589000,845913000
2013-12-18,1409,1425,1395,1420,435000,613873000
2013-12-17,1389,1415,1382,1393,311000,434551000
2013-12-16,1388,1407,1371,1389,435000,606625000
2013-12-13,1386,1400,1377,1378,434000,601882000
2013-12-12,1401,1410,1381,1395,378000,527868000
2013-12-11,1413,1437,1402,1424,654000,928217000
2013-12-10,1363,1422,1363,1418,898000,1261208000
2013-12-09,1350,1360,1330,1359,309000,417324000
2013-12-06,1305,1331,1300,1328,184000,243182000
2013-12-05,1321,1338,1308,1311,219000,288999000
2013-12-04,1339,1354,1300,1333,462000,617438000
2013-12-03,1320,1366,1318,1358,650000,876771000
2013-12-02,1334,1334,1303,1315,399000,526013000
2013-11-29,1331,1342,1304,1313,553000,728545000
2013-11-28,1281,1350,1277,1348,749000,993004000
2013-11-27,1272,1287,1267,1276,242000,308614000
2013-11-26,1270,1297,1255,1293,501000,639521000
2013-11-25,1306,1311,1276,1289,330000,424466000
2013-11-22,1313,1324,1300,1307,235000,308273000
2013-11-21,1313,1323,1298,1313,431000,565572000
2013-11-20,1351,1353,1315,1326,387000,514738000
2013-11-19,1313,1358,1302,1351,816000,1096508000
2013-11-18,1318,1338,1298,1301,533000,703432000
2013-11-15,1272,1318,1271,1316,1175000,1531168000
2013-11-14,1190,1295,1188,1276,3123000,3919567000
2013-11-13,1176,1200,1175,1178,433000,513673000
2013-11-12,1153,1179,1153,1165,419000,488977000
2013-11-11,1173,1189,1147,1152,434000,504921000
2013-11-08,1159,1173,1148,1164,323000,374721000
2013-11-07,1167,1184,1157,1180,444000,519533000
2013-11-06,1181,1187,1154,1167,431000,504023000
2013-11-05,1198,1200,1169,1195,364000,433072000
2013-11-01,1184,1194,1161,1173,469000,551845000
2013-10-31,1198,1209,1174,1174,805000,959818000
2013-10-30,1201,1225,1153,1221,2265000,2712775000
