5010-T,東証2部,日精蝋,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,258,259,254,254,38000,9767000
2014-06-26,257,257,253,256,37000,9467000
2014-06-25,262,263,260,263,46000,12026000
2014-06-24,260,260,260,260,21000,5460000
2014-06-23,257,260,257,260,42000,10849000
2014-06-20,256,256,255,255,40000,10223000
2014-06-19,257,257,255,255,70000,17928000
2014-06-18,258,258,256,258,29000,7478000
2014-06-17,255,258,255,258,6000,1539000
2014-06-16,256,258,253,258,42000,10715000
2014-06-13,256,257,256,257,8000,2051000
2014-06-12,256,256,256,256,4000,1024000
2014-06-11,256,256,256,256,4000,1024000
2014-06-10,259,259,256,258,5000,1289000
2014-06-09,258,259,256,259,15000,3862000
2014-06-06,255,256,255,256,10000,2551000
2014-06-05,253,254,253,254,6000,1519000
2014-06-04,255,256,255,255,10000,2553000
2014-06-03,256,257,255,255,12000,3072000
2014-06-02,254,256,254,256,8000,2038000
2014-05-30,255,255,254,255,11000,2804000
2014-05-29,252,256,252,256,6000,1527000
2014-05-28,252,252,251,252,23000,5794000
2014-05-27,250,251,250,251,4000,1003000
2014-05-26,251,251,251,251,2000,502000
2014-05-23,246,248,246,248,3000,740000
2014-05-22,-,-,-,-,0,0
2014-05-21,246,246,240,245,43000,10438000
2014-05-20,248,248,242,246,28000,6841000
2014-05-19,252,252,247,247,18000,4510000
2014-05-16,250,252,248,252,5000,1248000
2014-05-15,248,250,248,250,16000,3985000
2014-05-14,249,249,249,249,13000,3237000
2014-05-13,247,249,247,249,22000,5440000
2014-05-12,250,250,247,248,17000,4216000
2014-05-09,249,250,249,249,18000,4484000
2014-05-08,248,251,248,249,21000,5222000
2014-05-07,251,253,248,248,28000,7019000
2014-05-02,250,250,250,250,12000,3000000
2014-05-01,251,252,250,250,6000,1506000
2014-04-30,249,251,249,249,29000,7225000
2014-04-28,248,254,248,250,31000,7726000
2014-04-25,258,258,256,256,11000,2824000
2014-04-24,258,258,257,257,15000,3868000
2014-04-23,254,254,254,254,2000,508000
2014-04-22,258,258,249,251,38000,9579000
2014-04-21,260,260,257,257,6000,1551000
2014-04-18,256,257,255,256,18000,4610000
2014-04-17,255,257,255,256,23000,5875000
2014-04-16,253,255,253,255,11000,2797000
2014-04-15,253,253,253,253,2000,506000
2014-04-14,252,253,252,253,3000,758000
2014-04-11,252,254,251,254,9000,2265000
2014-04-10,253,253,253,253,5000,1265000
2014-04-09,256,256,252,253,19000,4809000
2014-04-08,258,258,256,256,4000,1026000
2014-04-07,257,258,257,258,6000,1547000
2014-04-04,255,255,255,255,1000,255000
2014-04-03,256,257,254,254,12000,3064000
2014-04-02,257,259,256,257,15000,3861000
2014-04-01,257,257,256,257,9000,2312000
