5019-T,東証1部,出光興産,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2206,2212,2153,2171,486500,1057409000
2014-06-26,2238,2246,2207,2226,221500,492449400
2014-06-25,2236,2265,2215,2216,503500,1124306800
2014-06-24,2223,2238,2189,2232,460500,1023662300
2014-06-23,2189,2237,2189,2222,602500,1336278300
2014-06-20,2214,2217,2175,2175,470500,1029297200
2014-06-19,2179,2235,2177,2219,459100,1017682100
2014-06-18,2173,2187,2168,2174,310000,674457500
2014-06-17,2180,2197,2169,2174,437700,955899400
2014-06-16,2170,2191,2163,2169,450600,979279500
2014-06-13,2155,2168,2138,2158,406000,874366000
2014-06-12,2115,2156,2114,2156,326600,699464400
2014-06-11,2111,2122,2101,2121,322300,681750600
2014-06-10,2130,2132,2105,2111,426200,902192000
2014-06-09,2127,2145,2114,2135,302000,644382900
2014-06-06,2114,2146,2103,2116,575800,1220371800
2014-06-05,2113,2132,2093,2111,422500,892666300
2014-06-04,2108,2130,2094,2116,604000,1273444600
2014-06-03,2184,2184,2104,2109,595900,1271818200
2014-06-02,2150,2173,2124,2135,377700,808839000
2014-05-30,2090,2125,2062,2113,654800,1376930200
2014-05-29,2059,2077,2047,2072,198500,409934500
2014-05-28,2071,2083,2060,2063,189000,391331500
2014-05-27,2078,2107,2068,2069,164300,341488900
2014-05-26,2100,2108,2071,2088,206900,431102500
2014-05-23,2080,2115,2078,2092,258000,541402600
2014-05-22,2058,2082,2051,2076,335100,694655800
2014-05-21,2011,2049,2011,2043,252300,514543100
2014-05-20,2039,2049,2018,2029,294600,599079500
2014-05-19,2033,2043,2022,2039,266200,541232400
2014-05-16,2065,2070,2027,2044,387600,792906700
2014-05-15,2075,2097,2065,2088,245500,510935800
2014-05-14,2076,2103,2065,2095,244600,511228200
2014-05-13,2085,2103,2077,2085,278500,582395800
2014-05-12,2095,2101,2061,2063,254200,527472600
2014-05-09,2081,2120,2070,2084,408000,853846300
2014-05-08,2099,2109,2063,2096,713400,1490810900
2014-05-07,2138,2150,2073,2101,1204200,2528037000
2014-05-02,2251,2251,2139,2238,483900,1077701800
2014-05-01,2255,2272,2224,2252,316800,712501600
2014-04-30,2259,2265,2240,2255,384300,865893600
2014-04-28,2242,2262,2222,2258,202300,455498900
2014-04-25,2219,2259,2212,2254,375200,841910200
2014-04-24,2242,2262,2231,2238,278900,625712300
2014-04-23,2213,2235,2190,2234,460000,1020250400
2014-04-22,2214,2233,2181,2183,273900,603493100
2014-04-21,2177,2229,2177,2210,296300,654049000
2014-04-18,2165,2171,2136,2168,167500,362035100
2014-04-17,2144,2169,2130,2151,213800,461391600
2014-04-16,2062,2137,2059,2137,245200,518296300
2014-04-15,2076,2080,2043,2051,354500,728087300
2014-04-14,2024,2113,2021,2089,477200,994464800
2014-04-11,2015,2049,2007,2040,265200,539294900
2014-04-10,2078,2078,2023,2042,633500,1295025700
2014-04-09,2057,2104,2045,2094,705600,1469285100
2014-04-08,2105,2107,2066,2078,325600,677308000
2014-04-07,2127,2138,2111,2123,298800,635228900
2014-04-04,2116,2134,2106,2125,209100,444296800
