5184-T,東証2部,ニチリン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1264,1287,1253,1264,31500,39906100
2014-06-26,1292,1295,1263,1268,33000,42273500
2014-06-25,1296,1305,1285,1292,23400,30267000
2014-06-24,1325,1325,1285,1307,51700,67299900
2014-06-23,1290,1351,1280,1325,118800,155914100
2014-06-20,1307,1308,1270,1271,50100,64569300
2014-06-19,1310,1314,1279,1303,51700,67132100
2014-06-18,1270,1304,1269,1299,86600,111933300
2014-06-17,1300,1305,1270,1275,41500,53535400
2014-06-16,1261,1303,1261,1291,123700,159376500
2014-06-13,1220,1253,1201,1253,39400,48467400
2014-06-12,1216,1240,1200,1222,36200,44304600
2014-06-11,1211,1219,1206,1212,21000,25428900
2014-06-10,1240,1240,1211,1212,18200,22276400
2014-06-09,1234,1250,1211,1225,39300,48367900
2014-06-06,1215,1241,1215,1220,18800,23063800
2014-06-05,1233,1233,1201,1209,34700,42258900
2014-06-04,1240,1252,1227,1231,36400,45121300
2014-06-03,1255,1256,1232,1240,33600,41858300
2014-06-02,1232,1250,1228,1228,34900,43247700
2014-05-30,1225,1239,1214,1219,33300,40727200
2014-05-29,1209,1225,1177,1220,26500,32056800
2014-05-28,1148,1209,1148,1209,54100,63837400
2014-05-27,1125,1134,1121,1134,36400,41067500
2014-05-26,1140,1144,1123,1123,62700,71038000
2014-05-23,1151,1154,1127,1130,30000,34287700
2014-05-22,1142,1155,1142,1154,39600,45467100
2014-05-21,1110,1135,1091,1135,45300,50211200
2014-05-20,1131,1148,1110,1129,48100,54351800
2014-05-19,1190,1190,1131,1140,45200,52174900
2014-05-16,1200,1206,1180,1192,67500,80301600
2014-05-15,1240,1256,1230,1236,29300,36426900
2014-05-14,1289,1294,1240,1260,51900,65898800
2014-05-13,1309,1321,1268,1319,50200,65647900
2014-05-12,1290,1300,1237,1300,76100,97320300
2014-05-09,1289,1315,1286,1300,43000,55945100
2014-05-08,1304,1318,1286,1307,57100,74262700
2014-05-07,1279,1330,1277,1306,85400,111151800
2014-05-02,1260,1311,1244,1281,90400,116347800
2014-05-01,1230,1259,1230,1255,39700,49514700
2014-04-30,1230,1235,1216,1230,48600,59792700
2014-04-28,1220,1234,1169,1227,34700,42291200
2014-04-25,1233,1236,1200,1217,34400,41806500
2014-04-24,1219,1239,1202,1215,37500,45891600
2014-04-23,1213,1219,1201,1213,26500,32038000
2014-04-22,1200,1222,1181,1193,65100,78329800
