5204-T,東証1部,石塚硝,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,195,195,193,193,47000,9107000
2014-06-26,196,196,194,194,26000,5061000
2014-06-25,196,197,196,196,36000,7061000
2014-06-24,199,199,196,196,104000,20493000
2014-06-23,199,199,197,198,91000,18017000
2014-06-20,199,200,198,198,72000,14321000
2014-06-19,199,200,197,197,86000,17072000
2014-06-18,198,199,196,197,28000,5527000
2014-06-17,199,199,196,196,58000,11468000
2014-06-16,197,198,196,196,52000,10238000
2014-06-13,194,198,194,197,66000,12875000
2014-06-12,196,196,194,196,30000,5853000
2014-06-11,196,198,196,197,31000,6098000
2014-06-10,202,202,195,196,64000,12701000
2014-06-09,197,201,195,200,88000,17473000
2014-06-06,196,197,193,195,74000,14455000
2014-06-05,195,198,194,196,71000,13915000
2014-06-04,193,198,193,196,65000,12625000
2014-06-03,195,196,193,193,51000,9884000
2014-06-02,199,200,193,194,130000,25664000
2014-05-30,189,195,187,194,112000,21389000
2014-05-29,184,188,184,187,47000,8724000
2014-05-28,184,187,184,186,58000,10753000
2014-05-27,184,185,182,182,32000,5887000
2014-05-26,180,182,179,181,59000,10666000
2014-05-23,178,182,178,179,49000,8807000
2014-05-22,177,180,176,178,58000,10323000
2014-05-21,176,178,176,177,29000,5131000
2014-05-20,179,182,177,177,60000,10697000
2014-05-19,180,182,178,178,65000,11688000
2014-05-16,184,185,181,181,101000,18507000
2014-05-15,182,183,182,183,18000,3283000
2014-05-14,180,184,180,183,44000,7983000
2014-05-13,185,185,180,180,64000,11616000
2014-05-12,194,194,173,184,252000,46292000
2014-05-09,195,196,194,195,83000,16216000
2014-05-08,197,200,196,196,45000,8901000
2014-05-07,198,199,197,198,42000,8310000
2014-05-02,201,201,199,200,33000,6614000
2014-05-01,198,201,198,201,30000,5980000
2014-04-30,201,201,196,198,38000,7546000
2014-04-28,200,200,197,198,38000,7543000
2014-04-25,200,201,199,200,37000,7395000
2014-04-24,202,202,198,198,123000,24576000
2014-04-23,206,207,204,205,78000,16032000
2014-04-22,209,209,205,206,23000,4754000
2014-04-21,211,212,209,209,31000,6504000
2014-04-18,211,211,207,209,26000,5439000
2014-04-17,210,212,207,210,51000,10713000
2014-04-16,207,214,206,211,64000,13347000
2014-04-15,207,209,204,204,34000,7012000
2014-04-14,203,208,203,207,78000,16060000
2014-04-11,200,202,199,202,50000,10038000
2014-04-10,211,212,204,205,29000,6001000
2014-04-09,212,213,207,207,80000,16801000
2014-04-08,217,218,214,214,81000,17466000
2014-04-07,223,223,217,218,55000,12077000
2014-04-04,226,226,223,224,40000,8981000
2014-04-03,223,227,223,226,68000,15290000
2014-04-02,223,227,223,224,120000,26915000
2014-04-01,220,226,220,226,186000,41270000
2014-03-31,219,223,216,219,198000,43357000
2014-03-28,211,212,205,212,194000,40565000
2014-03-27,213,213,203,211,267000,55757000
2014-03-26,224,226,214,217,245000,53625000
2014-03-25,224,228,223,225,154000,34647000
2014-03-24,226,229,222,226,214000,48498000
2014-03-20,228,230,221,221,334000,75130000
2014-03-19,239,239,224,228,436000,99715000
2014-03-18,244,244,238,239,481000,115794000
2014-03-17,278,281,237,241,1774000,446481000
2014-03-14,295,298,286,286,152000,44319000
2014-03-13,302,305,302,302,34000,10303000
2014-03-12,308,308,298,302,64000,19351000
2014-03-11,309,309,307,308,28000,8624000
2014-03-10,309,309,306,308,11000,3381000
2014-03-07,303,311,303,309,40000,12318000
2014-03-06,303,303,296,303,55000,16501000
2014-03-05,300,304,300,303,26000,7852000
2014-03-04,295,299,295,298,33000,9783000
2014-03-03,300,300,295,298,74000,22074000
2014-02-28,310,310,300,300,60000,18223000
2014-02-27,308,309,306,308,37000,11408000
2014-02-26,307,310,307,308,31000,9553000
2014-02-25,309,311,307,309,59000,18250000
2014-02-24,320,320,303,309,73000,22649000
2014-02-21,318,320,309,318,44000,13893000
2014-02-20,313,315,312,313,19000,5953000
2014-02-19,319,319,313,315,19000,6008000
2014-02-18,313,317,309,316,38000,11909000
2014-02-17,318,319,314,315,17000,5372000
2014-02-14,321,323,310,315,83000,26176000
2014-02-13,329,329,320,322,84000,27349000
2014-02-12,314,330,313,326,131000,42188000
2014-02-10,306,313,305,312,57000,17638000
2014-02-07,298,310,298,304,83000,25117000
2014-02-06,291,307,291,296,248000,72649000
2014-02-05,297,313,292,292,162000,48602000
2014-02-04,293,296,292,292,199000,58333000
2014-02-03,290,295,285,293,459000,133997000
2014-01-31,314,314,295,296,301000,90811000
2014-01-30,325,326,315,315,140000,44809000
2014-01-29,318,333,315,325,131000,42449000
2014-01-28,320,324,311,316,158000,50012000
2014-01-27,337,342,320,321,199000,65612000
2014-01-24,341,342,338,339,120000,40777000
2014-01-23,347,349,345,345,75000,26006000
2014-01-22,347,351,347,349,74000,25873000
2014-01-21,352,353,345,347,43000,14992000
2014-01-20,353,353,348,349,51000,17862000
2014-01-17,350,350,346,350,38000,13259000
2014-01-16,345,353,344,347,112000,38953000
2014-01-15,355,358,345,348,93000,32664000
2014-01-14,355,357,354,355,74000,26295000
2014-01-10,357,360,354,354,69000,24570000
2014-01-09,365,365,354,355,90000,32176000
2014-01-08,374,376,364,367,116000,42911000
2014-01-07,367,371,366,368,46000,16953000
2014-01-06,360,370,360,369,62000,22682000
2013-12-30,365,369,360,361,121000,43940000
2013-12-27,375,375,364,367,74000,27167000
2013-12-26,375,375,369,370,61000,22634000
2013-12-25,370,375,362,370,92000,33991000
2013-12-24,387,389,367,370,231000,87083000
2013-12-20,390,393,387,392,129000,50366000
2013-12-19,405,405,389,390,127000,50248000
2013-12-18,388,404,388,400,180000,71747000
2013-12-17,380,387,380,387,61000,23475000
2013-12-16,382,385,381,381,84000,32136000
2013-12-13,386,389,384,384,134000,51698000
2013-12-12,388,392,388,391,62000,24182000
2013-12-11,396,396,388,390,61000,23907000
2013-12-10,386,397,383,397,108000,42159000
2013-12-09,402,406,389,390,216000,86150000
2013-12-06,415,415,400,401,240000,97027000
2013-12-05,400,422,400,415,923000,377916000
2013-12-04,397,414,396,405,343000,138705000
2013-12-03,398,404,393,400,262000,104406000
2013-12-02,368,405,368,402,485000,189452000
2013-11-29,366,369,366,369,60000,22035000
2013-11-28,367,367,362,367,72000,26186000
2013-11-27,370,370,366,367,34000,12502000
2013-11-26,364,372,363,371,61000,22466000
2013-11-25,372,373,364,364,62000,22762000
2013-11-22,366,372,365,369,141000,51981000
2013-11-21,362,365,361,363,83000,30119000
2013-11-20,363,366,361,362,45000,16311000
2013-11-19,360,365,359,363,62000,22496000
2013-11-18,365,365,358,360,106000,38279000
